! 51Sc energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	6.02241   	0.001000	6.5668    	0.001000	6.57339   	0.001000	6.57339   	0.001000	6.57379   	0.001000	1.57692   	0.001000	4.98988   	
0.002000	6.05203   	0.002000	6.21449   	0.002000	6.40883   	0.002000	6.40883   	0.002000	6.40912   	0.002000	2.04502   	0.002000	4.16947   	
0.005000	6.20528   	0.005000	5.73655   	0.005000	6.39368   	0.005000	6.39368   	0.005000	6.39384   	0.005000	2.88353   	0.005000	2.85303   	
0.008000	6.48965   	0.008000	5.66423   	0.008000	6.70352   	0.008000	6.70352   	0.008000	6.70363   	0.008000	3.43929   	0.008000	2.22494   	
0.010000	6.69682   	0.010000	5.69551   	0.010000	6.96323   	0.010000	6.96323   	0.010000	6.96332   	0.010000	3.73947   	0.010000	1.95604   	
0.015000	7.54908   	0.015000	5.87774   	0.015000	7.65669   	0.015000	7.65669   	0.015000	7.65676   	0.015000	4.35356   	0.015000	1.52418   	
0.020000	8.3793    	0.020000	6.11287   	0.020000	8.34459   	0.020000	8.34459   	0.020000	8.34464   	0.020000	4.8495    	0.020000	1.26338   	
0.025000	9.37384   	0.025000	6.40914   	0.025000	9.00479   	0.025000	9.00479   	0.025000	9.00483   	0.025000	5.32276   	0.025000	1.08638   	
0.030000	10.2923   	0.030000	7.6468    	0.030000	9.83404   	0.030000	9.83404   	0.030000	9.83408   	0.030000	6.68951   	0.030000	0.957298  	
0.035000	11.1055   	0.035000	8.86313   	0.035000	10.6619   	0.035000	10.6619   	0.035000	10.662    	0.035000	8.01269   	0.035000	0.850447  	
0.040000	11.8125   	0.040000	10.0348   	0.040000	11.4989   	0.040000	11.4989   	0.040000	11.499    	0.040000	9.26184   	0.040000	0.772925  	
0.045000	12.3984   	0.045000	11.1409   	0.045000	12.3313   	0.045000	12.3313   	0.045000	12.3313   	0.045000	10.4313   	0.045000	0.709613  	
0.050000	12.8613   	0.050000	12.1865   	0.050000	13.1558   	0.050000	13.1558   	0.050000	13.1559   	0.050000	11.5297   	0.050000	0.656821  	
0.055000	13.6052   	0.055000	13.1818   	0.055000	13.9699   	0.055000	13.9699   	0.055000	13.9699   	0.055000	12.5697   	0.055000	0.612051  	
0.060000	14.277    	0.060000	14.1365   	0.060000	14.7714   	0.060000	14.7714   	0.060000	14.7714   	0.060000	13.563    	0.060000	0.573551  	
0.070000	15.4102   	0.070000	15.9496   	0.070000	16.3295   	0.070000	16.3295   	0.070000	16.3296   	0.070000	15.439    	0.070000	0.510603  	
0.080000	16.6147   	0.080000	17.6529   	0.080000	17.8191   	0.080000	17.8191   	0.080000	17.8191   	0.080000	17.1917   	0.080000	0.46117   	
0.090000	17.638    	0.090000	19.2514   	0.090000	19.2321   	0.090000	19.2321   	0.090000	19.2321   	0.090000	18.8302   	0.090000	0.421213  	
0.100000	18.5169   	0.100000	20.7443   	0.100000	20.5637   	0.100000	20.5637   	0.100000	20.5637   	0.100000	20.3562   	0.100000	0.388176  	
0.120000	19.5066   	0.120000	23.4155   	0.120000	22.9735   	0.120000	22.9735   	0.120000	22.9736   	0.120000	23.079    	0.120000	0.33658   	
0.140000	20.2589   	0.140000	25.692    	0.140000	25.0477   	0.140000	25.0477   	0.140000	25.0478   	0.140000	25.394    	0.140000	0.297991  	
0.160000	20.9183   	0.160000	27.6216   	0.160000	26.8053   	0.160000	26.8053   	0.160000	26.8053   	0.160000	27.3536   	0.160000	0.267938  	
0.180000	21.5546   	0.180000	29.2574   	0.180000	28.2765   	0.180000	28.2765   	0.180000	28.2766   	0.180000	29.0136   	0.180000	0.24381   	
0.200000	22.1964   	0.200000	30.6487   	0.200000	29.4968   	0.200000	29.4968   	0.200000	29.4968   	0.200000	30.4247   	0.200000	0.223971  	
0.250000	23.1008   	0.250000	33.3138   	0.250000	31.6797   	0.250000	31.6797   	0.250000	31.6797   	0.250000	33.1269   	0.250000	0.186873  	
0.300000	24.1625   	0.300000	35.2803   	0.300000	32.9969   	0.300000	32.9969   	0.300000	32.9969   	0.300000	35.1193   	0.300000	0.160968  	
0.350000	25.35     	0.350000	37.2428   	0.350000	33.7904   	0.350000	33.7904   	0.350000	33.7904   	0.350000	37.1011   	0.350000	0.14177   	
0.400000	26.3434   	0.400000	38.6481   	0.400000	34.4904   	0.400000	34.4904   	0.400000	34.4905   	0.400000	38.5212   	0.400000	0.126927  	
0.450000	27.1648   	0.450000	39.6547   	0.450000	36.637    	0.450000	36.637    	0.450000	36.637    	0.450000	39.5396   	0.450000	0.115081  	
0.500000	27.8372   	0.500000	40.3696   	0.500000	37.1907   	0.500000	37.1907   	0.500000	37.1907   	0.500000	40.2642   	0.500000	0.10539   	
0.600000	28.5659   	0.600000	42.2318   	0.600000	37.768    	0.600000	37.768    	0.600000	37.768    	0.600000	42.1414   	0.600000	0.0904447 	
0.700000	28.7075   	0.700000	43.5154   	0.700000	38.006    	0.700000	38.006    	0.700000	38.0061   	0.700000	43.436    	0.700000	0.0794228 	
0.800000	29.544    	0.800000	44.2338   	0.800000	38.0502   	0.800000	38.0502   	0.800000	38.0502   	0.800000	44.1629   	0.800000	0.0709342 	
0.900000	30.0163   	0.900000	44.4825   	0.900000	37.9696   	0.900000	37.9696   	0.900000	37.9696   	0.900000	44.4183   	0.900000	0.064181  	
1.000000	30.1026   	1.000000	44.0957   	1.000000	37.8021   	1.000000	37.8021   	1.000000	37.8021   	1.000000	44.037    	1.000000	0.0586714 	
1.250000	29.8232   	1.250000	42.7626   	1.250000	37.1406   	1.250000	37.1406   	1.250000	37.1407   	1.250000	42.7141   	1.250000	0.0484763 	
1.500000	29.1735   	1.500000	41.187    	1.500000	36.2588   	1.500000	36.2588   	1.500000	36.2588   	1.500000	41.1455   	1.500000	0.041445  	
1.750000	28.1381   	1.750000	39.1691   	1.750000	35.0161   	1.750000	35.0161   	1.750000	35.0161   	1.750000	39.1328   	1.750000	0.0362838 	
2.000000	27.1041   	2.000000	37.3279   	2.000000	33.8698   	2.000000	33.8698   	2.000000	33.8698   	2.000000	37.2956   	2.000000	0.032324  	
2.250000	26.1075   	2.250000	35.5757   	2.250000	32.8008   	2.250000	32.8008   	2.250000	32.8009   	2.250000	35.5466   	2.250000	0.0291838 	
2.500000	29.0682   	2.500000	34.0575   	2.500000	31.7985   	2.500000	31.7985   	2.500000	31.7985   	2.500000	34.0309   	2.500000	0.0266288 	
3.000000	27.1899   	3.000000	31.2411   	3.000000	29.967    	3.000000	29.967    	3.000000	29.967    	3.000000	31.2184   	3.000000	0.0227147 	
3.500000	25.4987   	3.500000	29.1491   	3.500000	28.3345   	3.500000	28.3345   	3.500000	28.3345   	3.500000	29.1293   	3.500000	0.0198495 	
4.000000	23.9919   	4.000000	27.4577   	4.000000	26.871    	4.000000	26.871    	4.000000	26.871    	4.000000	27.4401   	4.000000	0.0176561 	
4.500000	22.6508   	4.500000	25.9691   	4.500000	25.5525   	4.500000	25.5525   	4.500000	25.5525   	4.500000	25.9532   	4.500000	0.01592   	
5.000000	21.4541   	5.000000	24.6462   	5.000000	24.3587   	5.000000	24.3587   	5.000000	24.3587   	5.000000	24.6317   	5.000000	0.0145097 	
5.500000	20.3818   	5.500000	23.4547   	5.500000	23.2731   	5.500000	23.2731   	5.500000	23.2731   	5.500000	23.4413   	5.500000	0.0133401 	
6.000000	19.4167   	6.000000	22.3749   	6.000000	22.2815   	6.000000	22.2815   	6.000000	22.2816   	6.000000	22.3625   	6.000000	0.0123534 	
6.500000	18.544    	6.500000	21.3916   	6.500000	21.3724   	6.500000	21.3724   	6.500000	21.3724   	6.500000	21.3801   	6.500000	0.0115093 	
7.000000	17.7513   	7.000000	20.4919   	7.000000	20.5357   	7.000000	20.5357   	7.000000	20.5358   	7.000000	20.4811   	7.000000	0.0107785 	
7.500000	17.0282   	7.500000	19.6653   	7.500000	19.7632   	7.500000	19.7632   	7.500000	19.7632   	7.500000	19.6552   	7.500000	0.0101393 	
