! 52Ti energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000113227	0.001000	0.000124424	0.001000	0.00012238	0.001000	0.00012238	0.001000	0.000122388	0.001000	2.99367e-05	0.001000	9.44873e-05	
0.002000	0.000113934	0.002000	0.00011835	0.002000	0.000118971	0.002000	0.000118971	0.002000	0.000118977	0.002000	3.88231e-05	0.002000	7.95266e-05	
0.005000	0.000116553	0.005000	0.000109629	0.005000	0.000117254	0.005000	0.000117254	0.005000	0.000117257	0.005000	5.47416e-05	0.005000	5.48878e-05	
0.008000	0.000121584	0.008000	0.000108252	0.008000	0.000121846	0.008000	0.000121846	0.008000	0.000121848	0.008000	6.52924e-05	0.008000	4.29594e-05	
0.010000	0.000125299	0.010000	0.000108816	0.010000	0.000126022	0.010000	0.000126022	0.010000	0.000126024	0.010000	7.09911e-05	0.010000	3.78246e-05	
0.015000	0.000138574	0.015000	0.000112194	0.015000	0.000137564	0.015000	0.000137564	0.015000	0.000137566	0.015000	8.26491e-05	0.015000	2.95453e-05	
0.020000	0.00015313	0.020000	0.000116591	0.020000	0.000149256	0.020000	0.000149256	0.020000	0.000149257	0.020000	9.20641e-05	0.020000	2.45265e-05	
0.025000	0.000170714	0.025000	0.000121212	0.025000	0.000160564	0.025000	0.000160564	0.025000	0.000160565	0.025000	0.000100099	0.025000	2.11124e-05	
0.030000	0.000186958	0.030000	0.000140487	0.030000	0.000175154	0.030000	0.000175154	0.030000	0.000175155	0.030000	0.000121868	0.030000	1.86185e-05	
0.035000	0.000201452	0.035000	0.000162208	0.035000	0.0001906 	0.035000	0.0001906 	0.035000	0.000190601	0.035000	0.000145502	0.035000	1.6706e-05	
0.040000	0.000213829	0.040000	0.000182803	0.040000	0.000205974	0.040000	0.000205974	0.040000	0.000205975	0.040000	0.000167754	0.040000	1.50482e-05	
0.045000	0.000224184	0.045000	0.000202372	0.045000	0.000221471	0.045000	0.000221471	0.045000	0.000221472	0.045000	0.00018855	0.045000	1.3822e-05	
0.050000	0.000232355	0.050000	0.000220861	0.050000	0.000236863	0.050000	0.000236863	0.050000	0.000236863	0.050000	0.000208062	0.050000	1.27987e-05	
0.055000	0.000245616	0.055000	0.000238466	0.055000	0.000252093	0.055000	0.000252093	0.055000	0.000252093	0.055000	0.000226535	0.055000	1.19304e-05	
0.060000	0.000257603	0.060000	0.000255367	0.060000	0.000267116	0.060000	0.000267116	0.060000	0.000267116	0.060000	0.000244183	0.060000	1.11832e-05	
0.070000	0.000278598	0.070000	0.00028752	0.070000	0.000296395	0.070000	0.000296395	0.070000	0.000296396	0.070000	0.000277559	0.070000	9.96072e-06	
0.080000	0.000301151	0.080000	0.000318586	0.080000	0.000324464	0.080000	0.000324464	0.080000	0.000324465	0.080000	0.000309586	0.080000	8.99995e-06	
0.090000	0.000320442	0.090000	0.000348433	0.090000	0.000351159	0.090000	0.000351159	0.090000	0.000351159	0.090000	0.00034021	0.090000	8.22287e-06	
0.100000	0.000337111	0.100000	0.000376411	0.100000	0.00037637	0.100000	0.00037637	0.100000	0.000376371	0.100000	0.000368831	0.100000	7.58005e-06	
0.120000	0.00035641	0.120000	0.000426714	0.120000	0.000422138	0.120000	0.000422138	0.120000	0.000422139	0.120000	0.000420138	0.120000	6.57551e-06	
0.140000	0.00037126	0.140000	0.000469839	0.140000	0.000461687	0.140000	0.000461687	0.140000	0.000461687	0.140000	0.000464015	0.140000	5.8237e-06	
0.160000	0.000383477	0.160000	0.000506595	0.160000	0.000495332	0.160000	0.000495332	0.160000	0.000495332	0.160000	0.000501357	0.160000	5.2379e-06	
0.180000	0.000394341	0.180000	0.000535401	0.180000	0.000523613	0.180000	0.000523613	0.180000	0.000523613	0.180000	0.000530633	0.180000	4.76737e-06	
0.200000	0.000405544	0.200000	0.000559668	0.200000	0.000547173	0.200000	0.000547173	0.200000	0.000547173	0.200000	0.000555287	0.200000	4.38036e-06	
0.250000	0.00042152	0.250000	0.000606909	0.250000	0.000589682	0.250000	0.000589682	0.250000	0.000589682	0.250000	0.000603253	0.250000	3.65633e-06	
0.300000	0.000437934	0.300000	0.000640674	0.300000	0.000615746	0.300000	0.000615746	0.300000	0.000615747	0.300000	0.000637524	0.300000	3.15046e-06	
0.350000	0.000463661	0.350000	0.000678628	0.350000	0.000631791	0.350000	0.000631791	0.350000	0.000631791	0.350000	0.000675852	0.350000	2.77542e-06	
0.400000	0.000485206	0.400000	0.000709868	0.400000	0.000657589	0.400000	0.000657589	0.400000	0.000657589	0.400000	0.000707383	0.400000	2.48535e-06	
0.450000	0.000503107	0.450000	0.000732909	0.450000	0.000684415	0.450000	0.000684415	0.450000	0.000684415	0.450000	0.000730655	0.450000	2.25379e-06	
0.500000	0.000517875	0.500000	0.000749864	0.500000	0.000695164	0.500000	0.000695164	0.500000	0.000695164	0.500000	0.0007478 	0.500000	2.0643e-06	
0.600000	0.000527892	0.600000	0.000779151	0.600000	0.000708076	0.600000	0.000708076	0.600000	0.000708077	0.600000	0.000777379	0.600000	1.77201e-06	
0.700000	0.000530817	0.700000	0.000802874	0.700000	0.000714278	0.700000	0.000714278	0.700000	0.000714279	0.700000	0.000801318	0.700000	1.55638e-06	
0.800000	0.000546672	0.800000	0.000816311	0.800000	0.000716574	0.800000	0.000716574	0.800000	0.000716575	0.800000	0.000814921	0.800000	1.39026e-06	
0.900000	0.00055737	0.900000	0.000822747	0.900000	0.00071632	0.900000	0.00071632	0.900000	0.000716321	0.900000	0.000821489	0.900000	1.25808e-06	
1.000000	0.000562875	1.000000	0.000822423	1.000000	0.000714268	1.000000	0.000714268	1.000000	0.000714269	1.000000	0.000821273	1.000000	1.15022e-06	
1.250000	0.000563782	1.250000	0.000807463	1.250000	0.000704026	1.250000	0.000704026	1.250000	0.000704027	1.250000	0.000806512	1.250000	9.50582e-07	
1.500000	0.000556357	1.500000	0.000784995	1.500000	0.000689504	1.500000	0.000689504	1.500000	0.000689505	1.500000	0.000784182	1.500000	8.12856e-07	
1.750000	0.000539504	1.750000	0.000751681	1.750000	0.000669015	1.750000	0.000669015	1.750000	0.000669015	1.750000	0.000750969	1.750000	7.11738e-07	
2.000000	0.000521024	2.000000	0.000718043	2.000000	0.000647856	2.000000	0.000647856	2.000000	0.000647857	2.000000	0.000717409	2.000000	6.34143e-07	
2.250000	0.000502034	2.250000	0.000684615	2.250000	0.000628082	2.250000	0.000628082	2.250000	0.000628083	2.250000	0.000684043	2.250000	5.72599e-07	
2.500000	0.000561557	2.500000	0.000654923	2.500000	0.000609502	2.500000	0.000609502	2.500000	0.000609502	2.500000	0.0006544 	2.500000	5.22518e-07	
3.000000	0.000526322	3.000000	0.000602332	3.000000	0.00057545	3.000000	0.00057545	3.000000	0.00057545	3.000000	0.000601887	3.000000	4.45784e-07	
3.500000	0.000494375	3.500000	0.000560942	3.500000	0.000544989	3.500000	0.000544989	3.500000	0.00054499	3.500000	0.000560553	3.500000	3.89602e-07	
4.000000	0.000465775	4.000000	0.00052866	4.000000	0.000517598	4.000000	0.000517598	4.000000	0.000517598	4.000000	0.000528314	4.000000	3.46588e-07	
4.500000	0.000440231	4.500000	0.000500581	4.500000	0.000492849	4.500000	0.000492849	4.500000	0.000492849	4.500000	0.000500268	4.500000	3.12537e-07	
