! 56V energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	6.59657   	0.001000	7.30335   	0.001000	7.04332   	0.001000	7.04332   	0.001000	7.04373   	0.001000	1.77905   	0.001000	5.52431   	
0.002000	6.64222   	0.002000	6.98662   	0.002000	6.82762   	0.002000	6.82762   	0.002000	6.82792   	0.002000	2.30714   	0.002000	4.67948   	
0.005000	6.77804   	0.005000	6.50772   	0.005000	6.65101   	0.005000	6.65101   	0.005000	6.65118   	0.005000	3.25313   	0.005000	3.2546    	
0.008000	7.0534    	0.008000	6.43571   	0.008000	6.85171   	0.008000	6.85171   	0.008000	6.85183   	0.008000	3.88013   	0.008000	2.55558   	
0.010000	7.2598    	0.010000	6.47196   	0.010000	7.05638   	0.010000	7.05638   	0.010000	7.05648   	0.010000	4.21878   	0.010000	2.25318   	
0.015000	7.85907   	0.015000	6.67542   	0.015000	7.64652   	0.015000	7.64652   	0.015000	7.64659   	0.015000	4.91158   	0.015000	1.76384   	
0.020000	8.64411   	0.020000	6.93728   	0.020000	8.25891   	0.020000	8.25891   	0.020000	8.25897   	0.020000	5.47108   	0.020000	1.4662    	
0.025000	9.60139   	0.025000	7.21189   	0.025000	8.85776   	0.025000	8.85776   	0.025000	8.85782   	0.025000	5.9486    	0.025000	1.26329   	
0.030000	10.4858   	0.030000	7.97549   	0.030000	9.58727   	0.030000	9.58727   	0.030000	9.58732   	0.030000	6.86064   	0.030000	1.11485   	
0.035000	11.2748   	0.035000	9.16398   	0.035000	10.4624   	0.035000	10.4624   	0.035000	10.4625   	0.035000	8.16309   	0.035000	1.00089   	
0.040000	11.9473   	0.040000	10.2875   	0.040000	11.3371   	0.040000	11.3371   	0.040000	11.3371   	0.040000	9.38564   	0.040000	0.901892  	
0.045000	12.51     	0.045000	11.3545   	0.045000	12.2225   	0.045000	12.2225   	0.045000	12.2225   	0.045000	10.5257   	0.045000	0.828753  	
0.050000	12.9533   	0.050000	12.3619   	0.050000	13.1044   	0.050000	13.1044   	0.050000	13.1044   	0.050000	11.5942   	0.050000	0.767673  	
0.055000	13.681    	0.055000	13.3211   	0.055000	13.9792   	0.055000	13.9792   	0.055000	13.9793   	0.055000	12.6053   	0.055000	0.715808  	
0.060000	14.3394   	0.060000	14.2426   	0.060000	14.844    	0.060000	14.844    	0.060000	14.8441   	0.060000	13.5714   	0.060000	0.671156  	
0.070000	15.4854   	0.070000	15.9986   	0.070000	16.5341   	0.070000	16.5341   	0.070000	16.5342   	0.070000	15.4005   	0.070000	0.598054  	
0.080000	16.7837   	0.080000	17.674    	0.080000	18.1595   	0.080000	18.1595   	0.080000	18.1595   	0.080000	17.1334   	0.080000	0.540561  	
0.090000	17.9017   	0.090000	19.3869   	0.090000	19.7094   	0.090000	19.7094   	0.090000	19.7094   	0.090000	18.8929   	0.090000	0.494034  	
0.100000	18.8734   	0.100000	20.9987   	0.100000	21.1768   	0.100000	21.1768   	0.100000	21.1768   	0.100000	20.5432   	0.100000	0.455528  	
0.120000	20.0283   	0.120000	23.911    	0.120000	23.8493   	0.120000	23.8493   	0.120000	23.8494   	0.120000	23.5157   	0.120000	0.395321  	
