! 57Cr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00012356	0.001000	0.000138108	0.001000	0.000128657	0.001000	0.000128657	0.001000	0.000128665	0.001000	3.40594e-05	0.001000	0.000104049	
0.002000	0.000124617	0.002000	0.000132895	0.002000	0.000123525	0.002000	0.000123525	0.002000	0.000123531	0.002000	4.41695e-05	0.002000	8.87256e-05	
0.005000	0.000126982	0.005000	0.000124489	0.005000	0.00011723	0.005000	0.00011723	0.005000	0.000117234	0.005000	6.22803e-05	0.005000	6.22087e-05	
0.008000	0.000131863	0.008000	0.000123299	0.008000	0.000118612	0.008000	0.000118612	0.008000	0.000118614	0.008000	7.4284e-05	0.008000	4.90154e-05	
0.010000	0.000135566	0.010000	0.000124045	0.010000	0.000121089	0.010000	0.000121089	0.010000	0.000121091	0.010000	8.07675e-05	0.010000	4.32777e-05	
0.015000	0.000145009	0.015000	0.000127988	0.015000	0.000129255	0.015000	0.000129255	0.015000	0.000129257	0.015000	9.4031e-05	0.015000	3.39574e-05	
0.020000	0.000157489	0.020000	0.00013301	0.020000	0.000138308	0.020000	0.000138308	0.020000	0.000138309	0.020000	0.000104742	0.020000	2.82675e-05	
0.025000	0.000173651	0.025000	0.000138264	0.025000	0.000147409	0.025000	0.000147409	0.025000	0.00014741	0.025000	0.000113884	0.025000	2.43798e-05	
0.030000	0.000188501	0.030000	0.000146577	0.030000	0.000157601	0.030000	0.000157601	0.030000	0.000157601	0.030000	0.000125046	0.030000	2.15312e-05	
0.035000	0.000201671	0.035000	0.000166764	0.035000	0.000173144	0.035000	0.000173144	0.035000	0.000173145	0.035000	0.000147422	0.035000	1.93418e-05	
0.040000	0.000212807	0.040000	0.000185666	0.040000	0.000188831	0.040000	0.000188831	0.040000	0.000188832	0.040000	0.000168231	0.040000	1.7435e-05	
0.045000	0.000222071	0.045000	0.00020353	0.045000	0.000204861	0.045000	0.000204861	0.045000	0.000204862	0.045000	0.000187501	0.045000	1.60283e-05	
0.050000	0.000229291	0.050000	0.000220332	0.050000	0.000220938	0.050000	0.000220938	0.050000	0.000220938	0.050000	0.00020548	0.050000	1.48527e-05	
0.055000	0.000241577	0.055000	0.000236306	0.055000	0.000236978	0.055000	0.000236978	0.055000	0.000236979	0.055000	0.000222453	0.055000	1.38537e-05	
0.060000	0.000252687	0.060000	0.000251653	0.060000	0.000252915	0.060000	0.000252915	0.060000	0.000252916	0.060000	0.00023866	0.060000	1.29932e-05	
0.070000	0.000271492	0.070000	0.000280968	0.070000	0.000284262	0.070000	0.000284262	0.070000	0.000284262	0.070000	0.000269385	0.070000	1.15834e-05	
0.080000	0.000295627	0.080000	0.000308808	0.080000	0.000314628	0.080000	0.000314628	0.080000	0.000314629	0.080000	0.000298334	0.080000	1.04739e-05	
0.090000	0.000317376	0.090000	0.0003393 	0.090000	0.000343768	0.090000	0.000343768	0.090000	0.000343769	0.090000	0.000329724	0.090000	9.5754e-06	
0.100000	0.000336494	0.100000	0.000370333	0.100000	0.00037151	0.100000	0.00037151	0.100000	0.000371511	0.100000	0.000361501	0.100000	8.83144e-06	
0.120000	0.000360395	0.120000	0.000426902	0.120000	0.000422412	0.120000	0.000422412	0.120000	0.000422412	0.120000	0.000419235	0.120000	7.66752e-06	
0.140000	0.000379276	0.140000	0.000476164	0.140000	0.000466983	0.140000	0.000466983	0.140000	0.000466984	0.140000	0.000469368	0.140000	6.79537e-06	
0.160000	0.00039587	0.160000	0.000518697	0.160000	0.000505384	0.160000	0.000505384	0.160000	0.000505384	0.160000	0.000512582	0.160000	6.11513e-06	
0.180000	0.000411966	0.180000	0.000555341	0.180000	0.000538073	0.180000	0.000538073	0.180000	0.000538074	0.180000	0.000549773	0.180000	5.56831e-06	
0.200000	0.000428244	0.200000	0.000588114	0.200000	0.000565664	0.200000	0.000565664	0.200000	0.000565665	0.200000	0.000582995	0.200000	5.11827e-06	
0.250000	0.000453695	0.250000	0.000652621	0.250000	0.000616636	0.250000	0.000616636	0.250000	0.000616636	0.250000	0.000648346	0.250000	4.27555e-06	
0.300000	0.000477045	0.300000	0.000698535	0.300000	0.00064919	0.300000	0.00064919	0.300000	0.00064919	0.300000	0.000694848	0.300000	3.68616e-06	
0.350000	0.000501484	0.350000	0.000732065	0.350000	0.000683234	0.350000	0.000683234	0.350000	0.000683234	0.350000	0.000728816	0.350000	3.24885e-06	
0.400000	0.000533066	0.400000	0.000779562	0.400000	0.000710355	0.400000	0.000710355	0.400000	0.000710355	0.400000	0.000776652	0.400000	2.91041e-06	
0.450000	0.000559569	0.450000	0.000816176	0.450000	0.000729661	0.450000	0.000729661	0.450000	0.000729661	0.450000	0.000813536	0.450000	2.64009e-06	
0.500000	0.000581719	0.500000	0.000844453	0.500000	0.000743703	0.500000	0.000743703	0.500000	0.000743703	0.500000	0.000842034	0.500000	2.4188e-06	
0.600000	0.000594907	0.600000	0.000882996	0.600000	0.000761903	0.600000	0.000761903	0.600000	0.000761904	0.600000	0.000880919	0.600000	2.07726e-06	
0.700000	0.000596443	0.700000	0.000906474	0.700000	0.000772175	0.700000	0.000772175	0.700000	0.000772176	0.700000	0.000904649	0.700000	1.82515e-06	
0.800000	0.00061304	0.800000	0.000919359	0.800000	0.000777697	0.800000	0.000777697	0.800000	0.000777698	0.800000	0.000917728	0.800000	1.63084e-06	
0.900000	0.000624163	0.900000	0.000924883	0.900000	0.000780045	0.900000	0.000780045	0.900000	0.000780045	0.900000	0.000923407	0.900000	1.47617e-06	
1.000000	0.0006312 	1.000000	0.000925348	1.000000	0.00078011	1.000000	0.00078011	1.000000	0.000780111	1.000000	0.000923998	1.000000	1.34991e-06	
1.250000	0.000626686	1.250000	0.000899291	1.250000	0.000773627	1.250000	0.000773627	1.250000	0.000773627	1.250000	0.000898175	1.250000	1.11612e-06	
1.500000	0.000614172	1.500000	0.000866418	1.500000	0.000761356	1.500000	0.000761356	1.500000	0.000761356	1.500000	0.000865463	1.500000	9.54735e-07	
1.750000	0.00059912	1.750000	0.000834307	1.750000	0.000746014	1.750000	0.000746014	1.750000	0.000746014	1.750000	0.00083347	1.750000	8.36201e-07	
2.000000	0.000577615	2.000000	0.000795553	2.000000	0.000724573	2.000000	0.000724573	2.000000	0.000724574	2.000000	0.000794808	2.000000	7.4521e-07	
2.250000	0.000558736	2.250000	0.000761462	2.250000	0.000703848	2.250000	0.000703848	2.250000	0.000703849	2.250000	0.000760789	2.250000	6.73021e-07	
2.500000	0.000640335	2.500000	0.000732083	2.500000	0.000684293	2.500000	0.000684293	2.500000	0.000684294	2.500000	0.000731469	2.500000	6.14262e-07	
3.000000	0.000602387	3.000000	0.000682038	3.000000	0.000648253	3.000000	0.000648253	3.000000	0.000648253	3.000000	0.000681514	3.000000	5.24205e-07	
3.500000	0.000567507	3.500000	0.000636044	3.500000	0.000615793	3.500000	0.000615793	3.500000	0.000615793	3.500000	0.000635586	3.500000	4.58246e-07	
4.000000	0.000535994	4.000000	0.00059892	4.000000	0.000586428	4.000000	0.000586428	4.000000	0.000586429	4.000000	0.000598512	4.000000	4.07733e-07	
4.500000	0.000507656	4.500000	0.000568215	4.500000	0.000559758	4.500000	0.000559758	4.500000	0.000559758	4.500000	0.000567847	4.500000	3.67735e-07	
5.000000	0.000482167	5.000000	0.000540915	5.000000	0.000535439	5.000000	0.000535439	5.000000	0.000535439	5.000000	0.00054058	5.000000	3.35233e-07	
5.500000	0.000459179	5.500000	0.00051636	5.500000	0.00051318	5.500000	0.00051318	5.500000	0.00051318	5.500000	0.000516051	5.500000	3.0827e-07	
6.000000	0.000438375	6.000000	0.000494119	6.000000	0.000492732	6.000000	0.000492732	6.000000	0.000492732	6.000000	0.000493834	6.000000	2.85521e-07	
6.500000	0.000419475	6.500000	0.000473744	6.500000	0.000473883	6.500000	0.000473883	6.500000	0.000473883	6.500000	0.000473478	6.500000	2.66054e-07	
7.000000	0.000402239	7.000000	0.000455007	7.000000	0.000456453	7.000000	0.000456453	7.000000	0.000456453	7.000000	0.000454758	7.000000	2.49196e-07	
7.500000	0.000386459	7.500000	0.000437717	7.500000	0.000440285	7.500000	0.000440285	7.500000	0.000440286	7.500000	0.000437483	7.500000	2.34448e-07	
8.000000	0.000371961	8.000000	0.00042171	8.000000	0.000425247	8.000000	0.000425247	8.000000	0.000425248	8.000000	0.000421488	8.000000	2.2143e-07	
8.500000	0.000358596	8.500000	0.000406842	8.500000	0.000411223	8.500000	0.000411223	8.500000	0.000411223	8.500000	0.000406633	8.500000	2.09851e-07	
9.000000	0.000346235	9.000000	0.000392997	9.000000	0.000398112	9.000000	0.000398112	9.000000	0.000398112	9.000000	0.000392798	9.000000	1.9948e-07	
9.500000	0.000334769	9.500000	0.000380072	9.500000	0.000385826	9.500000	0.000385826	9.500000	0.000385826	9.500000	0.000379882	9.500000	1.90135e-07	
10.000000	0.000324103	10.000000	0.00035267	10.000000	0.000374289	10.000000	0.000374289	10.000000	0.00037429	10.000000	0.000352488	10.000000	1.81668e-07	
11.000000	0.000304856	11.000000	0.000336112	11.000000	0.000351563	11.000000	0.000353628	11.000000	0.000354065	11.000000	0.000335946	11.000000	1.66909e-07	
