! 59Mn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	7.13391   	0.001000	8.045     	0.001000	7.31914   	0.001000	7.31914   	0.001000	7.31962   	0.001000	2.00461   	0.001000	6.04039   	
0.002000	7.20268   	0.002000	7.78268   	0.002000	6.99137   	0.002000	6.99137   	0.002000	6.99173   	0.002000	2.59966   	0.002000	5.18303   	
0.005000	7.32468   	0.005000	7.3274    	0.005000	6.52095   	0.005000	6.52095   	0.005000	6.52116   	0.005000	3.66559   	0.005000	3.66181   	
0.008000	7.58853   	0.008000	7.26672   	0.008000	6.51116   	0.008000	6.51116   	0.008000	6.5113    	0.008000	4.37209   	0.008000	2.89463   	
0.010000	7.79193   	0.010000	7.31297   	0.010000	6.60267   	0.010000	6.60267   	0.010000	6.6028    	0.010000	4.75368   	0.010000	2.55929   	
0.015000	8.31587   	0.015000	7.54688   	0.015000	6.96465   	0.015000	6.96465   	0.015000	6.96474   	0.015000	5.53432   	0.015000	2.01256   	
0.020000	8.91173   	0.020000	7.84238   	0.020000	7.39578   	0.020000	7.39578   	0.020000	7.39586   	0.020000	6.16476   	0.020000	1.67762   	
0.025000	9.78903   	0.025000	8.15109   	0.025000	7.84136   	0.025000	7.84136   	0.025000	7.84142   	0.025000	6.70282   	0.025000	1.44827   	
0.030000	10.5942   	0.030000	8.45709   	0.030000	8.28324   	0.030000	8.28324   	0.030000	8.28329   	0.030000	7.17712   	0.030000	1.27997   	
0.035000	11.3072   	0.035000	9.4563    	0.035000	9.08601   	0.035000	9.08601   	0.035000	9.08605   	0.035000	8.30584   	0.035000	1.15046   	
0.040000	11.9158   	0.040000	10.4954   	0.040000	9.96482   	0.040000	9.96482   	0.040000	9.96487   	0.040000	9.44808   	0.040000	1.0473    	
0.045000	12.4072   	0.045000	11.4567   	0.045000	10.8499   	0.045000	10.8499   	0.045000	10.85     	0.045000	10.5026   	0.045000	0.954102  	
0.050000	12.7946   	0.050000	12.3689   	0.050000	11.7526   	0.050000	11.7526   	0.050000	11.7526   	0.050000	11.4844   	0.050000	0.884442  	
0.055000	13.4654   	0.055000	13.2357   	0.055000	12.6575   	0.055000	12.6575   	0.055000	12.6575   	0.055000	12.4105   	0.055000	0.825214  	
0.060000	14.0721   	0.060000	14.0687   	0.060000	13.5602   	0.060000	13.5602   	0.060000	13.5603   	0.060000	13.2946   	0.060000	0.774167  	
0.070000	15.1002   	0.070000	15.6624   	0.070000	15.345    	0.070000	15.345    	0.070000	15.345    	0.070000	14.9719   	0.070000	0.690482  	
0.080000	16.327    	0.080000	17.1802   	0.080000	17.0841   	0.080000	17.0841   	0.080000	17.0841   	0.080000	16.5556   	0.080000	0.624569  	
0.090000	17.5763   	0.090000	18.6998   	0.090000	18.7612   	0.090000	18.7612   	0.090000	18.7612   	0.090000	18.1286   	0.090000	0.571164  	
0.100000	18.6807   	0.100000	20.4707   	0.100000	20.3648   	0.100000	20.3648   	0.100000	20.3648   	0.100000	19.9438   	0.100000	0.526923  	
0.120000	20.0921   	0.120000	23.7163   	0.120000	23.324    	0.120000	23.324    	0.120000	23.324    	0.120000	23.2586   	0.120000	0.457669  	
0.140000	21.2179   	0.140000	26.5609   	0.140000	25.9332   	0.140000	25.9332   	0.140000	25.9332   	0.140000	26.1552   	0.140000	0.405742  	
0.160000	22.2103   	0.160000	29.0311   	0.160000	28.1957   	0.160000	28.1957   	0.160000	28.1958   	0.160000	28.6659   	0.160000	0.365223  	
0.180000	23.1493   	0.180000	31.1704   	0.180000	30.134    	0.180000	30.134    	0.180000	30.134    	0.180000	30.8377   	0.180000	0.332639  	
0.200000	24.1959   	0.200000	33.1003   	0.200000	31.7803   	0.200000	31.7803   	0.200000	31.7804   	0.200000	32.7945   	0.200000	0.305812  	
0.250000	25.917    	0.250000	37.2234   	0.250000	34.8558   	0.250000	34.8558   	0.250000	34.8558   	0.250000	36.9679   	0.250000	0.255557  	
0.300000	27.4486   	0.300000	40.1805   	0.300000	36.856    	0.300000	36.856    	0.300000	36.856    	0.300000	39.9601   	0.300000	0.220391  	
