! 63Fe energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000133417	0.001000	0.000151621	0.001000	0.000135998	0.001000	0.000135998	0.001000	0.000136006	0.001000	3.80596e-05	0.001000	0.000113562	
0.002000	0.000134735	0.002000	0.000147359	0.002000	0.00012973	0.002000	0.00012973	0.002000	0.000129736	0.002000	4.93571e-05	0.002000	9.80017e-05	
0.005000	0.000136611	0.005000	0.000139323	0.005000	0.000119893	0.005000	0.000119893	0.005000	0.000119897	0.005000	6.95949e-05	0.005000	6.97285e-05	
0.008000	0.000141146	0.008000	0.000138296	0.008000	0.000118741	0.008000	0.000118741	0.008000	0.000118743	0.008000	8.30085e-05	0.008000	5.52874e-05	
0.010000	0.000144724	0.010000	0.000139198	0.010000	0.000119888	0.010000	0.000119888	0.010000	0.00011989	0.010000	9.02534e-05	0.010000	4.8945e-05	
0.015000	0.000154066	0.015000	0.000143643	0.015000	0.000125455	0.015000	0.000125455	0.015000	0.000125457	0.015000	0.000105075	0.015000	3.85686e-05	
0.020000	0.000163532	0.020000	0.000149235	0.020000	0.000132518	0.020000	0.000132518	0.020000	0.00013252	0.020000	0.000117044	0.020000	3.21908e-05	
0.025000	0.00017893	0.025000	0.000155074	0.025000	0.000139984	0.025000	0.000139984	0.025000	0.000139985	0.025000	0.00012726	0.025000	2.78147e-05	
0.030000	0.000193041	0.030000	0.000160864	0.030000	0.000147474	0.030000	0.000147474	0.030000	0.000147475	0.030000	0.000136265	0.030000	2.45987e-05	
0.035000	0.000205512	0.035000	0.000173919	0.035000	0.000159254	0.035000	0.000159254	0.035000	0.000159255	0.035000	0.000151797	0.035000	2.21215e-05	
0.040000	0.00021613	0.040000	0.000192245	0.040000	0.000175134	0.040000	0.000175134	0.040000	0.000175135	0.040000	0.000172099	0.040000	2.01465e-05	
0.045000	0.000224656	0.045000	0.000209134	0.045000	0.000191198	0.045000	0.000191198	0.045000	0.000191199	0.045000	0.000190775	0.045000	1.83586e-05	
0.050000	0.000231358	0.050000	0.000225148	0.050000	0.000207661	0.050000	0.000207661	0.050000	0.000207662	0.050000	0.000208124	0.050000	1.70241e-05	
0.055000	0.000243194	0.055000	0.000240355	0.055000	0.00022422	0.055000	0.00022422	0.055000	0.00022422	0.055000	0.000224466	0.055000	1.58887e-05	
0.060000	0.000253902	0.060000	0.000254972	0.060000	0.000240786	0.060000	0.000240786	0.060000	0.000240787	0.060000	0.000240063	0.060000	1.49097e-05	
0.070000	0.000272058	0.070000	0.000282976	0.070000	0.00027366	0.070000	0.00027366	0.070000	0.00027366	0.070000	0.000269673	0.070000	1.33036e-05	
0.080000	0.000291961	0.080000	0.000309724	0.080000	0.000305823	0.080000	0.000305823	0.080000	0.000305823	0.080000	0.000297686	0.080000	1.20378e-05	
0.090000	0.000314397	0.090000	0.000335316	0.090000	0.000336946	0.090000	0.000336946	0.090000	0.000336947	0.090000	0.000324304	0.090000	1.10116e-05	
0.100000	0.000335001	0.100000	0.000365457	0.100000	0.000366796	0.100000	0.000366796	0.100000	0.000366797	0.100000	0.000355296	0.100000	1.01611e-05	
0.120000	0.000361884	0.120000	0.000425595	0.120000	0.000422098	0.120000	0.000422098	0.120000	0.000422098	0.120000	0.000416766	0.120000	8.82905e-06	
0.140000	0.000383525	0.140000	0.000478645	0.140000	0.000471092	0.140000	0.000471092	0.140000	0.000471093	0.140000	0.000470815	0.140000	7.82971e-06	
0.160000	0.000402659	0.160000	0.000524977	0.160000	0.000513768	0.160000	0.000513768	0.160000	0.000513768	0.160000	0.000517927	0.160000	7.04955e-06	
0.180000	0.000420743	0.180000	0.00056531	0.180000	0.000550485	0.180000	0.000550485	0.180000	0.000550486	0.180000	0.000558888	0.180000	6.42194e-06	
0.200000	0.000440366	0.200000	0.00060044	0.200000	0.00058181	0.200000	0.00058181	0.200000	0.00058181	0.200000	0.000594535	0.200000	5.90507e-06	
0.250000	0.000478955	0.250000	0.000686233	0.250000	0.000640774	0.250000	0.000640774	0.250000	0.000640775	0.250000	0.000681297	0.250000	4.93641e-06	
0.300000	0.000512381	0.300000	0.000749631	0.300000	0.000679605	0.300000	0.000679605	0.300000	0.000679606	0.300000	0.000745373	0.300000	4.25826e-06	
0.350000	0.000541209	0.350000	0.000796276	0.350000	0.000715834	0.350000	0.000715834	0.350000	0.000715834	0.350000	0.000792522	0.350000	3.75472e-06	
0.400000	0.000571776	0.400000	0.000835861	0.400000	0.000747695	0.400000	0.000747695	0.400000	0.000747695	0.400000	0.000832497	0.400000	3.3648e-06	
0.450000	0.00060452	0.450000	0.000882145	0.450000	0.000771004	0.450000	0.000771004	0.450000	0.000771004	0.450000	0.000879092	0.450000	3.0532e-06	
0.500000	0.000632221	0.500000	0.000918834	0.500000	0.00078847	0.500000	0.00078847	0.500000	0.000788471	0.500000	0.000916036	0.500000	2.79801e-06	
0.600000	0.000652713	0.600000	0.00097104	0.600000	0.000812236	0.600000	0.000812236	0.600000	0.000812236	0.600000	0.000968636	0.600000	2.40397e-06	
0.700000	0.000657499	0.700000	0.00100295	0.700000	0.000826853	0.700000	0.000826853	0.700000	0.000826854	0.700000	0.00100084	0.700000	2.11294e-06	
0.800000	0.00067608	0.800000	0.00101733	0.800000	0.000835862	0.800000	0.000835862	0.800000	0.000835863	0.800000	0.00101544	0.800000	1.88853e-06	
0.900000	0.000688719	0.900000	0.00102374	0.900000	0.000841057	0.900000	0.000841057	0.900000	0.000841058	0.900000	0.00102203	0.900000	1.70983e-06	
1.000000	0.000696914	1.000000	0.00102465	1.000000	0.000843472	1.000000	0.000843472	1.000000	0.000843472	1.000000	0.00102309	1.000000	1.56391e-06	
1.250000	0.000695262	1.250000	0.00100134	1.250000	0.000841265	1.250000	0.000841265	1.250000	0.000841266	1.250000	0.00100005	1.250000	1.2936e-06	
1.500000	0.000674872	1.500000	0.000952943	1.500000	0.00083169	1.500000	0.00083169	1.500000	0.00083169	1.500000	0.000951836	1.500000	1.10692e-06	
1.750000	0.000654892	1.750000	0.000911486	1.750000	0.000818004	1.750000	0.000818004	1.750000	0.000818004	1.750000	0.000910516	1.750000	9.69742e-07	
2.000000	0.000635387	2.000000	0.000874819	2.000000	0.000801513	2.000000	0.000801513	2.000000	0.000801513	2.000000	0.000873954	2.000000	8.64408e-07	
2.250000	0.000616737	2.250000	0.000840374	2.250000	0.000779983	2.250000	0.000779983	2.250000	0.000779984	2.250000	0.000839593	2.250000	7.80817e-07	
2.500000	0.000721763	2.500000	0.000809828	2.500000	0.000759587	2.500000	0.000759587	2.500000	0.000759587	2.500000	0.000809115	2.500000	7.12762e-07	
3.000000	0.000681284	3.000000	0.000755855	3.000000	0.000721788	3.000000	0.000721788	3.000000	0.000721789	3.000000	0.000755246	3.000000	6.08427e-07	
3.500000	0.000643577	3.500000	0.000710933	3.500000	0.000687523	3.500000	0.000687523	3.500000	0.000687523	3.500000	0.000710401	3.500000	5.31987e-07	
4.000000	0.000609207	4.000000	0.000672466	4.000000	0.000656351	4.000000	0.000656351	4.000000	0.000656351	4.000000	0.000671993	4.000000	4.7343e-07	
4.500000	0.000578103	4.500000	0.000638776	4.500000	0.0006279 	4.500000	0.0006279 	4.500000	0.0006279 	4.500000	0.000638349	4.500000	4.27054e-07	
5.000000	0.000549985	5.000000	0.000608812	5.000000	0.000601844	5.000000	0.000601844	5.000000	0.000601844	5.000000	0.000608422	5.000000	3.89362e-07	
5.500000	0.000524525	5.500000	0.000581862	5.500000	0.000577902	5.500000	0.000577902	5.500000	0.000577902	5.500000	0.000581504	5.500000	3.58088e-07	
6.000000	0.000501407	6.000000	0.000557417	6.000000	0.00055583	6.000000	0.00055583	6.000000	0.000555831	6.000000	0.000557086	6.000000	3.31697e-07	
6.500000	0.000480344	6.500000	0.000535095	6.500000	0.00053542	6.500000	0.00053542	6.500000	0.00053542	6.500000	0.000534786	6.500000	3.09112e-07	
