! 64Co energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	7.67332   	0.001000	8.78084   	0.001000	7.72024   	0.001000	7.72024   	0.001000	7.72074   	0.001000	2.22114   	0.001000	6.5597    	
0.002000	7.76263   	0.002000	8.57492   	0.002000	7.33563   	0.002000	7.33563   	0.002000	7.33601   	0.002000	2.88046   	0.002000	5.69446   	
0.005000	7.86452   	0.005000	8.14307   	0.005000	6.67635   	0.005000	6.67635   	0.005000	6.67657   	0.005000	4.06152   	0.005000	4.08155   	
0.008000	8.11157   	0.008000	8.0909    	0.008000	6.52872   	0.008000	6.52872   	0.008000	6.52887   	0.008000	4.84433   	0.008000	3.24656   	
0.010000	8.30894   	0.010000	8.14514   	0.010000	6.54753   	0.010000	6.54753   	0.010000	6.54766   	0.010000	5.26715   	0.010000	2.87799   	
0.015000	8.82859   	0.015000	8.40489   	0.015000	6.767     	0.015000	6.767     	0.015000	6.7671    	0.015000	6.1321    	0.015000	2.27278   	
0.020000	9.33838   	0.020000	8.73014   	0.020000	7.08896   	0.020000	7.08896   	0.020000	7.08904   	0.020000	6.83064   	0.020000	1.8995    	
0.025000	10.0986   	0.025000	9.06963   	0.025000	7.4448    	0.025000	7.4448    	0.025000	7.44486   	0.025000	7.42682   	0.025000	1.64281   	
0.030000	10.8608   	0.030000	9.40625   	0.030000	7.80964   	0.030000	7.80964   	0.030000	7.8097    	0.030000	7.95236   	0.030000	1.45389   	
0.035000	11.5325   	0.035000	9.88129   	0.035000	8.27255   	0.035000	8.27255   	0.035000	8.2726    	0.035000	8.57309   	0.035000	1.3082    	
0.040000	12.1026   	0.040000	10.878    	0.040000	9.13982   	0.040000	9.13982   	0.040000	9.13986   	0.040000	9.68602   	0.040000	1.19195   	
0.045000	12.5575   	0.045000	11.7923   	0.045000	10.0236   	0.045000	10.0236   	0.045000	10.0236   	0.045000	10.7058   	0.045000	1.08646   	
0.050000	12.9135   	0.050000	12.6585   	0.050000	10.9363   	0.050000	10.9363   	0.050000	10.9363   	0.050000	11.6506   	0.050000	1.00785   	
0.055000	13.5567   	0.055000	13.4802   	0.055000	11.8593   	0.055000	11.8593   	0.055000	11.8594   	0.055000	12.5393   	0.055000	0.940925  	
0.060000	14.1386   	0.060000	14.2701   	0.060000	12.7871   	0.060000	12.7871   	0.060000	12.7872   	0.060000	13.3869   	0.060000	0.883185  	
0.070000	15.1255   	0.070000	15.7854   	0.070000	14.6391   	0.070000	14.6391   	0.070000	14.6391   	0.070000	14.997    	0.070000	0.788403  	
0.080000	16.2143   	0.080000	17.2367   	0.080000	16.4629   	0.080000	16.4629   	0.080000	16.4629   	0.080000	16.5231   	0.080000	0.713644  	
