! 68Ni energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000143476	0.001000	0.000164727	0.001000	0.000146024	0.001000	0.000146024	0.001000	0.000146033	0.001000	4.19008e-05	0.001000	0.000122826	
0.002000	0.000145342	0.002000	0.000161534	0.002000	0.00014   	0.002000	0.00014   	0.002000	0.000140007	0.002000	5.43387e-05	0.002000	0.000107195	
0.005000	0.00014713	0.005000	0.000153968	0.005000	0.000129216	0.005000	0.000129216	0.005000	0.00012922	0.005000	7.6619e-05	0.005000	7.73487e-05	
0.008000	0.000151516	0.008000	0.000153091	0.008000	0.000127312	0.008000	0.000127312	0.008000	0.000127314	0.008000	9.13864e-05	0.008000	6.17046e-05	
0.010000	0.000155064	0.010000	0.000154129	0.010000	0.000128117	0.010000	0.000128117	0.010000	0.00012812	0.010000	9.93625e-05	0.010000	5.47668e-05	
0.015000	0.000164484	0.015000	0.000159016	0.015000	0.000133171	0.015000	0.000133171	0.015000	0.000133173	0.015000	0.00011568	0.015000	4.33362e-05	
0.020000	0.000173781	0.020000	0.00016512	0.020000	0.000139996	0.020000	0.000139996	0.020000	0.000139997	0.020000	0.000128857	0.020000	3.62632e-05	
0.025000	0.000185625	0.025000	0.000171494	0.025000	0.000147366	0.025000	0.000147366	0.025000	0.000147367	0.025000	0.000140104	0.025000	3.13898e-05	
0.030000	0.000200325	0.030000	0.000177816	0.030000	0.000154843	0.030000	0.000154843	0.030000	0.000154844	0.030000	0.000150018	0.030000	2.7798e-05	
0.035000	0.000213413	0.035000	0.000183971	0.035000	0.00016225	0.035000	0.00016225	0.035000	0.000162251	0.035000	0.000158945	0.035000	2.50252e-05	
0.040000	0.000224636	0.040000	0.000201402	0.040000	0.000177378	0.040000	0.000177378	0.040000	0.000177379	0.040000	0.000178591	0.040000	2.28108e-05	
0.045000	0.000233861	0.045000	0.000219432	0.045000	0.000194141	0.045000	0.000194141	0.045000	0.000194141	0.045000	0.000198436	0.045000	2.0996e-05	
0.050000	0.000240911	0.050000	0.000236206	0.050000	0.000211017	0.050000	0.000211017	0.050000	0.000211018	0.050000	0.000216908	0.050000	1.92986e-05	
0.055000	0.000253441	0.055000	0.000252354	0.055000	0.000228253	0.055000	0.000228253	0.055000	0.000228253	0.055000	0.000234331	0.055000	1.80223e-05	
0.060000	0.000264812	0.060000	0.000267892	0.060000	0.000245548	0.060000	0.000245548	0.060000	0.000245549	0.060000	0.000250972	0.060000	1.69206e-05	
