! 69Cu energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	8.23579   	0.001000	9.49991   	0.001000	8.3795    	0.001000	8.3795    	0.001000	8.38002   	0.001000	2.4293    	0.001000	7.07061   	
0.002000	8.35976   	0.002000	9.35514   	0.002000	8.05569   	0.002000	8.05569   	0.002000	8.05609   	0.002000	3.15042   	0.002000	6.20472   	
0.005000	8.46256   	0.005000	8.95052   	0.005000	7.43487   	0.005000	7.43487   	0.005000	7.4351    	0.005000	4.44217   	0.005000	4.50835   	
0.008000	8.70393   	0.008000	8.90582   	0.008000	7.30921   	0.008000	7.30921   	0.008000	7.30938   	0.008000	5.29835   	0.008000	3.60747   	
0.010000	8.90079   	0.010000	8.96678   	0.010000	7.34465   	0.010000	7.34465   	0.010000	7.34479   	0.010000	5.76078   	0.010000	3.206     	
0.015000	9.42679   	0.015000	9.24896   	0.015000	7.61091   	0.015000	7.61091   	0.015000	7.61102   	0.015000	6.70681   	0.015000	2.54215   	
0.020000	9.94877   	0.020000	9.6008    	0.020000	7.98287   	0.020000	7.98287   	0.020000	7.98296   	0.020000	7.47081   	0.020000	2.12999   	
0.025000	10.4729   	0.025000	9.96827   	0.025000	8.38911   	0.025000	8.38911   	0.025000	8.38919   	0.025000	8.12286   	0.025000	1.84541   	
0.030000	11.3038   	0.030000	10.333    	0.030000	8.80361   	0.030000	8.80361   	0.030000	8.80368   	0.030000	8.69765   	0.030000	1.63535   	
0.035000	12.0466   	0.035000	10.6883   	0.035000	9.21562   	0.035000	9.21562   	0.035000	9.21567   	0.035000	9.21525   	0.035000	1.47301   	
0.040000	12.6858   	0.040000	11.4163   	0.040000	9.89133   	0.040000	9.89133   	0.040000	9.89138   	0.040000	10.0731   	0.040000	1.34326   	
0.045000	13.2132   	0.045000	12.4427   	0.045000	10.8345   	0.045000	10.8345   	0.045000	10.8346   	0.045000	11.2059   	0.045000	1.23684   	
0.050000	13.618    	0.050000	13.3986   	0.050000	11.7857   	0.050000	11.7857   	0.050000	11.7857   	0.050000	12.2615   	0.050000	1.1371    	
0.055000	14.3324   	0.055000	14.3203   	0.055000	12.7596   	0.055000	12.7596   	0.055000	12.7597   	0.055000	13.2581   	0.055000	1.06222   	
0.060000	14.9818   	0.060000	15.2078   	0.060000	13.7385   	0.060000	13.7385   	0.060000	13.7385   	0.060000	14.2103   	0.060000	0.997547  	
0.070000	16.0902   	0.070000	16.9105   	0.070000	15.692    	0.070000	15.692    	0.070000	15.6921   	0.070000	16.0192   	0.070000	0.89125   	
0.080000	17.3016   	0.080000	18.5376   	0.080000	17.6156   	0.080000	17.6156   	0.080000	17.6157   	0.080000	17.7304   	0.080000	0.80729   	
0.090000	18.3532   	0.090000	20.0944   	0.090000	19.4872   	0.090000	19.4872   	0.090000	19.4872   	0.090000	19.3553   	0.090000	0.73911   	
0.100000	19.4135   	0.100000	21.5781   	0.100000	21.2907   	0.100000	21.2907   	0.100000	21.2907   	0.100000	20.8956   	0.100000	0.682524  	
0.120000	21.1016   	0.120000	24.8677   	0.120000	24.6528   	0.120000	24.6528   	0.120000	24.6528   	0.120000	24.2739   	0.120000	0.593753  	
0.140000	22.478    	0.140000	28.1073   	0.140000	27.6544   	0.140000	27.6544   	0.140000	27.6544   	0.140000	27.5803   	0.140000	0.527036  	
0.160000	23.7009   	0.160000	30.9571   	0.160000	30.2878   	0.160000	30.2878   	0.160000	30.2878   	0.160000	30.4822   	0.160000	0.474879  	
0.180000	24.8564   	0.180000	33.4542   	0.180000	32.5697   	0.180000	32.5697   	0.180000	32.5698   	0.180000	33.0213   	0.180000	0.432875  	
0.200000	25.9858   	0.200000	35.6426   	0.200000	34.5307   	0.200000	34.5307   	0.200000	34.5308   	0.200000	35.2443   	0.200000	0.398249  	
0.250000	28.1204   	0.250000	40.269    	0.250000	38.2705   	0.250000	38.2705   	0.250000	38.2705   	0.250000	39.9357   	0.250000	0.333276  	
0.300000	30.2353   	0.300000	44.2016   	0.300000	40.7872   	0.300000	40.7872   	0.300000	40.7873   	0.300000	43.9138   	0.300000	0.287723  	
0.350000	32.0774   	0.350000	47.1535   	0.350000	42.5143   	0.350000	42.5143   	0.350000	42.5143   	0.350000	46.8996   	0.350000	0.253862  	
0.400000	33.6669   	0.400000	49.3993   	0.400000	44.2584   	0.400000	44.2584   	0.400000	44.2585   	0.400000	49.1717   	0.400000	0.227618  	
0.450000	35.0725   	0.450000	51.1259   	0.450000	45.8952   	0.450000	45.8952   	0.450000	45.8953   	0.450000	50.9192   	0.450000	0.206631  	
0.500000	36.407    	0.500000	52.751    	0.500000	47.1612   	0.500000	47.1612   	0.500000	47.1612   	0.500000	52.5616   	0.500000	0.189433  	
0.600000	37.2091   	0.600000	55.0192   	0.600000	48.968    	0.600000	48.968    	0.600000	48.9681   	0.600000	54.8564   	0.600000	0.162858  	
0.700000	37.2968   	0.700000	56.3925   	0.700000	50.1656   	0.700000	50.1656   	0.700000	50.1656   	0.700000	56.2493   	0.700000	0.143213  	
0.800000	38.4208   	0.800000	57.1964   	0.800000	50.9795   	0.800000	50.9795   	0.800000	50.9795   	0.800000	57.0683   	0.800000	0.128056  	
0.900000	39.4964   	0.900000	58.0986   	0.900000	51.5271   	0.900000	51.5271   	0.900000	51.5272   	0.900000	57.9826   	0.900000	0.11598   	
1.000000	40.2809   	1.000000	58.6227   	1.000000	51.8777   	1.000000	51.8777   	1.000000	51.8778   	1.000000	58.5166   	1.000000	0.106114  	
1.250000	41.2603   	1.250000	58.88     	1.250000	52.1588   	1.250000	52.1588   	1.250000	52.1588   	1.250000	58.7922   	1.250000	0.0878266 	
1.500000	41.1821   	1.500000	57.8939   	1.500000	51.8927   	1.500000	51.8927   	1.500000	51.8927   	1.500000	57.8187   	1.500000	0.0751875 	
1.750000	40.6081   	1.750000	56.3833   	1.750000	51.3064   	1.750000	51.3064   	1.750000	51.3065   	1.750000	56.3174   	1.750000	0.0658948 	
2.000000	39.8793   	2.000000	54.8378   	2.000000	50.5321   	2.000000	50.5321   	2.000000	50.5321   	2.000000	54.779    	2.000000	0.0587558 	
2.250000	39.1345   	2.250000	53.3123   	2.250000	49.6501   	2.250000	49.6501   	2.250000	49.6501   	2.250000	53.2592   	2.250000	0.0530881 	
2.500000	47.1356   	2.500000	51.5968   	2.500000	48.5006   	2.500000	48.5006   	2.500000	48.5006   	2.500000	51.5483   	2.500000	0.0484723 	
3.000000	44.6944   	3.000000	48.5204   	3.000000	46.277    	3.000000	46.277    	3.000000	46.277    	3.000000	48.479    	3.000000	0.0413929 	
3.500000	42.3753   	3.500000	45.9533   	3.500000	44.2422   	3.500000	44.2422   	3.500000	44.2422   	3.500000	45.9171   	3.500000	0.0362038 	
4.000000	40.2345   	4.000000	43.641    	4.000000	42.3763   	4.000000	42.3763   	4.000000	42.3763   	4.000000	43.6088   	4.000000	0.0322273 	
4.500000	38.2793   	4.500000	41.4989   	4.500000	40.6615   	4.500000	40.6615   	4.500000	40.6615   	4.500000	41.4698   	4.500000	0.0290768 	
5.000000	36.4994   	5.000000	39.6091   	5.000000	39.0815   	5.000000	39.0815   	5.000000	39.0815   	5.000000	39.5826   	5.000000	0.0265157 	
5.500000	34.8786   	5.500000	37.9131   	5.500000	37.6217   	5.500000	37.6217   	5.500000	37.6218   	5.500000	37.8887   	5.500000	0.0243901 	
6.000000	33.4      	6.000000	36.3792   	6.000000	36.2695   	6.000000	36.2695   	6.000000	36.2695   	6.000000	36.3566   	6.000000	0.022596  	
6.500000	32.0476   	6.500000	34.9822   	6.500000	35.0135   	6.500000	35.0135   	6.500000	35.0135   	6.500000	34.9612   	6.500000	0.0210604 	
7.000000	30.8068   	7.000000	33.7008   	7.000000	33.8438   	7.000000	33.8438   	7.000000	33.8438   	7.000000	33.6811   	7.000000	0.0197301 	
7.500000	29.6651   	7.500000	32.5209   	7.500000	32.7518   	7.500000	32.7518   	7.500000	32.7518   	7.500000	32.5023   	7.500000	0.0185661 	
8.000000	28.6112   	8.000000	31.4258   	8.000000	31.73     	8.000000	31.73     	8.000000	31.73     	8.000000	31.4082   	8.000000	0.0175383 	
8.500000	27.6356   	8.500000	30.4057   	8.500000	30.7717   	8.500000	30.7717   	8.500000	30.7717   	8.500000	30.3891   	8.500000	0.0166239 	
9.000000	26.73     	9.000000	29.4526   	9.000000	29.8712   	9.000000	29.8712   	9.000000	29.8712   	9.000000	29.4367   	9.000000	0.0158048 	
9.500000	25.887    	9.500000	28.5595   	9.500000	29.0232   	9.500000	29.0232   	9.500000	29.0232   	9.500000	28.5444   	9.500000	0.0150666 	
10.000000	25.1004   	10.000000	26.5676   	10.000000	28.2232   	10.000000	28.2232   	10.000000	28.2232   	10.000000	26.5532   	10.000000	0.0143976 	
11.000000	23.6749   	11.000000	25.4383   	11.000000	26.5983   	11.000000	26.7889   	11.000000	26.8533   	11.000000	25.4251   	11.000000	0.0132312 	
12.000000	22.417    	12.000000	24.3937   	12.000000	25.1631   	12.000000	25.5046   	12.000000	25.6069   	12.000000	24.3815   	12.000000	0.0122478 	
13.000000	21.2985   	13.000000	23.4279   	13.000000	23.887    	13.000000	24.3487   	13.000000	24.4704   	13.000000	23.4165   	13.000000	0.0114069 	
14.000000	20.297    	14.000000	22.5342   	14.000000	22.7455   	14.000000	23.3035   	14.000000	23.4317   	14.000000	22.5235   	14.000000	0.0106792 	
15.000000	19.3948   	15.000000	21.7062   	15.000000	21.7193   	15.000000	22.3542   	15.000000	22.48     	15.000000	21.6961   	15.000000	0.0100429 	
16.000000	18.5774   	16.000000	20.9375   	16.000000	20.7927   	16.000000	21.4886   	16.000000	21.606    	16.000000	20.928    	16.000000	0.00948151	
17.000000	17.8333   	17.000000	20.2226   	17.000000	19.9524   	17.000000	20.6967   	17.000000	20.8018   	17.000000	20.2136   	17.000000	0.00898241	
18.000000	17.1529   	18.000000	19.5564   	18.000000	19.1872   	18.000000	19.9697   	18.000000	20.059    	18.000000	19.5479   	18.000000	0.0085356 	
19.000000	16.5281   	19.000000	18.9344   	19.000000	18.488    	19.000000	19.3004   	19.000000	19.3728   	19.000000	18.9262   	19.000000	0.00813315	
20.000000	15.9522   	20.000000	18.3523   	20.000000	17.8472   	20.000000	18.6826   	20.000000	18.7377   	20.000000	18.3446   	20.000000	0.00776867	
21.000000	15.4196   	21.000000	17.8067   	21.000000	17.2586   	21.000000	18.1109   	21.000000	18.1473   	21.000000	17.7993   	21.000000	0.00743693	
22.000000	14.9255   	22.000000	17.2944   	22.000000	16.7166   	22.000000	17.5806   	22.000000	17.5994   	22.000000	17.2872   	22.000000	0.00713366	
23.000000	14.4657   	23.000000	16.8123   	23.000000	16.2165   	23.000000	17.0878   	23.000000	17.0888   	23.000000	16.8054   	23.000000	0.00685528	
24.000000	14.0368   	24.000000	16.358    	24.000000	15.7537   	24.000000	16.629    	24.000000	16.613    	24.000000	16.3514   	24.000000	0.0065988 	
25.000000	13.6356   	25.000000	15.9291   	25.000000	15.3244   	25.000000	16.201    	25.000000	16.1688   	25.000000	15.9227   	25.000000	0.0063617 	
27.000000	12.9061   	27.000000	15.1397   	27.000000	14.554    	27.000000	15.427    	27.000000	15.3648   	27.000000	15.1338   	27.000000	0.00593733	
29.000000	12.2598   	29.000000	14.4302   	29.000000	13.8849   	29.000000	14.7476   	29.000000	14.6591   	29.000000	14.4246   	29.000000	0.00556838	
31.000000	11.6827   	31.000000	13.7889   	31.000000	13.2964   	31.000000	14.1026   	31.000000	13.9934   	31.000000	13.7836   	31.000000	0.0052445 	
33.000000	11.1643   	33.000000	13.2066   	33.000000	12.761    	33.000000	13.4789   	33.000000	13.3581   	33.000000	13.2016   	33.000000	0.00495781	
35.000000	10.6957   	35.000000	12.6755   	35.000000	12.2698   	35.000000	12.9126   	35.000000	12.7859   	35.000000	12.6708   	35.000000	0.00470215	
38.000000	10.0714   	38.000000	11.9611   	38.000000	11.6054   	38.000000	12.1545   	38.000000	12.0261   	38.000000	11.9567   	38.000000	0.00436651	
41.000000	9.52519   	41.000000	11.33     	41.000000	11.0169   	41.000000	11.4883   	41.000000	11.3633   	41.000000	11.326    	41.000000	0.00407748	
44.000000	9.04308   	44.000000	10.7686   	44.000000	10.4921   	44.000000	10.8983   	44.000000	10.7796   	44.000000	10.7647   	44.000000	0.00382586	
47.000000	8.61417   	47.000000	10.2658   	47.000000	10.0204   	47.000000	10.372    	47.000000	10.2613   	47.000000	10.2622   	47.000000	0.00360474	
