! 71Zn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000153046	0.001000	0.000177255	0.001000	0.000155678	0.001000	0.000155678	0.001000	0.000155688	0.001000	4.54869e-05	0.001000	0.000131768	
0.002000	0.000155599	0.002000	0.000175221	0.002000	0.000150045	0.002000	0.000150045	0.002000	0.000150052	0.002000	5.89893e-05	0.002000	0.000116232	
0.005000	0.000157441	0.005000	0.000168191	0.005000	0.000138475	0.005000	0.000138475	0.005000	0.00013848	0.005000	8.31765e-05	0.005000	8.50149e-05	
0.008000	0.0001617 	0.008000	0.000167433	0.008000	0.000135847	0.008000	0.000135847	0.008000	0.00013585	0.008000	9.92077e-05	0.008000	6.82254e-05	
0.010000	0.000165214	0.010000	0.000168574	0.010000	0.000136311	0.010000	0.000136311	0.010000	0.000136313	0.010000	0.000107867	0.010000	6.07076e-05	
0.015000	0.000174685	0.015000	0.000173814	0.015000	0.000140828	0.015000	0.000140828	0.015000	0.00014083	0.015000	0.00012558	0.015000	4.82339e-05	
0.020000	0.000184142	0.020000	0.000180349	0.020000	0.000147382	0.020000	0.000147382	0.020000	0.000147383	0.020000	0.000139886	0.020000	4.04639e-05	
0.025000	0.0001932 	0.025000	0.000187183	0.025000	0.000154626	0.025000	0.000154626	0.025000	0.000154627	0.025000	0.000152095	0.025000	3.5088e-05	
0.030000	0.00020632	0.030000	0.000193972	0.030000	0.000162061	0.030000	0.000162061	0.030000	0.000162062	0.030000	0.000162857	0.030000	3.11143e-05	
0.035000	0.000219949	0.035000	0.000200589	0.035000	0.000169479	0.035000	0.000169479	0.035000	0.00016948	0.035000	0.000172549	0.035000	2.80401e-05	
0.040000	0.000231721	0.040000	0.000209286	0.040000	0.000178443	0.040000	0.000178443	0.040000	0.000178444	0.040000	0.000183705	0.040000	2.55808e-05	
0.045000	0.000241474	0.045000	0.000228175	0.045000	0.000195601	0.045000	0.000195601	0.045000	0.000195602	0.045000	0.000204613	0.045000	2.35624e-05	
0.050000	0.000248989	0.050000	0.000245789	0.050000	0.000212935	0.050000	0.000212935	0.050000	0.000212936	0.050000	0.000224122	0.050000	2.16666e-05	
0.055000	0.000262165	0.055000	0.000262802	0.055000	0.000230731	0.055000	0.000230731	0.055000	0.000230732	0.055000	0.000242556	0.055000	2.02458e-05	
0.060000	0.000274161	0.060000	0.000279198	0.060000	0.000248646	0.060000	0.000248646	0.060000	0.000248647	0.060000	0.00026018	0.060000	1.9018e-05	
0.070000	0.000294684	0.070000	0.000310675	0.070000	0.000284474	0.070000	0.000284474	0.070000	0.000284475	0.070000	0.000293676	0.070000	1.69986e-05	
0.080000	0.000317097	0.080000	0.000340773	0.080000	0.000319833	0.080000	0.000319833	0.080000	0.000319834	0.080000	0.000325371	0.080000	1.54025e-05	
0.090000	0.000336589	0.090000	0.000369576	0.090000	0.0003543 	0.090000	0.0003543 	0.090000	0.0003543 	0.090000	0.00035547	0.090000	1.41056e-05	
0.100000	0.00035377	0.100000	0.000397031	0.100000	0.000387568	0.100000	0.000387568	0.100000	0.000387569	0.100000	0.000384002	0.100000	1.30288e-05	
0.120000	0.000384778	0.120000	0.000453704	0.120000	0.000449722	0.120000	0.000449722	0.120000	0.000449722	0.120000	0.000442365	0.120000	1.13386e-05	
0.140000	0.000410588	0.140000	0.000513689	0.140000	0.000505355	0.140000	0.000505355	0.140000	0.000505356	0.140000	0.000503622	0.140000	1.00675e-05	
0.160000	0.000433556	0.160000	0.000566582	0.160000	0.000554282	0.160000	0.000554282	0.160000	0.000554282	0.160000	0.000557508	0.160000	9.07342e-06	
0.180000	0.000455258	0.180000	0.000613031	0.180000	0.00059678	0.180000	0.00059678	0.180000	0.00059678	0.180000	0.000604758	0.180000	8.27252e-06	
0.200000	0.000476456	0.200000	0.00065382	0.200000	0.000633387	0.200000	0.000633387	0.200000	0.000633387	0.200000	0.000646208	0.200000	7.61213e-06	
0.250000	0.000513651	0.250000	0.00073648	0.250000	0.00070349	0.250000	0.00070349	0.250000	0.00070349	0.250000	0.000730108	0.250000	6.37242e-06	
0.300000	0.000550683	0.300000	0.000805162	0.300000	0.000750984	0.300000	0.000750984	0.300000	0.000750985	0.300000	0.000799659	0.300000	5.50284e-06	
0.350000	0.000583318	0.350000	0.00085704	0.350000	0.000783818	0.350000	0.000783818	0.350000	0.000783819	0.350000	0.000852184	0.350000	4.85622e-06	
0.400000	0.000611756	0.400000	0.000896841	0.400000	0.000811198	0.400000	0.000811198	0.400000	0.000811198	0.400000	0.000892486	0.400000	4.35493e-06	
0.450000	0.000636337	0.450000	0.000927749	0.450000	0.000842738	0.450000	0.000842738	0.450000	0.000842739	0.450000	0.000923795	0.450000	3.95396e-06	
0.500000	0.000668296	0.500000	0.00096447	0.500000	0.000867335	0.500000	0.000867335	0.500000	0.000867336	0.500000	0.000960845	0.500000	3.6253e-06	
0.600000	0.000699714	0.600000	0.00103385	0.600000	0.000902866	0.600000	0.000902866	0.600000	0.000902866	0.600000	0.00103073	0.600000	3.11733e-06	
0.700000	0.000713578	0.700000	0.00108064	0.700000	0.000926828	0.700000	0.000926828	0.700000	0.000926829	0.700000	0.00107789	0.700000	2.74175e-06	
0.800000	0.000743671	0.800000	0.00111196	0.800000	0.000943452	0.800000	0.000943452	0.800000	0.000943453	0.800000	0.00110951	0.800000	2.4519e-06	
0.900000	0.000761495	0.900000	0.00112576	0.900000	0.000954955	0.900000	0.000954955	0.900000	0.000954956	0.900000	0.00112354	0.900000	2.22092e-06	
1.000000	0.000772931	1.000000	0.00112975	1.000000	0.000962652	1.000000	0.000962652	1.000000	0.000962653	1.000000	0.00112772	1.000000	2.0322e-06	
1.250000	0.000785067	1.250000	0.00112371	1.250000	0.000970333	1.250000	0.000970333	1.250000	0.000970334	1.250000	0.00112203	1.250000	1.6823e-06	
1.500000	0.000779916	1.500000	0.00109901	1.500000	0.000967318	1.500000	0.000967318	1.500000	0.000967319	1.500000	0.00109757	1.500000	1.44042e-06	
1.750000	0.000763062	1.750000	0.00106053	1.750000	0.000957968	1.750000	0.000957968	1.750000	0.000957969	1.750000	0.00105926	1.750000	1.26254e-06	
