! 75Ga energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000158017	0.001000	0.000183576	0.001000	0.000160647	0.001000	0.000160647	0.001000	0.000160656	0.001000	4.71782e-05	0.001000	0.000136398	
0.002000	0.000160814	0.002000	0.000182079	0.002000	0.000155188	0.002000	0.000155188	0.002000	0.000155195	0.002000	6.11825e-05	0.002000	0.000120897	
0.005000	0.000162532	0.005000	0.000175245	0.005000	0.000143193	0.005000	0.000143193	0.005000	0.000143198	0.005000	8.6269e-05	0.005000	8.89759e-05	
0.008000	0.000166642	0.008000	0.000174497	0.008000	0.000140179	0.008000	0.000140179	0.008000	0.000140182	0.008000	0.000102896	0.008000	7.16003e-05	
0.010000	0.000170098	0.010000	0.000175662	0.010000	0.000140458	0.010000	0.000140458	0.010000	0.000140461	0.010000	0.000111877	0.010000	6.3785e-05	
0.015000	0.000179513	0.015000	0.000181024	0.015000	0.00014468	0.015000	0.00014468	0.015000	0.000144682	0.015000	0.000130249	0.015000	5.07749e-05	
0.020000	0.000188991	0.020000	0.000187732	0.020000	0.000151077	0.020000	0.000151077	0.020000	0.000151079	0.020000	0.000145087	0.020000	4.26455e-05	
0.025000	0.000198106	0.025000	0.00019476	0.025000	0.00015824	0.025000	0.00015824	0.025000	0.000158241	0.025000	0.00015775	0.025000	3.70102e-05	
0.030000	0.000208902	0.030000	0.000201751	0.030000	0.000165639	0.030000	0.000165639	0.030000	0.000165641	0.030000	0.000168912	0.030000	3.28391e-05	
0.035000	0.000222766	0.035000	0.000208573	0.035000	0.00017305	0.035000	0.00017305	0.035000	0.000173051	0.035000	0.000178964	0.035000	2.96088e-05	
0.040000	0.000234786	0.040000	0.000215177	0.040000	0.000180367	0.040000	0.000180367	0.040000	0.000180368	0.040000	0.000188154	0.040000	2.70226e-05	
0.045000	0.000244786	0.045000	0.000232066	0.045000	0.000195904	0.045000	0.000195904	0.045000	0.000195905	0.045000	0.000207167	0.045000	2.48988e-05	
0.050000	0.000252695	0.050000	0.00025028	0.050000	0.000213638	0.050000	0.000213638	0.050000	0.000213639	0.050000	0.000227161	0.050000	2.31191e-05	
0.055000	0.000265999	0.055000	0.000267475	0.055000	0.000231451	0.055000	0.000231451	0.055000	0.000231451	0.055000	0.000246071	0.055000	2.14037e-05	
0.060000	0.00027829	0.060000	0.000284274	0.060000	0.000249634	0.060000	0.000249634	0.060000	0.000249635	0.060000	0.000264164	0.060000	2.01105e-05	
0.070000	0.000299372	0.070000	0.000316552	0.070000	0.000286075	0.070000	0.000286075	0.070000	0.000286076	0.070000	0.000298569	0.070000	1.79824e-05	
0.080000	0.000322378	0.080000	0.000347437	0.080000	0.000322123	0.080000	0.000322123	0.080000	0.000322124	0.080000	0.000331138	0.080000	1.62991e-05	
0.090000	0.000342421	0.090000	0.000377004	0.090000	0.000357329	0.090000	0.000357329	0.090000	0.00035733	0.090000	0.000362073	0.090000	1.49307e-05	
0.100000	0.000360115	0.100000	0.000405195	0.100000	0.000391369	0.100000	0.000391369	0.100000	0.00039137	0.100000	0.000391401	0.100000	1.3794e-05	
0.120000	0.000389243	0.120000	0.000459196	0.120000	0.000455104	0.120000	0.000455104	0.120000	0.000455105	0.120000	0.000447187	0.120000	1.20088e-05	
0.140000	0.000416079	0.140000	0.000520808	0.140000	0.000512303	0.140000	0.000512303	0.140000	0.000512303	0.140000	0.000510143	0.140000	1.06657e-05	
0.160000	0.000439999	0.160000	0.000575268	0.160000	0.000562728	0.160000	0.000562728	0.160000	0.000562729	0.160000	0.000565653	0.160000	9.61473e-06	
0.180000	0.000462601	0.180000	0.000623197	0.180000	0.000606631	0.180000	0.000606631	0.180000	0.000606632	0.180000	0.000614429	0.180000	8.76773e-06	
0.200000	0.000484665	0.200000	0.000665371	0.200000	0.000644538	0.200000	0.000644538	0.200000	0.000644538	0.200000	0.000657302	0.200000	8.06913e-06	
0.250000	0.000522437	0.250000	0.000750471	0.250000	0.000717425	0.250000	0.000717425	0.250000	0.000717426	0.250000	0.000743714	0.250000	6.75718e-06	
0.300000	0.000561286	0.300000	0.000820669	0.300000	0.000767127	0.300000	0.000767127	0.300000	0.000767128	0.300000	0.000814833	0.300000	5.83653e-06	
0.350000	0.000595556	0.350000	0.000875043	0.350000	0.00080173	0.350000	0.00080173	0.350000	0.000801731	0.350000	0.000869891	0.350000	5.15169e-06	
0.400000	0.000625468	0.400000	0.000916973	0.400000	0.000826718	0.400000	0.000826718	0.400000	0.000826719	0.400000	0.000912353	0.400000	4.62064e-06	
0.450000	0.000651379	0.450000	0.000949712	0.450000	0.000858528	0.450000	0.000858528	0.450000	0.000858528	0.450000	0.000945517	0.450000	4.19575e-06	
0.500000	0.000678936	0.500000	0.000978948	0.500000	0.000884949	0.500000	0.000884949	0.500000	0.00088495	0.500000	0.000975101	0.500000	3.84745e-06	
0.600000	0.000712927	0.600000	0.00105248	0.600000	0.000923523	0.600000	0.000923523	0.600000	0.000923523	0.600000	0.00104917	0.600000	3.30898e-06	
0.700000	0.000728742	0.700000	0.0011027 	0.700000	0.000949932	0.700000	0.000949932	0.700000	0.000949933	0.700000	0.00109979	0.700000	2.91074e-06	
0.800000	0.000760937	0.800000	0.00113686	0.800000	0.000968571	0.800000	0.000968571	0.800000	0.000968571	0.800000	0.00113426	0.800000	2.60335e-06	
0.900000	0.000782437	0.900000	0.0011564 	0.900000	0.000981759	0.900000	0.000981759	0.900000	0.00098176	0.900000	0.00115404	0.900000	2.35835e-06	
1.000000	0.000794433	1.000000	0.00116072	1.000000	0.000990881	1.000000	0.000990881	1.000000	0.000990882	1.000000	0.00115856	1.000000	2.15815e-06	
1.250000	0.000807666	1.250000	0.00115536	1.250000	0.00100128	1.250000	0.00100128	1.250000	0.00100128	1.250000	0.00115358	1.250000	1.7869e-06	
