! 76Ge energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	9.0212    	0.001000	10.5259   	0.001000	8.90914   	0.001000	8.90914   	0.001000	8.90969   	0.001000	2.7072    	0.001000	7.81872   	
0.002000	9.19465   	0.002000	10.4752   	0.002000	8.50642   	0.002000	8.50642   	0.002000	8.50684   	0.002000	3.5108    	0.002000	6.96441   	
0.005000	9.2876    	0.005000	10.1088   	0.005000	7.59649   	0.005000	7.59649   	0.005000	7.59674   	0.005000	4.95032   	0.005000	5.1585    	
0.008000	9.50796   	0.008000	10.0674   	0.008000	7.24676   	0.008000	7.24676   	0.008000	7.24694   	0.008000	5.90444   	0.008000	4.16297   	
0.010000	9.69623   	0.010000	10.1329   	0.010000	7.16084   	0.010000	7.16084   	0.010000	7.161     	0.010000	6.41978   	0.010000	3.71308   	
0.015000	10.2145   	0.015000	10.4356   	0.015000	7.18415   	0.015000	7.18415   	0.015000	7.18427   	0.015000	7.47402   	0.015000	2.96157   	
0.020000	10.7402   	0.020000	10.8159   	0.020000	7.36625   	0.020000	7.36625   	0.020000	7.36635   	0.020000	8.32542   	0.020000	2.49045   	
0.025000	11.248    	0.025000	11.2153   	0.025000	7.6145    	0.025000	7.6145    	0.025000	7.61458   	0.025000	9.05206   	0.025000	2.1632    	
0.030000	11.7317   	0.030000	11.6132   	0.030000	7.89223   	0.030000	7.89223   	0.030000	7.8923    	0.030000	9.6926    	0.030000	1.92064   	
0.035000	12.4256   	0.035000	12.002    	0.035000	8.18264   	0.035000	8.18264   	0.035000	8.1827    	0.035000	10.2694   	0.035000	1.73259   	
0.040000	13.0297   	0.040000	12.3786   	0.040000	8.47729   	0.040000	8.47729   	0.040000	8.47735   	0.040000	10.7967   	0.040000	1.58191   	
0.045000	13.5253   	0.045000	13.0275   	0.045000	9.04986   	0.045000	9.04986   	0.045000	9.04991   	0.045000	11.5694   	0.045000	1.45809   	
0.050000	13.9097   	0.050000	13.9585   	0.050000	9.96862   	0.050000	9.96862   	0.050000	9.96867   	0.050000	12.6042   	0.050000	1.35427   	
0.055000	14.5918   	0.055000	14.832    	0.055000	10.9031   	0.055000	10.9031   	0.055000	10.9032   	0.055000	13.578    	0.055000	1.254     	
