! 80As energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	8.60248   	0.001000	10.1367   	0.001000	9.45423   	0.001000	9.45423   	0.001000	9.45475   	0.001000	2.0653    	0.001000	8.07135   	
0.002000	8.58681   	0.002000	9.90033   	0.002000	9.17756   	0.002000	9.17756   	0.002000	9.17797   	0.002000	2.67836   	0.002000	7.22197   	
0.005000	8.30819   	0.005000	9.15747   	0.005000	8.47283   	0.005000	8.47283   	0.005000	8.47308   	0.005000	3.77656   	0.005000	5.38091   	
0.008000	8.27734   	0.008000	8.85839   	0.008000	8.26489   	0.008000	8.26489   	0.008000	8.26507   	0.008000	4.50445   	0.008000	4.35395   	
0.010000	8.33085   	0.010000	8.78539   	0.010000	8.26035   	0.010000	8.26035   	0.010000	8.2605    	0.010000	4.89759   	0.010000	3.8878    	
0.015000	8.57684   	0.015000	8.80848   	0.015000	8.46183   	0.015000	8.46183   	0.015000	8.46195   	0.015000	5.70187   	0.015000	3.10661   	
0.020000	8.88602   	0.020000	8.96679   	0.020000	8.79905   	0.020000	8.79905   	0.020000	8.79914   	0.020000	6.35139   	0.020000	2.6154    	
0.025000	9.2111    	0.025000	9.17928   	0.025000	9.18706   	0.025000	9.18706   	0.025000	9.18714   	0.025000	6.90574   	0.025000	2.27354   	
0.030000	9.53532   	0.030000	9.41422   	0.030000	9.59318   	0.030000	9.59318   	0.030000	9.59325   	0.030000	7.3944    	0.030000	2.01982   	
0.035000	10.276    	0.035000	9.65736   	0.035000	10.0031   	0.035000	10.0031   	0.035000	10.0031   	0.035000	7.83445   	0.035000	1.82292   	
0.040000	11.2693   	0.040000	9.90176   	0.040000	10.41     	0.040000	10.41     	0.040000	10.41     	0.040000	8.23674   	0.040000	1.66502   	
0.045000	12.1837   	0.045000	10.2583   	0.045000	10.8725   	0.045000	10.8725   	0.045000	10.8725   	0.045000	8.72309   	0.045000	1.53519   	
0.050000	12.9972   	0.050000	11.5989   	0.050000	11.8744   	0.050000	11.8744   	0.050000	11.8745   	0.050000	10.1726   	0.050000	1.42627   	
