! 81Se energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	9.51909   	0.001000	11.187    	0.001000	9.70831   	0.001000	9.70831   	0.001000	9.70886   	0.001000	2.87846   	0.001000	8.3085    	
0.002000	9.72429   	0.002000	11.2015   	0.002000	9.4481    	0.002000	9.4481    	0.002000	9.44853   	0.002000	3.7329    	0.002000	7.46857   	
0.005000	9.80557   	0.005000	10.8621   	0.005000	8.72834   	0.005000	8.72834   	0.005000	8.72861   	0.005000	5.2635    	0.005000	5.59857   	
0.008000	10.0059   	0.008000	10.8205   	0.008000	8.5013    	0.008000	8.5013    	0.008000	8.5015    	0.008000	6.27797   	0.008000	4.54248   	
0.010000	10.1846   	0.010000	10.8868   	0.010000	8.48697   	0.010000	8.48697   	0.010000	8.48714   	0.010000	6.82591   	0.010000	4.0609    	
0.015000	10.6893   	0.015000	11.198    	0.015000	8.67189   	0.015000	8.67189   	0.015000	8.67202   	0.015000	7.94685   	0.015000	3.25112   	
0.020000	11.2103   	0.020000	11.5924   	0.020000	8.99964   	0.020000	8.99964   	0.020000	8.99974   	0.020000	8.85211   	0.020000	2.74029   	
0.025000	11.718    	0.025000	12.0088   	0.025000	9.38224   	0.025000	9.38224   	0.025000	9.38232   	0.025000	9.62472   	0.025000	2.38409   	
0.030000	12.2046   	0.030000	12.4251   	0.030000	9.78542   	0.030000	9.78542   	0.030000	9.7855    	0.030000	10.3058   	0.030000	2.11935   	
0.035000	12.727    	0.035000	12.8328   	0.035000	10.194    	0.035000	10.194    	0.035000	10.1941   	0.035000	10.9191   	0.035000	1.91369   	
0.040000	13.3929   	0.040000	13.2284   	0.040000	10.6006   	0.040000	10.6006   	0.040000	10.6007   	0.040000	11.4798   	0.040000	1.74863   	
0.045000	13.9488   	0.045000	13.611    	0.045000	11.0018   	0.045000	11.0018   	0.045000	11.0018   	0.045000	11.9982   	0.045000	1.61282   	
0.050000	14.3901   	0.050000	14.4589   	0.050000	11.8544   	0.050000	11.8544   	0.050000	11.8544   	0.050000	12.9601   	0.050000	1.49883   	
0.055000	15.1466   	0.055000	15.4339   	0.055000	12.8847   	0.055000	12.8847   	0.055000	12.8848   	0.055000	14.0323   	0.055000	1.4016    	
0.060000	15.8291   	0.060000	16.3637   	0.060000	13.9175   	0.060000	13.9175   	0.060000	13.9175   	0.060000	15.0584   	0.060000	1.30534   	
0.070000	17.0232   	0.070000	18.1801   	0.070000	16.0281   	0.070000	16.0281   	0.070000	16.0281   	0.070000	17.0115   	0.070000	1.16863   	
0.080000	18.332    	0.080000	19.9237   	0.080000	18.1312   	0.080000	18.1312   	0.080000	18.1312   	0.080000	18.8634   	0.080000	1.06028   	
0.090000	19.4784   	0.090000	21.5983   	0.090000	20.1977   	0.090000	20.1977   	0.090000	20.1977   	0.090000	20.6263   	0.090000	0.97205   	
