! 83Br energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	9.75359   	0.001000	11.506    	0.001000	10.0271   	0.001000	10.0271   	0.001000	10.0277   	0.001000	2.9579    	0.001000	8.54806   	
0.002000	9.97454   	0.002000	11.5536   	0.002000	9.80932   	0.002000	9.80932   	0.002000	9.80977   	0.002000	3.83592   	0.002000	7.71773   	
0.005000	10.0487   	0.005000	11.2279   	0.005000	9.12608   	0.005000	9.12608   	0.005000	9.12636   	0.005000	5.40876   	0.005000	5.81913   	
0.008000	10.237    	0.008000	11.1851   	0.008000	8.91683   	0.008000	8.91683   	0.008000	8.91704   	0.008000	6.45123   	0.008000	4.73389   	
0.010000	10.4097   	0.010000	11.2511   	0.010000	8.91344   	0.010000	8.91344   	0.010000	8.91362   	0.010000	7.01429   	0.010000	4.2368    	
0.015000	10.9045   	0.015000	11.5644   	0.015000	9.12585   	0.015000	9.12585   	0.015000	9.12598   	0.015000	8.16616   	0.015000	3.39819   	
0.020000	11.4204   	0.020000	11.9639   	0.020000	9.48125   	0.020000	9.48125   	0.020000	9.48135   	0.020000	9.09641   	0.020000	2.86754   	
0.025000	11.9259   	0.025000	12.3871   	0.025000	9.89113   	0.025000	9.89113   	0.025000	9.89122   	0.025000	9.89034   	0.025000	2.4968    	
0.030000	12.4118   	0.030000	12.8111   	0.030000	10.321    	0.030000	10.321    	0.030000	10.321    	0.030000	10.5902   	0.030000	2.22088   	
0.035000	12.8762   	0.035000	13.2267   	0.035000	10.7554   	0.035000	10.7554   	0.035000	10.7555   	0.035000	11.2204   	0.035000	2.00632   	
0.040000	13.5088   	0.040000	13.6306   	0.040000	11.1871   	0.040000	11.1871   	0.040000	11.1872   	0.040000	11.7966   	0.040000	1.83399   	
0.045000	14.076    	0.045000	14.0214   	0.045000	11.6126   	0.045000	11.6126   	0.045000	11.6127   	0.045000	12.3293   	0.045000	1.69209   	
0.050000	14.5284   	0.050000	14.6418   	0.050000	12.2637   	0.050000	12.2637   	0.050000	12.2638   	0.050000	13.0688   	0.050000	1.57293   	
0.055000	15.2983   	0.055000	15.6345   	0.055000	13.3166   	0.055000	13.3166   	0.055000	13.3166   	0.055000	14.1633   	0.055000	1.47125   	
0.060000	15.9939   	0.060000	16.5819   	0.060000	14.3712   	0.060000	14.3712   	0.060000	14.3713   	0.060000	15.2115   	0.060000	1.37038   	
0.070000	17.2148   	0.070000	18.4356   	0.070000	16.527    	0.070000	16.527    	0.070000	16.527    	0.070000	17.2083   	0.070000	1.22736   	
0.080000	18.5521   	0.080000	20.2166   	0.080000	18.6745   	0.080000	18.6745   	0.080000	18.6745   	0.080000	19.1027   	0.080000	1.11391   	
0.090000	19.7256   	0.090000	21.9281   	0.090000	20.7841   	0.090000	20.7841   	0.090000	20.7842   	0.090000	20.9066   	0.090000	1.02149   	
0.100000	20.7688   	0.100000	23.5658   	0.100000	22.8342   	0.100000	22.8342   	0.100000	22.8342   	0.100000	22.6212   	0.100000	0.944576  	
0.120000	22.068    	0.120000	26.6066   	0.120000	26.6979   	0.120000	26.6979   	0.120000	26.698    	0.120000	25.783    	0.120000	0.823537  	
0.140000	23.5687   	0.140000	29.4175   	0.140000	30.1928   	0.140000	30.1928   	0.140000	30.1928   	0.140000	28.6852   	0.140000	0.732261  	
0.160000	25.1216   	0.160000	32.7701   	0.160000	33.2964   	0.160000	33.2964   	0.160000	33.2964   	0.160000	32.1094   	0.160000	0.660717  	
0.180000	26.5897   	0.180000	35.7555   	0.180000	36.0177   	0.180000	36.0177   	0.180000	36.0177   	0.180000	35.1525   	0.180000	0.602976  	
0.200000	28.0192   	0.200000	38.4101   	0.200000	38.3839   	0.200000	38.3839   	0.200000	38.384    	0.200000	37.8548   	0.200000	0.555296  	
0.250000	30.5306   	0.250000	43.8521   	0.250000	42.9902   	0.250000	42.9902   	0.250000	42.9903   	0.250000	43.3864   	0.250000	0.465615  	
0.300000	32.8639   	0.300000	47.9944   	0.300000	46.1935   	0.300000	46.1935   	0.300000	46.1936   	0.300000	47.5918   	0.300000	0.402569  	
0.350000	35.1555   	0.350000	51.5851   	0.350000	48.4717   	0.350000	48.4717   	0.350000	48.4718   	0.350000	51.2295   	0.350000	0.355608  	
0.400000	37.1684   	0.400000	54.4343   	0.400000	50.1539   	0.400000	50.1539   	0.400000	50.1539   	0.400000	54.1152   	0.400000	0.319152  	
0.450000	38.9261   	0.450000	56.7067   	0.450000	51.4501   	0.450000	51.4501   	0.450000	51.4502   	0.450000	56.4167   	0.450000	0.28996   	
0.500000	40.4557   	0.500000	58.5372   	0.500000	52.6438   	0.500000	52.6438   	0.500000	52.6438   	0.500000	58.2712   	0.500000	0.266011  	
0.600000	41.702    	0.600000	61.4412   	0.600000	55.4786   	0.600000	55.4786   	0.600000	55.4787   	0.600000	61.2122   	0.600000	0.228954  	
0.700000	42.4636   	0.700000	64.0299   	0.700000	57.508    	0.700000	57.508    	0.700000	57.5081   	0.700000	63.8284   	0.700000	0.20152   	
0.800000	44.2433   	0.800000	65.7927   	0.800000	59.0106   	0.800000	59.0106   	0.800000	59.0107   	0.800000	65.6124   	0.800000	0.180328  	
0.900000	45.6035   	0.900000	66.9755   	0.900000	60.1373   	0.900000	60.1373   	0.900000	60.1373   	0.900000	66.812    	0.900000	0.163426  	
1.000000	46.6391   	1.000000	67.7401   	1.000000	60.9798   	1.000000	60.9798   	1.000000	60.9798   	1.000000	67.5905   	1.000000	0.149607  	
1.250000	47.9739   	1.250000	68.2637   	1.250000	62.2059   	1.250000	62.2059   	1.250000	62.206    	1.250000	68.1398   	1.250000	0.123961  	
1.500000	48.4334   	1.500000	67.8631   	1.500000	62.5954   	1.500000	62.5954   	1.500000	62.5954   	1.500000	67.7569   	1.500000	0.106212  	
1.750000	48.3669   	1.750000	66.9936   	1.750000	62.4678   	1.750000	62.4678   	1.750000	62.4679   	1.750000	66.9004   	1.750000	0.0931488 	
2.000000	47.7696   	2.000000	65.5299   	2.000000	62.0132   	2.000000	62.0132   	2.000000	62.0132   	2.000000	65.4468   	2.000000	0.0831043 	
2.250000	47.1442   	2.250000	64.0754   	2.250000	61.3502   	2.250000	61.3502   	2.250000	61.3503   	2.250000	64.0003   	2.250000	0.0751243 	
2.500000	61.9813   	2.500000	62.6509   	2.500000	60.5555   	2.500000	60.5555   	2.500000	60.5555   	2.500000	62.5822   	2.500000	0.0686212 	
3.000000	59.2252   	3.000000	59.9221   	3.000000	58.6981   	3.000000	58.6981   	3.000000	58.6981   	3.000000	59.8635   	3.000000	0.05864   	
3.500000	56.5023   	3.500000	57.3547   	3.500000	56.4657   	3.500000	56.4657   	3.500000	56.4657   	3.500000	57.3034   	3.500000	0.0513177 	
4.000000	53.9268   	4.000000	55.0009   	4.000000	54.3871   	4.000000	54.3871   	4.000000	54.3872   	4.000000	54.9552   	4.000000	0.0457025 	
4.500000	51.5342   	4.500000	52.8373   	4.500000	52.4521   	4.500000	52.4521   	4.500000	52.4521   	4.500000	52.7961   	4.500000	0.0412514 	
5.000000	49.3278   	5.000000	50.8428   	5.000000	50.6492   	5.000000	50.6492   	5.000000	50.6492   	5.000000	50.8051   	5.000000	0.0376309 	
5.500000	47.298    	5.500000	48.9829   	5.500000	48.9672   	5.500000	48.9672   	5.500000	48.9673   	5.500000	48.9483   	5.500000	0.034625  	
6.000000	45.4306   	6.000000	47.2655   	6.000000	47.3954   	6.000000	47.3954   	6.000000	47.3954   	6.000000	47.2334   	6.000000	0.0320869 	
6.500000	43.7103   	6.500000	45.6727   	6.500000	45.9237   	6.500000	45.9237   	6.500000	45.9238   	6.500000	45.6428   	6.500000	0.0299136 	
7.000000	42.1223   	7.000000	44.1888   	7.000000	44.5434   	7.000000	44.5434   	7.000000	44.5434   	7.000000	44.1608   	7.000000	0.0280305 	
7.500000	40.6532   	7.500000	42.8037   	7.500000	43.2461   	7.500000	43.2461   	7.500000	43.2461   	7.500000	42.7774   	7.500000	0.0263821 	
