! 87Kr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	9.99594   	0.001000	11.8282   	0.001000	10.3552   	0.001000	10.3552   	0.001000	10.3558   	0.001000	3.0341    	0.001000	8.79406   	
0.002000	10.2288   	0.002000	11.9073   	0.002000	10.1803   	0.002000	10.1803   	0.002000	10.1807   	0.002000	3.93474   	0.002000	7.97256   	
0.005000	10.2898   	0.005000	11.5925   	0.005000	9.53496   	0.005000	9.53496   	0.005000	9.53523   	0.005000	5.5481    	0.005000	6.04438   	
0.008000	10.4629   	0.008000	11.5469   	0.008000	9.34465   	0.008000	9.34465   	0.008000	9.34485   	0.008000	6.61743   	0.008000	4.92944   	
0.010000	10.6278   	0.010000	11.6115   	0.010000	9.35287   	0.010000	9.35287   	0.010000	9.35305   	0.010000	7.19499   	0.010000	4.41655   	
0.015000	11.1098   	0.015000	11.9251   	0.015000	9.59426   	0.015000	9.59426   	0.015000	9.59439   	0.015000	8.37654   	0.015000	3.54857   	
0.020000	11.6184   	0.020000	12.3285   	0.020000	9.97864   	0.020000	9.97864   	0.020000	9.97875   	0.020000	9.33075   	0.020000	2.99771   	
0.025000	12.1198   	0.025000	12.7573   	0.025000	10.417    	0.025000	10.417    	0.025000	10.4171   	0.025000	10.1451   	0.025000	2.61213   	
0.030000	12.6034   	0.030000	13.1878   	0.030000	10.8746   	0.030000	10.8746   	0.030000	10.8747   	0.030000	10.863    	0.030000	2.3248    	
0.035000	13.0668   	0.035000	13.6106   	0.035000	11.336    	0.035000	11.336    	0.035000	11.3361   	0.035000	11.5095   	0.035000	2.10115   	
0.040000	13.6105   	0.040000	14.0219   	0.040000	11.7939   	0.040000	11.7939   	0.040000	11.7939   	0.040000	12.1005   	0.040000	1.92139   	
0.045000	14.1881   	0.045000	14.4202   	0.045000	12.2446   	0.045000	12.2446   	0.045000	12.2447   	0.045000	12.6469   	0.045000	1.77328   	
0.050000	14.6511   	0.050000	14.8083   	0.050000	12.6893   	0.050000	12.6893   	0.050000	12.6893   	0.050000	13.1595   	0.050000	1.64884   	
0.055000	15.4338   	0.055000	15.8178   	0.055000	13.7649   	0.055000	13.7649   	0.055000	13.7649   	0.055000	14.2751   	0.055000	1.54261   	
0.060000	16.1418   	0.060000	16.7816   	0.060000	14.8416   	0.060000	14.8416   	0.060000	14.8416   	0.060000	15.3446   	0.060000	1.437     	
0.070000	17.3885   	0.070000	18.671    	0.070000	17.0429   	0.070000	17.0429   	0.070000	17.0429   	0.070000	17.3835   	0.070000	1.28752   	
0.080000	18.7534   	0.080000	20.4881   	0.080000	19.2349   	0.080000	19.2349   	0.080000	19.2349   	0.080000	19.3192   	0.080000	1.16887   	
0.090000	19.9535   	0.090000	22.2354   	0.090000	21.3876   	0.090000	21.3876   	0.090000	21.3876   	0.090000	21.1633   	0.090000	1.07216   	
0.100000	21.0219   	0.100000	23.9082   	0.100000	23.4789   	0.100000	23.4789   	0.100000	23.479    	0.100000	22.9165   	0.100000	0.99164   	
0.120000	22.3618   	0.120000	27.0158   	0.120000	27.4194   	0.120000	27.4194   	0.120000	27.4195   	0.120000	26.1509   	0.120000	0.864865  	
0.140000	23.7653   	0.140000	29.8068   	0.140000	30.9828   	0.140000	30.9828   	0.140000	30.9829   	0.140000	29.0376   	0.140000	0.769214  	
0.160000	25.4399   	0.160000	33.1547   	0.160000	34.1469   	0.160000	34.1469   	0.160000	34.1469   	0.160000	32.4605   	0.160000	0.694209  	
0.180000	27.0184   	0.180000	36.3223   	0.180000	36.9211   	0.180000	36.9211   	0.180000	36.9211   	0.180000	35.6887   	0.180000	0.633656  	
0.200000	28.5491   	0.200000	39.1448   	0.200000	39.3335   	0.200000	39.3335   	0.200000	39.3336   	0.200000	38.5612   	0.200000	0.583639  	
0.250000	31.2619   	0.250000	44.9421   	0.250000	44.0315   	0.250000	44.0315   	0.250000	44.0315   	0.250000	44.4526   	0.250000	0.489528  	
0.300000	33.7122   	0.300000	49.3587   	0.300000	47.302    	0.300000	47.302    	0.300000	47.302    	0.300000	48.9354   	0.300000	0.42334   	
0.350000	35.9833   	0.350000	52.885    	0.350000	49.6321   	0.350000	49.6321   	0.350000	49.6321   	0.350000	52.5109   	0.350000	0.374023  	
0.400000	37.9926   	0.400000	55.7034   	0.400000	51.3568   	0.400000	51.3568   	0.400000	51.3568   	0.400000	55.3676   	0.400000	0.335729  	
0.450000	39.7544   	0.450000	57.9576   	0.450000	52.6898   	0.450000	52.6898   	0.450000	52.6899   	0.450000	57.6526   	0.450000	0.305058  	
0.500000	41.2933   	0.500000	59.7801   	0.500000	53.7632   	0.500000	53.7632   	0.500000	53.7632   	0.500000	59.5002   	0.500000	0.279892  	
0.600000	42.4169   	0.600000	62.4829   	0.600000	56.4213   	0.600000	56.4213   	0.600000	56.4214   	0.600000	62.242    	0.600000	0.240943  	
0.700000	43.2714   	0.700000	65.2315   	0.700000	58.5951   	0.700000	58.5951   	0.700000	58.5951   	0.700000	65.0194   	0.700000	0.212103  	
0.800000	45.1533   	0.800000	67.1315   	0.800000	60.2185   	0.800000	60.2185   	0.800000	60.2186   	0.800000	66.9417   	0.800000	0.189819  	
0.900000	46.601    	0.900000	68.4279   	0.900000	61.4479   	0.900000	61.4479   	0.900000	61.4479   	0.900000	68.2559   	0.900000	0.172044  	
1.000000	47.712    	1.000000	69.2873   	1.000000	62.3785   	1.000000	62.3785   	1.000000	62.3786   	1.000000	69.1298   	1.000000	0.15751   	
1.250000	49.1542   	1.250000	69.9359   	1.250000	63.7769   	1.250000	63.7769   	1.250000	63.7769   	1.250000	69.8053   	1.250000	0.130531  	
1.500000	49.6608   	1.500000	69.5709   	1.500000	64.2891   	1.500000	64.2891   	1.500000	64.2892   	1.500000	69.4591   	1.500000	0.111856  	
1.750000	49.6503   	1.750000	68.7381   	1.750000	64.2504   	1.750000	64.2504   	1.750000	64.2504   	1.750000	68.64     	1.750000	0.0981085 	
2.000000	49.1533   	2.000000	67.4209   	2.000000	63.8603   	2.000000	63.8603   	2.000000	63.8603   	2.000000	67.3334   	2.000000	0.0875368 	
2.250000	48.5629   	2.250000	65.9979   	2.250000	63.2439   	2.250000	63.2439   	2.250000	63.244    	2.250000	65.9187   	2.250000	0.0791369 	
2.500000	64.5389   	2.500000	64.5935   	2.500000	62.4824   	2.500000	62.4824   	2.500000	62.4825   	2.500000	64.5212   	2.500000	0.0722911 	
3.000000	61.7401   	3.000000	61.8897   	3.000000	60.7213   	3.000000	60.7213   	3.000000	60.7214   	3.000000	61.8279   	3.000000	0.0617826 	
3.500000	58.9564   	3.500000	59.2495   	3.500000	58.509    	3.500000	58.509    	3.500000	58.509    	3.500000	59.1954   	3.500000	0.0540725 	
4.000000	56.3128   	4.000000	56.852    	4.000000	56.4018   	4.000000	56.4018   	4.000000	56.4018   	4.000000	56.8038   	4.000000	0.0481593 	
4.500000	53.8501   	4.500000	54.7052   	4.500000	54.4359   	4.500000	54.4359   	4.500000	54.436    	4.500000	54.6617   	4.500000	0.0434715 	
5.000000	51.5744   	5.000000	52.7088   	5.000000	52.6011   	5.000000	52.6011   	5.000000	52.6012   	5.000000	52.6692   	5.000000	0.0396583 	
5.500000	49.4775   	5.500000	50.8419   	5.500000	50.8867   	5.500000	50.8867   	5.500000	50.8867   	5.500000	50.8054   	5.500000	0.0364921 	
6.000000	47.5458   	6.000000	49.1023   	6.000000	49.2823   	6.000000	49.2823   	6.000000	49.2823   	6.000000	49.0685   	6.000000	0.0338186 	
6.500000	45.7642   	6.500000	47.4832   	6.500000	47.7784   	6.500000	47.7784   	6.500000	47.7784   	6.500000	47.4517   	6.500000	0.0315292 	
7.000000	44.1182   	7.000000	45.9716   	7.000000	46.3661   	7.000000	46.3661   	7.000000	46.3662   	7.000000	45.942    	7.000000	0.0295454 	
7.500000	42.594    	7.500000	44.556    	7.500000	45.0376   	7.500000	45.0376   	7.500000	45.0376   	7.500000	44.5281   	7.500000	0.0278088 	
8.000000	41.1795   	8.000000	43.2289   	8.000000	43.7855   	8.000000	43.7855   	8.000000	43.7855   	8.000000	43.2027   	8.000000	0.0262751 	
8.500000	39.8635   	8.500000	41.9819   	8.500000	42.6036   	8.500000	42.6036   	8.500000	42.6036   	8.500000	41.957    	8.500000	0.0249103 	
9.000000	38.6364   	9.000000	40.8075   	9.000000	41.486    	9.000000	41.486    	9.000000	41.486    	9.000000	40.7838   	9.000000	0.0236873 	
9.500000	37.4896   	9.500000	39.6991   	9.500000	40.4275   	9.500000	40.4275   	9.500000	40.4275   	9.500000	39.6765   	9.500000	0.0225848 	
10.000000	36.4155   	10.000000	37.0427   	10.000000	39.4235   	10.000000	39.4235   	10.000000	39.4236   	10.000000	37.0211   	10.000000	0.0215855 	
11.000000	34.4592   	11.000000	35.6661   	11.000000	37.2967   	11.000000	37.6216   	11.000000	37.7836   	11.000000	35.6463   	11.000000	0.0198428 	
12.000000	32.7228   	12.000000	34.3733   	12.000000	35.4049   	12.000000	35.9943   	12.000000	36.2643   	12.000000	34.3549   	12.000000	0.0183729 	
13.000000	31.1706   	13.000000	33.1627   	13.000000	33.7126   	13.000000	34.5184   	13.000000	34.8573   	13.000000	33.1456   	13.000000	0.0171157 	
14.000000	29.7744   	14.000000	32.0302   	14.000000	32.1912   	14.000000	33.1745   	14.000000	33.5538   	14.000000	32.0141   	14.000000	0.0160272 	
15.000000	28.5113   	15.000000	30.9707   	15.000000	30.8173   	15.000000	31.9462   	15.000000	32.3451   	15.000000	30.9556   	15.000000	0.0150753 	
16.000000	27.3629   	16.000000	29.9788   	16.000000	29.571    	16.000000	30.8199   	16.000000	31.2233   	16.000000	29.9646   	16.000000	0.0142353 	
17.000000	26.3139   	17.000000	29.0493   	17.000000	28.4361   	17.000000	29.784    	17.000000	30.1809   	17.000000	29.0358   	17.000000	0.0134883 	
18.000000	25.3515   	18.000000	28.1771   	18.000000	27.3992   	18.000000	28.8284   	18.000000	29.2095   	18.000000	28.1643   	18.000000	0.0128194 	
19.000000	24.4653   	19.000000	27.3574   	19.000000	26.4494   	19.000000	27.9447   	19.000000	28.3049   	19.000000	27.3452   	19.000000	0.0122168 	
20.000000	23.6464   	20.000000	26.5861   	20.000000	25.5776   	20.000000	27.1255   	20.000000	27.4617   	20.000000	26.5744   	20.000000	0.011671  	
21.000000	22.8872   	21.000000	25.8591   	21.000000	24.7747   	21.000000	26.3645   	21.000000	26.6722   	21.000000	25.848    	21.000000	0.0111741 	
22.000000	22.1812   	22.000000	25.173    	22.000000	24.0323   	22.000000	25.6561   	22.000000	25.935    	22.000000	25.1622   	22.000000	0.0107197 	
23.000000	21.5228   	23.000000	24.5244   	23.000000	23.345    	23.000000	24.9955   	23.000000	25.244    	23.000000	24.5141   	23.000000	0.0103026 	
24.000000	20.9074   	24.000000	23.9105   	24.000000	22.7088   	24.000000	24.3784   	24.000000	24.5966   	24.000000	23.9006   	24.000000	0.0099183 	
25.000000	20.3307   	25.000000	23.3286   	25.000000	22.119    	25.000000	23.801    	25.000000	23.989    	25.000000	23.319    	25.000000	0.00956294	
27.000000	19.2795   	27.000000	22.2515   	27.000000	21.0588   	27.000000	22.7525   	27.000000	22.8817   	27.000000	22.2426   	27.000000	0.0089268 	
29.000000	18.3449   	29.000000	21.2765   	29.000000	20.1358   	29.000000	21.8275   	29.000000	21.9016   	29.000000	21.2681   	29.000000	0.0083736 	
31.000000	17.5082   	31.000000	20.3898   	31.000000	19.338    	31.000000	20.936    	31.000000	20.9471   	31.000000	20.3819   	31.000000	0.00788788	
33.000000	16.7545   	33.000000	19.5801   	33.000000	18.6216   	33.000000	20.0615   	33.000000	20.015    	33.000000	19.5726   	33.000000	0.00745783	
35.000000	16.0716   	35.000000	18.8377   	35.000000	17.9612   	35.000000	19.2634   	35.000000	19.1757   	35.000000	18.8307   	35.000000	0.00707427	
38.000000	15.1594   	38.000000	17.8333   	38.000000	17.0614   	38.000000	18.1888   	38.000000	18.0615   	38.000000	17.8267   	38.000000	0.00657061	
41.000000	14.359    	41.000000	16.9403   	41.000000	16.2577   	41.000000	17.2385   	41.000000	17.0895   	41.000000	16.9341   	41.000000	0.0061368 	
44.000000	13.6506   	44.000000	16.1413   	44.000000	15.5339   	44.000000	16.3921   	44.000000	16.2329   	44.000000	16.1355   	44.000000	0.00575905	
47.000000	13.0189   	47.000000	15.4221   	47.000000	14.8797   	47.000000	15.6333   	47.000000	15.471    	47.000000	15.4166   	47.000000	0.00542701	
50.000000	12.4518   	50.000000	14.7713   	50.000000	14.2843   	50.000000	14.9492   	50.000000	14.7889   	50.000000	14.7662   	50.000000	0.00513275	
55.000000	11.6248   	55.000000	13.8143   	55.000000	13.4059   	55.000000	13.9473   	55.000000	13.7962   	55.000000	13.8096   	55.000000	0.00471004	
60.000000	10.9172   	60.000000	12.9883   	60.000000	12.6422   	60.000000	13.0867   	60.000000	12.9488   	60.000000	12.9839   	60.000000	0.00435429	
65.000000	10.3043   	65.000000	12.2681   	65.000000	11.9723   	65.000000	12.3393   	65.000000	12.2161   	65.000000	12.264    	65.000000	0.00405055	
70.000000	9.76785   	70.000000	11.6346   	70.000000	11.382    	70.000000	11.6843   	70.000000	11.5758   	70.000000	11.6308   	70.000000	0.00378805	
75.000000	9.29416   	75.000000	11.0731   	75.000000	10.8565   	75.000000	11.1056   	75.000000	11.0158   	75.000000	11.0696   	75.000000	0.00355882	
80.000000	8.87257   	80.000000	10.572    	80.000000	10.3858   	80.000000	10.5905   	80.000000	10.5178   	80.000000	10.5686   	80.000000	0.00335684	
85.000000	8.49475   	85.000000	10.122    	85.000000	9.96163   	85.000000	10.1292   	85.000000	10.0716   	85.000000	10.1188   	85.000000	0.00317745	
90.000000	8.15406   	90.000000	9.71571   	90.000000	9.57747   	90.000000	9.71367   	90.000000	9.66974   	90.000000	9.71269   	90.000000	0.00301702	
95.000000	7.84517   	95.000000	9.34706   	95.000000	9.22886   	95.000000	9.33745   	95.000000	9.30622   	95.000000	9.34418   	95.000000	0.00287265	
100.000000	7.56373   	100.000000	9.01106   	100.000000	8.9091    	100.000000	8.99521   	100.000000	8.97543   	100.000000	9.00832   	100.000000	0.00274201	
105.000000	7.30614   	105.000000	8.70356   	105.000000	8.61749   	105.000000	8.68258   	105.000000	8.6729    	105.000000	8.70094   	105.000000	0.00262321	
110.000000	7.06943   	110.000000	8.4211    	110.000000	8.34814   	110.000000	8.39587   	110.000000	8.39588   	110.000000	8.41859   	110.000000	0.00251469	
115.000000	6.85109   	115.000000	8.16075   	115.000000	8.09957   	115.000000	8.13202   	115.000000	8.14023   	115.000000	8.15833   	115.000000	0.00241515	
120.000000	6.64903   	120.000000	7.92      	120.000000	7.86947   	120.000000	7.88839   	120.000000	7.90461   	120.000000	7.91768   	120.000000	0.00232351	
125.000000	6.46143   	125.000000	7.69674   	125.000000	7.65562   	125.000000	7.66276   	125.000000	7.68599   	125.000000	7.6945    	125.000000	0.00223884	
130.000000	6.28676   	130.000000	7.48914   	130.000000	7.45686   	130.000000	7.45321   	130.000000	7.48319   	130.000000	7.48698   	130.000000	0.00216038	
135.000000	6.1237    	135.000000	7.2956    	135.000000	7.27104   	135.000000	7.2581    	135.000000	7.29386   	135.000000	7.29351   	135.000000	0.00208745	
140.000000	5.9711    	140.000000	7.11475   	140.000000	7.09724   	140.000000	7.07599   	140.000000	7.11747   	140.000000	7.11273   	140.000000	0.00201948	
145.000000	5.82796   	145.000000	6.94538   	145.000000	6.93469   	145.000000	6.90562   	145.000000	6.95183   	145.000000	6.94343   	145.000000	0.00195597	
150.000000	5.6934    	150.000000	6.78645   	150.000000	6.78217   	150.000000	6.74591   	150.000000	6.79682   	150.000000	6.78455   	150.000000	0.0018965 	
155.000000	5.50165   	155.000000	6.63701   	155.000000	6.63791   	155.000000	6.59589   	155.000000	6.65091   	155.000000	6.63517   	155.000000	0.00184069	
160.000000	5.39039   	160.000000	6.49625   	160.000000	6.50185   	160.000000	6.45471   	160.000000	6.51354   	160.000000	6.49447   	160.000000	0.00178819	
165.000000	5.2853    	165.000000	6.36344   	165.000000	6.374     	165.000000	6.32162   	165.000000	6.38416   	165.000000	6.3617    	165.000000	0.00173873	
170.000000	5.18586   	170.000000	6.23793   	170.000000	6.25294   	170.000000	6.19595   	170.000000	6.26156   	170.000000	6.23623   	170.000000	0.00169204	
175.000000	5.09164   	175.000000	6.11912   	175.000000	6.13808   	175.000000	6.07709   	175.000000	6.14581   	175.000000	6.11748   	175.000000	0.00164789	
180.000000	5.00223   	180.000000	6.00651   	180.000000	6.02933   	180.000000	5.96452   	180.000000	6.03612   	180.000000	6.00491   	180.000000	0.00160608	
185.000000	4.91726   	185.000000	5.89963   	185.000000	5.92601   	185.000000	5.85776   	185.000000	5.93182   	185.000000	5.89806   	185.000000	0.00156643	
190.000000	4.8364    	190.000000	5.79804   	190.000000	5.82756   	190.000000	5.75637   	190.000000	5.83287   	190.000000	5.79652   	190.000000	0.00152876	
195.000000	4.75937   	195.000000	5.70138   	195.000000	5.73383   	195.000000	5.65995   	195.000000	5.73872   	195.000000	5.69989   	195.000000	0.00149294	
200.000000	4.68589   	200.000000	5.60929   	200.000000	5.64461   	200.000000	5.56816   	200.000000	5.64885   	200.000000	5.60783   	200.000000	0.00145883	
