! 88Rb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	10.2105   	0.001000	12.1327   	0.001000	10.4724   	0.001000	10.4724   	0.001000	10.473    	0.001000	3.10725   	0.001000	9.02541   	
0.002000	10.4596   	0.002000	12.2463   	0.002000	10.263    	0.002000	10.263    	0.002000	10.2635   	0.002000	4.0296    	0.002000	8.21673   	
0.005000	10.513    	0.005000	11.9466   	0.005000	9.50007   	0.005000	9.50007   	0.005000	9.50035   	0.005000	5.68185   	0.005000	6.26475   	
0.008000	10.6722   	0.008000	11.8993   	0.008000	9.21469   	0.008000	9.21469   	0.008000	9.2149    	0.008000	6.77696   	0.008000	5.12236   	
0.010000	10.8297   	0.010000	11.9629   	0.010000	9.16983   	0.010000	9.16983   	0.010000	9.17001   	0.010000	7.36845   	0.010000	4.59449   	
0.015000	11.2985   	0.015000	12.2767   	0.015000	9.30182   	0.015000	9.30182   	0.015000	9.30196   	0.015000	8.57848   	0.015000	3.69825   	
0.020000	11.7992   	0.020000	12.6834   	0.020000	9.5981    	0.020000	9.5981    	0.020000	9.59821   	0.020000	9.55569   	0.020000	3.12768   	
0.025000	12.2955   	0.025000	13.1173   	0.025000	9.96168   	0.025000	9.96168   	0.025000	9.96177   	0.025000	10.3897   	0.025000	2.72754   	
0.030000	12.7761   	0.030000	13.5539   	0.030000	10.3536   	0.030000	10.3536   	0.030000	10.3536   	0.030000	11.1249   	0.030000	2.42897   	
0.035000	13.2376   	0.035000	13.9833   	0.035000	10.7559   	0.035000	10.7559   	0.035000	10.7559   	0.035000	11.787    	0.035000	2.19633   	
0.040000	13.6956   	0.040000	14.4014   	0.040000	11.1597   	0.040000	11.1597   	0.040000	11.1598   	0.040000	12.3922   	0.040000	2.00919   	
0.045000	14.2833   	0.045000	14.8067   	0.045000	11.5605   	0.045000	11.5605   	0.045000	11.5605   	0.045000	12.9518   	0.045000	1.85491   	
0.050000	14.7567   	0.050000	15.199    	0.050000	11.9558   	0.050000	11.9558   	0.050000	11.9558   	0.050000	13.4738   	0.050000	1.72522   	
0.055000	15.5514   	0.055000	15.9828   	0.055000	12.7629   	0.055000	12.7629   	0.055000	12.7629   	0.055000	14.3683   	0.055000	1.61445   	
0.060000	16.2827   	0.060000	16.9767   	0.060000	13.8305   	0.060000	13.8305   	0.060000	13.8305   	0.060000	15.4581   	0.060000	1.51859   	
0.070000	17.5432   	0.070000	18.8857   	0.070000	15.9885   	0.070000	15.9885   	0.070000	15.9885   	0.070000	17.5375   	0.070000	1.34816   	
0.080000	18.9349   	0.080000	20.7377   	0.080000	18.1704   	0.080000	18.1704   	0.080000	18.1705   	0.080000	19.5134   	0.080000	1.22432   	
0.090000	20.1611   	0.090000	22.5199   	0.090000	20.3283   	0.090000	20.3283   	0.090000	20.3283   	0.090000	21.3966   	0.090000	1.12331   	
0.100000	21.2545   	0.100000	24.227    	0.100000	22.4372   	0.100000	22.4372   	0.100000	22.4373   	0.100000	23.1879   	0.100000	1.03918   	
0.120000	22.6352   	0.120000	27.4003   	0.120000	26.4408   	0.120000	26.4408   	0.120000	26.4409   	0.120000	26.4937   	0.120000	0.906652  	
0.140000	23.8862   	0.140000	30.2521   	0.140000	30.0927   	0.140000	30.0927   	0.140000	30.0927   	0.140000	29.4455   	0.140000	0.806602  	
0.160000	25.6124   	0.160000	33.3808   	0.160000	33.3598   	0.160000	33.3598   	0.160000	33.3598   	0.160000	32.6527   	0.160000	0.728115  	
0.180000	27.2404   	0.180000	36.6234   	0.180000	36.2442   	0.180000	36.2442   	0.180000	36.2442   	0.180000	35.9586   	0.180000	0.664728  	
0.200000	28.8191   	0.200000	39.5188   	0.200000	38.7687   	0.200000	38.7687   	0.200000	38.7688   	0.200000	38.9064   	0.200000	0.612356  	
0.250000	31.6353   	0.250000	45.4845   	0.250000	43.7359   	0.250000	43.7359   	0.250000	43.736    	0.250000	44.9707   	0.250000	0.513776  	
0.300000	34.1784   	0.300000	50.0479   	0.300000	47.2441   	0.300000	47.2441   	0.300000	47.2441   	0.300000	49.6035   	0.300000	0.444414  	
0.350000	36.5734   	0.350000	53.7356   	0.350000	49.7766   	0.350000	49.7766   	0.350000	49.7766   	0.350000	53.3429   	0.350000	0.392715  	
0.400000	38.7308   	0.400000	56.7857   	0.400000	51.6723   	0.400000	51.6723   	0.400000	51.6724   	0.400000	56.4331   	0.400000	0.352561  	
0.450000	40.6199   	0.450000	59.2311   	0.450000	53.1507   	0.450000	53.1507   	0.450000	53.1507   	0.450000	58.9107   	0.450000	0.320393  	
0.500000	42.269    	0.500000	61.2119   	0.500000	54.3487   	0.500000	54.3487   	0.500000	54.3487   	0.500000	60.918    	0.500000	0.293994  	
0.600000	43.4604   	0.600000	64.1572   	0.600000	57.3256   	0.600000	57.3256   	0.600000	57.3257   	0.600000	63.9041   	0.600000	0.253129  	
0.700000	44.3126   	0.700000	66.8189   	0.700000	59.6449   	0.700000	59.6449   	0.700000	59.6449   	0.700000	66.5961   	0.700000	0.222862  	
0.800000	46.2842   	0.800000	68.8301   	0.800000	61.3905   	0.800000	61.3905   	0.800000	61.3906   	0.800000	68.6307   	0.800000	0.199472  	
0.900000	47.8078   	0.900000	70.2167   	0.900000	62.724    	0.900000	62.724    	0.900000	62.7241   	0.900000	70.0359   	0.900000	0.180811  	
1.000000	48.9835   	1.000000	71.1498   	1.000000	63.7442   	1.000000	63.7442   	1.000000	63.7443   	1.000000	70.9843   	1.000000	0.16555   	
