! 92Sr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	10.4395   	0.001000	12.4445   	0.001000	10.7286   	0.001000	10.7286   	0.001000	10.7292   	0.001000	3.17752   	0.001000	9.26702   	
0.002000	10.6996   	0.002000	12.5902   	0.002000	10.5364   	0.002000	10.5364   	0.002000	10.5369   	0.002000	4.12073   	0.002000	8.4695    	
0.005000	10.7373   	0.005000	12.3018   	0.005000	9.75936   	0.005000	9.75936   	0.005000	9.75965   	0.005000	5.81034   	0.005000	6.49146   	
0.008000	10.8786   	0.008000	12.2508   	0.008000	9.4541    	0.008000	9.4541    	0.008000	9.45432   	0.008000	6.93022   	0.008000	5.32056   	
0.010000	11.0267   	0.010000	12.3123   	0.010000	9.39865   	0.010000	9.39865   	0.010000	9.39883   	0.010000	7.53508   	0.010000	4.77723   	
0.015000	11.4788   	0.015000	12.6244   	0.015000	9.5119    	0.015000	9.5119    	0.015000	9.51203   	0.015000	8.77248   	0.015000	3.85189   	
0.020000	11.969    	0.020000	13.0329   	0.020000	9.79666   	0.020000	9.79666   	0.020000	9.79678   	0.020000	9.77179   	0.020000	3.26107   	
0.025000	12.4584   	0.025000	13.4707   	0.025000	10.153    	0.025000	10.153    	0.025000	10.1531   	0.025000	10.6247   	0.025000	2.84599   	
0.030000	12.9342   	0.030000	13.9124   	0.030000	10.5403   	0.030000	10.5403   	0.030000	10.5403   	0.030000	11.3765   	0.030000	2.53587   	
0.035000	13.3925   	0.035000	14.3475   	0.035000	10.9397   	0.035000	10.9397   	0.035000	10.9398   	0.035000	12.0535   	0.035000	2.29401   	
0.040000	13.8324   	0.040000	14.7717   	0.040000	11.342    	0.040000	11.342    	0.040000	11.342    	0.040000	12.6724   	0.040000	2.0993    	
0.045000	14.3649   	0.045000	15.1834   	0.045000	11.742    	0.045000	11.742    	0.045000	11.7421   	0.045000	13.2447   	0.045000	1.93869   	
0.050000	14.8482   	0.050000	15.5821   	0.050000	12.1372   	0.050000	12.1372   	0.050000	12.1373   	0.050000	13.7785   	0.050000	1.8036    	
0.055000	15.6542   	0.055000	16.1316   	0.055000	12.6964   	0.055000	12.6964   	0.055000	12.6964   	0.055000	14.4434   	0.055000	1.68818   	
0.060000	16.3972   	0.060000	17.1408   	0.060000	13.7687   	0.060000	13.7687   	0.060000	13.7687   	0.060000	15.5525   	0.060000	1.58825   	
0.070000	17.6812   	0.070000	19.0813   	0.070000	15.9413   	0.070000	15.9413   	0.070000	15.9413   	0.070000	17.6709   	0.070000	1.41039   	
0.080000	19.0987   	0.080000	20.9668   	0.080000	18.1448   	0.080000	18.1448   	0.080000	18.1448   	0.080000	19.6856   	0.080000	1.28121   	
0.090000	20.3503   	0.090000	22.7829   	0.090000	20.3288   	0.090000	20.3288   	0.090000	20.3289   	0.090000	21.607    	0.090000	1.17581   	
0.100000	21.4682   	0.100000	24.5234   	0.100000	22.4674   	0.100000	22.4674   	0.100000	22.4675   	0.100000	23.4355   	0.100000	1.08797   	
0.120000	22.8897   	0.120000	27.7613   	0.120000	26.5371   	0.120000	26.5371   	0.120000	26.5371   	0.120000	26.8117   	0.120000	0.949538  	
0.140000	24.084    	0.140000	30.673    	0.140000	30.2596   	0.140000	30.2596   	0.140000	30.2597   	0.140000	29.8281   	0.140000	0.844977  	
0.160000	25.7625   	0.160000	33.5763   	0.160000	33.5982   	0.160000	33.5982   	0.160000	33.5983   	0.160000	32.8134   	0.160000	0.762917  	
0.180000	27.4393   	0.180000	36.8921   	0.180000	36.5525   	0.180000	36.5525   	0.180000	36.5526   	0.180000	36.1955   	0.180000	0.696623  	
0.200000	29.0653   	0.200000	39.8592   	0.200000	39.1439   	0.200000	39.1439   	0.200000	39.144    	0.200000	39.2173   	0.200000	0.641833  	
0.250000	31.9845   	0.250000	45.9914   	0.250000	44.2613   	0.250000	44.2613   	0.250000	44.2613   	0.250000	45.4527   	0.250000	0.538667  	
0.300000	34.6204   	0.300000	50.7009   	0.300000	47.8947   	0.300000	47.8947   	0.300000	47.8947   	0.300000	50.2349   	0.300000	0.466047  	
0.350000	37.1003   	0.350000	54.4838   	0.350000	50.5315   	0.350000	50.5315   	0.350000	50.5315   	0.350000	54.0719   	0.350000	0.411904  	
0.400000	39.412    	0.400000	57.7769   	0.400000	52.5151   	0.400000	52.5151   	0.400000	52.5151   	0.400000	57.4071   	0.400000	0.369841  	
0.450000	41.4349   	0.450000	60.4251   	0.450000	54.0689   	0.450000	54.0689   	0.450000	54.0689   	0.450000	60.0889   	0.450000	0.336137  	
0.500000	43.2004   	0.500000	62.5758   	0.500000	55.3329   	0.500000	55.3329   	0.500000	55.3329   	0.500000	62.2673   	0.500000	0.308472  	
0.600000	44.5454   	0.600000	65.7848   	0.600000	58.1924   	0.600000	58.1924   	0.600000	58.1925   	0.600000	65.5191   	0.600000	0.26564   	
0.700000	45.3479   	0.700000	68.4002   	0.700000	60.6582   	0.700000	60.6582   	0.700000	60.6583   	0.700000	68.1662   	0.700000	0.233908  	
0.800000	47.4091   	0.800000	70.5226   	0.800000	62.5274   	0.800000	62.5274   	0.800000	62.5274   	0.800000	70.3132   	0.800000	0.209382  	
0.900000	49.0089   	0.900000	71.9995   	0.900000	63.9663   	0.900000	63.9663   	0.900000	63.9663   	0.900000	71.8097   	0.900000	0.189812  	
1.000000	50.2496   	1.000000	73.0067   	1.000000	65.0775   	1.000000	65.0775   	1.000000	65.0775   	1.000000	72.8329   	1.000000	0.173806  	
1.250000	51.8477   	1.250000	73.8108   	1.250000	66.8309   	1.250000	66.8309   	1.250000	66.8309   	1.250000	73.6668   	1.250000	0.144085  	
1.500000	52.2726   	1.500000	73.2371   	1.500000	67.5988   	1.500000	67.5988   	1.500000	67.5988   	1.500000	73.1136   	1.500000	0.123502  	
1.750000	52.2238   	1.750000	72.2895   	1.750000	67.7469   	1.750000	67.7469   	1.750000	67.747    	1.750000	72.1811   	1.750000	0.108346  	
2.000000	51.8591   	2.000000	71.1169   	2.000000	67.4943   	2.000000	67.4943   	2.000000	67.4943   	2.000000	71.0202   	2.000000	0.0966877 	
2.250000	51.3465   	2.250000	69.7687   	2.250000	66.979    	2.250000	66.979    	2.250000	66.9791   	2.250000	69.6812   	2.250000	0.0874225 	
2.500000	69.7127   	2.500000	68.415    	2.500000	66.2912   	2.500000	66.2912   	2.500000	66.2912   	2.500000	68.3351   	2.500000	0.0798701 	
3.000000	66.8374   	3.000000	65.7634   	3.000000	64.6191   	3.000000	64.6191   	3.000000	64.6191   	3.000000	65.6951   	3.000000	0.0682743 	
3.500000	63.9383   	3.500000	63.2225   	3.500000	62.5941   	3.500000	62.5941   	3.500000	62.5942   	3.500000	63.1628   	3.500000	0.0597643 	
4.000000	61.1628   	4.000000	60.8294   	4.000000	60.4352   	4.000000	60.4352   	4.000000	60.4352   	4.000000	60.7762   	4.000000	0.0532362 	
4.500000	58.563    	4.500000	58.6153   	4.500000	58.4126   	4.500000	58.4126   	4.500000	58.4126   	4.500000	58.5672   	4.500000	0.0480601 	
5.000000	56.1508   	5.000000	56.56     	5.000000	56.5182   	5.000000	56.5182   	5.000000	56.5182   	5.000000	56.5161   	5.000000	0.043849  	
5.500000	53.9209   	5.500000	54.6406   	5.500000	54.7426   	5.500000	54.7426   	5.500000	54.7426   	5.500000	54.6003   	5.500000	0.040352  	
6.000000	51.8614   	6.000000	52.8244   	6.000000	53.0765   	6.000000	53.0765   	6.000000	53.0766   	6.000000	52.787    	6.000000	0.0373987 	
6.500000	49.9579   	6.500000	51.1317   	6.500000	51.511    	6.500000	51.511    	6.500000	51.5111   	6.500000	51.0968   	6.500000	0.0348696 	
7.000000	48.1958   	7.000000	49.5531   	7.000000	50.0377   	7.000000	50.0377   	7.000000	50.0378   	7.000000	49.5205   	7.000000	0.0326778 	
7.500000	46.5616   	7.500000	48.0767   	7.500000	48.649    	7.500000	48.649    	7.500000	48.649    	7.500000	48.046    	7.500000	0.030759  	
