! 93Y energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	10.6417   	0.001000	12.7397   	0.001000	10.9702   	0.001000	10.9702   	0.001000	10.9708   	0.001000	3.24508   	0.001000	9.49459   	
0.002000	10.9167   	0.002000	12.9202   	0.002000	10.7986   	0.002000	10.7986   	0.002000	10.799    	0.002000	4.20835   	0.002000	8.71186   	
0.005000	10.9439   	0.005000	12.6471   	0.005000	10.0125   	0.005000	10.0125   	0.005000	10.0128   	0.005000	5.93389   	0.005000	6.71324   	
0.008000	11.0687   	0.008000	12.5936   	0.008000	9.6892    	0.008000	9.6892    	0.008000	9.68942   	0.008000	7.07757   	0.008000	5.51604   	
0.010000	11.2077   	0.010000	12.6534   	0.010000	9.62378   	0.010000	9.62378   	0.010000	9.62397   	0.010000	7.6953    	0.010000	4.95807   	
0.015000	11.6429   	0.015000	12.9637   	0.015000	9.71899   	0.015000	9.71899   	0.015000	9.71913   	0.015000	8.959     	0.015000	4.00473   	
0.020000	12.1219   	0.020000	13.3738   	0.020000	9.99242   	0.020000	9.99242   	0.020000	9.99254   	0.020000	9.97957   	0.020000	3.3942    	
0.025000	12.6036   	0.025000	13.815    	0.025000	10.3415   	0.025000	10.3415   	0.025000	10.3416   	0.025000	10.8506   	0.025000	2.96445   	
0.030000	13.0738   	0.030000	14.2613   	0.030000	10.7241   	0.030000	10.7241   	0.030000	10.7241   	0.030000	11.6184   	0.030000	2.64295   	
0.035000	13.528    	0.035000	14.7018   	0.035000	11.1206   	0.035000	11.1206   	0.035000	11.1206   	0.035000	12.3098   	0.035000	2.39197   	
0.040000	13.9648   	0.040000	15.1317   	0.040000	11.521    	0.040000	11.521    	0.040000	11.5211   	0.040000	12.9419   	0.040000	2.18977   	
0.045000	14.4308   	0.045000	15.5492   	0.045000	11.9201   	0.045000	11.9201   	0.045000	11.9202   	0.045000	13.5263   	0.045000	2.02287   	
0.050000	14.9236   	0.050000	15.9539   	0.050000	12.3151   	0.050000	12.3151   	0.050000	12.3151   	0.050000	14.0715   	0.050000	1.88242   	
0.055000	15.7402   	0.055000	16.3458   	0.055000	12.7042   	0.055000	12.7042   	0.055000	12.7042   	0.055000	14.5835   	0.055000	1.76236   	
0.060000	16.4944   	0.060000	17.2867   	0.060000	13.6932   	0.060000	13.6932   	0.060000	13.6933   	0.060000	15.6284   	0.060000	1.65838   	
0.070000	17.8011   	0.070000	19.2573   	0.070000	15.8779   	0.070000	15.8779   	0.070000	15.878    	0.070000	17.7842   	0.070000	1.47307   	
0.080000	19.2437   	0.080000	21.175    	0.080000	18.1007   	0.080000	18.1007   	0.080000	18.1007   	0.080000	19.8364   	0.080000	1.33857   	
0.090000	20.5201   	0.090000	23.0237   	0.090000	20.3088   	0.090000	20.3088   	0.090000	20.3089   	0.090000	21.795    	0.090000	1.22876   	
0.100000	21.6622   	0.100000	24.797    	0.100000	22.4753   	0.100000	22.4753   	0.100000	22.4753   	0.100000	23.6597   	0.100000	1.13722   	
0.120000	23.1246   	0.120000	28.0981   	0.120000	26.608    	0.120000	26.608    	0.120000	26.608    	0.120000	27.1053   	0.120000	0.992863  	
0.140000	24.3552   	0.140000	31.0693   	0.140000	30.3988   	0.140000	30.3988   	0.140000	30.3988   	0.140000	30.1855   	0.140000	0.883769  	
0.160000	25.9332   	0.160000	33.7427   	0.160000	33.807    	0.160000	33.807    	0.160000	33.807    	0.160000	32.9446   	0.160000	0.798117  	
0.180000	27.7253   	0.180000	37.2429   	0.180000	36.8299   	0.180000	36.8299   	0.180000	36.8299   	0.180000	36.514    	0.180000	0.728897  	
0.200000	29.458    	0.200000	40.3836   	0.200000	39.4872   	0.200000	39.4872   	0.200000	39.4873   	0.200000	39.7119   	0.200000	0.671673  	
0.250000	32.5971   	0.250000	46.8951   	0.250000	44.7536   	0.250000	44.7536   	0.250000	44.7537   	0.250000	46.3312   	0.250000	0.563882  	
0.300000	35.4128   	0.300000	51.9079   	0.300000	48.5124   	0.300000	48.5124   	0.300000	48.5124   	0.300000	51.4199   	0.300000	0.487975  	
0.350000	37.9655   	0.350000	55.831    	0.350000	51.2539   	0.350000	51.2539   	0.350000	51.254    	0.350000	55.3996   	0.350000	0.431362  	
0.400000	40.3423   	0.400000	59.2098   	0.400000	53.3262   	0.400000	53.3262   	0.400000	53.3262   	0.400000	58.8225   	0.400000	0.387369  	
0.450000	42.4244   	0.450000	61.9307   	0.450000	54.9562   	0.450000	54.9562   	0.450000	54.9563   	0.450000	61.5786   	0.450000	0.352112  	
0.500000	44.2434   	0.500000	64.1436   	0.500000	56.2871   	0.500000	56.2871   	0.500000	56.2871   	0.500000	63.8204   	0.500000	0.323167  	
0.600000	45.6433   	0.600000	67.4531   	0.600000	59.0224   	0.600000	59.0224   	0.600000	59.0224   	0.600000	67.1748   	0.600000	0.278343  	
