! 95Zr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	10.8445   	0.001000	13.0343   	0.001000	11.2133   	0.001000	11.2133   	0.001000	11.2138   	0.001000	3.31009   	0.001000	9.72422   	
0.002000	11.1322   	0.002000	13.249    	0.002000	11.0621   	0.002000	11.0621   	0.002000	11.0626   	0.002000	4.29266   	0.002000	8.95635   	
0.005000	11.1455   	0.005000	12.9902   	0.005000	10.2668   	0.005000	10.2668   	0.005000	10.2671   	0.005000	6.05277   	0.005000	6.93746   	
0.008000	11.2516   	0.008000	12.9334   	0.008000	9.9252    	0.008000	9.9252    	0.008000	9.92542   	0.008000	7.21937   	0.008000	5.71399   	
0.010000	11.3803   	0.010000	12.9908   	0.010000	9.84958   	0.010000	9.84958   	0.010000	9.84978   	0.010000	7.84947   	0.010000	5.14134   	
0.015000	11.7964   	0.015000	13.2983   	0.015000	9.9262    	0.015000	9.9262    	0.015000	9.92634   	0.015000	9.13849   	0.015000	4.15985   	
0.020000	12.2623   	0.020000	13.7089   	0.020000	10.1878   	0.020000	10.1878   	0.020000	10.1879   	0.020000	10.1795   	0.020000	3.52943   	
0.025000	12.7347   	0.025000	14.1528   	0.025000	10.5291   	0.025000	10.5291   	0.025000	10.5292   	0.025000	11.068    	0.025000	3.08487   	
0.030000	13.198    	0.030000	14.603    	0.030000	10.9066   	0.030000	10.9066   	0.030000	10.9067   	0.030000	11.8512   	0.030000	2.75186   	
0.035000	13.6469   	0.035000	15.0481   	0.035000	11.2998   	0.035000	11.2998   	0.035000	11.2999   	0.035000	12.5564   	0.035000	2.49165   	
0.040000	14.0797   	0.040000	15.483    	0.040000	11.6981   	0.040000	11.6981   	0.040000	11.6982   	0.040000	13.2012   	0.040000	2.28185   	
0.045000	14.4962   	0.045000	15.9059   	0.045000	12.0961   	0.045000	12.0961   	0.045000	12.0961   	0.045000	13.7973   	0.045000	2.10857   	
0.050000	14.9851   	0.050000	16.3161   	0.050000	12.4904   	0.050000	12.4904   	0.050000	12.4905   	0.050000	14.3534   	0.050000	1.96267   	
0.055000	15.8115   	0.055000	16.7136   	0.055000	12.8795   	0.055000	12.8795   	0.055000	12.8795   	0.055000	14.8757   	0.055000	1.83791   	
0.060000	16.5763   	0.060000	17.416    	0.060000	13.6058   	0.060000	13.6058   	0.060000	13.6059   	0.060000	15.6862   	0.060000	1.72981   	
0.070000	17.9047   	0.070000	19.4147   	0.070000	15.8      	0.070000	15.8      	0.070000	15.8      	0.070000	17.8778   	0.070000	1.53692   	
0.080000	19.3713   	0.080000	21.3633   	0.080000	18.0397   	0.080000	18.0397   	0.080000	18.0397   	0.080000	19.9662   	0.080000	1.39702   	
0.090000	20.6719   	0.090000	23.2436   	0.090000	20.2699   	0.090000	20.2699   	0.090000	20.2699   	0.090000	21.9609   	0.090000	1.28274   	
0.100000	21.8377   	0.100000	25.0485   	0.100000	22.4622   	0.100000	22.4622   	0.100000	22.4623   	0.100000	23.8611   	0.100000	1.18742   	
0.120000	23.3408   	0.120000	28.4118   	0.120000	26.6547   	0.120000	26.6547   	0.120000	26.6548   	0.120000	27.3747   	0.120000	1.03705   	
0.140000	24.6079   	0.140000	31.4415   	0.140000	30.5113   	0.140000	30.5113   	0.140000	30.5114   	0.140000	30.5182   	0.140000	0.923344  	
0.160000	26.019    	0.160000	34.1598   	0.160000	33.9873   	0.160000	33.9873   	0.160000	33.9874   	0.160000	33.3258   	0.160000	0.834034  	
0.180000	27.8599   	0.180000	37.4182   	0.180000	37.0774   	0.180000	37.0774   	0.180000	37.0774   	0.180000	36.6564   	0.180000	0.761833  	
0.200000	29.6401   	0.200000	40.6294   	0.200000	39.7997   	0.200000	39.7997   	0.200000	39.7998   	0.200000	39.9273   	0.200000	0.70213   	
0.250000	32.885    	0.250000	47.3084   	0.250000	45.2139   	0.250000	45.2139   	0.250000	45.214    	0.250000	46.7188   	0.250000	0.589626  	
0.300000	35.7962   	0.300000	52.4713   	0.300000	49.0979   	0.300000	49.0979   	0.300000	49.0979   	0.300000	51.9609   	0.300000	0.510367  	
0.350000	38.397    	0.350000	56.5265   	0.350000	51.9447   	0.350000	51.9447   	0.350000	51.9447   	0.350000	56.0752   	0.350000	0.451236  	
0.400000	41.0123   	0.400000	60.1601   	0.400000	54.1062   	0.400000	54.1062   	0.400000	54.1063   	0.400000	59.7548   	0.400000	0.405274  	
0.450000	43.3037   	0.450000	63.2117   	0.450000	55.8133   	0.450000	55.8133   	0.450000	55.8134   	0.450000	62.8433   	0.450000	0.368432  	
0.500000	45.3039   	0.500000	65.7013   	0.500000	57.2118   	0.500000	57.2118   	0.500000	57.2119   	0.500000	65.3632   	0.500000	0.338181  	
0.600000	46.9526   	0.600000	69.4382   	0.600000	59.8165   	0.600000	59.8165   	0.600000	59.8165   	0.600000	69.1469   	0.600000	0.291323  	
0.700000	47.7127   	0.700000	72.0613   	0.700000	62.5781   	0.700000	62.5781   	0.700000	62.5782   	0.700000	71.8047   	0.700000	0.256595  	
0.800000	49.9385   	0.800000	74.3741   	0.800000	64.6975   	0.800000	64.6975   	0.800000	64.6976   	0.800000	74.1444   	0.800000	0.229742  	
0.900000	51.6768   	0.900000	76.003    	0.900000	66.3509   	0.900000	66.3509   	0.900000	66.351    	0.900000	75.7947   	0.900000	0.208309  	
1.000000	53.0345   	1.000000	77.1326   	1.000000	67.6477   	1.000000	67.6477   	1.000000	67.6478   	1.000000	76.9418   	1.000000	0.190774  	
1.250000	55.007    	1.250000	78.4075   	1.250000	69.769    	1.250000	69.769    	1.250000	69.7691   	1.250000	78.2493   	1.250000	0.158204  	
1.500000	55.4256   	1.500000	77.7203   	1.500000	70.8049   	1.500000	70.8049   	1.500000	70.8049   	1.500000	77.5847   	1.500000	0.135639  	
1.750000	55.3723   	1.750000	76.6924   	1.750000	71.1514   	1.750000	71.1514   	1.750000	71.1514   	1.750000	76.5734   	1.750000	0.119017  	
2.000000	55.0258   	2.000000	75.4862   	2.000000	71.0469   	2.000000	71.0469   	2.000000	71.0469   	2.000000	75.3799   	2.000000	0.106229  	
2.250000	54.5038   	2.250000	74.0837   	2.250000	70.6424   	2.250000	70.6424   	2.250000	70.6425   	2.250000	73.9877   	2.250000	0.0960633 	
2.500000	74.9545   	2.500000	72.6372   	2.500000	70.0372   	2.500000	70.0372   	2.500000	70.0373   	2.500000	72.5494   	2.500000	0.0877754 	
3.000000	72.0154   	3.000000	69.8556   	3.000000	68.47     	3.000000	68.47     	3.000000	68.47     	3.000000	69.7805   	3.000000	0.0750473 	
3.500000	69.0098   	3.500000	67.2427   	3.500000	66.6668   	3.500000	66.6668   	3.500000	66.6669   	3.500000	67.177    	3.500000	0.0657041 	
4.000000	66.1087   	4.000000	64.8017   	4.000000	64.4698   	4.000000	64.4698   	4.000000	64.4698   	4.000000	64.7432   	4.000000	0.0585354 	
4.500000	63.3762   	4.500000	62.5249   	4.500000	62.3968   	4.500000	62.3968   	4.500000	62.3968   	4.500000	62.472    	4.500000	0.0528502 	
5.000000	60.8306   	5.000000	60.4008   	5.000000	60.4482   	5.000000	60.4482   	5.000000	60.4483   	5.000000	60.3525   	5.000000	0.0482244 	
5.500000	58.47     	5.500000	58.4169   	5.500000	58.6165   	5.500000	58.6165   	5.500000	58.6165   	5.500000	58.3725   	5.500000	0.0443825 	
6.000000	56.2842   	6.000000	56.56     	6.000000	56.8932   	6.000000	56.8932   	6.000000	56.8932   	6.000000	56.5188   	6.000000	0.0411376 	
6.500000	54.2596   	6.500000	54.7996   	6.500000	55.2701   	6.500000	55.2701   	6.500000	55.2701   	6.500000	54.7613   	6.500000	0.0383584 	
7.000000	52.382    	7.000000	53.1582   	7.000000	53.7393   	7.000000	53.7393   	7.000000	53.7393   	7.000000	53.1222   	7.000000	0.0359497 	
7.500000	50.6379   	7.500000	51.6215   	7.500000	52.2936   	7.500000	52.2936   	7.500000	52.2936   	7.500000	51.5876   	7.500000	0.0338408 	
8.000000	49.0146   	8.000000	50.1789   	8.000000	50.9263   	8.000000	50.9263   	8.000000	50.9263   	8.000000	50.1469   	8.000000	0.0319782 	
8.500000	47.5006   	8.500000	48.8225   	8.500000	49.6312   	8.500000	49.6312   	8.500000	49.6312   	8.500000	48.7922   	8.500000	0.0303202 	
