! 99Nb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000198977	0.001000	0.000239981	0.001000	0.000206308	0.001000	0.000206308	0.001000	0.000206317	0.001000	6.07087e-05	0.001000	0.000179272	
0.002000	0.000204327	0.002000	0.000244435	0.002000	0.000203938	0.002000	0.000203938	0.002000	0.000203946	0.002000	7.87294e-05	0.002000	0.000165706	
0.005000	0.000204216	0.005000	0.000239996	0.005000	0.000189432	0.005000	0.000189432	0.005000	0.000189438	0.005000	0.000111011	0.005000	0.000128986	
0.008000	0.000205735	0.008000	0.000238889	0.008000	0.000182941	0.008000	0.000182941	0.008000	0.000182944	0.008000	0.000132407	0.008000	0.000106482	
0.010000	0.00020784	0.010000	0.000239869	0.010000	0.000181388	0.010000	0.000181388	0.010000	0.000181392	0.010000	0.000143963	0.010000	9.59058e-05	
0.015000	0.000214933	0.015000	0.000245328	0.015000	0.000182417	0.015000	0.000182417	0.015000	0.00018242	0.015000	0.000167604	0.015000	7.77239e-05	
0.020000	0.000223048	0.020000	0.000252709	0.020000	0.000186901	0.020000	0.000186901	0.020000	0.000186903	0.020000	0.000186697	0.020000	6.60123e-05	
0.025000	0.000231353	0.025000	0.000260731	0.025000	0.000192897	0.025000	0.000192897	0.025000	0.000192898	0.025000	0.000202992	0.025000	5.77389e-05	
0.030000	0.000239544	0.030000	0.00026889	0.030000	0.000199591	0.030000	0.000199591	0.030000	0.000199593	0.030000	0.000217356	0.030000	5.15339e-05	
0.035000	0.000247506	0.035000	0.000276971	0.035000	0.000206601	0.035000	0.000206601	0.035000	0.000206602	0.035000	0.000230291	0.035000	4.66807e-05	
0.040000	0.000255201	0.040000	0.000284881	0.040000	0.000213727	0.040000	0.000213727	0.040000	0.000213728	0.040000	0.000242116	0.040000	4.2765e-05	
0.045000	0.000262622	0.045000	0.000292578	0.045000	0.000220861	0.045000	0.000220861	0.045000	0.000220862	0.045000	0.000253049	0.045000	3.9529e-05	
0.050000	0.000270607	0.050000	0.000300051	0.050000	0.000227944	0.050000	0.000227944	0.050000	0.000227945	0.050000	0.000263248	0.050000	3.68031e-05	
0.055000	0.000285642	0.055000	0.000307298	0.055000	0.000234941	0.055000	0.000234941	0.055000	0.000234942	0.055000	0.000272827	0.055000	3.4471e-05	
0.060000	0.000299588	0.060000	0.000315526	0.060000	0.000243134	0.060000	0.000243134	0.060000	0.000243135	0.060000	0.000283076	0.060000	3.24498e-05	
0.070000	0.000323871	0.070000	0.000351978	0.070000	0.000282753	0.070000	0.000282753	0.070000	0.000282754	0.070000	0.00032314	0.070000	2.88383e-05	
0.080000	0.000350684	0.080000	0.000387581	0.080000	0.000323331	0.080000	0.000323331	0.080000	0.000323332	0.080000	0.00036136	0.080000	2.62209e-05	
0.090000	0.000374516	0.090000	0.000421975	0.090000	0.000363834	0.090000	0.000363834	0.090000	0.000363835	0.090000	0.000397893	0.090000	2.40817e-05	
