! 104Tc energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	11.4688   	0.001000	13.9117   	0.001000	11.939    	0.001000	11.939    	0.001000	11.9395   	0.001000	3.49891   	0.001000	10.4128   	
0.002000	11.7969   	0.002000	14.23     	0.002000	11.8507   	0.002000	11.8507   	0.002000	11.8512   	0.002000	4.53753   	0.002000	9.69252   	
0.005000	11.7719   	0.005000	14.0165   	0.005000	11.0307   	0.005000	11.0307   	0.005000	11.031    	0.005000	6.39803   	0.005000	7.61847   	
0.008000	11.8235   	0.008000	13.9493   	0.008000	10.6343   	0.008000	10.6343   	0.008000	10.6345   	0.008000	7.63118   	0.008000	6.31815   	
0.010000	11.922    	0.010000	13.9992   	0.010000	10.5274   	0.010000	10.5274   	0.010000	10.5276   	0.010000	8.29722   	0.010000	5.70193   	
0.015000	12.2813   	0.015000	14.2959   	0.015000	10.5461   	0.015000	10.5461   	0.015000	10.5462   	0.015000	9.65978   	0.015000	4.6361    	
0.020000	12.7088   	0.020000	14.7058   	0.020000	10.7698   	0.020000	10.7698   	0.020000	10.7699   	0.020000	10.7602   	0.020000	3.9456    	
0.025000	13.1538   	0.025000	15.1554   	0.025000	11.0857   	0.025000	11.0857   	0.025000	11.0858   	0.025000	11.6993   	0.025000	3.45606   	
0.030000	13.5969   	0.030000	15.6152   	0.030000	11.4459   	0.030000	11.4459   	0.030000	11.446    	0.030000	12.5272   	0.030000	3.088     	
0.035000	14.0304   	0.035000	16.0723   	0.035000	11.8271   	0.035000	11.8271   	0.035000	11.8272   	0.035000	13.2727   	0.035000	2.79959   	
0.040000	14.4512   	0.040000	16.5208   	0.040000	12.2174   	0.040000	12.2174   	0.040000	12.2174   	0.040000	13.9542   	0.040000	2.56655   	
0.045000	14.8583   	0.045000	16.9581   	0.045000	12.61     	0.045000	12.61     	0.045000	12.61     	0.045000	14.5844   	0.045000	2.37372   	
0.050000	15.2518   	0.050000	17.3833   	0.050000	13.0011   	0.050000	13.0011   	0.050000	13.0011   	0.050000	15.1721   	0.050000	2.21114   	
0.055000	16.0468   	0.055000	17.7961   	0.055000	13.3885   	0.055000	13.3885   	0.055000	13.3886   	0.055000	15.7242   	0.055000	2.07192   	
0.060000	16.9483   	0.060000	18.1969   	0.060000	13.771    	0.060000	13.771    	0.060000	13.771    	0.060000	16.2457   	0.060000	1.95118   	
0.070000	18.5609   	0.070000	20.032    	0.070000	15.5035   	0.070000	15.5035   	0.070000	15.5036   	0.070000	18.2804   	0.070000	1.75164   	
0.080000	20.2894   	0.080000	22.3503   	0.080000	17.7636   	0.080000	17.7636   	0.080000	17.7637   	0.080000	20.772    	0.080000	1.57832   	
0.090000	21.8539   	0.090000	24.616    	0.090000	20.0475   	0.090000	20.0475   	0.090000	20.0476   	0.090000	23.1658   	0.090000	1.45026   	
0.100000	23.2679   	0.100000	26.7972   	0.100000	22.3064   	0.100000	22.3064   	0.100000	22.3064   	0.100000	25.4538   	0.100000	1.34333   	
0.120000	25.1762   	0.120000	30.8656   	0.120000	26.6592   	0.120000	26.6592   	0.120000	26.6593   	0.120000	29.6912   	0.120000	1.17436   	
0.140000	26.7776   	0.140000	34.5214   	0.140000	30.6981   	0.140000	30.6981   	0.140000	30.6981   	0.140000	33.475    	0.140000	1.0464    	
0.160000	28.2435   	0.160000	37.7819   	0.160000	34.3658   	0.160000	34.3658   	0.160000	34.3659   	0.160000	36.8361   	0.160000	0.945774  	
0.180000	29.8395   	0.180000	40.6868   	0.180000	37.6487   	0.180000	37.6487   	0.180000	37.6488   	0.180000	39.8224   	0.180000	0.864344  	
0.200000	31.5957   	0.200000	43.8007   	0.200000	40.5597   	0.200000	40.5597   	0.200000	40.5597   	0.200000	43.0037   	0.200000	0.796954  	
0.250000	34.7708   	0.250000	50.3908   	0.250000	46.4092   	0.250000	46.4092   	0.250000	46.4092   	0.250000	49.721    	0.250000	0.669831  	
0.300000	37.6658   	0.300000	55.4867   	0.300000	50.6672   	0.300000	50.6672   	0.300000	50.6673   	0.300000	54.9066   	0.300000	0.580163  	
0.350000	40.2835   	0.350000	59.5065   	0.350000	53.8315   	0.350000	53.8315   	0.350000	53.8316   	0.350000	58.9933   	0.350000	0.513205  	
0.400000	42.7922   	0.400000	62.7624   	0.400000	56.2645   	0.400000	56.2645   	0.400000	56.2645   	0.400000	62.3013   	0.400000	0.461123  	
0.450000	45.462    	0.450000	66.3873   	0.450000	58.2069   	0.450000	58.2069   	0.450000	58.2069   	0.450000	65.9679   	0.450000	0.419349  	
0.500000	47.8004   	0.500000	69.373    	0.500000	59.8125   	0.500000	59.8125   	0.500000	59.8126   	0.500000	68.9879   	0.500000	0.385032  	
0.600000	49.9214   	0.600000	73.915    	0.600000	62.367    	0.600000	62.367    	0.600000	62.3671   	0.600000	73.5831   	0.600000	0.331845  	
0.700000	50.9357   	0.700000	77.0987   	0.700000	65.2015   	0.700000	65.2015   	0.700000	65.2016   	0.700000	76.8063   	0.700000	0.2924    	
0.800000	53.2717   	0.800000	79.444    	0.800000	67.7029   	0.800000	67.7029   	0.800000	67.703    	0.800000	79.1821   	0.800000	0.261884  	
0.900000	55.1751   	0.900000	81.2381   	0.900000	69.6857   	0.900000	69.6857   	0.900000	69.6857   	0.900000	81.0006   	0.900000	0.237517  	
1.000000	56.6767   	1.000000	82.5066   	1.000000	71.269    	1.000000	71.269    	1.000000	71.269    	1.000000	82.289    	1.000000	0.217574  	
1.250000	59.0284   	1.250000	84.1539   	1.250000	73.9629   	1.250000	73.9629   	1.250000	73.9629   	1.250000	83.9733   	1.250000	0.180513  	
1.500000	59.8372   	1.500000	83.9796   	1.500000	75.4212   	1.500000	75.4212   	1.500000	75.4212   	1.500000	83.8248   	1.500000	0.154822  	
1.750000	59.89     	1.750000	83.0053   	1.750000	76.0847   	1.750000	76.0847   	1.750000	76.0848   	1.750000	82.8694   	1.750000	0.135889  	
2.000000	59.6148   	2.000000	81.8249   	2.000000	76.2206   	2.000000	76.2206   	2.000000	76.2207   	2.000000	81.7036   	2.000000	0.121316  	
2.250000	59.2261   	2.250000	80.536    	2.250000	75.9994   	2.250000	75.9994   	2.250000	75.9995   	2.250000	80.4263   	2.250000	0.109729  	
2.500000	82.9188   	2.500000	79.0058   	2.500000	75.5338   	2.500000	75.5338   	2.500000	75.5338   	2.500000	78.9055   	2.500000	0.10028   	
3.000000	79.9095   	3.000000	76.0284   	3.000000	74.1516   	3.000000	74.1516   	3.000000	74.1517   	3.000000	75.9426   	3.000000	0.0857636 	
3.500000	76.7623   	3.500000	73.2783   	3.500000	72.4479   	3.500000	72.4479   	3.500000	72.4479   	3.500000	73.2032   	3.500000	0.0751039 	
4.000000	73.6858   	4.000000	70.7392   	4.000000	70.5144   	4.000000	70.5144   	4.000000	70.5145   	4.000000	70.6722   	4.000000	0.0669227 	
4.500000	70.7639   	4.500000	68.3936   	4.500000	68.3771   	4.500000	68.3771   	4.500000	68.3772   	4.500000	68.3332   	4.500000	0.0604331 	
5.000000	68.0252   	5.000000	66.194    	5.000000	66.3575   	5.000000	66.3575   	5.000000	66.3576   	5.000000	66.1389   	5.000000	0.0551516 	
5.500000	65.4736   	5.500000	64.1306   	5.500000	64.4505   	5.500000	64.4505   	5.500000	64.4505   	5.500000	64.0798   	5.500000	0.0507643 	
6.000000	63.1019   	6.000000	62.1929   	6.000000	62.6493   	6.000000	62.6493   	6.000000	62.6493   	6.000000	62.1458   	6.000000	0.0470582 	
6.500000	60.8982   	6.500000	60.3708   	6.500000	60.947    	6.500000	60.947    	6.500000	60.947    	6.500000	60.3269   	6.500000	0.0438835 	
7.000000	58.8492   	7.000000	58.6199   	7.000000	59.3366   	7.000000	59.3366   	7.000000	59.3366   	7.000000	58.5788   	7.000000	0.0411317 	
7.500000	56.9413   	7.500000	56.9827   	7.500000	57.8114   	7.500000	57.8114   	7.500000	57.8114   	7.500000	56.944    	7.500000	0.0387221 	
8.000000	55.1619   	8.000000	55.4519   	8.000000	56.3651   	8.000000	56.3651   	8.000000	56.3652   	8.000000	55.4153   	8.000000	0.0365936 	
8.500000	53.4994   	8.500000	54.0138   	8.500000	54.9921   	8.500000	54.9921   	8.500000	54.9921   	8.500000	53.9791   	8.500000	0.0346989 	
9.000000	51.943    	9.000000	52.6567   	9.000000	53.6868   	9.000000	53.6868   	9.000000	53.6869   	9.000000	52.6237   	9.000000	0.0330008 	
9.500000	50.4833   	9.500000	51.3666   	9.500000	52.4445   	9.500000	52.4445   	9.500000	52.4446   	9.500000	51.3352   	9.500000	0.0314697 	
10.000000	49.1116   	10.000000	48.0528   	10.000000	51.2607   	10.000000	51.2607   	10.000000	51.2608   	10.000000	48.0227   	10.000000	0.0300816 	
11.000000	46.6026   	11.000000	46.4866   	11.000000	48.6471   	11.000000	49.1352   	11.000000	49.4443   	11.000000	46.459    	11.000000	0.0276602 	
12.000000	44.3639   	12.000000	44.9935   	12.000000	46.3089   	12.000000	47.2012   	12.000000	47.7295   	12.000000	44.9679   	12.000000	0.0256173 	
13.000000	42.3538   	13.000000	43.578    	13.000000	44.2059   	13.000000	45.4357   	13.000000	46.1165   	13.000000	43.5542   	13.000000	0.0238693 	
14.000000	40.5384   	14.000000	42.24     	14.000000	42.3061   	14.000000	43.8186   	14.000000	44.6018   	14.000000	42.2177   	14.000000	0.0223557 	
15.000000	38.8903   	15.000000	40.9771   	15.000000	40.584    	15.000000	42.3329   	15.000000	43.1807   	15.000000	40.956    	15.000000	0.0210316 	
