! 105Ru energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	11.6829   	0.001000	14.189    	0.001000	12.0389   	0.001000	12.0389   	0.001000	12.0395   	0.001000	3.55774   	0.001000	10.6313   	
0.002000	12.0347   	0.002000	14.5437   	0.002000	11.9205   	0.002000	11.9205   	0.002000	11.921    	0.002000	4.61382   	0.002000	9.92987   	
0.005000	12.0146   	0.005000	14.3483   	0.005000	10.9899   	0.005000	10.9899   	0.005000	10.9903   	0.005000	6.50561   	0.005000	7.84266   	
0.008000	12.0582   	0.008000	14.2784   	0.008000	10.4999   	0.008000	10.4999   	0.008000	10.5001   	0.008000	7.75949   	0.008000	6.51891   	
0.010000	12.1516   	0.010000	14.3257   	0.010000	10.3398   	0.010000	10.3398   	0.010000	10.34     	0.010000	8.43673   	0.010000	5.88895   	
0.015000	12.5016   	0.015000	14.6182   	0.015000	10.247    	0.015000	10.247    	0.015000	10.2472   	0.015000	9.82219   	0.015000	4.79599   	
0.020000	12.9236   	0.020000	15.027    	0.020000	10.3802   	0.020000	10.3802   	0.020000	10.3803   	0.020000	10.9411   	0.020000	4.08586   	
0.025000	13.3655   	0.025000	15.4775   	0.025000	10.6187   	0.025000	10.6187   	0.025000	10.6188   	0.025000	11.896    	0.025000	3.58151   	
0.030000	13.8071   	0.030000	15.9396   	0.030000	10.9107   	0.030000	10.9107   	0.030000	10.9108   	0.030000	12.7378   	0.030000	3.20183   	
0.035000	14.2401   	0.035000	16.3999   	0.035000	11.2306   	0.035000	11.2306   	0.035000	11.2307   	0.035000	13.4958   	0.035000	2.90403   	
0.040000	14.6611   	0.040000	16.8521   	0.040000	11.5647   	0.040000	11.5647   	0.040000	11.5647   	0.040000	14.1888   	0.040000	2.66323   	
0.045000	15.069    	0.045000	17.2935   	0.045000	11.9053   	0.045000	11.9053   	0.045000	11.9053   	0.045000	14.8296   	0.045000	2.46387   	
0.050000	15.4636   	0.050000	17.7229   	0.050000	12.2478   	0.050000	12.2478   	0.050000	12.2478   	0.050000	15.4272   	0.050000	2.29568   	
0.055000	16.0401   	0.055000	18.1402   	0.055000	12.5894   	0.055000	12.5894   	0.055000	12.5895   	0.055000	15.9886   	0.055000	2.15161   	
0.060000	16.9853   	0.060000	18.5455   	0.060000	12.9286   	0.060000	12.9286   	0.060000	12.9286   	0.060000	16.5189   	0.060000	2.02661   	
0.070000	18.6877   	0.070000	20.1197   	0.070000	14.2932   	0.070000	14.2932   	0.070000	14.2933   	0.070000	18.2998   	0.070000	1.81994   	
0.080000	20.5075   	0.080000	22.5631   	0.080000	16.5002   	0.080000	16.5002   	0.080000	16.5003   	0.080000	20.9229   	0.080000	1.6402    	
