! 109Rh energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	11.9109   	0.001000	14.4732   	0.001000	12.2761   	0.001000	12.2761   	0.001000	12.2766   	0.001000	3.61466   	0.001000	10.8585   	
0.002000	12.2825   	0.002000	14.8624   	0.002000	12.1794   	0.002000	12.1794   	0.002000	12.1798   	0.002000	4.68763   	0.002000	10.1747   	
0.005000	12.261    	0.005000	14.6821   	0.005000	11.2419   	0.005000	11.2419   	0.005000	11.2422   	0.005000	6.60969   	0.005000	8.07245   	
0.008000	12.2934   	0.008000	14.608    	0.008000	10.7333   	0.008000	10.7333   	0.008000	10.7335   	0.008000	7.88363   	0.008000	6.72435   	
0.010000	12.3802   	0.010000	14.652    	0.010000	10.5624   	0.010000	10.5624   	0.010000	10.5626   	0.010000	8.57171   	0.010000	6.08024   	
0.015000	12.7183   	0.015000	14.9388   	0.015000	10.4489   	0.015000	10.4489   	0.015000	10.449    	0.015000	9.97933   	0.015000	4.95945   	
0.020000	13.1329   	0.020000	15.3454   	0.020000	10.5678   	0.020000	10.5678   	0.020000	10.5679   	0.020000	11.1161   	0.020000	4.22924   	
0.025000	13.5703   	0.025000	15.7961   	0.025000	10.7965   	0.025000	10.7965   	0.025000	10.7966   	0.025000	12.0863   	0.025000	3.70972   	
0.030000	14.0092   	0.030000	16.2598   	0.030000	11.0813   	0.030000	11.0813   	0.030000	11.0814   	0.030000	12.9416   	0.030000	3.31816   	
0.035000	14.4407   	0.035000	16.7225   	0.035000	11.3959   	0.035000	11.3959   	0.035000	11.396    	0.035000	13.7117   	0.035000	3.01077   	
0.040000	14.8611   	0.040000	17.1779   	0.040000	11.7261   	0.040000	11.7261   	0.040000	11.7262   	0.040000	14.4158   	0.040000	2.76204   	
0.045000	15.2689   	0.045000	17.6228   	0.045000	12.0638   	0.045000	12.0638   	0.045000	12.0638   	0.045000	15.0668   	0.045000	2.55599   	
0.050000	15.6639   	0.050000	18.0561   	0.050000	12.4042   	0.050000	12.4042   	0.050000	12.4042   	0.050000	15.674    	0.050000	2.38209   	
0.055000	16.0464   	0.055000	18.4774   	0.055000	12.7443   	0.055000	12.7443   	0.055000	12.7444   	0.055000	16.2444   	0.055000	2.23306   	
0.060000	16.9811   	0.060000	18.8869   	0.060000	13.0823   	0.060000	13.0823   	0.060000	13.0824   	0.060000	16.7832   	0.060000	2.10371   	
0.070000	18.7718   	0.070000	20.1524   	0.070000	14.1458   	0.070000	14.1458   	0.070000	14.1459   	0.070000	18.2626   	0.070000	1.88975   	
0.080000	20.6819   	0.080000	22.7178   	0.080000	16.3546   	0.080000	16.3546   	0.080000	16.3547   	0.080000	21.0144   	0.080000	1.70343   	
0.090000	22.4273   	0.090000	25.2408   	0.090000	18.6145   	0.090000	18.6145   	0.090000	18.6145   	0.090000	23.6748   	0.090000	1.56597   	
0.100000	24.0159   	0.100000	27.6805   	0.100000	20.8708   	0.100000	20.8708   	0.100000	20.8709   	0.100000	26.2294   	0.100000	1.45109   	
0.120000	26.2245   	0.120000	32.251    	0.120000	25.2694   	0.120000	25.2694   	0.120000	25.2694   	0.120000	30.9816   	0.120000	1.2694    	
0.140000	28.0821   	0.140000	36.3703   	0.140000	29.403    	0.140000	29.403    	0.140000	29.4031   	0.140000	35.2387   	0.140000	1.13165   	
0.160000	29.7707   	0.160000	40.0462   	0.160000	33.1972   	0.160000	33.1972   	0.160000	33.1973   	0.160000	39.023    	0.160000	1.02324   	
0.180000	31.3907   	0.180000	43.3169   	0.180000	36.6255   	0.180000	36.6255   	0.180000	36.6255   	0.180000	42.3814   	0.180000	0.935451  	
0.200000	33.1221   	0.200000	46.3102   	0.200000	39.6915   	0.200000	39.6915   	0.200000	39.6915   	0.200000	45.4474   	0.200000	0.862763  	
0.250000	36.2564   	0.250000	52.8572   	0.250000	45.9339   	0.250000	45.9339   	0.250000	45.934    	0.250000	52.1316   	0.250000	0.72555   	
0.300000	39.1429   	0.300000	57.9108   	0.300000	50.5574   	0.300000	50.5574   	0.300000	50.5574   	0.300000	57.2821   	0.300000	0.628687  	
0.350000	41.7715   	0.350000	61.9009   	0.350000	54.0447   	0.350000	54.0447   	0.350000	54.0448   	0.350000	61.3446   	0.350000	0.556312  	
0.400000	44.1374   	0.400000	65.1152   	0.400000	56.7591   	0.400000	56.7591   	0.400000	56.7591   	0.400000	64.6152   	0.400000	0.49999   	
0.450000	46.7179   	0.450000	68.2872   	0.450000	58.9466   	0.450000	58.9466   	0.450000	58.9467   	0.450000	67.8324   	0.450000	0.454799  	
0.500000	49.1309   	0.500000	71.3544   	0.500000	60.7674   	0.500000	60.7674   	0.500000	60.7674   	0.500000	70.9368   	0.500000	0.417662  	
0.600000	51.3449   	0.600000	76.0486   	0.600000	63.6821   	0.600000	63.6821   	0.600000	63.6822   	0.600000	75.6885   	0.600000	0.360082  	
0.700000	52.4314   	0.700000	79.3709   	0.700000	66.7871   	0.700000	66.7871   	0.700000	66.7871   	0.700000	79.0536   	0.700000	0.317361  	
0.800000	54.817    	0.800000	81.7496   	0.800000	69.5465   	0.800000	69.5465   	0.800000	69.5466   	0.800000	81.4653   	0.800000	0.284299  	
0.900000	56.9664   	0.900000	83.8489   	0.900000	71.753    	0.900000	71.753    	0.900000	71.753    	0.900000	83.591    	0.900000	0.257892  	
1.000000	58.68     	1.000000	85.4084   	1.000000	73.5318   	1.000000	73.5318   	1.000000	73.5318   	1.000000	85.1722   	1.000000	0.236274  	
1.250000	61.4404   	1.250000	87.5991   	1.250000	76.6195   	1.250000	76.6195   	1.250000	76.6196   	1.250000	87.403    	1.250000	0.196087  	
1.500000	62.609    	1.500000	87.923    	1.500000	78.3716   	1.500000	78.3716   	1.500000	78.3717   	1.500000	87.7548   	1.500000	0.168219  	
1.750000	62.5676   	1.750000	86.7347   	1.750000	79.2583   	1.750000	79.2583   	1.750000	79.2584   	1.750000	86.587    	1.750000	0.147675  	
2.000000	62.2412   	2.000000	85.4289   	2.000000	79.5656   	2.000000	79.5656   	2.000000	79.5657   	2.000000	85.297    	2.000000	0.131859  	
2.250000	61.831    	2.250000	84.067    	2.250000	79.4769   	2.250000	79.4769   	2.250000	79.4769   	2.250000	83.9477   	2.250000	0.119281  	
2.500000	88.2787   	2.500000	82.6759   	2.500000	79.114    	2.500000	79.114    	2.500000	79.114    	2.500000	82.5669   	2.500000	0.109021  	
3.000000	85.2409   	3.000000	79.8802   	3.000000	77.8725   	3.000000	77.8725   	3.000000	77.8726   	3.000000	79.7869   	3.000000	0.0932571 	
3.500000	82.0124   	3.500000	77.2079   	3.500000	76.2499   	3.500000	76.2499   	3.500000	76.25     	3.500000	77.1262   	3.500000	0.0816784 	
4.000000	78.8288   	4.000000	74.6786   	4.000000	74.4555   	4.000000	74.4555   	4.000000	74.4555   	4.000000	74.6058   	4.000000	0.0727903 	
4.500000	75.7877   	4.500000	72.2949   	4.500000	72.3609   	4.500000	72.3609   	4.500000	72.361    	4.500000	72.2291   	4.500000	0.0657388 	
5.000000	72.9257   	5.000000	70.0518   	5.000000	70.3005   	5.000000	70.3005   	5.000000	70.3005   	5.000000	69.9918   	5.000000	0.0599992 	
5.500000	70.2508   	5.500000	67.9361   	5.500000	68.349    	5.500000	68.349    	5.500000	68.349    	5.500000	67.8809   	5.500000	0.0552309 	
6.000000	67.7582   	6.000000	65.938    	6.000000	66.5011   	6.000000	66.5011   	6.000000	66.5011   	6.000000	65.8868   	6.000000	0.0512025 	
6.500000	65.4374   	6.500000	64.0596   	6.500000	64.7507   	6.500000	64.7507   	6.500000	64.7507   	6.500000	64.0119   	6.500000	0.0477514 	
7.000000	63.2756   	7.000000	62.2901   	7.000000	63.0914   	7.000000	63.0914   	7.000000	63.0915   	7.000000	62.2453   	7.000000	0.0447597 	
7.500000	61.2597   	7.500000	60.5939   	7.500000	61.5171   	7.500000	61.5171   	7.500000	61.5172   	7.500000	60.5518   	7.500000	0.0421399 	
8.000000	59.377    	8.000000	59.005    	8.000000	60.0218   	8.000000	60.0218   	8.000000	60.0219   	8.000000	58.9652   	8.000000	0.0398256 	
8.500000	57.6159   	8.500000	57.5101   	8.500000	58.6      	8.500000	58.6      	8.500000	58.6      	8.500000	57.4724   	8.500000	0.0377653 	
9.000000	55.9654   	9.000000	56.0988   	9.000000	57.2465   	9.000000	57.2465   	9.000000	57.2465   	9.000000	56.0629   	9.000000	0.0359187 	
9.500000	54.416    	9.500000	54.7618   	9.500000	55.9566   	9.500000	55.9566   	9.500000	55.9566   	9.500000	54.7275   	9.500000	0.0342536 	
10.000000	52.9587   	10.000000	51.2632   	10.000000	54.7259   	10.000000	54.7259   	10.000000	54.7259   	10.000000	51.2304   	10.000000	0.032744  	
11.000000	50.2901   	11.000000	49.6534   	11.000000	51.9767   	11.000000	52.5161   	11.000000	52.8762   	11.000000	49.6233   	11.000000	0.0301103 	
12.000000	47.9056   	12.000000	48.1121   	12.000000	49.5137   	12.000000	50.5016   	12.000000	51.1202   	12.000000	48.0842   	12.000000	0.0278882 	
13.000000	45.7619   	13.000000	46.6458   	13.000000	47.2956   	13.000000	48.6593   	13.000000	49.4606   	13.000000	46.6198   	13.000000	0.0259867 	
14.000000	43.8239   	14.000000	45.2557   	14.000000	45.2891   	14.000000	46.9694   	14.000000	47.8961   	14.000000	45.2313   	14.000000	0.0243401 	
15.000000	42.0628   	15.000000	43.9402   	15.000000	43.4676   	15.000000	45.4145   	15.000000	46.4233   	15.000000	43.9173   	15.000000	0.0228995 	
16.000000	40.4549   	16.000000	42.6963   	16.000000	41.808    	16.000000	43.9802   	16.000000	45.038    	16.000000	42.6746   	16.000000	0.021628  	
17.000000	38.9806   	17.000000	41.52     	17.000000	40.2908   	17.000000	42.6536   	17.000000	43.7353   	17.000000	41.4995   	17.000000	0.020497  	
18.000000	37.6236   	18.000000	40.4072   	18.000000	38.8997   	18.000000	41.4237   	18.000000	42.5081   	18.000000	40.3878   	18.000000	0.019484  	
19.000000	36.3701   	19.000000	39.3539   	19.000000	37.6207   	19.000000	40.2811   	19.000000	41.3539   	19.000000	39.3353   	19.000000	0.0185712 	
20.000000	35.2083   	20.000000	38.356    	20.000000	36.4417   	20.000000	39.2173   	20.000000	40.2686   	20.000000	38.3382   	20.000000	0.0177442 	
21.000000	34.1282   	21.000000	37.4096   	21.000000	35.3526   	21.000000	38.2252   	21.000000	39.2436   	21.000000	37.3926   	21.000000	0.0169912 	
22.000000	33.1214   	22.000000	36.5113   	22.000000	34.3449   	22.000000	37.2982   	22.000000	38.2795   	22.000000	36.495    	22.000000	0.0163026 	
23.000000	32.1804   	23.000000	35.6576   	23.000000	33.4112   	23.000000	36.4308   	23.000000	37.369    	23.000000	35.6419   	23.000000	0.0156703 	
24.000000	31.2987   	24.000000	34.8455   	24.000000	32.5447   	24.000000	35.6179   	24.000000	36.5106   	24.000000	34.8304   	24.000000	0.0150876 	
25.000000	30.4708   	25.000000	34.0721   	25.000000	31.7388   	25.000000	34.8551   	25.000000	35.6997   	25.000000	34.0575   	25.000000	0.0145487 	
27.000000	28.9572   	27.000000	32.6313   	27.000000	30.2859   	27.000000	33.4641   	27.000000	34.2097   	27.000000	32.6178   	27.000000	0.0135839 	
29.000000	27.607    	29.000000	31.3168   	29.000000	29.0202   	29.000000	32.2309   	29.000000	32.8772   	29.000000	31.3041   	29.000000	0.0127446 	
31.000000	26.3942   	31.000000	30.1128   	31.000000	27.9576   	31.000000	31.0224   	31.000000	31.5107   	31.000000	30.1008   	31.000000	0.0120076 	
33.000000	25.2984   	33.000000	29.0062   	33.000000	27.0272   	33.000000	29.8174   	33.000000	30.1244   	33.000000	28.9948   	33.000000	0.0113548 	
35.000000	24.3031   	35.000000	27.9856   	35.000000	26.1622   	35.000000	28.7114   	35.000000	28.8761   	35.000000	27.9748   	35.000000	0.0107726 	
38.000000	22.9693   	38.000000	26.5953   	38.000000	24.9768   	38.000000	27.2126   	38.000000	27.2188   	38.000000	26.5853   	38.000000	0.0100078 	
41.000000	21.7952   	41.000000	25.3504   	41.000000	23.9053   	41.000000	25.8777   	41.000000	25.7729   	41.000000	25.341    	41.000000	0.00934888	
44.000000	20.753    	44.000000	24.229    	44.000000	22.9331   	44.000000	24.6809   	44.000000	24.4989   	44.000000	24.2202   	44.000000	0.008775  	
47.000000	19.8212   	47.000000	23.2137   	47.000000	22.0485   	47.000000	23.6018   	47.000000	23.3669   	47.000000	23.2054   	47.000000	0.00827046	
50.000000	18.9826   	50.000000	22.29     	50.000000	21.2374   	50.000000	22.6236   	50.000000	22.3533   	50.000000	22.2822   	50.000000	0.00782323	
55.000000	17.7562   	55.000000	20.9228   	55.000000	20.0276   	55.000000	21.1819   	55.000000	20.8785   	55.000000	20.9156   	55.000000	0.00718064	
60.000000	16.7034   	60.000000	19.7342   	60.000000	18.9654   	60.000000	19.9344   	60.000000	19.6179   	60.000000	19.7276   	60.000000	0.00663967	
65.000000	15.7888   	65.000000	18.6914   	65.000000	18.0306   	65.000000	18.8444   	65.000000	18.5283   	65.000000	18.6852   	65.000000	0.00617768	
70.000000	14.9864   	70.000000	17.7689   	70.000000	17.1962   	70.000000	17.8838   	70.000000	17.5766   	70.000000	17.7631   	70.000000	0.00577833	
75.000000	14.2762   	75.000000	16.9471   	75.000000	16.4501   	75.000000	17.0309   	75.000000	16.7641   	75.000000	16.9416   	75.000000	0.00542953	
80.000000	13.6427   	80.000000	16.2103   	80.000000	15.7784   	80.000000	16.2685   	80.000000	16.0377   	80.000000	16.2052   	80.000000	0.00512213	
85.000000	13.074    	85.000000	15.546    	85.000000	15.1683   	85.000000	15.583    	85.000000	15.3839   	85.000000	15.5411   	85.000000	0.00484906	
90.000000	12.5603   	90.000000	14.944    	90.000000	14.6144   	90.000000	14.9633   	90.000000	14.793    	90.000000	14.9394   	90.000000	0.00460481	
95.000000	12.0939   	95.000000	14.3959   	95.000000	14.1099   	95.000000	14.4005   	95.000000	14.2575   	95.000000	14.3915   	95.000000	0.00438499	
100.000000	11.6682   	100.000000	13.8948   	100.000000	13.6453   	100.000000	13.8871   	100.000000	13.7692   	100.000000	13.8906   	100.000000	0.00418605	
105.000000	11.2781   	105.000000	13.4349   	105.000000	13.2187   	105.000000	13.4168   	105.000000	13.3216   	105.000000	13.4309   	105.000000	0.00400511	
110.000000	10.9192   	110.000000	13.0114   	110.000000	12.8247   	110.000000	12.9845   	110.000000	12.9111   	110.000000	13.0075   	110.000000	0.0038398 	
115.000000	10.5878   	115.000000	12.62     	115.000000	12.4591   	115.000000	12.5858   	115.000000	12.5314   	115.000000	12.6163   	115.000000	0.00368816	
120.000000	10.2808   	120.000000	12.2574   	120.000000	12.12     	120.000000	12.217    	120.000000	12.1809   	120.000000	12.2538   	120.000000	0.00354853	
125.000000	9.9954    	125.000000	11.9203   	125.000000	11.8047   	125.000000	11.8748   	125.000000	11.8549   	125.000000	11.9169   	125.000000	0.00341952	
