! 109Pd energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	12.1104   	0.001000	14.7397   	0.001000	12.6285   	0.001000	12.6285   	0.001000	12.6291   	0.001000	3.66973   	0.001000	11.07     	
0.002000	12.5062   	0.002000	15.1662   	0.002000	12.6111   	0.002000	12.6111   	0.002000	12.6116   	0.002000	4.75905   	0.002000	10.4071   	
0.005000	12.4902   	0.005000	15.0059   	0.005000	11.7801   	0.005000	11.7801   	0.005000	11.7804   	0.005000	6.71039   	0.005000	8.29547   	
0.008000	12.514    	0.008000	14.9293   	0.008000	11.3332   	0.008000	11.3332   	0.008000	11.3334   	0.008000	8.00374   	0.008000	6.92556   	
0.010000	12.5952   	0.010000	14.9706   	0.010000	11.1961   	0.010000	11.1961   	0.010000	11.1963   	0.010000	8.7023    	0.010000	6.26829   	
0.015000	12.9223   	0.015000	15.2525   	0.015000	11.1564   	0.015000	11.1564   	0.015000	11.1565   	0.015000	10.1314   	0.015000	5.12108   	
0.020000	13.3298   	0.020000	15.657    	0.020000	11.3404   	0.020000	11.3404   	0.020000	11.3405   	0.020000	11.2855   	0.020000	4.37149   	
0.025000	13.7625   	0.025000	16.1077   	0.025000	11.6287   	0.025000	11.6287   	0.025000	11.6288   	0.025000	12.2705   	0.025000	3.83724   	
0.030000	14.1985   	0.030000	16.5728   	0.030000	11.9692   	0.030000	11.9692   	0.030000	11.9693   	0.030000	13.1388   	0.030000	3.43407   	
0.035000	14.6282   	0.035000	17.0379   	0.035000	12.3362   	0.035000	12.3362   	0.035000	12.3363   	0.035000	13.9207   	0.035000	3.11727   	
0.040000	15.0476   	0.040000	17.4962   	0.040000	12.7162   	0.040000	12.7162   	0.040000	12.7163   	0.040000	14.6355   	0.040000	2.86073   	
0.045000	15.455    	0.045000	17.9445   	0.045000	13.1014   	0.045000	13.1014   	0.045000	13.1014   	0.045000	15.2964   	0.045000	2.64809   	
0.050000	15.85     	0.050000	18.3814   	0.050000	13.4872   	0.050000	13.4872   	0.050000	13.4873   	0.050000	15.9129   	0.050000	2.46853   	
0.055000	16.2328   	0.055000	18.8065   	0.055000	13.8711   	0.055000	13.8711   	0.055000	13.8712   	0.055000	16.4919   	0.055000	2.31459   	
0.060000	16.934    	0.060000	19.2198   	0.060000	14.2513   	0.060000	14.2513   	0.060000	14.2514   	0.060000	17.0389   	0.060000	2.18093   	
0.070000	18.8111   	0.070000	20.1297   	0.070000	15.089    	0.070000	15.089    	0.070000	15.089    	0.070000	18.17     	0.070000	1.95974   	
0.080000	20.8104   	0.080000	22.8135   	0.080000	17.364    	0.080000	17.364    	0.080000	17.3641   	0.080000	21.0467   	0.080000	1.76685   	
0.090000	22.6465   	0.090000	25.4629   	0.090000	19.6835   	0.090000	19.6835   	0.090000	19.6835   	0.090000	23.8382   	0.090000	1.62468   	
0.100000	24.3241   	0.100000	28.032    	0.100000	21.9923   	0.100000	21.9923   	0.100000	21.9924   	0.100000	26.5262   	0.100000	1.5058    	
0.120000	26.69     	0.120000	32.8592   	0.120000	26.4771   	0.120000	26.4771   	0.120000	26.4771   	0.120000	31.5415   	0.120000	1.31769   	
0.140000	28.6844   	0.140000	37.2212   	0.140000	30.6755   	0.140000	30.6755   	0.140000	30.6755   	0.140000	36.0462   	0.140000	1.175     	
0.160000	30.4934   	0.160000	41.1187   	0.160000	34.5173   	0.160000	34.5173   	0.160000	34.5173   	0.160000	40.056    	0.160000	1.06266   	
0.180000	32.2216   	0.180000	44.5877   	0.180000	37.9795   	0.180000	37.9795   	0.180000	37.9796   	0.180000	43.6161   	0.180000	0.971655  	
0.200000	33.9206   	0.200000	47.6765   	0.200000	41.069    	0.200000	41.069    	0.200000	41.0691   	0.200000	46.7802   	0.200000	0.896284  	
0.250000	36.9466   	0.250000	54.044    	0.250000	47.3398   	0.250000	47.3398   	0.250000	47.3399   	0.250000	53.29     	0.250000	0.753955  	
0.300000	39.7624   	0.300000	58.955    	0.300000	51.9681   	0.300000	51.9681   	0.300000	51.9681   	0.300000	58.3016   	0.300000	0.653439  	
0.350000	42.3449   	0.350000	62.8389   	0.350000	55.4512   	0.350000	55.4512   	0.350000	55.4513   	0.350000	62.2606   	0.350000	0.578312  	
0.400000	44.6818   	0.400000	65.9775   	0.400000	58.1595   	0.400000	58.1595   	0.400000	58.1596   	0.400000	65.4576   	0.400000	0.519834  	
0.450000	47.1304   	0.450000	68.8757   	0.450000	60.3423   	0.450000	60.3423   	0.450000	60.3424   	0.450000	68.4028   	0.450000	0.472903  	
0.500000	49.6199   	0.500000	72.0523   	0.500000	62.1608   	0.500000	62.1608   	0.500000	62.1608   	0.500000	71.618    	0.500000	0.434331  	
0.600000	51.9499   	0.600000	76.9352   	0.600000	65.0788   	0.600000	65.0788   	0.600000	65.0789   	0.600000	76.5607   	0.600000	0.374514  	
