! 114Ag energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	12.3396   	0.001000	15.0253   	0.001000	12.8652   	0.001000	12.8652   	0.001000	12.8657   	0.001000	3.72848   	0.001000	11.2969   	
0.002000	12.7549   	0.002000	15.4877   	0.002000	12.8702   	0.002000	12.8702   	0.002000	12.8707   	0.002000	4.83524   	0.002000	10.6524   	
0.005000	12.737    	0.005000	15.3453   	0.005000	12.0339   	0.005000	12.0339   	0.005000	12.0342   	0.005000	6.81783   	0.005000	8.52743   	
0.008000	12.7489   	0.008000	15.2657   	0.008000	11.5691   	0.008000	11.5691   	0.008000	11.5694   	0.008000	8.13188   	0.008000	7.13386   	
0.010000	12.8232   	0.010000	15.3043   	0.010000	11.4214   	0.010000	11.4214   	0.010000	11.4216   	0.010000	8.84163   	0.010000	6.46264   	
0.015000	13.1374   	0.015000	15.5813   	0.015000	11.3609   	0.015000	11.3609   	0.015000	11.361    	0.015000	10.2936   	0.015000	5.28774   	
0.020000	13.5367   	0.020000	15.9842   	0.020000	11.5306   	0.020000	11.5306   	0.020000	11.5307   	0.020000	11.4662   	0.020000	4.51799   	
0.025000	13.9642   	0.025000	16.4354   	0.025000	11.8088   	0.025000	11.8088   	0.025000	11.8089   	0.025000	12.4669   	0.025000	3.96846   	
0.030000	14.3969   	0.030000	16.9024   	0.030000	12.1419   	0.030000	12.1419   	0.030000	12.142    	0.030000	13.3491   	0.030000	3.55327   	
0.035000	14.8245   	0.035000	17.3703   	0.035000	12.5035   	0.035000	12.5035   	0.035000	12.5036   	0.035000	14.1435   	0.035000	3.22674   	
0.040000	15.2428   	0.040000	17.8319   	0.040000	12.8794   	0.040000	12.8794   	0.040000	12.8795   	0.040000	14.8698   	0.040000	2.96214   	
0.045000	15.6496   	0.045000	18.284    	0.045000	13.2615   	0.045000	13.2615   	0.045000	13.2616   	0.045000	15.5413   	0.045000	2.7427    	
0.050000	16.0446   	0.050000	18.7249   	0.050000	13.6451   	0.050000	13.6451   	0.050000	13.6452   	0.050000	16.1676   	0.050000	2.55732   	
0.055000	16.4277   	0.055000	19.1542   	0.055000	14.0273   	0.055000	14.0273   	0.055000	14.0273   	0.055000	16.7559   	0.055000	2.39832   	
0.060000	16.8752   	0.060000	19.5719   	0.060000	14.4063   	0.060000	14.4063   	0.060000	14.4063   	0.060000	17.3117   	0.060000	2.26022   	
0.070000	18.9795   	0.070000	20.3735   	0.070000	15.1508   	0.070000	15.1508   	0.070000	15.1509   	0.070000	18.3419   	0.070000	2.03159   	
0.080000	21.2129   	0.080000	23.0705   	0.080000	17.2253   	0.080000	17.2253   	0.080000	17.2253   	0.080000	21.2211   	0.080000	1.84947   	
0.090000	23.2833   	0.090000	26.0366   	0.090000	19.535    	0.090000	19.535    	0.090000	19.5351   	0.090000	24.3516   	0.090000	1.68491   	
0.100000	25.1884   	0.100000	28.9473   	0.100000	21.8569   	0.100000	21.8569   	0.100000	21.8569   	0.100000	27.3854   	0.100000	1.56193   	
0.120000	27.8307   	0.120000	34.4508   	0.120000	26.3792   	0.120000	26.3792   	0.120000	26.3793   	0.120000	33.0836   	0.120000	1.36723   	
0.140000	29.7398   	0.140000	38.9757   	0.140000	30.6257   	0.140000	30.6257   	0.140000	30.6257   	0.140000	37.7562   	0.140000	1.21947   	
0.160000	31.4734   	0.160000	42.7874   	0.160000	34.5214   	0.160000	34.5214   	0.160000	34.5214   	0.160000	41.6843   	0.160000	1.10308   	
0.180000	33.1376   	0.180000	46.1654   	0.180000	38.0402   	0.180000	38.0402   	0.180000	38.0403   	0.180000	45.1566   	0.180000	1.00877   	
0.200000	34.783    	0.200000	49.1637   	0.200000	41.1869   	0.200000	41.1869   	0.200000	41.1869   	0.200000	48.2331   	0.200000	0.93065   	
0.250000	37.6868   	0.250000	55.3266   	0.250000	47.5946   	0.250000	47.5946   	0.250000	47.5946   	0.250000	54.5435   	0.250000	0.78307   	
0.300000	40.4214   	0.300000	60.0749   	0.300000	52.345    	0.300000	52.345    	0.300000	52.345    	0.300000	59.3961   	0.300000	0.678807  	
0.350000	42.9495   	0.350000	63.8363   	0.350000	55.9344   	0.350000	55.9344   	0.350000	55.9344   	0.350000	63.2354   	0.350000	0.600857  	
0.400000	45.2506   	0.400000	66.8859   	0.400000	58.7351   	0.400000	58.7351   	0.400000	58.7351   	0.400000	66.3458   	0.400000	0.540168  	
0.450000	47.5392   	0.450000	69.4321   	0.450000	60.9989   	0.450000	60.9989   	0.450000	60.999    	0.450000	68.9406   	0.450000	0.491454  	
0.500000	50.1771   	0.500000	72.8379   	0.500000	62.8893   	0.500000	62.8893   	0.500000	62.8893   	0.500000	72.3865   	0.500000	0.451409  	
0.600000	52.7348   	0.600000	78.0999   	0.600000	65.9306   	0.600000	65.9306   	0.600000	65.9307   	0.600000	77.7106   	0.600000	0.389299  	
0.700000	54.0762   	0.700000	81.8729   	0.700000	68.3267   	0.700000	68.3267   	0.700000	68.3267   	0.700000	81.5297   	0.700000	0.343196  	
0.800000	56.7122   	0.800000	84.6133   	0.800000	71.2674   	0.800000	71.2674   	0.800000	71.2675   	0.800000	84.3058   	0.800000	0.307505  	
0.900000	58.9266   	0.900000	86.7565   	0.900000	73.7001   	0.900000	73.7001   	0.900000	73.7002   	0.900000	86.4775   	0.900000	0.27899   	
1.000000	60.7875   	1.000000	88.4982   	1.000000	75.6775   	1.000000	75.6775   	1.000000	75.6775   	1.000000	88.2425   	1.000000	0.255642  	
1.250000	63.8358   	1.250000	91.0357   	1.250000	79.1674   	1.250000	79.1674   	1.250000	79.1674   	1.250000	90.8234   	1.250000	0.212223  	
1.500000	65.4911   	1.500000	91.9658   	1.500000	81.222    	1.500000	81.222    	1.500000	81.222    	1.500000	91.7837   	1.500000	0.182103  	
1.750000	65.4686   	1.750000	90.8013   	1.750000	82.3403   	1.750000	82.3403   	1.750000	82.3403   	1.750000	90.6414   	1.750000	0.159892  	
2.000000	65.1386   	2.000000	89.4342   	2.000000	82.827    	2.000000	82.827    	2.000000	82.8271   	2.000000	89.2914   	2.000000	0.142789  	
2.250000	64.7334   	2.250000	88.031    	2.250000	82.8784   	2.250000	82.8784   	2.250000	82.8785   	2.250000	87.9018   	2.250000	0.129185  	
2.500000	93.6651   	2.500000	86.6196   	2.500000	82.6254   	2.500000	82.6254   	2.500000	82.6255   	2.500000	86.5015   	2.500000	0.118087  	
3.000000	90.6144   	3.000000	83.8346   	3.000000	81.5376   	3.000000	81.5376   	3.000000	81.5376   	3.000000	83.7336   	3.000000	0.10103   	
3.500000	87.3161   	3.500000	81.1523   	3.500000	80.0074   	3.500000	80.0074   	3.500000	80.0075   	3.500000	81.0638   	3.500000	0.0884996 	
4.000000	84.0337   	4.000000	78.5996   	4.000000	78.2649   	4.000000	78.2649   	4.000000	78.265    	4.000000	78.5207   	4.000000	0.078879  	
4.500000	80.88     	4.500000	76.1729   	4.500000	76.3383   	4.500000	76.3383   	4.500000	76.3383   	4.500000	76.1016   	4.500000	0.0712451 	
5.000000	77.8995   	5.000000	73.8672   	5.000000	74.242    	5.000000	74.242    	5.000000	74.242    	5.000000	73.8022   	5.000000	0.0650307 	
5.500000	75.105    	5.500000	71.7022   	5.500000	72.2505   	5.500000	72.2505   	5.500000	72.2506   	5.500000	71.6424   	5.500000	0.0598673 	
6.000000	72.4945   	6.000000	69.6746   	6.000000	70.36     	6.000000	70.36     	6.000000	70.36     	6.000000	69.6191   	6.000000	0.0555047 	
6.500000	70.0587   	6.500000	67.7632   	6.500000	68.5651   	6.500000	68.5651   	6.500000	68.5652   	6.500000	67.7114   	6.500000	0.0517669 	
7.000000	67.7859   	7.000000	65.9549   	7.000000	66.8603   	7.000000	66.8603   	7.000000	66.8604   	7.000000	65.9063   	7.000000	0.0485265 	
7.500000	65.6632   	7.500000	64.2356   	7.500000	65.2399   	7.500000	65.2399   	7.500000	65.24     	7.500000	64.1899   	7.500000	0.0456887 	
8.000000	63.6782   	8.000000	62.5849   	8.000000	63.6983   	8.000000	63.6983   	8.000000	63.6984   	8.000000	62.5417   	8.000000	0.0431816 	
8.500000	61.8191   	8.500000	61.0321   	8.500000	62.2303   	8.500000	62.2303   	8.500000	62.2303   	8.500000	60.9911   	8.500000	0.0409496 	
9.000000	60.0751   	9.000000	59.566    	9.000000	60.8309   	9.000000	60.8309   	9.000000	60.8309   	9.000000	59.5271   	9.000000	0.0389489 	
9.500000	58.4362   	9.500000	58.1776   	9.500000	59.4955   	9.500000	59.4955   	9.500000	59.4955   	9.500000	58.1405   	9.500000	0.0371448 	
10.000000	56.8935   	10.000000	54.4941   	10.000000	58.2199   	10.000000	58.2199   	10.000000	58.2199   	10.000000	54.4586   	10.000000	0.0355091 	
11.000000	54.065    	11.000000	52.8454   	11.000000	55.3374   	11.000000	55.9296   	11.000000	56.3444   	11.000000	52.8128   	11.000000	0.0326552 	
12.000000	51.5344   	12.000000	51.2599   	12.000000	52.7501   	12.000000	53.8377   	12.000000	54.5536   	12.000000	51.2297   	12.000000	0.0302471 	
13.000000	49.2565   	13.000000	49.7462   	13.000000	50.4172   	13.000000	51.9213   	13.000000	52.853    	13.000000	49.718    	13.000000	0.0281863 	
14.000000	47.195    	14.000000	48.307    	14.000000	48.3053   	14.000000	50.1608   	14.000000	51.2434   	14.000000	48.2806   	14.000000	0.0264016 	
15.000000	45.32     	15.000000	46.9417   	15.000000	46.386    	15.000000	48.5389   	15.000000	49.7231   	15.000000	46.9168   	15.000000	0.0248402 	
16.000000	43.6066   	16.000000	45.6477   	16.000000	44.635    	16.000000	47.0409   	16.000000	48.2887   	16.000000	45.6243   	16.000000	0.0234619 	
17.000000	42.0344   	17.000000	44.4219   	17.000000	43.0321   	17.000000	45.6538   	17.000000	46.9365   	17.000000	44.3996   	17.000000	0.0222358 	
18.000000	40.5863   	18.000000	43.2602   	18.000000	41.5608   	18.000000	44.3667   	18.000000	45.6594   	18.000000	43.2391   	18.000000	0.0211376 	
19.000000	39.2477   	19.000000	42.1589   	19.000000	40.2073   	19.000000	43.1697   	19.000000	44.4558   	19.000000	42.1388   	19.000000	0.020148  	
20.000000	38.0063   	20.000000	41.114    	20.000000	38.9597   	20.000000	42.0545   	20.000000	43.3218   	20.000000	41.0948   	20.000000	0.0192514 	
21.000000	36.8516   	21.000000	40.1219   	21.000000	37.8072   	21.000000	41.0135   	21.000000	42.2488   	21.000000	40.1034   	21.000000	0.018435  	
22.000000	35.7747   	22.000000	39.1789   	22.000000	36.7403   	22.000000	40.0402   	22.000000	41.238    	22.000000	39.1612   	22.000000	0.0176884 	
23.000000	34.7676   	23.000000	38.2818   	23.000000	35.7512   	23.000000	39.1288   	23.000000	40.282    	23.000000	38.2648   	23.000000	0.0170028 	
24.000000	33.8237   	24.000000	37.4276   	24.000000	34.833    	24.000000	38.2742   	24.000000	39.3793   	24.000000	37.4112   	24.000000	0.0163709 	
25.000000	32.9369   	25.000000	36.6133   	25.000000	33.9789   	25.000000	37.4718   	25.000000	38.5255   	25.000000	36.5975   	25.000000	0.0157866 	
27.000000	31.3148   	27.000000	35.0942   	27.000000	32.4382   	27.000000	36.0076   	27.000000	36.9538   	27.000000	35.0795   	27.000000	0.0147403 	
29.000000	29.8665   	29.000000	33.706    	29.000000	31.0963   	29.000000	34.7082   	29.000000	35.545    	29.000000	33.6922   	29.000000	0.0138302 	
