! 114Cd energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	12.5224   	0.001000	15.2741   	0.001000	12.9496   	0.001000	12.9496   	0.001000	12.9501   	0.001000	3.76902   	0.001000	11.5051   	
0.002000	12.9585   	0.002000	15.7706   	0.002000	12.9255   	0.002000	12.9255   	0.002000	12.926    	0.002000	4.88781   	0.002000	10.8828   	
0.005000	12.9404   	0.005000	15.6428   	0.005000	11.9805   	0.005000	11.9805   	0.005000	11.9809   	0.005000	6.89195   	0.005000	8.7509    	
0.008000	12.9394   	0.008000	15.5569   	0.008000	11.4217   	0.008000	11.4217   	0.008000	11.422    	0.008000	8.22028   	0.008000	7.33663   	
0.010000	13.0056   	0.010000	15.5904   	0.010000	11.2199   	0.010000	11.2199   	0.010000	11.2201   	0.010000	8.93775   	0.010000	6.65262   	
0.015000	13.3035   	0.015000	15.8572   	0.015000	11.0454   	0.015000	11.0454   	0.015000	11.0456   	0.015000	10.4055   	0.015000	5.45172   	
0.020000	13.6911   	0.020000	16.2535   	0.020000	11.1217   	0.020000	11.1217   	0.020000	11.1218   	0.020000	11.5908   	0.020000	4.66271   	
0.025000	14.11     	0.025000	16.7009   	0.025000	11.3198   	0.025000	11.3198   	0.025000	11.3199   	0.025000	12.6025   	0.025000	4.09843   	
0.030000	14.5363   	0.030000	17.1658   	0.030000	11.5821   	0.030000	11.5821   	0.030000	11.5822   	0.030000	13.4942   	0.030000	3.67157   	
0.035000	14.959    	0.035000	17.6328   	0.035000	11.8799   	0.035000	11.8799   	0.035000	11.88     	0.035000	14.2973   	0.035000	3.33555   	
0.040000	15.3733   	0.040000	18.0945   	0.040000	12.1974   	0.040000	12.1974   	0.040000	12.1975   	0.040000	15.0314   	0.040000	3.06307   	
0.045000	15.7771   	0.045000	18.5472   	0.045000	12.5253   	0.045000	12.5253   	0.045000	12.5254   	0.045000	15.7102   	0.045000	2.83696   	
0.050000	16.1696   	0.050000	18.9892   	0.050000	12.8583   	0.050000	12.8583   	0.050000	12.8584   	0.050000	16.3434   	0.050000	2.64585   	
0.055000	16.5507   	0.055000	19.4199   	0.055000	13.1928   	0.055000	13.1928   	0.055000	13.1928   	0.055000	16.9381   	0.055000	2.48187   	
0.060000	16.9206   	0.060000	19.8393   	0.060000	13.5266   	0.060000	13.5266   	0.060000	13.5266   	0.060000	17.4999   	0.060000	2.33939   	
0.070000	18.6239   	0.070000	20.6447   	0.070000	14.1869   	0.070000	14.1869   	0.070000	14.187    	0.070000	18.5413   	0.070000	2.10341   	
0.080000	20.6657   	0.080000	22.6934   	0.080000	15.8719   	0.080000	15.8719   	0.080000	15.8719   	0.080000	20.7781   	0.080000	1.91534   	
0.090000	22.5251   	0.090000	25.3625   	0.090000	18.1284   	0.090000	18.1284   	0.090000	18.1285   	0.090000	23.6173   	0.090000	1.7452    	
0.100000	24.2453   	0.100000	27.9781   	0.100000	20.4161   	0.100000	20.4161   	0.100000	20.4161   	0.100000	26.36     	0.100000	1.61814   	
0.120000	26.7053   	0.120000	32.9155   	0.120000	24.9144   	0.120000	24.9144   	0.120000	24.9145   	0.120000	31.4986   	0.120000	1.4169    	
0.140000	28.7921   	0.140000	37.4002   	0.140000	29.1821   	0.140000	29.1821   	0.140000	29.1822   	0.140000	36.1361   	0.140000	1.26408   	
0.160000	30.6896   	0.160000	41.4247   	0.160000	33.1306   	0.160000	33.1306   	0.160000	33.1306   	0.160000	40.281    	0.160000	1.14367   	
0.180000	32.5026   	0.180000	45.0204   	0.180000	36.7233   	0.180000	36.7233   	0.180000	36.7234   	0.180000	43.9743   	0.180000	1.04607   	
0.200000	34.2835   	0.200000	48.2324   	0.200000	39.957    	0.200000	39.957    	0.200000	39.957    	0.200000	47.2672   	0.200000	0.965195  	
0.250000	37.4896   	0.250000	54.8856   	0.250000	46.6064   	0.250000	46.6064   	0.250000	46.6065   	0.250000	54.0733   	0.250000	0.812364  	
0.300000	40.4674   	0.300000	60.0472   	0.300000	51.5971   	0.300000	51.5971   	0.300000	51.5971   	0.300000	59.3429   	0.300000	0.704347  	
0.350000	43.1976   	0.350000	64.1493   	0.350000	55.4063   	0.350000	55.4063   	0.350000	55.4064   	0.350000	63.5257   	0.350000	0.623567  	
0.400000	45.6698   	0.400000	67.4785   	0.400000	58.4019   	0.400000	58.4019   	0.400000	58.4019   	0.400000	66.9179   	0.400000	0.560659  	
0.450000	47.8913   	0.450000	70.2273   	0.450000	60.837    	0.450000	60.837    	0.450000	60.837    	0.450000	69.7172   	0.450000	0.510154  	
0.500000	50.7472   	0.500000	73.6206   	0.500000	62.8779   	0.500000	62.8779   	0.500000	62.878    	0.500000	73.152    	0.500000	0.468631  	
0.600000	53.6588   	0.600000	79.4748   	0.600000	66.1708   	0.600000	66.1708   	0.600000	66.1709   	0.600000	79.0706   	0.600000	0.404215  	
0.700000	55.2599   	0.700000	83.7082   	0.700000	68.9332   	0.700000	68.9332   	0.700000	68.9332   	0.700000	83.3518   	0.700000	0.35639   	
0.800000	58.137    	0.800000	86.8089   	0.800000	72.0832   	0.800000	72.0832   	0.800000	72.0832   	0.800000	86.4895   	0.800000	0.31936   	
0.900000	60.4168   	0.900000	89.0709   	0.900000	74.6298   	0.900000	74.6298   	0.900000	74.6299   	0.900000	88.7812   	0.900000	0.289771  	
1.000000	62.1997   	1.000000	90.6459   	1.000000	76.7074   	1.000000	76.7074   	1.000000	76.7075   	1.000000	90.3803   	1.000000	0.26554   	
1.250000	65.103    	1.250000	92.8832   	1.250000	80.4012   	1.250000	80.4012   	1.250000	80.4012   	1.250000	92.6628   	1.250000	0.220474  	
1.500000	66.6659   	1.500000	93.6236   	1.500000	82.61     	1.500000	82.61     	1.500000	82.6101   	1.500000	93.4344   	1.500000	0.189204  	
1.750000	66.7785   	1.750000	92.6282   	1.750000	83.8471   	1.750000	83.8471   	1.750000	83.8471   	1.750000	92.4621   	1.750000	0.166143  	
