! 117In energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000226483	0.001000	0.000276362	0.001000	0.000239543	0.001000	0.000239543	0.001000	0.000239553	0.001000	6.53729e-05	0.001000	0.000210989	
0.002000	0.000233918	0.002000	0.000284942	0.002000	0.000240544	0.002000	0.000240544	0.002000	0.000240553	0.002000	8.47781e-05	0.002000	0.000200164	
0.005000	0.000232179	0.005000	0.000281174	0.005000	0.000225477	0.005000	0.000225477	0.005000	0.000225483	0.005000	0.000119539	0.005000	0.000161634	
0.008000	0.000231012	0.008000	0.000278368	0.008000	0.000216543	0.008000	0.000216543	0.008000	0.000216548	0.008000	0.000142579	0.008000	0.000135789	
0.010000	0.000231565	0.010000	0.000278264	0.010000	0.000213526	0.010000	0.000213526	0.010000	0.000213529	0.010000	0.000155023	0.010000	0.00012324	
0.015000	0.000235634	0.015000	0.000281625	0.015000	0.000211719	0.015000	0.000211719	0.015000	0.000211722	0.015000	0.000180481	0.015000	0.000101144	
0.020000	0.000241599	0.020000	0.000287628	0.020000	0.000214268	0.020000	0.000214268	0.020000	0.00021427	0.020000	0.000201041	0.020000	8.65873e-05	
0.025000	0.000248306	0.025000	0.000294746	0.025000	0.00021891	0.025000	0.00021891	0.025000	0.000218912	0.025000	0.000218587	0.025000	7.6159e-05	
0.030000	0.000255262	0.030000	0.000302316	0.030000	0.000224636	0.030000	0.000224636	0.030000	0.000224638	0.030000	0.000234055	0.030000	6.82611e-05	
0.035000	0.000262243	0.035000	0.000310022	0.035000	0.000230943	0.035000	0.000230943	0.035000	0.000230945	0.035000	0.000247984	0.035000	6.20385e-05	
0.040000	0.000269139	0.040000	0.000317706	0.040000	0.000237555	0.040000	0.000237555	0.040000	0.000237557	0.040000	0.000260717	0.040000	5.6989e-05	
0.045000	0.000275897	0.045000	0.000325287	0.045000	0.000244316	0.045000	0.000244316	0.045000	0.000244317	0.045000	0.000272491	0.045000	5.27965e-05	
0.050000	0.000282494	0.050000	0.000332724	0.050000	0.00025113	0.050000	0.00025113	0.050000	0.000251131	0.050000	0.000283473	0.050000	4.92512e-05	
0.055000	0.00028892	0.055000	0.000339996	0.055000	0.00025794	0.055000	0.00025794	0.055000	0.000257941	0.055000	0.000293788	0.055000	4.6208e-05	
0.060000	0.000295175	0.060000	0.000347095	0.060000	0.00026471	0.060000	0.00026471	0.060000	0.000264711	0.060000	0.000303532	0.060000	4.3563e-05	
0.070000	0.000321495	0.070000	0.000360775	0.070000	0.000278046	0.070000	0.000278046	0.070000	0.000278047	0.070000	0.000321595	0.070000	3.91804e-05	
