! 119Sn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	12.7723   	0.001000	15.6053   	0.001000	13.5278   	0.001000	13.5278   	0.001000	13.5283   	0.001000	3.67217   	0.001000	11.9331   	
0.002000	13.2044   	0.002000	16.116    	0.002000	13.6089   	0.002000	13.6089   	0.002000	13.6094   	0.002000	4.76222   	0.002000	11.3538   	
0.005000	13.105    	0.005000	15.9217   	0.005000	12.7722   	0.005000	12.7722   	0.005000	12.7726   	0.005000	6.71486   	0.005000	9.20683   	
0.008000	13.0257   	0.008000	15.7595   	0.008000	12.2603   	0.008000	12.2603   	0.008000	12.2606   	0.008000	8.00907   	0.008000	7.75046   	
0.010000	13.0475   	0.010000	15.7486   	0.010000	12.0826   	0.010000	12.0826   	0.010000	12.0829   	0.010000	8.7081    	0.010000	7.04052   	
0.015000	13.2558   	0.015000	15.925    	0.015000	11.9621   	0.015000	11.9621   	0.015000	11.9622   	0.015000	10.1381   	0.015000	5.78683   	
0.020000	13.5744   	0.020000	16.2517   	0.020000	12.0892   	0.020000	12.0892   	0.020000	12.0893   	0.020000	11.293    	0.020000	4.95865   	
0.025000	13.9374   	0.025000	16.643    	0.025000	12.3365   	0.025000	12.3365   	0.025000	12.3366   	0.025000	12.2787   	0.025000	4.36434   	
0.030000	14.3167   	0.030000	17.0612   	0.030000	12.6467   	0.030000	12.6467   	0.030000	12.6468   	0.030000	13.1475   	0.030000	3.91371   	
0.035000	14.6989   	0.035000	17.4883   	0.035000	12.9911   	0.035000	12.9911   	0.035000	12.9912   	0.035000	13.9299   	0.035000	3.55835   	
0.040000	15.0775   	0.040000	17.915    	0.040000	13.3538   	0.040000	13.3538   	0.040000	13.3539   	0.040000	14.6452   	0.040000	3.26978   	
0.045000	15.4493   	0.045000	18.3366   	0.045000	13.7257   	0.045000	13.7257   	0.045000	13.7258   	0.045000	15.3066   	0.045000	3.03006   	
0.050000	15.8128   	0.050000	18.7507   	0.050000	14.1015   	0.050000	14.1015   	0.050000	14.1015   	0.050000	15.9234   	0.050000	2.82725   	
