! 123Sb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	12.9715   	0.001000	15.8628   	0.001000	13.7517   	0.001000	13.7517   	0.001000	13.7523   	0.001000	3.7136    	0.001000	12.1492   	
0.002000	13.4213   	0.002000	16.4075   	0.002000	13.8577   	0.002000	13.8577   	0.002000	13.8582   	0.002000	4.81595   	0.002000	11.5915   	
0.005000	13.3163   	0.005000	16.228    	0.005000	13.0203   	0.005000	13.0203   	0.005000	13.0207   	0.005000	6.79062   	0.005000	9.4374    	
0.008000	13.2214   	0.008000	16.0596   	0.008000	12.4922   	0.008000	12.4922   	0.008000	12.4924   	0.008000	8.09943   	0.008000	7.96015   	
0.010000	13.2338   	0.010000	16.0436   	0.010000	12.3042   	0.010000	12.3042   	0.010000	12.3044   	0.010000	8.80634   	0.010000	7.23727   	
0.015000	13.4232   	0.015000	16.2096   	0.015000	12.1627   	0.015000	12.1627   	0.015000	12.1629   	0.015000	10.2525   	0.015000	5.95711   	
0.020000	13.7283   	0.020000	16.5296   	0.020000	12.2748   	0.020000	12.2748   	0.020000	12.2749   	0.020000	11.4204   	0.020000	5.1092    	
0.025000	14.0814   	0.025000	16.9169   	0.025000	12.511    	0.025000	12.511    	0.025000	12.5112   	0.025000	12.4172   	0.025000	4.49973   	
0.030000	14.453    	0.030000	17.3329   	0.030000	12.813    	0.030000	12.813    	0.030000	12.8131   	0.030000	13.2958   	0.030000	4.03708   	
0.035000	14.8293   	0.035000	17.759    	0.035000	13.151    	0.035000	13.151    	0.035000	13.1511   	0.035000	14.0871   	0.035000	3.67192   	
0.040000	15.2031   	0.040000	18.1856   	0.040000	13.5087   	0.040000	13.5087   	0.040000	13.5088   	0.040000	14.8104   	0.040000	3.3752    	
0.045000	15.5711   	0.045000	18.6078   	0.045000	13.8768   	0.045000	13.8768   	0.045000	13.8769   	0.045000	15.4793   	0.045000	3.12857   	
0.050000	15.9314   	0.050000	19.0229   	0.050000	14.2494   	0.050000	14.2494   	0.050000	14.2495   	0.050000	16.1031   	0.050000	2.91982   	
0.055000	16.2833   	0.055000	19.4295   	0.055000	14.6231   	0.055000	14.6231   	0.055000	14.6232   	0.055000	16.6891   	0.055000	2.74049   	
0.060000	16.6265   	0.060000	19.8271   	0.060000	14.9955   	0.060000	14.9955   	0.060000	14.9955   	0.060000	17.2426   	0.060000	2.58452   	
0.070000	17.5422   	0.070000	20.5946   	0.070000	15.7312   	0.070000	15.7312   	0.070000	15.7313   	0.070000	18.2687   	0.070000	2.32587   	
0.080000	19.5819   	0.080000	21.3907   	0.080000	16.5028   	0.080000	16.5028   	0.080000	16.5029   	0.080000	19.2712   	0.080000	2.11943   	
0.090000	21.4624   	0.090000	24.0413   	0.090000	18.8217   	0.090000	18.8217   	0.090000	18.8217   	0.090000	22.1093   	0.090000	1.93199   	
0.100000	23.2229   	0.100000	26.6659   	0.100000	21.1779   	0.100000	21.1779   	0.100000	21.178    	0.100000	24.8735   	0.100000	1.79237   	
0.120000	25.8181   	0.120000	31.6784   	0.120000	25.8198   	0.120000	25.8198   	0.120000	25.8199   	0.120000	30.1075   	0.120000	1.57091   	
0.140000	28.0501   	0.140000	36.2914   	0.140000	30.2331   	0.140000	30.2331   	0.140000	30.2331   	0.140000	34.8889   	0.140000	1.40249   	
0.160000	30.091    	0.160000	40.4764   	0.160000	34.3241   	0.160000	34.3241   	0.160000	34.3241   	0.160000	39.2068   	0.160000	1.26962   	
0.180000	32.0422   	0.180000	44.2503   	0.180000	38.0534   	0.180000	38.0534   	0.180000	38.0534   	0.180000	43.0885   	0.180000	1.16183   	
0.200000	33.9559   	0.200000	47.649    	0.200000	41.416    	0.200000	41.416    	0.200000	41.4161   	0.200000	46.5765   	0.200000	1.07243   	
0.250000	37.5837   	0.250000	54.887    	0.250000	48.3523   	0.250000	48.3523   	0.250000	48.3524   	0.250000	53.9836   	0.250000	0.903339  	
