! 126Te energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	13.1593   	0.001000	16.1111   	0.001000	13.9703   	0.001000	13.9703   	0.001000	13.9708   	0.001000	3.75066   	0.001000	12.3604   	
0.002000	13.6268   	0.002000	16.6894   	0.002000	14.1019   	0.002000	14.1019   	0.002000	14.1024   	0.002000	4.864     	0.002000	11.8253   	
0.005000	13.5166   	0.005000	16.5246   	0.005000	13.2657   	0.005000	13.2657   	0.005000	13.266    	0.005000	6.85838   	0.005000	9.66627   	
0.008000	13.4057   	0.008000	16.3494   	0.008000	12.722    	0.008000	12.722    	0.008000	12.7223   	0.008000	8.18025   	0.008000	8.16916   	
0.010000	13.4082   	0.010000	16.3279   	0.010000	12.5239   	0.010000	12.5239   	0.010000	12.5241   	0.010000	8.89421   	0.010000	7.43372   	
0.015000	13.5777   	0.015000	16.4824   	0.015000	12.3618   	0.015000	12.3618   	0.015000	12.3619   	0.015000	10.3548   	0.015000	6.12762   	
0.020000	13.8682   	0.020000	16.7946   	0.020000	12.4587   	0.020000	12.4587   	0.020000	12.4589   	0.020000	11.5344   	0.020000	5.26023   	
0.025000	14.2103   	0.025000	17.1768   	0.025000	12.6839   	0.025000	12.6839   	0.025000	12.684    	0.025000	12.5411   	0.025000	4.63573   	
0.030000	14.5734   	0.030000	17.5896   	0.030000	12.9774   	0.030000	12.9774   	0.030000	12.9775   	0.030000	13.4285   	0.030000	4.16111   	
0.035000	14.9428   	0.035000	18.0138   	0.035000	13.3089   	0.035000	13.3089   	0.035000	13.309    	0.035000	14.2276   	0.035000	3.7862    	
0.040000	15.311    	0.040000	18.4396   	0.040000	13.6615   	0.040000	13.6615   	0.040000	13.6616   	0.040000	14.9582   	0.040000	3.48134   	
0.045000	15.6743   	0.045000	18.8615   	0.045000	14.0255   	0.045000	14.0255   	0.045000	14.0255   	0.045000	15.6337   	0.045000	3.2278    	
0.050000	16.0307   	0.050000	19.2769   	0.050000	14.3948   	0.050000	14.3948   	0.050000	14.3949   	0.050000	16.2638   	0.050000	3.0131    	
0.055000	16.3793   	0.055000	19.6842   	0.055000	14.7658   	0.055000	14.7658   	0.055000	14.7659   	0.055000	16.8556   	0.055000	2.82859   	
0.060000	16.7196   	0.060000	20.0827   	0.060000	15.1361   	0.060000	15.1361   	0.060000	15.1362   	0.060000	17.4146   	0.060000	2.66807   	
0.070000	17.3841   	0.070000	20.8527   	0.070000	15.8688   	0.070000	15.8688   	0.070000	15.8688   	0.070000	18.451    	0.070000	2.40175   	
0.080000	19.3641   	0.080000	21.5875   	0.080000	16.5859   	0.080000	16.5859   	0.080000	16.586    	0.080000	19.3984   	0.080000	2.18909   	
