! 126I energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	13.3407   	0.001000	16.3469   	0.001000	14.6434   	0.001000	14.6434   	0.001000	14.6439   	0.001000	3.7861    	0.001000	12.5608   	
0.002000	13.8322   	0.002000	16.9604   	0.002000	14.9955   	0.002000	14.9955   	0.002000	14.9959   	0.002000	4.90996   	0.002000	12.0504   	
0.005000	13.7284   	0.005000	16.8134   	0.005000	14.5465   	0.005000	14.5465   	0.005000	14.5469   	0.005000	6.92318   	0.005000	9.89019   	
0.008000	13.6079   	0.008000	16.6326   	0.008000	14.2648   	0.008000	14.2648   	0.008000	14.2651   	0.008000	8.25754   	0.008000	8.37508   	
0.010000	13.6037   	0.010000	16.6061   	0.010000	14.2127   	0.010000	14.2127   	0.010000	14.213    	0.010000	8.97825   	0.010000	7.62783   	
0.015000	13.7591   	0.015000	16.7495   	0.015000	14.3616   	0.015000	14.3616   	0.015000	14.3618   	0.015000	10.4526   	0.015000	6.29688   	
0.020000	14.0393   	0.020000	17.0539   	0.020000	14.7229   	0.020000	14.7229   	0.020000	14.7231   	0.020000	11.6434   	0.020000	5.41057   	
0.025000	14.3739   	0.025000	17.4309   	0.025000	15.1829   	0.025000	15.1829   	0.025000	15.183    	0.025000	12.6596   	0.025000	4.77136   	
0.030000	14.7314   	0.030000	17.8404   	0.030000	15.6902   	0.030000	15.6902   	0.030000	15.6903   	0.030000	13.5554   	0.030000	4.28499   	
0.035000	15.0965   	0.035000	18.2625   	0.035000	16.2194   	0.035000	16.2194   	0.035000	16.2195   	0.035000	14.3621   	0.035000	3.90045   	
0.040000	15.4614   	0.040000	18.6871   	0.040000	16.7571   	0.040000	16.7571   	0.040000	16.7572   	0.040000	15.0996   	0.040000	3.58754   	
0.045000	15.8222   	0.045000	19.1086   	0.045000	17.2956   	0.045000	17.2956   	0.045000	17.2957   	0.045000	15.7814   	0.045000	3.32716   	
0.050000	16.1766   	0.050000	19.524    	0.050000	17.8306   	0.050000	17.8306   	0.050000	17.8306   	0.050000	16.4174   	0.050000	3.10657   	
0.055000	16.5236   	0.055000	19.9318   	0.055000	18.3596   	0.055000	18.3596   	0.055000	18.3596   	0.055000	17.0148   	0.055000	2.91692   	
0.060000	16.8627   	0.060000	20.331    	0.060000	18.8812   	0.060000	18.8812   	0.060000	18.8812   	0.060000	17.5792   	0.060000	2.75187   	
0.070000	17.5171   	0.070000	21.1032   	0.070000	19.8995   	0.070000	19.8995   	0.070000	19.8996   	0.070000	18.6253   	0.070000	2.47792   	
0.080000	19.1644   	0.080000	21.8408   	0.080000	20.8836   	0.080000	20.8836   	0.080000	20.8836   	0.080000	19.5817   	0.080000	2.25906   	
0.090000	20.9352   	0.090000	23.6458   	0.090000	22.8124   	0.090000	22.8124   	0.090000	22.8124   	0.090000	21.5662   	0.090000	2.07964   	
0.100000	22.5976   	0.100000	26.088    	0.100000	25.3215   	0.100000	25.3215   	0.100000	25.3215   	0.100000	24.1763   	0.100000	1.91169   	
0.120000	25.0462   	0.120000	30.7998   	0.120000	30.2245   	0.120000	30.2245   	0.120000	30.2245   	0.120000	29.1233   	0.120000	1.67652   	
0.140000	27.1661   	0.140000	35.1523   	0.140000	34.8064   	0.140000	34.8064   	0.140000	34.8065   	0.140000	33.6548   	0.140000	1.49749   	
0.160000	29.119    	0.160000	39.1195   	0.160000	38.9946   	0.160000	38.9946   	0.160000	38.9947   	0.160000	37.7633   	0.160000	1.35614   	
0.180000	30.9994   	0.180000	42.7161   	0.180000	42.7671   	0.180000	42.7671   	0.180000	42.7671   	0.180000	41.4747   	0.180000	1.2414    	
0.200000	32.8551   	0.200000	45.9739   	0.200000	46.1332   	0.200000	46.1332   	0.200000	46.1333   	0.200000	44.8277   	0.200000	1.14619   	
0.250000	36.6314   	0.250000	53.1145   	0.250000	52.9723   	0.250000	52.9723   	0.250000	52.9723   	0.250000	52.1485   	0.250000	0.965973  	
0.300000	40.5174   	0.300000	59.7693   	0.300000	58.0374   	0.300000	58.0374   	0.300000	58.0374   	0.300000	58.931    	0.300000	0.838355  	
0.350000	44.0323   	0.350000	65.1625   	0.350000	61.8716   	0.350000	61.8716   	0.350000	61.8717   	0.350000	64.4197   	0.350000	0.742779  	
0.400000	47.1917   	0.400000	69.5956   	0.400000	64.8764   	0.400000	64.8764   	0.400000	64.8765   	0.400000	68.9273   	0.400000	0.668266  	
0.450000	50.0193   	0.450000	73.2869   	0.450000	67.3208   	0.450000	67.3208   	0.450000	67.3208   	0.450000	72.6785   	0.450000	0.608389  	
0.500000	52.5445   	0.500000	76.3947   	0.500000	69.3776   	0.500000	69.3776   	0.500000	69.3777   	0.500000	75.8356   	0.500000	0.559124  	
0.600000	56.3226   	0.600000	83.2938   	0.600000	72.7284   	0.600000	72.7284   	0.600000	72.7284   	0.600000	82.8112   	0.600000	0.482625  	
0.700000	58.8354   	0.700000	89.0921   	0.700000	75.4144   	0.700000	75.4144   	0.700000	75.4145   	0.700000	88.6663   	0.700000	0.425773  	
0.800000	62.5797   	0.800000	93.4868   	0.800000	77.6485   	0.800000	77.6485   	0.800000	77.6486   	0.800000	93.1051   	0.800000	0.381719  	
0.900000	65.6266   	0.900000	96.8463   	0.900000	79.5374   	0.900000	79.5374   	0.900000	79.5375   	0.900000	96.4998   	0.900000	0.346493  	
1.000000	68.0861   	1.000000	99.4252   	1.000000	81.4449   	1.000000	81.4449   	1.000000	81.445    	1.000000	99.1076   	1.000000	0.31763   	
1.250000	71.1578   	1.250000	101.671   	1.250000	86.1814   	1.250000	86.1814   	1.250000	86.1815   	1.250000	101.407   	1.250000	0.263908  	
1.500000	72.8732   	1.500000	102.422   	1.500000	89.1873   	1.500000	89.1873   	1.500000	89.1874   	1.500000	102.195   	1.500000	0.226599  	
1.750000	73.7384   	1.750000	102.35    	1.750000	91.0447   	1.750000	91.0447   	1.750000	91.0447   	1.750000	102.15    	1.750000	0.199066  	
2.000000	73.5154   	2.000000	101.023   	2.000000	92.1127   	2.000000	92.1127   	2.000000	92.1128   	2.000000	100.845   	2.000000	0.177849  	
2.250000	73.1688   	2.250000	99.5592   	2.250000	92.6255   	2.250000	92.6255   	2.250000	92.6256   	2.250000	99.3983   	2.250000	0.160963  	
2.500000	109.87    	2.500000	98.1088   	2.500000	92.7408   	2.500000	92.7408   	2.500000	92.7408   	2.500000	97.9616   	2.500000	0.147182  	
3.000000	106.882   	3.000000	95.2739   	3.000000	92.1842   	3.000000	92.1842   	3.000000	92.1843   	3.000000	95.1479   	3.000000	0.125989  	
3.500000	103.449   	3.500000	92.596    	3.500000	90.9935   	3.500000	90.9935   	3.500000	90.9935   	3.500000	92.4856   	3.500000	0.11041   	
4.000000	99.928    	4.000000	90.0203   	4.000000	89.4614   	4.000000	89.4614   	4.000000	89.4614   	4.000000	89.9218   	4.000000	0.0984418 	
4.500000	96.4801   	4.500000	87.556    	4.500000	87.7525   	4.500000	87.7525   	4.500000	87.7525   	4.500000	87.4671   	4.500000	0.0889413 	
5.000000	93.1784   	5.000000	85.2072   	5.000000	85.9625   	5.000000	85.9625   	5.000000	85.9626   	5.000000	85.126    	5.000000	0.0812045 	
5.500000	90.0522   	5.500000	82.9822   	5.500000	83.9424   	5.500000	83.9424   	5.500000	83.9425   	5.500000	82.9075   	5.500000	0.074774  	
6.000000	87.1089   	6.000000	80.8649   	6.000000	81.9471   	6.000000	81.9471   	6.000000	81.9472   	6.000000	80.7955   	6.000000	0.0693393 	
6.500000	84.3452   	6.500000	78.8481   	6.500000	80.04     	6.500000	80.04     	6.500000	80.0401   	6.500000	78.7834   	6.500000	0.0646818 	
