! 128Xe energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	13.5343   	0.001000	16.5914   	0.001000	17.7975   	0.001000	17.7975   	0.001000	17.7981   	0.001000	3.82563   	0.001000	12.7658   	
0.002000	14.0494   	0.002000	17.2407   	0.002000	19.3953   	0.002000	19.3953   	0.002000	19.3958   	0.002000	4.96123   	0.002000	12.2795   	
0.005000	13.9509   	0.005000	17.1128   	0.005000	21.3683   	0.005000	21.3683   	0.005000	21.3686   	0.005000	6.99546   	0.005000	10.1174   	
0.008000	13.8208   	0.008000	16.9277   	0.008000	22.8152   	0.008000	22.8152   	0.008000	22.8155   	0.008000	8.34375   	0.008000	8.58393   	
0.010000	13.8099   	0.010000	16.8967   	0.010000	23.7357   	0.010000	23.7357   	0.010000	23.736    	0.010000	9.07199   	0.010000	7.8247    	
0.015000	13.9515   	0.015000	17.0304   	0.015000	25.9554   	0.015000	25.9554   	0.015000	25.9556   	0.015000	10.5618   	0.015000	6.46858   	
0.020000	14.2218   	0.020000	17.328    	0.020000	28.0646   	0.020000	28.0646   	0.020000	28.0647   	0.020000	11.7649   	0.020000	5.56311   	
0.025000	14.5492   	0.025000	17.7008   	0.025000	30.0664   	0.025000	30.0664   	0.025000	30.0665   	0.025000	12.7918   	0.025000	4.90901   	
0.030000	14.9014   	0.030000	18.1077   	0.030000	31.9692   	0.030000	31.9692   	0.030000	31.9693   	0.030000	13.6969   	0.030000	4.41073   	
0.035000	15.2626   	0.035000	18.5285   	0.035000	33.783    	0.035000	33.783    	0.035000	33.7831   	0.035000	14.512    	0.035000	4.01643   	
0.040000	15.6246   	0.040000	18.9526   	0.040000	35.5171   	0.040000	35.5171   	0.040000	35.5172   	0.040000	15.2572   	0.040000	3.69537   	
0.045000	15.9832   	0.045000	19.3743   	0.045000	37.1801   	0.045000	37.1801   	0.045000	37.1802   	0.045000	15.9462   	0.045000	3.42806   	
0.050000	16.3359   	0.050000	19.7904   	0.050000	38.7793   	0.050000	38.7793   	0.050000	38.7794   	0.050000	16.5889   	0.050000	3.20149   	
0.055000	16.6817   	0.055000	20.1991   	0.055000	40.3209   	0.055000	40.3209   	0.055000	40.321    	0.055000	17.1925   	0.055000	3.00663   	
0.060000	17.02     	0.060000	20.5997   	0.060000	41.8105   	0.060000	41.8105   	0.060000	41.8106   	0.060000	17.7627   	0.060000	2.83698   	
0.070000	17.6733   	0.070000	21.3751   	0.070000	44.6515   	0.070000	44.6515   	0.070000	44.6516   	0.070000	18.8198   	0.070000	2.55529   	
0.080000	19.0809   	0.080000	22.1163   	0.080000	47.3328   	0.080000	47.3328   	0.080000	47.3329   	0.080000	19.7862   	0.080000	2.33015   	
0.090000	20.9431   	0.090000	23.5825   	0.090000	50.1194   	0.090000	50.1194   	0.090000	50.1195   	0.090000	21.437    	0.090000	2.1455    	
0.100000	22.6671   	0.100000	26.1298   	0.100000	53.0614   	0.100000	53.0614   	0.100000	53.0614   	0.100000	24.1574   	0.100000	1.97246   	
0.120000	25.2647   	0.120000	31.0632   	0.120000	58.3437   	0.120000	58.3437   	0.120000	58.3438   	0.120000	29.3329   	0.120000	1.73034   	
0.140000	27.5193   	0.140000	35.6362   	0.140000	62.8085   	0.140000	62.8085   	0.140000	62.8086   	0.140000	34.0903   	0.140000	1.54593   	
0.160000	29.5937   	0.160000	39.8127   	0.160000	66.5314   	0.160000	66.5314   	0.160000	66.5314   	0.160000	38.4124   	0.160000	1.40027   	
0.180000	31.5847   	0.180000	43.6027   	0.180000	69.6038   	0.180000	69.6038   	0.180000	69.6038   	0.180000	42.3207   	0.180000	1.28199   	
0.200000	33.5426   	0.200000	47.0364   	0.200000	72.1208   	0.200000	72.1208   	0.200000	72.1209   	0.200000	45.8526   	0.200000	1.18383   	
0.250000	37.4778   	0.250000	54.4029   	0.250000	76.558    	0.250000	76.558    	0.250000	76.5581   	0.250000	53.405    	0.250000	0.997949  	
0.300000	41.6948   	0.300000	61.6335   	0.300000	79.2227   	0.300000	79.2227   	0.300000	79.2228   	0.300000	60.7673   	0.300000	0.866273  	
0.350000	45.4885   	0.350000	67.4908   	0.350000	80.879    	0.350000	80.879    	0.350000	80.8791   	0.350000	66.7232   	0.350000	0.76763   	
0.400000	48.8839   	0.400000	72.2955   	0.400000	81.9839   	0.400000	81.9839   	0.400000	81.984    	0.400000	71.6047   	0.400000	0.690709  	
0.450000	51.9117   	0.450000	76.2837   	0.450000	82.7952   	0.450000	82.7952   	0.450000	82.7952   	0.450000	75.6548   	0.450000	0.628886  	
0.500000	54.6066   	0.500000	79.629    	0.500000	83.4526   	0.500000	83.4526   	0.500000	83.4526   	0.500000	79.051    	0.500000	0.578012  	
0.600000	58.1395   	0.600000	86.2252   	0.600000	84.5622   	0.600000	84.5622   	0.600000	84.5623   	0.600000	85.7262   	0.600000	0.499001  	
0.700000	60.559    	0.700000	91.9161   	0.700000	85.5553   	0.700000	85.5553   	0.700000	85.5553   	0.700000	91.4759   	0.700000	0.44027   	
0.800000	64.2775   	0.800000	96.2109   	0.800000	86.4767   	0.800000	86.4767   	0.800000	86.4768   	0.800000	95.8162   	0.800000	0.394753  	
0.900000	67.2995   	0.900000	99.4802   	0.900000	87.3241   	0.900000	87.3241   	0.900000	87.3242   	0.900000	99.1219   	0.900000	0.358353  	
1.000000	69.766    	1.000000	101.979   	1.000000	88.0891   	1.000000	88.0891   	1.000000	88.0892   	1.000000	101.65    	1.000000	0.328524  	
1.250000	72.6985   	1.250000	103.976   	1.250000	89.6204   	1.250000	89.6204   	1.250000	89.6205   	1.250000	103.703   	1.250000	0.272997  	
1.500000	74.2357   	1.500000	104.387   	1.500000	90.6399   	1.500000	90.6399   	1.500000	90.6399   	1.500000	104.152   	1.500000	0.234428  	
1.750000	74.9844   	1.750000	104.097   	1.750000	92.4179   	1.750000	92.4179   	1.750000	92.4179   	1.750000	103.891   	1.750000	0.20596   	
