! 131Cs energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	13.7279   	0.001000	16.833    	0.001000	14.6015   	0.001000	14.6015   	0.001000	14.602    	0.001000	3.86083   	0.001000	12.9722   	
0.002000	14.2649   	0.002000	17.5168   	0.002000	14.814    	0.002000	14.814    	0.002000	14.8144   	0.002000	5.00688   	0.002000	12.5099   	
0.005000	14.169    	0.005000	17.406    	0.005000	13.989    	0.005000	13.989    	0.005000	13.9893   	0.005000	7.05984   	0.005000	10.3462   	
0.008000	14.0274   	0.008000	17.215    	0.008000	13.4022   	0.008000	13.4022   	0.008000	13.4025   	0.008000	8.42053   	0.008000	8.79447   	
0.010000	14.0089   	0.010000	17.1788   	0.010000	13.1748   	0.010000	13.1748   	0.010000	13.1751   	0.010000	9.15547   	0.010000	8.02329   	
0.015000	14.1348   	0.015000	17.3009   	0.015000	12.9512   	0.015000	12.9512   	0.015000	12.9514   	0.015000	10.659    	0.015000	6.64197   	
0.020000	14.3936   	0.020000	17.5904   	0.020000	13.0025   	0.020000	13.0025   	0.020000	13.0027   	0.020000	11.8732   	0.020000	5.71726   	
0.025000	14.7126   	0.025000	17.9577   	0.025000	13.1933   	0.025000	13.1933   	0.025000	13.1935   	0.025000	12.9095   	0.025000	5.04819   	
0.030000	15.0584   	0.030000	18.3609   	0.030000	13.4604   	0.030000	13.4604   	0.030000	13.4606   	0.030000	13.823    	0.030000	4.53792   	
0.035000	15.4147   	0.035000	18.7794   	0.035000	13.7712   	0.035000	13.7712   	0.035000	13.7713   	0.035000	14.6456   	0.035000	4.13379   	
0.040000	15.7729   	0.040000	19.2021   	0.040000	14.1073   	0.040000	14.1073   	0.040000	14.1074   	0.040000	15.3976   	0.040000	3.80451   	
0.045000	16.1284   	0.045000	19.6232   	0.045000	14.458    	0.045000	14.458    	0.045000	14.4581   	0.045000	16.0929   	0.045000	3.53021   	
0.050000	16.4788   	0.050000	20.0391   	0.050000	14.8165   	0.050000	14.8165   	0.050000	14.8166   	0.050000	16.7415   	0.050000	3.29761   	
0.055000	16.8227   	0.055000	20.4482   	0.055000	15.1786   	0.055000	15.1786   	0.055000	15.1786   	0.055000	17.3507   	0.055000	3.09748   	
0.060000	17.1594   	0.060000	20.8494   	0.060000	15.5415   	0.060000	15.5415   	0.060000	15.5415   	0.060000	17.9262   	0.060000	2.92319   	
0.070000	17.8105   	0.070000	21.6266   	0.070000	16.263    	0.070000	16.263    	0.070000	16.263    	0.070000	18.993    	0.070000	2.63368   	
0.080000	18.9255   	0.080000	22.3704   	0.080000	16.9725   	0.080000	16.9725   	0.080000	16.9726   	0.080000	19.9682   	0.080000	2.40218   	
0.090000	20.7967   	0.090000	23.4357   	0.090000	17.9745   	0.090000	17.9745   	0.090000	17.9745   	0.090000	21.2234   	0.090000	2.21225   	
0.100000	22.533    	0.100000	25.9924   	0.100000	20.3161   	0.100000	20.3161   	0.100000	20.3162   	0.100000	23.9583   	0.100000	2.03405   	
0.120000	25.1663   	0.120000	30.9578   	0.120000	25.0286   	0.120000	25.0286   	0.120000	25.0286   	0.120000	29.1729   	0.120000	1.78491   	
0.140000	27.4586   	0.140000	35.5729   	0.140000	29.5678   	0.140000	29.5678   	0.140000	29.5679   	0.140000	33.9779   	0.140000	1.59504   	
0.160000	29.5704   	0.160000	39.7972   	0.160000	33.8209   	0.160000	33.8209   	0.160000	33.821    	0.160000	38.3522   	0.160000	1.44502   	
0.180000	31.598    	0.180000	43.6378   	0.180000	37.734    	0.180000	37.734    	0.180000	37.734    	0.180000	42.3146   	0.180000	1.32316   	
0.200000	33.5915   	0.200000	47.1227   	0.200000	41.2917   	0.200000	41.2917   	0.200000	41.2918   	0.200000	45.9007   	0.200000	1.22201   	
0.250000	37.4946   	0.250000	54.5115   	0.250000	48.7228   	0.250000	48.7228   	0.250000	48.7229   	0.250000	53.4811   	0.250000	1.0304    	
0.300000	41.7999   	0.300000	61.7823   	0.300000	54.4187   	0.300000	54.4187   	0.300000	54.4188   	0.300000	60.8877   	0.300000	0.894607  	
0.350000	45.6764   	0.350000	67.7659   	0.350000	58.8494   	0.350000	58.8494   	0.350000	58.8495   	0.350000	66.973    	0.350000	0.792855  	
0.400000	49.1493   	0.400000	72.6865   	0.400000	62.3927   	0.400000	62.3927   	0.400000	62.3927   	0.400000	71.973    	0.400000	0.713492  	
0.450000	52.2495   	0.450000	76.7803   	0.450000	65.3148   	0.450000	65.3148   	0.450000	65.3149   	0.450000	76.1307   	0.450000	0.649696  	
0.500000	55.012    	0.500000	80.2216   	0.500000	67.7939   	0.500000	67.7939   	0.500000	67.794    	0.500000	79.6244   	0.500000	0.597189  	
0.600000	58.4685   	0.600000	86.6814   	0.600000	71.8515   	0.600000	71.8515   	0.600000	71.8515   	0.600000	86.1658   	0.600000	0.51563   	
0.700000	60.9982   	0.700000	92.5536   	0.700000	75.1038   	0.700000	75.1038   	0.700000	75.1039   	0.700000	92.0986   	0.700000	0.454993  	
0.800000	64.8258   	0.800000	97.0049   	0.800000	77.8021   	0.800000	77.8021   	0.800000	77.8022   	0.800000	96.5969   	0.800000	0.407991  	
0.900000	67.9452   	0.900000	100.41    	0.900000	80.3627   	0.900000	80.3627   	0.900000	80.3628   	0.900000	100.039   	0.900000	0.370399  	
1.000000	70.4985   	1.000000	103.026   	1.000000	83.1551   	1.000000	83.1551   	1.000000	83.1552   	1.000000	102.687   	1.000000	0.33959   	
1.250000	73.6178   	1.250000	105.288   	1.250000	88.3176   	1.250000	88.3176   	1.250000	88.3177   	1.250000	105.006   	1.250000	0.282231  	
1.500000	75.1565   	1.500000	105.663   	1.500000	91.6529   	1.500000	91.6529   	1.500000	91.653    	1.500000	105.421   	1.500000	0.242381  	
1.750000	75.9201   	1.750000	105.37    	1.750000	93.7693   	1.750000	93.7693   	1.750000	93.7694   	1.750000	105.157   	1.750000	0.212965  	
2.000000	76.0653   	2.000000	104.524   	2.000000	95.0437   	2.000000	95.0437   	2.000000	95.0438   	2.000000	104.333   	2.000000	0.190293  	
2.250000	75.9512   	2.250000	103.359   	2.250000	95.7224   	2.250000	95.7224   	2.250000	95.7224   	2.250000	103.186   	2.250000	0.172246  	
2.500000	115.251   	2.500000	102.111   	2.500000	95.972    	2.500000	95.972    	2.500000	95.9721   	2.500000	101.954   	2.500000	0.157514  	
3.000000	112.32    	3.000000	99.5024   	3.000000	95.614    	3.000000	95.614    	3.000000	95.614    	3.000000	99.3676   	3.000000	0.134856  	
3.500000	108.87    	3.500000	96.6261   	3.500000	94.5553   	3.500000	94.5553   	3.500000	94.5553   	3.500000	96.5079   	3.500000	0.118196  	
4.000000	105.29    	4.000000	93.8148   	4.000000	93.1102   	4.000000	93.1102   	4.000000	93.1102   	4.000000	93.7094   	4.000000	0.105396  	
4.500000	101.76    	4.500000	91.212    	4.500000	91.4566   	4.500000	91.4566   	4.500000	91.4567   	4.500000	91.1168   	4.500000	0.0952329 	
5.000000	98.3641   	5.000000	88.7804   	5.000000	89.6993   	5.000000	89.6993   	5.000000	89.6993   	5.000000	88.6934   	5.000000	0.0869559 	
5.500000	95.1376   	5.500000	86.5148   	5.500000	87.8268   	5.500000	87.8268   	5.500000	87.8268   	5.500000	86.4348   	5.500000	0.0800758 	
6.000000	92.0917   	6.000000	84.4086   	6.000000	85.804    	6.000000	85.804    	6.000000	85.8041   	6.000000	84.3344   	6.000000	0.0742605 	
6.500000	89.2254   	6.500000	82.3923   	6.500000	83.8662   	6.500000	83.8662   	6.500000	83.8663   	6.500000	82.323    	6.500000	0.0692765 	
