! 133Ba energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000253137	0.001000	0.000310839	0.001000	0.000264082	0.001000	0.000264082	0.001000	0.000264091	0.001000	7.37076e-05	0.001000	0.000237132	
0.002000	0.000264008	0.002000	0.000324848	0.002000	0.000267371	0.002000	0.000267371	0.002000	0.00026738	0.002000	9.55869e-05	0.002000	0.000229261	
0.005000	0.000263789	0.005000	0.000325098	0.005000	0.000250572	0.005000	0.000250572	0.005000	0.000250578	0.005000	0.00013478	0.005000	0.000190318	
0.008000	0.000261994	0.008000	0.000322834	0.008000	0.00023829	0.008000	0.00023829	0.008000	0.000238295	0.008000	0.000160757	0.008000	0.000162076	
0.010000	0.00026204	0.010000	0.000322775	0.010000	0.000233196	0.010000	0.000233196	0.010000	0.0002332 	0.010000	0.000174788	0.010000	0.000147987	
0.015000	0.000265073	0.015000	0.00032617	0.015000	0.000227037	0.015000	0.000227037	0.015000	0.00022704	0.015000	0.000203492	0.015000	0.000122679	
0.020000	0.00027037	0.020000	0.000332365	0.020000	0.000226194	0.020000	0.000226194	0.020000	0.000226197	0.020000	0.000226672	0.020000	0.000105692	
0.025000	0.000276678	0.025000	0.000339838	0.025000	0.000228106	0.025000	0.000228106	0.025000	0.000228109	0.025000	0.000246456	0.025000	9.33817e-05	
0.030000	0.000283421	0.030000	0.000347878	0.030000	0.000231565	0.030000	0.000231565	0.030000	0.000231567	0.030000	0.000263896	0.030000	8.39824e-05	
0.035000	0.000290315	0.035000	0.000356132	0.035000	0.000235939	0.035000	0.000235939	0.035000	0.000235941	0.035000	0.0002796 	0.035000	7.65319e-05	
0.040000	0.000297214	0.040000	0.000364415	0.040000	0.000240871	0.040000	0.000240871	0.040000	0.000240872	0.040000	0.000293958	0.040000	7.04572e-05	
0.045000	0.000304039	0.045000	0.000372626	0.045000	0.000246144	0.045000	0.000246144	0.045000	0.000246146	0.045000	0.000307232	0.045000	6.5394e-05	
0.050000	0.00031075	0.050000	0.000380713	0.050000	0.000251626	0.050000	0.000251626	0.050000	0.000251628	0.050000	0.000319614	0.050000	6.10987e-05	
0.055000	0.000317325	0.055000	0.000388646	0.055000	0.000257228	0.055000	0.000257228	0.055000	0.00025723	0.055000	0.000331244	0.055000	5.74017e-05	
0.060000	0.000323756	0.060000	0.000396412	0.060000	0.000262893	0.060000	0.000262893	0.060000	0.000262894	0.060000	0.000342231	0.060000	5.41808e-05	
0.070000	0.000336173	0.070000	0.000411425	0.070000	0.000274263	0.070000	0.000274263	0.070000	0.000274264	0.070000	0.000362597	0.070000	4.88285e-05	
0.080000	0.000351644	0.080000	0.000425763	0.080000	0.000285546	0.080000	0.000285546	0.080000	0.000285547	0.080000	0.000381216	0.080000	4.45467e-05	
0.090000	0.00038597	0.090000	0.000439464	0.090000	0.000296651	0.090000	0.000296651	0.090000	0.000296652	0.090000	0.000398431	0.090000	4.10325e-05	
0.100000	0.000417769	0.100000	0.000485586	0.100000	0.000336667	0.100000	0.000336667	0.100000	0.000336668	0.100000	0.000447855	0.100000	3.77313e-05	
0.120000	0.000465809	0.120000	0.000576876	0.120000	0.000419939	0.120000	0.000419939	0.120000	0.00041994	0.120000	0.000543757	0.120000	3.31196e-05	
0.140000	0.000507559	0.140000	0.000661494	0.140000	0.000501115	0.140000	0.000501115	0.140000	0.000501116	0.140000	0.000631891	0.140000	2.96035e-05	
0.160000	0.000546001	0.160000	0.000738773	0.160000	0.000577895	0.160000	0.000577895	0.160000	0.000577896	0.160000	0.000711949	0.160000	2.68241e-05	
0.180000	0.000582912	0.180000	0.000808897	0.180000	0.000649095	0.180000	0.000649095	0.180000	0.000649096	0.180000	0.000784331	0.180000	2.45658e-05	
0.200000	0.000619216	0.200000	0.000872427	0.200000	0.000714273	0.200000	0.000714273	0.200000	0.000714274	0.200000	0.000849737	0.200000	2.26907e-05	
0.250000	0.000687888	0.250000	0.00100683	0.250000	0.000851757	0.250000	0.000851757	0.250000	0.000851758	0.250000	0.000987696	0.250000	1.91376e-05	
0.300000	0.000763941	0.300000	0.00113222	0.300000	0.000958393	0.300000	0.000958393	0.300000	0.000958394	0.300000	0.00111561	0.300000	1.66188e-05	
0.350000	0.000832631	0.350000	0.00123764	0.350000	0.00104211	0.350000	0.00104211	0.350000	0.00104211	0.350000	0.00122291	0.350000	1.47307e-05	
0.400000	0.000894319	0.400000	0.00132434	0.400000	0.00110952	0.400000	0.00110952	0.400000	0.00110953	0.400000	0.00131109	0.400000	1.32578e-05	
0.450000	0.000949503	0.450000	0.00139655	0.450000	0.00116539	0.450000	0.00116539	0.450000	0.00116539	0.450000	0.00138448	0.450000	1.20736e-05	
0.500000	0.000998772	0.500000	0.00145734	0.500000	0.00121293	0.500000	0.00121293	0.500000	0.00121293	0.500000	0.00144625	0.500000	1.10988e-05	
0.600000	0.00105798	0.600000	0.00156792	0.600000	0.00129093	0.600000	0.00129093	0.600000	0.00129093	0.600000	0.00155834	0.600000	9.58439e-06	
0.700000	0.0011055 	0.700000	0.00167687	0.700000	0.00135351	0.700000	0.00135351	0.700000	0.00135351	0.700000	0.00166841	0.700000	8.45823e-06	
0.800000	0.00117636	0.800000	0.00175981	0.800000	0.00140545	0.800000	0.00140545	0.800000	0.00140545	0.800000	0.00175223	0.800000	7.58517e-06	
0.900000	0.00123425	0.900000	0.00182355	0.900000	0.00145937	0.900000	0.00145937	0.900000	0.00145938	0.900000	0.00181666	0.900000	6.88681e-06	
1.000000	0.00128178	1.000000	0.00187277	1.000000	0.0015115 	1.000000	0.0015115 	1.000000	0.0015115 	1.000000	0.00186646	1.000000	6.31441e-06	
1.250000	0.00134384	1.250000	0.00192212	1.250000	0.00160829	1.250000	0.00160829	1.250000	0.00160829	1.250000	0.00191688	1.250000	5.24855e-06	
