! 136La energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	14.2513   	0.001000	17.5059   	0.001000	14.8791   	0.001000	14.8791   	0.001000	14.8797   	0.001000	4.12874   	0.001000	13.3772   	
0.002000	14.8771   	0.002000	18.3191   	0.002000	15.0888   	0.002000	15.0888   	0.002000	15.0893   	0.002000	5.35431   	0.002000	12.9648   	
0.005000	14.8677   	0.005000	18.3515   	0.005000	14.1598   	0.005000	14.1598   	0.005000	14.1602   	0.005000	7.54972   	0.005000	10.8018   	
0.008000	14.7563   	0.008000	18.2204   	0.008000	13.4632   	0.008000	13.4632   	0.008000	13.4634   	0.008000	9.00484   	0.008000	9.2156    	
0.010000	14.751    	0.010000	18.2121   	0.010000	13.1702   	0.010000	13.1702   	0.010000	13.1704   	0.010000	9.79078   	0.010000	8.4213    	
0.015000	14.903    	0.015000	18.3892   	0.015000	12.8067   	0.015000	12.8067   	0.015000	12.8069   	0.015000	11.3986   	0.015000	6.99062   	
0.020000	15.185    	0.020000	18.725    	0.020000	12.7437   	0.020000	12.7437   	0.020000	12.7438   	0.020000	12.6971   	0.020000	6.02789   	
0.025000	15.5263   	0.025000	19.1343   	0.025000	12.8375   	0.025000	12.8375   	0.025000	12.8376   	0.025000	13.8053   	0.025000	5.32904   	
0.030000	15.8938   	0.030000	19.577    	0.030000	13.0199   	0.030000	13.0199   	0.030000	13.0201   	0.030000	14.7822   	0.030000	4.79486   	
0.035000	16.2712   	0.035000	20.0329   	0.035000	13.2552   	0.035000	13.2552   	0.035000	13.2553   	0.035000	15.6618   	0.035000	4.37109   	
0.040000	16.65     	0.040000	20.4914   	0.040000	13.5228   	0.040000	13.5228   	0.040000	13.5229   	0.040000	16.4661   	0.040000	4.02534   	
0.045000	17.0256   	0.045000	20.9466   	0.045000	13.8106   	0.045000	13.8106   	0.045000	13.8107   	0.045000	17.2096   	0.045000	3.73701   	
0.050000	17.3955   	0.050000	21.3955   	0.050000	14.1108   	0.050000	14.1108   	0.050000	14.1109   	0.050000	17.9032   	0.050000	3.4923    	
0.055000	17.7584   	0.055000	21.8363   	0.055000	14.4183   	0.055000	14.4183   	0.055000	14.4184   	0.055000	18.5547   	0.055000	3.28159   	
0.060000	18.1136   	0.060000	22.268    	0.060000	14.7299   	0.060000	14.7299   	0.060000	14.73     	0.060000	19.1701   	0.060000	3.09797   	
0.070000	18.8003   	0.070000	23.1036   	0.070000	15.3566   	0.070000	15.3566   	0.070000	15.3567   	0.070000	20.3109   	0.070000	2.7927    	
0.080000	19.4561   	0.080000	23.9022   	0.080000	15.9798   	0.080000	15.9798   	0.080000	15.9798   	0.080000	21.3538   	0.080000	2.54838   	
0.090000	21.2819   	0.090000	24.6659   	0.090000	16.5939   	0.090000	16.5939   	0.090000	16.594    	0.090000	22.3181   	0.090000	2.34779   	
0.100000	23.0597   	0.100000	26.8418   	0.100000	18.4715   	0.100000	18.4715   	0.100000	18.4715   	0.100000	24.6621   	0.100000	2.17974   	
0.120000	25.7631   	0.120000	31.9224   	0.120000	23.0793   	0.120000	23.0793   	0.120000	23.0794   	0.120000	30.0266   	0.120000	1.89578   	
0.140000	28.1195   	0.140000	36.6637   	0.140000	27.6077   	0.140000	27.6077   	0.140000	27.6077   	0.140000	34.9688   	0.140000	1.6949    	
0.160000	30.2919   	0.160000	41.0033   	0.160000	31.9031   	0.160000	31.9031   	0.160000	31.9032   	0.160000	39.4673   	0.160000	1.53605   	
0.180000	32.3785   	0.180000	44.9485   	0.180000	35.896    	0.180000	35.896    	0.180000	35.8961   	0.180000	43.5416   	0.180000	1.40695   	
0.200000	34.4306   	0.200000	48.5284   	0.200000	39.559    	0.200000	39.559    	0.200000	39.5591   	0.200000	47.2287   	0.200000	1.29972   	
0.250000	38.2897   	0.250000	56.1188   	0.250000	47.3098   	0.250000	47.3098   	0.250000	47.3098   	0.250000	55.0224   	0.250000	1.09647   	
0.300000	42.54     	0.300000	63.0457   	0.300000	53.345    	0.300000	53.345    	0.300000	53.345    	0.300000	62.0934   	0.300000	0.952333  	
0.350000	46.436    	0.350000	69.024    	0.350000	58.0986   	0.350000	58.0986   	0.350000	58.0987   	0.350000	68.1797   	0.350000	0.844263  	
0.400000	49.938    	0.400000	73.9527   	0.400000	61.9366   	0.400000	61.9366   	0.400000	61.9366   	0.400000	73.1928   	0.400000	0.759937  	
0.450000	53.0738   	0.450000	78.0661   	0.450000	65.1238   	0.450000	65.1238   	0.450000	65.1239   	0.450000	77.374    	0.450000	0.692126  	
0.500000	55.8764   	0.500000	81.536    	0.500000	67.8408   	0.500000	67.8408   	0.500000	67.8409   	0.500000	80.8997   	0.500000	0.636299  	
0.600000	59.0643   	0.600000	87.502    	0.600000	72.306    	0.600000	72.306    	0.600000	72.3061   	0.600000	86.9524   	0.600000	0.549552  	
0.700000	61.8149   	0.700000	93.7347   	0.700000	75.8956   	0.700000	75.8956   	0.700000	75.8957   	0.700000	93.2497   	0.700000	0.485034  	
0.800000	65.8597   	0.800000	98.4989   	0.800000	78.8787   	0.800000	78.8787   	0.800000	78.8788   	0.800000	98.0639   	0.800000	0.435008  	
0.900000	69.1735   	0.900000	102.176   	0.900000	81.765    	0.900000	81.765    	0.900000	81.765    	0.900000	101.781   	0.900000	0.394987  	
1.000000	71.9008   	1.000000	105.029   	1.000000	84.7645   	1.000000	84.7645   	1.000000	84.7646   	1.000000	104.667   	1.000000	0.362181  	
1.250000	75.6818   	1.250000	108.258   	1.250000	90.357    	1.250000	90.357    	1.250000	90.3571   	1.250000	107.957   	1.250000	0.301085  	
1.500000	77.4148   	1.500000	108.854   	1.500000	94.0267   	1.500000	94.0267   	1.500000	94.0268   	1.500000	108.596   	1.500000	0.258625  	
1.750000	78.3262   	1.750000	108.723   	1.750000	96.4076   	1.750000	96.4076   	1.750000	96.4077   	1.750000	108.495   	1.750000	0.227274  	
2.000000	78.6692   	2.000000	108.119   	2.000000	97.8938   	2.000000	97.8938   	2.000000	97.8939   	2.000000	107.916   	2.000000	0.203106  	
2.250000	78.6862   	2.250000	107.101   	2.250000	98.7438   	2.250000	98.7438   	2.250000	98.7439   	2.250000	106.917   	2.250000	0.183864  	
2.500000	120.605   	2.500000	105.957   	2.500000	99.133    	2.500000	99.133    	2.500000	99.1331   	2.500000	105.789   	2.500000	0.168155  	
3.000000	117.749   	3.000000	103.472   	3.000000	98.9832   	3.000000	98.9832   	3.000000	98.9832   	3.000000	103.328   	3.000000	0.14399   	
3.500000	114.296   	3.500000	100.686   	3.500000	98.0653   	3.500000	98.0653   	3.500000	98.0653   	3.500000	100.56    	3.500000	0.126218  	
4.000000	110.669   	4.000000	97.6748   	4.000000	96.715    	4.000000	96.715    	4.000000	96.715    	4.000000	97.5622   	4.000000	0.112561  	
4.500000	107.066   	4.500000	94.9512   	4.500000	95.1237   	4.500000	95.1237   	4.500000	95.1238   	4.500000	94.8495   	4.500000	0.101717  	
5.000000	103.583   	5.000000	92.4446   	5.000000	93.4052   	5.000000	93.4052   	5.000000	93.4053   	5.000000	92.3517   	5.000000	0.0928838 	
5.500000	100.262   	5.500000	90.1111   	5.500000	91.6289   	5.500000	91.6289   	5.500000	91.629    	5.500000	90.0256   	5.500000	0.0855407 	
6.000000	97.1187   	6.000000	87.983    	6.000000	89.6542   	6.000000	89.6542   	6.000000	89.6543   	6.000000	87.9037   	6.000000	0.0793335 	
6.500000	94.1537   	6.500000	85.9631   	6.500000	87.689    	6.500000	87.689    	6.500000	87.6891   	6.500000	85.8891   	6.500000	0.0740132 	
7.000000	91.362    	7.000000	84.024    	7.000000	85.8039   	7.000000	85.8039   	7.000000	85.804    	7.000000	83.9546   	7.000000	0.069399  	
7.500000	88.7347   	7.500000	82.1623   	7.500000	83.9963   	7.500000	83.9963   	7.500000	83.9963   	7.500000	82.097    	7.500000	0.0653568 	
8.000000	86.2613   	8.000000	80.3757   	8.000000	82.2629   	8.000000	82.2629   	8.000000	82.263    	8.000000	80.3139   	8.000000	0.0617845 	
8.500000	83.9312   	8.500000	78.664    	8.500000	80.6004   	8.500000	80.6004   	8.500000	80.6004   	8.500000	78.6054   	8.500000	0.0586032 	
9.000000	81.7338   	9.000000	77.0235   	9.000000	79.0051   	9.000000	79.0051   	9.000000	79.0051   	9.000000	76.9677   	9.000000	0.0557509 	
9.500000	79.6591   	9.500000	75.4502   	9.500000	77.4735   	9.500000	77.4735   	9.500000	77.4735   	9.500000	75.397    	9.500000	0.0531781 	
10.000000	77.6978   	10.000000	70.8657   	10.000000	76.0021   	10.000000	76.0021   	10.000000	76.0022   	10.000000	70.8148   	10.000000	0.0508451 	
11.000000	74.0815   	11.000000	69.0723   	11.000000	72.4813   	11.000000	73.364    	11.000000	74.1073   	11.000000	69.0255   	11.000000	0.0467732 	
12.000000	70.8242   	12.000000	67.3172   	12.000000	69.2989   	12.000000	70.9319   	12.000000	72.236    	12.000000	67.2738   	12.000000	0.043336  	
13.000000	67.8755   	13.000000	65.6164   	13.000000	66.41     	13.000000	68.686    	13.000000	70.4116   	13.000000	65.576    	13.000000	0.0403936 	
14.000000	65.1932   	14.000000	63.9763   	14.000000	63.779    	14.000000	66.6081   	14.000000	68.6473   	14.000000	63.9385   	14.000000	0.0378446 	
15.000000	62.7425   	15.000000	62.4008   	15.000000	61.3767   	15.000000	64.6819   	15.000000	66.9504   	15.000000	62.3652   	15.000000	0.0356138 	
16.000000	60.494    	16.000000	60.8917   	16.000000	59.1749   	16.000000	62.8928   	16.000000	65.3248   	16.000000	60.8581   	16.000000	0.0336442 	
17.000000	58.4232   	17.000000	59.4484   	17.000000	57.1507   	17.000000	61.228    	17.000000	63.7714   	17.000000	59.4165   	17.000000	0.0318917 	
18.000000	56.5094   	18.000000	58.0694   	18.000000	55.2868   	18.000000	59.6761   	18.000000	62.2862   	18.000000	58.0391   	18.000000	0.0303216 	
19.000000	54.7349   	19.000000	56.7521   	19.000000	53.5676   	19.000000	58.2269   	19.000000	60.8716   	19.000000	56.7232   	19.000000	0.0289065 	
20.000000	53.0846   	20.000000	55.4939   	20.000000	51.9786   	20.000000	56.8716   	20.000000	59.5262   	20.000000	55.4662   	20.000000	0.0276241 	
21.000000	51.5455   	21.000000	54.2917   	21.000000	50.5062   	21.000000	55.6021   	21.000000	58.2412   	21.000000	54.2652   	21.000000	0.0264563 	
22.000000	50.1065   	22.000000	53.1426   	22.000000	49.1383   	22.000000	54.4115   	22.000000	57.0213   	22.000000	53.1172   	22.000000	0.025388  	
23.000000	48.7577   	23.000000	52.0436   	23.000000	47.8666   	23.000000	53.2934   	23.000000	55.8586   	23.000000	52.0192   	23.000000	0.024407  	
24.000000	47.4908   	24.000000	50.992    	24.000000	46.6848   	24.000000	52.2421   	24.000000	54.7532   	24.000000	50.9685   	24.000000	0.0235027 	
25.000000	46.2981   	25.000000	49.9849   	25.000000	45.585    	25.000000	51.2526   	25.000000	53.7009   	25.000000	49.9623   	25.000000	0.0226663 	
27.000000	44.1104   	27.000000	48.0945   	27.000000	43.597    	27.000000	49.4411   	27.000000	51.7467   	27.000000	48.0734   	27.000000	0.0211684 	
29.000000	42.1504   	29.000000	46.3536   	29.000000	41.8601   	29.000000	47.8274   	29.000000	49.9764   	29.000000	46.3338   	29.000000	0.019865  	
31.000000	40.3834   	31.000000	44.7458   	31.000000	40.4591   	31.000000	46.2155   	31.000000	48.0468   	31.000000	44.7271   	31.000000	0.0187201 	
33.000000	38.7814   	33.000000	43.2567   	33.000000	39.2839   	33.000000	44.5779   	33.000000	46.003    	33.000000	43.239    	33.000000	0.0177059 	
35.000000	37.3216   	35.000000	41.8738   	35.000000	38.1854   	35.000000	43.0655   	35.000000	44.1564   	35.000000	41.857    	35.000000	0.0168009 	
38.000000	35.3585   	38.000000	39.9753   	38.000000	36.6598   	38.000000	41.0012   	38.000000	41.6928   	38.000000	39.9597   	38.000000	0.015612  	
41.000000	33.6236   	41.000000	38.2607   	41.000000	35.267    	41.000000	39.1479   	41.000000	39.5307   	41.000000	38.2461   	41.000000	0.0145874 	
44.000000	32.0782   	44.000000	36.7044   	44.000000	33.992    	44.000000	37.4742   	44.000000	37.6147   	44.000000	36.6907   	44.000000	0.0136947 	
47.000000	30.6921   	47.000000	35.2854   	47.000000	32.8208   	47.000000	35.9549   	47.000000	35.9034   	47.000000	35.2725   	47.000000	0.0129097 	
50.000000	29.441    	50.000000	33.9863   	50.000000	31.7369   	50.000000	34.5692   	50.000000	34.3644   	50.000000	33.9741   	50.000000	0.0122138 	
55.000000	27.6051   	55.000000	32.0488   	55.000000	30.1082   	55.000000	32.5117   	55.000000	32.1103   	55.000000	32.0376   	55.000000	0.0112135 	
60.000000	26.0228   	60.000000	30.35     	60.000000	28.6618   	60.000000	30.7164   	60.000000	30.1744   	60.000000	30.3396   	60.000000	0.0103712 	
65.000000	24.6436   	65.000000	28.8481   	65.000000	27.3737   	65.000000	29.1359   	65.000000	28.4918   	65.000000	28.8384   	65.000000	0.00965162	
70.000000	23.4298   	70.000000	27.5105   	70.000000	26.2164   	70.000000	27.7337   	70.000000	27.0163   	70.000000	27.5015   	70.000000	0.00902947	
75.000000	22.3525   	75.000000	26.3117   	75.000000	25.1728   	75.000000	26.4811   	75.000000	25.8012   	75.000000	26.3032   	75.000000	0.00848594	
80.000000	21.3893   	80.000000	25.2309   	80.000000	24.2264   	80.000000	25.3554   	80.000000	24.7184   	80.000000	25.2229   	80.000000	0.00800682	
85.000000	20.5225   	85.000000	24.2515   	85.000000	23.3633   	85.000000	24.3383   	85.000000	23.7446   	85.000000	24.2439   	85.000000	0.00758113	
90.000000	19.7379   	90.000000	23.3599   	90.000000	22.5729   	90.000000	23.4147   	90.000000	22.8653   	90.000000	23.3527   	90.000000	0.0072003 	
95.000000	19.024    	95.000000	22.5446   	95.000000	21.849    	95.000000	22.5724   	95.000000	22.0685   	95.000000	22.5378   	95.000000	0.00685749	
100.000000	18.3715   	100.000000	21.7964   	100.000000	21.1811   	100.000000	21.8011   	100.000000	21.341    	100.000000	21.7899   	100.000000	0.0065472 	
105.000000	17.7725   	105.000000	21.1072   	105.000000	20.5629   	105.000000	21.0922   	105.000000	20.6739   	105.000000	21.101    	105.000000	0.00626495	
110.000000	17.2206   	110.000000	20.4704   	110.000000	19.9889   	110.000000	20.4385   	110.000000	20.0629   	110.000000	20.4644   	110.000000	0.00600704	
115.000000	16.7101   	115.000000	19.8801   	115.000000	19.4562   	115.000000	19.8339   	115.000000	19.4973   	115.000000	19.8743   	115.000000	0.00577042	
120.000000	16.2366   	120.000000	19.3315   	120.000000	18.9599   	120.000000	19.2729   	120.000000	18.9758   	120.000000	19.3259   	120.000000	0.00555252	
125.000000	15.796    	125.000000	18.8203   	125.000000	18.4954   	125.000000	18.7512   	125.000000	18.4904   	125.000000	18.8149   	125.000000	0.00535116	
130.000000	15.3849   	130.000000	18.3428   	130.000000	18.06     	130.000000	18.2647   	130.000000	18.04     	130.000000	18.3377   	130.000000	0.00516451	
135.000000	15.0003   	135.000000	17.8958   	135.000000	17.6522   	135.000000	17.8101   	135.000000	17.618    	135.000000	17.8909   	135.000000	0.00499099	
140.000000	14.6397   	140.000000	17.4766   	140.000000	17.2699   	140.000000	17.3842   	140.000000	17.2244   	140.000000	17.4717   	140.000000	0.00482925	
145.000000	14.3009   	145.000000	17.0825   	145.000000	16.9095   	145.000000	16.9846   	145.000000	16.853    	145.000000	17.0778   	145.000000	0.00467809	
150.000000	13.9818   	150.000000	16.7114   	150.000000	16.5679   	150.000000	16.6088   	150.000000	16.5056   	150.000000	16.7068   	150.000000	0.00453651	
155.000000	13.5211   	155.000000	16.3613   	155.000000	16.2453   	155.000000	16.2549   	155.000000	16.1776   	155.000000	16.3569   	155.000000	0.00440361	
160.000000	13.257    	160.000000	16.0306   	160.000000	15.9409   	160.000000	15.9209   	160.000000	15.8684   	160.000000	16.0263   	160.000000	0.0042786 	
165.000000	13.0072   	165.000000	15.7177   	165.000000	15.6527   	165.000000	15.6053   	165.000000	15.577    	165.000000	15.7135   	165.000000	0.0041608 	
170.000000	12.7706   	170.000000	15.4211   	170.000000	15.3788   	170.000000	15.3066   	170.000000	15.2998   	170.000000	15.4171   	170.000000	0.00404958	
