! 138Ce energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	14.4337   	0.001000	17.7401   	0.001000	14.8913   	0.001000	14.8913   	0.001000	14.8918   	0.001000	4.16414   	0.001000	13.5759   	
0.002000	15.0826   	0.002000	18.5896   	0.002000	15.0494   	0.002000	15.0494   	0.002000	15.0499   	0.002000	5.40022   	0.002000	13.1894   	
0.005000	15.0786   	0.005000	18.643    	0.005000	13.9694   	0.005000	13.9694   	0.005000	13.9697   	0.005000	7.61445   	0.005000	11.0285   	
0.008000	14.9569   	0.008000	18.5082   	0.008000	13.1459   	0.008000	13.1459   	0.008000	13.1462   	0.008000	9.08205   	0.008000	9.42615   	
0.010000	14.9442   	0.010000	18.4954   	0.010000	12.7794   	0.010000	12.7794   	0.010000	12.7797   	0.010000	9.87473   	0.010000	8.62067   	
0.015000	15.0806   	0.015000	18.6622   	0.015000	12.2592   	0.015000	12.2592   	0.015000	12.2594   	0.015000	11.4963   	0.015000	7.16583   	
0.020000	15.3509   	0.020000	18.9902   	0.020000	12.0656   	0.020000	12.0656   	0.020000	12.0657   	0.020000	12.8059   	0.020000	6.18431   	
0.025000	15.6833   	0.025000	19.3943   	0.025000	12.0461   	0.025000	12.0461   	0.025000	12.0462   	0.025000	13.9236   	0.025000	5.47067   	
0.030000	16.0439   	0.030000	19.8335   	0.030000	12.1276   	0.030000	12.1276   	0.030000	12.1277   	0.030000	14.9089   	0.030000	4.92458   	
0.035000	16.416    	0.035000	20.2871   	0.035000	12.2711   	0.035000	12.2711   	0.035000	12.2712   	0.035000	15.7961   	0.035000	4.49099   	
0.040000	16.7905   	0.040000	20.7442   	0.040000	12.4542   	0.040000	12.4542   	0.040000	12.4543   	0.040000	16.6072   	0.040000	4.137     	
0.045000	17.1626   	0.045000	21.1988   	0.045000	12.6634   	0.045000	12.6634   	0.045000	12.6635   	0.045000	17.3572   	0.045000	3.84164   	
0.050000	17.5297   	0.050000	21.6476   	0.050000	12.8898   	0.050000	12.8898   	0.050000	12.8899   	0.050000	18.0567   	0.050000	3.59085   	
0.055000	17.8902   	0.055000	22.0886   	0.055000	13.1276   	0.055000	13.1276   	0.055000	13.1277   	0.055000	18.7138   	0.055000	3.37483   	
0.060000	18.2435   	0.060000	22.521    	0.060000	13.373    	0.060000	13.373    	0.060000	13.373    	0.060000	19.3344   	0.060000	3.18651   	
0.070000	18.9273   	0.070000	23.3583   	0.070000	13.8759   	0.070000	13.8759   	0.070000	13.876    	0.070000	20.485    	0.070000	2.87331   	
0.080000	19.581    	0.080000	24.1595   	0.080000	14.3848   	0.080000	14.3848   	0.080000	14.3849   	0.080000	21.5369   	0.080000	2.62253   	
0.090000	21.1693   	0.090000	24.9261   	0.090000	14.8923   	0.090000	14.8923   	0.090000	14.8924   	0.090000	22.5095   	0.090000	2.41655   	
0.100000	23.0216   	0.100000	26.7406   	0.100000	16.2973   	0.100000	16.2973   	0.100000	16.2973   	0.100000	24.4967   	0.100000	2.24394   	
0.120000	25.8759   	0.120000	32.0362   	0.120000	20.7378   	0.120000	20.7378   	0.120000	20.7378   	0.120000	30.0842   	0.120000	1.95208   	
0.140000	28.3722   	0.140000	36.9999   	0.140000	25.1803   	0.140000	25.1803   	0.140000	25.1804   	0.140000	35.2543   	0.140000	1.74563   	
0.160000	30.6728   	0.160000	41.5561   	0.160000	29.4514   	0.160000	29.4514   	0.160000	29.4515   	0.160000	39.9738   	0.160000	1.58232   	
0.180000	32.8774   	0.180000	45.7056   	0.180000	33.4654   	0.180000	33.4654   	0.180000	33.4654   	0.180000	44.2561   	0.180000	1.44954   	
0.200000	35.0393   	0.200000	49.4745   	0.200000	37.1819   	0.200000	37.1819   	0.200000	37.182    	0.200000	48.1353   	0.200000	1.33924   	
0.250000	39.1205   	0.250000	57.4675   	0.250000	45.1489   	0.250000	45.1489   	0.250000	45.149    	0.250000	56.3374   	0.250000	1.1301    	
0.300000	43.2423   	0.300000	64.281    	0.300000	51.4477   	0.300000	51.4477   	0.300000	51.4477   	0.300000	63.2992   	0.300000	0.981719  	
0.350000	47.0684   	0.350000	70.1135   	0.350000	56.4661   	0.350000	56.4661   	0.350000	56.4662   	0.350000	69.2431   	0.350000	0.870442  	
0.400000	50.5163   	0.400000	74.9225   	0.400000	60.552    	0.400000	60.552    	0.400000	60.552    	0.400000	74.1389   	0.400000	0.783593  	
0.450000	53.6103   	0.450000	78.9398   	0.450000	63.9647   	0.450000	63.9647   	0.450000	63.9647   	0.450000	78.226    	0.450000	0.713743  	
0.500000	56.3811   	0.500000	82.3337   	0.500000	66.8846   	0.500000	66.8846   	0.500000	66.8846   	0.500000	81.6774   	0.500000	0.656228  	
0.600000	59.3321   	0.600000	87.8677   	0.600000	71.6961   	0.600000	71.6961   	0.600000	71.6962   	0.600000	87.3008   	0.600000	0.566843  	
0.700000	62.1932   	0.700000	94.2798   	0.700000	75.5686   	0.700000	75.5686   	0.700000	75.5687   	0.700000	93.7794   	0.700000	0.50035   	
0.800000	66.3461   	0.800000	99.2002   	0.800000	78.787    	0.800000	78.787    	0.800000	78.7871   	0.800000	98.7514   	0.800000	0.448784  	
0.900000	69.7569   	0.900000	103.013   	0.900000	82.429    	0.900000	82.429    	0.900000	82.429    	0.900000	102.606   	0.900000	0.407527  	
1.000000	72.5713   	1.000000	105.986   	1.000000	85.5324   	1.000000	85.5324   	1.000000	85.5324   	1.000000	105.613   	1.000000	0.373704  	
1.250000	76.6894   	1.250000	109.709   	1.250000	91.3411   	1.250000	91.3411   	1.250000	91.3412   	1.250000	109.398   	1.250000	0.310705  	
1.500000	78.5212   	1.500000	110.418   	1.500000	95.1798   	1.500000	95.1798   	1.500000	95.1798   	1.500000	110.151   	1.500000	0.266915  	
1.750000	79.5083   	1.750000	110.37    	1.750000	97.6948   	1.750000	97.6948   	1.750000	97.6948   	1.750000	110.136   	1.750000	0.234578  	
2.000000	79.9351   	2.000000	109.859   	2.000000	99.2889   	2.000000	99.2889   	2.000000	99.289    	2.000000	109.649   	2.000000	0.209647  	
2.250000	79.9944   	2.250000	108.888   	2.250000	100.226   	2.250000	100.226   	2.250000	100.227   	2.250000	108.699   	2.250000	0.189796  	
2.500000	123.268   	2.500000	107.775   	2.500000	100.687   	2.500000	100.687   	2.500000	100.687   	2.500000	107.601   	2.500000	0.173588  	
3.000000	120.458   	3.000000	105.33    	3.000000	100.645   	3.000000	100.645   	3.000000	100.645   	3.000000	105.181   	3.000000	0.148654  	
