! 143Pr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	14.7799   	0.001000	18.1862   	0.001000	15.4306   	0.001000	15.4306   	0.001000	15.4311   	0.001000	4.40474   	0.001000	13.7815   	
0.002000	15.4947   	0.002000	19.1321   	0.002000	15.7519   	0.002000	15.7519   	0.002000	15.7524   	0.002000	5.71225   	0.002000	13.4198   	
0.005000	15.5725   	0.005000	19.3143   	0.005000	14.947    	0.005000	14.947    	0.005000	14.9474   	0.005000	8.05442   	0.005000	11.2599   	
0.008000	15.4917   	0.008000	19.2474   	0.008000	14.3044   	0.008000	14.3044   	0.008000	14.3046   	0.008000	9.60681   	0.008000	9.64056   	
0.010000	15.4996   	0.010000	19.2689   	0.010000	14.0378   	0.010000	14.0378   	0.010000	14.0381   	0.010000	10.4453   	0.010000	8.8236    	
0.015000	15.6777   	0.015000	19.5047   	0.015000	13.7301   	0.015000	13.7301   	0.015000	13.7303   	0.015000	12.1606   	0.015000	7.34406   	
0.020000	15.9827   	0.020000	19.8893   	0.020000	13.7173   	0.020000	13.7173   	0.020000	13.7175   	0.020000	13.5459   	0.020000	6.34338   	
0.025000	16.346    	0.025000	20.3428   	0.025000	13.8589   	0.025000	13.8589   	0.025000	13.8591   	0.025000	14.7281   	0.025000	5.61469   	
0.030000	16.7351   	0.030000	20.8268   	0.030000	14.0876   	0.030000	14.0876   	0.030000	14.0877   	0.030000	15.7703   	0.030000	5.05648   	
0.035000	17.1335   	0.035000	21.3217   	0.035000	14.3676   	0.035000	14.3676   	0.035000	14.3677   	0.035000	16.7088   	0.035000	4.6129    	
0.040000	17.5327   	0.040000	21.8173   	0.040000	14.6787   	0.040000	14.6787   	0.040000	14.6788   	0.040000	17.5668   	0.040000	4.25052   	
0.045000	17.9282   	0.045000	22.3081   	0.045000	15.0088   	0.045000	15.0088   	0.045000	15.0088   	0.045000	18.3601   	0.045000	3.94801   	
0.050000	18.3175   	0.050000	22.7911   	0.050000	15.3501   	0.050000	15.3501   	0.050000	15.3502   	0.050000	19.1      	0.050000	3.69104   	
0.055000	18.6993   	0.055000	23.2647   	0.055000	15.6977   	0.055000	15.6977   	0.055000	15.6978   	0.055000	19.7951   	0.055000	3.46961   	
0.060000	19.0729   	0.060000	23.7281   	0.060000	16.0483   	0.060000	16.0483   	0.060000	16.0484   	0.060000	20.4516   	0.060000	3.27652   	
0.070000	19.7951   	0.070000	24.6239   	0.070000	16.7504   	0.070000	16.7504   	0.070000	16.7505   	0.070000	21.6687   	0.070000	2.95526   	
0.080000	20.4846   	0.080000	25.4793   	0.080000	17.4455   	0.080000	17.4455   	0.080000	17.4456   	0.080000	22.7813   	0.080000	2.69791   	
0.090000	21.7742   	0.090000	26.2966   	0.090000	18.1287   	0.090000	18.1287   	0.090000	18.1287   	0.090000	23.8101   	0.090000	2.48647   	
0.100000	23.6104   	0.100000	27.6939   	0.100000	19.3365   	0.100000	19.3365   	0.100000	19.3365   	0.100000	25.3846   	0.100000	2.30922   	
0.120000	26.3654   	0.120000	32.9095   	0.120000	24.0496   	0.120000	24.0496   	0.120000	24.0497   	0.120000	30.9002   	0.120000	2.00931   	
0.140000	28.7849   	0.140000	37.7772   	0.140000	28.6744   	0.140000	28.6744   	0.140000	28.6744   	0.140000	35.98     	0.140000	1.7972    	
0.160000	31.0172   	0.160000	42.2321   	0.160000	33.0559   	0.160000	33.0559   	0.160000	33.056    	0.160000	40.6027   	0.160000	1.62935   	
0.180000	33.1621   	0.180000	46.2816   	0.180000	37.1252   	0.180000	37.1252   	0.180000	37.1253   	0.180000	44.7887   	0.180000	1.49285   	
0.200000	35.272    	0.200000	49.9559   	0.200000	40.8559   	0.200000	40.8559   	0.200000	40.856    	0.200000	48.5765   	0.200000	1.37942   	
0.250000	39.2463   	0.250000	57.7462   	0.250000	48.7449   	0.250000	48.7449   	0.250000	48.7449   	0.250000	56.582    	0.250000	1.16428   	
0.300000	43.4361   	0.300000	64.5378   	0.300000	54.8864   	0.300000	54.8864   	0.300000	54.8865   	0.300000	63.5262   	0.300000	1.0116    	
0.350000	47.4661   	0.350000	70.7107   	0.350000	59.7263   	0.350000	59.7263   	0.350000	59.7263   	0.350000	69.8136   	0.350000	0.89706   	
0.400000	51.0928   	0.400000	75.8093   	0.400000	63.6382   	0.400000	63.6382   	0.400000	63.6383   	0.400000	75.0016   	0.400000	0.807648  	
0.450000	54.3442   	0.450000	80.0721   	0.450000	66.8918   	0.450000	66.8918   	0.450000	66.8918   	0.450000	79.3364   	0.450000	0.735724  	
0.500000	57.2537   	0.500000	83.6744   	0.500000	69.6703   	0.500000	69.6703   	0.500000	69.6703   	0.500000	82.9979   	0.500000	0.676493  	
0.600000	60.1664   	0.600000	89.3862   	0.600000	74.2496   	0.600000	74.2496   	0.600000	74.2496   	0.600000	88.8018   	0.600000	0.584426  	
0.700000	62.9801   	0.700000	95.5392   	0.700000	77.9453   	0.700000	77.9453   	0.700000	77.9454   	0.700000	95.0232   	0.700000	0.515924  	
0.800000	67.1215   	0.800000	100.404   	0.800000	81.0284   	0.800000	81.0284   	0.800000	81.0285   	0.800000	99.9417   	0.800000	0.462794  	
0.900000	70.5252   	0.900000	104.174   	0.900000	83.6444   	0.900000	83.6444   	0.900000	83.6445   	0.900000	103.754   	0.900000	0.420279  	
1.000000	73.336    	1.000000	107.114   	1.000000	86.2762   	1.000000	86.2762   	1.000000	86.2762   	1.000000	106.729   	1.000000	0.385422  	
1.250000	77.6808   	1.250000	111.136   	1.250000	92.302    	1.250000	92.302    	1.250000	92.302    	1.250000	110.816   	1.250000	0.320487  	
1.500000	79.6127   	1.500000	111.96    	1.500000	96.3106   	1.500000	96.3106   	1.500000	96.3107   	1.500000	111.685   	1.500000	0.275345  	
1.750000	80.6765   	1.750000	111.999   	1.750000	98.9609   	1.750000	98.9609   	1.750000	98.961    	1.750000	111.757   	1.750000	0.242006  	
2.000000	81.1635   	2.000000	111.552   	2.000000	100.664   	2.000000	100.664   	2.000000	100.664   	2.000000	111.336   	2.000000	0.216299  	
2.250000	81.2916   	2.250000	110.661   	2.250000	101.69    	2.250000	101.69    	2.250000	101.691   	2.250000	110.465   	2.250000	0.195829  	
2.500000	125.921   	2.500000	109.579   	2.500000	102.224   	2.500000	102.224   	2.500000	102.224   	2.500000	109.4     	2.500000	0.179114  	
3.000000	123.161   	3.000000	107.176   	3.000000	102.292   	3.000000	102.292   	3.000000	102.292   	3.000000	107.023   	3.000000	0.153398  	
3.500000	119.72    	3.500000	104.641   	3.500000	101.523   	3.500000	101.523   	3.500000	101.523   	3.500000	104.507   	3.500000	0.134482  	
4.000000	116.057   	4.000000	101.479   	4.000000	100.275   	4.000000	100.275   	4.000000	100.275   	4.000000	101.359   	4.000000	0.119943  	
4.500000	112.391   	4.500000	98.6609   	4.500000	98.7525   	4.500000	98.7525   	4.500000	98.7525   	4.500000	98.5525   	4.500000	0.108398  	
5.000000	108.829   	5.000000	96.0952   	5.000000	97.0789   	5.000000	97.0789   	5.000000	97.0789   	5.000000	95.9962   	5.000000	0.0989921 	
5.500000	105.42    	5.500000	93.7233   	5.500000	95.3295   	5.500000	95.3295   	5.500000	95.3296   	5.500000	93.6321   	5.500000	0.0911723 	
6.000000	102.183   	6.000000	91.5292   	6.000000	93.4959   	6.000000	93.4959   	6.000000	93.4959   	6.000000	91.4447   	6.000000	0.0845616 	
6.500000	99.1238   	6.500000	89.5112   	6.500000	91.5064   	6.500000	91.5064   	6.500000	91.5065   	6.500000	89.4323   	6.500000	0.078895  	
7.000000	96.2377   	7.000000	87.5664   	7.000000	89.5942   	7.000000	89.5942   	7.000000	89.5943   	7.000000	87.4924   	7.000000	0.0739801 	
7.500000	93.5171   	7.500000	85.695    	7.500000	87.7574   	7.500000	87.7574   	7.500000	87.7574   	7.500000	85.6253   	7.500000	0.0696742 	
8.000000	90.9525   	8.000000	83.8916   	8.000000	85.9933   	8.000000	85.9933   	8.000000	85.9933   	8.000000	83.8257   	8.000000	0.0658686 	
8.500000	88.5335   	8.500000	82.1585   	8.500000	84.2988   	8.500000	84.2988   	8.500000	84.2989   	8.500000	82.096    	8.500000	0.0624794 	
9.000000	86.2498   	9.000000	80.4947   	9.000000	82.6708   	9.000000	82.6708   	9.000000	82.6709   	9.000000	80.4352   	9.000000	0.0594406 	
9.500000	84.0916   	9.500000	78.8966   	9.500000	81.106    	9.500000	81.106    	9.500000	81.106    	9.500000	78.8399   	9.500000	0.0566995 	
10.000000	82.0496   	10.000000	74.1437   	10.000000	79.6011   	10.000000	79.6011   	10.000000	79.6012   	10.000000	74.0895   	10.000000	0.0542136 	
11.000000	78.2803   	11.000000	72.3454   	11.000000	75.9588   	11.000000	76.9041   	11.000000	77.7233   	11.000000	72.2956   	11.000000	0.0498748 	
12.000000	74.8807   	12.000000	70.5717   	12.000000	72.6618   	12.000000	74.4132   	12.000000	75.854    	12.000000	70.5255   	12.000000	0.0462121 	
13.000000	71.7996   	13.000000	68.8434   	13.000000	69.6661   	13.000000	72.1094   	13.000000	74.0206   	13.000000	68.8003   	13.000000	0.0430764 	
14.000000	68.9941   	14.000000	67.1719   	14.000000	66.9351   	14.000000	69.9751   	14.000000	72.2391   	14.000000	67.1315   	14.000000	0.0403598 	
15.000000	66.4285   	15.000000	65.5622   	15.000000	64.4378   	15.000000	67.9943   	15.000000	70.5191   	15.000000	65.5242   	15.000000	0.0379822 	
16.000000	64.0727   	16.000000	64.0169   	16.000000	62.1479   	16.000000	66.1526   	16.000000	68.8657   	16.000000	63.9811   	16.000000	0.0358828 	
17.000000	61.9016   	17.000000	62.5364   	17.000000	60.0423   	17.000000	64.4372   	17.000000	67.2815   	17.000000	62.5024   	17.000000	0.0340148 	
18.000000	59.8938   	18.000000	61.1194   	18.000000	58.1012   	18.000000	62.8367   	18.000000	65.763    	18.000000	61.0871   	18.000000	0.0323412 	
19.000000	58.0309   	19.000000	59.7639   	19.000000	56.3082   	19.000000	61.3411   	19.000000	64.3136   	19.000000	59.7331   	19.000000	0.0308327 	
20.000000	56.2976   	20.000000	58.4675   	20.000000	54.6494   	20.000000	59.9413   	20.000000	62.9324   	20.000000	58.438    	20.000000	0.0294656 	
21.000000	54.6802   	21.000000	57.2273   	21.000000	53.1123   	21.000000	58.6295   	21.000000	61.6107   	21.000000	57.1991   	21.000000	0.0282206 	
22.000000	53.1672   	22.000000	56.0405   	22.000000	51.6859   	22.000000	57.3984   	22.000000	60.354    	22.000000	56.0135   	22.000000	0.0270818 	
23.000000	51.7486   	23.000000	54.9045   	23.000000	50.3595   	23.000000	56.2416   	23.000000	59.1544   	23.000000	54.8784   	23.000000	0.0260358 	
24.000000	50.4154   	24.000000	53.8163   	24.000000	49.1231   	24.000000	55.1535   	24.000000	58.0125   	24.000000	53.7912   	24.000000	0.0250717 	
25.000000	49.1599   	25.000000	52.7733   	25.000000	47.9694   	25.000000	54.1289   	25.000000	56.924    	25.000000	52.7491   	25.000000	0.02418   	
27.000000	46.8556   	27.000000	50.8131   	27.000000	45.889    	27.000000	52.2521   	27.000000	54.8991   	27.000000	50.7905   	27.000000	0.0225829 	
29.000000	44.7899   	29.000000	49.0054   	29.000000	44.0772   	29.000000	50.579    	29.000000	53.061    	29.000000	48.9842   	29.000000	0.0211931 	
31.000000	42.9265   	31.000000	47.3336   	31.000000	42.6226   	31.000000	48.903    	31.000000	51.0391   	31.000000	47.3137   	31.000000	0.0199722 	
33.000000	41.2361   	33.000000	45.7835   	33.000000	41.4088   	33.000000	47.1954   	33.000000	48.8854   	33.000000	45.7646   	33.000000	0.0188908 	
35.000000	39.695    	35.000000	44.3425   	35.000000	40.2766   	35.000000	45.6168   	35.000000	46.939    	35.000000	44.3245   	35.000000	0.0179257 	
38.000000	37.6214   	38.000000	42.3617   	38.000000	38.704    	38.000000	43.46     	38.000000	44.3416   	38.000000	42.345    	38.000000	0.0166578 	
41.000000	35.7877   	41.000000	40.5703   	41.000000	37.2595   	41.000000	41.5213   	41.000000	42.0606   	41.000000	40.5548   	41.000000	0.0155651 	
44.000000	34.1535   	44.000000	38.9425   	44.000000	35.9389   	44.000000	39.7686   	44.000000	40.0369   	44.000000	38.9279   	44.000000	0.0146131 	
47.000000	32.6869   	47.000000	37.4568   	47.000000	34.7213   	47.000000	38.176    	47.000000	38.2271   	47.000000	37.443    	47.000000	0.0137758 	
50.000000	31.3626   	50.000000	36.0952   	50.000000	33.5948   	50.000000	36.7222   	50.000000	36.5979   	50.000000	36.0822   	50.000000	0.0130335 	
55.000000	29.4181   	55.000000	34.0621   	55.000000	31.8972   	55.000000	34.561    	55.000000	34.2101   	55.000000	34.0502   	55.000000	0.0119666 	
60.000000	27.7413   	60.000000	32.2771   	60.000000	30.3956   	60.000000	32.6728   	60.000000	32.154    	60.000000	32.2661   	60.000000	0.0110681 	
65.000000	26.2789   	65.000000	30.6972   	65.000000	29.0488   	65.000000	31.0087   	65.000000	30.3645   	65.000000	30.6869   	65.000000	0.0103005 	
70.000000	24.9912   	70.000000	29.2887   	70.000000	27.8379   	70.000000	29.5307   	70.000000	28.7919   	70.000000	29.2791   	70.000000	0.00963679	
75.000000	23.8478   	75.000000	28.0251   	75.000000	26.7465   	75.000000	28.2092   	75.000000	27.4974   	75.000000	28.016    	75.000000	0.00905694	
80.000000	22.8251   	80.000000	26.8849   	80.000000	25.7554   	80.000000	27.0206   	80.000000	26.3424   	80.000000	26.8764   	80.000000	0.00854579	
85.000000	21.9045   	85.000000	25.8509   	85.000000	24.8504   	85.000000	25.9458   	85.000000	25.3054   	85.000000	25.8428   	85.000000	0.00809164	
90.000000	21.0708   	90.000000	24.9088   	90.000000	24.0208   	90.000000	24.9691   	90.000000	24.3688   	90.000000	24.9012   	90.000000	0.00768533	
95.000000	20.3122   	95.000000	24.0469   	95.000000	23.2576   	95.000000	24.0778   	95.000000	23.5199   	95.000000	24.0396   	95.000000	0.00731957	
100.000000	19.6185   	100.000000	23.2554   	100.000000	22.5555   	100.000000	23.2612   	100.000000	22.7466   	100.000000	23.2484   	100.000000	0.0069885 	
105.000000	18.9815   	105.000000	22.5259   	105.000000	21.9053   	105.000000	22.5102   	105.000000	22.0375   	105.000000	22.5192   	105.000000	0.00668734	
110.000000	18.3944   	110.000000	21.8514   	110.000000	21.301    	110.000000	21.8174   	110.000000	21.387    	110.000000	21.845    	110.000000	0.00641216	
115.000000	17.8514   	115.000000	21.2259   	115.000000	20.74     	115.000000	21.1762   	115.000000	20.785    	115.000000	21.2198   	115.000000	0.00615968	
120.000000	17.3474   	120.000000	20.6444   	120.000000	20.2165   	120.000000	20.5811   	120.000000	20.2301   	120.000000	20.6384   	120.000000	0.00592716	
125.000000	16.8785   	125.000000	20.1022   	125.000000	19.7272   	125.000000	20.0274   	125.000000	19.7138   	125.000000	20.0965   	125.000000	0.0057123 	
130.000000	16.4408   	130.000000	19.5956   	130.000000	19.2696   	130.000000	19.5108   	130.000000	19.2349   	130.000000	19.5901   	130.000000	0.00551313	
135.000000	16.0313   	135.000000	19.1212   	135.000000	18.8375   	135.000000	19.0279   	135.000000	18.7867   	135.000000	19.1159   	135.000000	0.00532797	
140.000000	15.6473   	140.000000	18.676    	140.000000	18.4328   	140.000000	18.5755   	140.000000	18.3693   	140.000000	18.6708   	140.000000	0.00515536	
145.000000	15.2865   	145.000000	18.2574   	145.000000	18.0522   	145.000000	18.1507   	145.000000	17.9759   	145.000000	18.2524   	145.000000	0.00499406	
150.000000	14.9466   	150.000000	17.8631   	150.000000	17.6908   	150.000000	17.7513   	150.000000	17.6075   	150.000000	17.8582   	150.000000	0.00484298	
155.000000	14.4551   	155.000000	17.4911   	155.000000	17.3509   	155.000000	17.3749   	155.000000	17.2594   	155.000000	17.4864   	155.000000	0.00470115	
160.000000	14.1738   	160.000000	17.1395   	160.000000	17.0296   	160.000000	17.0196   	160.000000	16.9312   	160.000000	17.1349   	160.000000	0.00456774	
165.000000	13.9077   	165.000000	16.8067   	165.000000	16.7233   	165.000000	16.6838   	165.000000	16.6221   	165.000000	16.8022   	165.000000	0.00444202	
170.000000	13.6555   	170.000000	16.4912   	170.000000	16.4325   	170.000000	16.366    	170.000000	16.3279   	170.000000	16.4869   	170.000000	0.00432332	
175.000000	13.4162   	175.000000	16.1918   	175.000000	16.1569   	175.000000	16.0647   	175.000000	16.0502   	175.000000	16.1876   	175.000000	0.00421107	
180.000000	13.1888   	180.000000	15.9073   	180.000000	15.895    	180.000000	15.7786   	180.000000	15.7866   	180.000000	15.9032   	180.000000	0.00410475	
185.000000	12.9725   	185.000000	15.6365   	185.000000	15.6452   	185.000000	15.5068   	185.000000	15.5352   	185.000000	15.6325   	185.000000	0.00400389	
190.000000	12.7664   	190.000000	15.3786   	190.000000	15.4065   	190.000000	15.2481   	190.000000	15.2967   	190.000000	15.3747   	190.000000	0.00390808	
195.000000	12.5698   	195.000000	15.1326   	195.000000	15.1789   	195.000000	15.0017   	195.000000	15.0695   	195.000000	15.1288   	195.000000	0.00381694	
200.000000	12.382    	200.000000	14.8978   	200.000000	14.9617   	200.000000	14.7667   	200.000000	14.8519   	200.000000	14.894    	200.000000	0.00373013	
210.000000	12.0308   	210.000000	14.4586   	210.000000	14.554    	210.000000	14.3279   	210.000000	14.4471   	210.000000	14.455    	210.000000	0.00356832	
220.000000	11.7086   	220.000000	14.056    	220.000000	14.1799   	220.000000	13.9264   	220.000000	14.0748   	220.000000	14.0526   	220.000000	0.00342051	
230.000000	11.4119   	230.000000	13.6856   	230.000000	13.8353   	230.000000	13.5578   	230.000000	13.7336   	230.000000	13.6823   	230.000000	0.00328495	
