! 144Nd energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000269147	0.001000	0.00033144	0.001000	0.000281297	0.001000	0.000281297	0.001000	0.000281306	0.001000	7.98983e-05	0.001000	0.000251542	
0.002000	0.000282441	0.002000	0.000349132	0.002000	0.000287594	0.002000	0.000287594	0.002000	0.000287602	0.002000	0.000103615	0.002000	0.000245516	
0.005000	0.000283967	0.005000	0.000352827	0.005000	0.000273253	0.005000	0.000273253	0.005000	0.000273259	0.005000	0.0001461 	0.005000	0.000206726	
0.008000	0.000282337	0.008000	0.000351571	0.008000	0.00026146	0.008000	0.00026146	0.008000	0.000261465	0.008000	0.000174259	0.008000	0.000177311	
0.010000	0.000282349	0.010000	0.000351884	0.010000	0.000256495	0.010000	0.000256495	0.010000	0.000256499	0.010000	0.000189469	0.010000	0.000162415	
0.015000	0.00028527	0.015000	0.000355946	0.015000	0.000250585	0.015000	0.000250585	0.015000	0.000250589	0.015000	0.000220583	0.015000	0.000135363	
0.020000	0.000290542	0.020000	0.000362729	0.020000	0.000250065	0.020000	0.000250065	0.020000	0.000250068	0.020000	0.000245711	0.020000	0.000117019	
0.025000	0.000296913	0.025000	0.000370795	0.025000	0.000252389	0.025000	0.000252389	0.025000	0.000252392	0.025000	0.000267156	0.025000	0.000103639	
0.030000	0.000303783	0.030000	0.000379439	0.030000	0.000256325	0.030000	0.000256325	0.030000	0.000256328	0.030000	0.000286061	0.030000	9.33781e-05	
0.035000	0.000310849	0.035000	0.000388302	0.035000	0.00026122	0.035000	0.00026122	0.035000	0.000261222	0.035000	0.000303084	0.035000	8.52176e-05	
