! 55V energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000118576	0.001000	0.00013136	0.001000	0.000126679	0.001000	0.000126679	0.001000	0.000126687	0.001000	3.20228e-05	0.001000	9.93369e-05	
0.002000	0.000119445	0.002000	0.000125688	0.002000	0.000122826	0.002000	0.000122826	0.002000	0.000122832	0.002000	4.15285e-05	0.002000	8.41598e-05	
0.005000	0.000121944	0.005000	0.000117102	0.005000	0.000119681	0.005000	0.000119681	0.005000	0.000119684	0.005000	5.85563e-05	0.005000	5.85455e-05	
0.008000	0.00012692	0.008000	0.000115817	0.008000	0.000123305	0.008000	0.000123305	0.008000	0.000123308	0.008000	6.98423e-05	0.008000	4.59752e-05	
0.010000	0.000130642	0.010000	0.000116475	0.010000	0.000126994	0.010000	0.000126994	0.010000	0.000126996	0.010000	7.59381e-05	0.010000	4.05365e-05	
0.015000	0.00014144	0.015000	0.000120143	0.015000	0.000137623	0.015000	0.000137623	0.015000	0.000137624	0.015000	8.84085e-05	0.015000	3.17347e-05	
0.020000	0.000155576	0.020000	0.00012486	0.020000	0.000148649	0.020000	0.000148649	0.020000	0.000148651	0.020000	9.84795e-05	0.020000	2.63805e-05	
0.025000	0.00017281	0.025000	0.000129805	0.025000	0.000159431	0.025000	0.000159431	0.025000	0.000159432	0.025000	0.000107075	0.025000	2.27303e-05	
0.030000	0.000188733	0.030000	0.000143551	0.030000	0.000172563	0.030000	0.000172563	0.030000	0.000172564	0.030000	0.000123491	0.030000	2.00598e-05	
0.035000	0.000202936	0.035000	0.000164945	0.035000	0.000188317	0.035000	0.000188317	0.035000	0.000188318	0.035000	0.000146936	0.035000	1.80096e-05	
0.040000	0.000215043	0.040000	0.00018517	0.040000	0.000204062	0.040000	0.000204062	0.040000	0.000204062	0.040000	0.000168942	0.040000	1.62284e-05	
0.045000	0.000225172	0.045000	0.000204376	0.045000	0.000219999	0.045000	0.000219999	0.045000	0.00022   	0.045000	0.000189463	0.045000	1.49125e-05	
0.050000	0.000233152	0.050000	0.000222509	0.050000	0.000235874	0.050000	0.000235874	0.050000	0.000235875	0.050000	0.000208695	0.050000	1.38136e-05	
0.055000	0.000246251	0.055000	0.000239776	0.055000	0.000251622	0.055000	0.000251622	0.055000	0.000251623	0.055000	0.000226895	0.055000	1.28804e-05	
