! 58Cr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000123721	0.001000	0.000138207	0.001000	0.000128756	0.001000	0.000128756	0.001000	0.000128764	0.001000	3.40594e-05	0.001000	0.000104148	
0.002000	0.000124731	0.002000	0.000132966	0.002000	0.000123596	0.002000	0.000123596	0.002000	0.000123602	0.002000	4.41695e-05	0.002000	8.87961e-05	
0.005000	0.000127043	0.005000	0.000124526	0.005000	0.000117267	0.005000	0.000117267	0.005000	0.000117271	0.005000	6.22803e-05	0.005000	6.22462e-05	
0.008000	0.000131905	0.008000	0.000123325	0.008000	0.000118637	0.008000	0.000118637	0.008000	0.00011864	0.008000	7.4284e-05	0.008000	4.90409e-05	
0.010000	0.0001356 	0.010000	0.000124066	0.010000	0.00012111	0.010000	0.00012111	0.010000	0.000121112	0.010000	8.07675e-05	0.010000	4.32987e-05	
0.015000	0.000145033	0.015000	0.000128003	0.015000	0.00012927	0.015000	0.00012927	0.015000	0.000129271	0.015000	9.4031e-05	0.015000	3.39719e-05	
0.020000	0.000157507	0.020000	0.000133021	0.020000	0.000138319	0.020000	0.000138319	0.020000	0.00013832	0.020000	0.000104742	0.020000	2.82786e-05	
0.025000	0.000173666	0.025000	0.000138273	0.025000	0.000147418	0.025000	0.000147418	0.025000	0.000147419	0.025000	0.000113884	0.025000	2.43888e-05	
0.030000	0.000188513	0.030000	0.000146585	0.030000	0.000157608	0.030000	0.000157608	0.030000	0.000157609	0.030000	0.000125046	0.030000	2.15388e-05	
0.035000	0.000201682	0.035000	0.00016677	0.035000	0.00017315	0.035000	0.00017315	0.035000	0.000173151	0.035000	0.000147422	0.035000	1.93483e-05	
0.040000	0.000212817	0.040000	0.000185671	0.040000	0.000188837	0.040000	0.000188837	0.040000	0.000188838	0.040000	0.000168231	0.040000	1.74407e-05	
0.045000	0.000222079	0.045000	0.000203535	0.045000	0.000204866	0.045000	0.000204866	0.045000	0.000204867	0.045000	0.000187501	0.045000	1.60335e-05	
0.050000	0.000229299	0.050000	0.000220337	0.050000	0.000220942	0.050000	0.000220942	0.050000	0.000220943	0.050000	0.00020548	0.050000	1.48573e-05	
0.055000	0.000241584	0.055000	0.000236311	0.055000	0.000236983	0.055000	0.000236983	0.055000	0.000236983	0.055000	0.000222453	0.055000	1.38579e-05	
0.060000	0.000252693	0.060000	0.000251657	0.060000	0.000252919	0.060000	0.000252919	0.060000	0.000252919	0.060000	0.00023866	0.060000	1.2997e-05	
0.070000	0.000271498	0.070000	0.000280971	0.070000	0.000284265	0.070000	0.000284265	0.070000	0.000284265	0.070000	0.000269385	0.070000	1.15867e-05	
0.080000	0.000295632	0.080000	0.000308811	0.080000	0.000314631	0.080000	0.000314631	0.080000	0.000314632	0.080000	0.000298334	0.080000	1.04767e-05	
0.090000	0.00031738	0.090000	0.000339302	0.090000	0.000343771	0.090000	0.000343771	0.090000	0.000343771	0.090000	0.000329724	0.090000	9.57795e-06	
0.100000	0.000336497	0.100000	0.000370335	0.100000	0.000371513	0.100000	0.000371513	0.100000	0.000371513	0.100000	0.000361501	0.100000	8.83374e-06	
0.120000	0.000360398	0.120000	0.000426904	0.120000	0.000422414	0.120000	0.000422414	0.120000	0.000422414	0.120000	0.000419235	0.120000	7.66944e-06	
