! 60Mn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000128571	0.001000	0.000144908	0.001000	0.000131843	0.001000	0.000131843	0.001000	0.000131851	0.001000	3.6083e-05	0.001000	0.000108825	
0.002000	0.000129763	0.002000	0.000140159	0.002000	0.000125915	0.002000	0.000125915	0.002000	0.000125921	0.002000	4.67938e-05	0.002000	9.3365e-05	
0.005000	0.000131906	0.005000	0.000131931	0.005000	0.000117415	0.005000	0.000117415	0.005000	0.000117418	0.005000	6.59806e-05	0.005000	6.59503e-05	
0.008000	0.000136636	0.008000	0.000130827	0.008000	0.000117227	0.008000	0.000117227	0.008000	0.000117229	0.008000	7.86975e-05	0.008000	5.21291e-05	
0.010000	0.00014029	0.010000	0.000131655	0.010000	0.000118869	0.010000	0.000118869	0.010000	0.000118871	0.010000	8.55662e-05	0.010000	4.60885e-05	
0.015000	0.00014971	0.015000	0.000135859	0.015000	0.000125378	0.015000	0.000125378	0.015000	0.00012538	0.015000	9.96177e-05	0.015000	3.62409e-05	
0.020000	0.00016043	0.020000	0.000141174	0.020000	0.000133135	0.020000	0.000133135	0.020000	0.000133137	0.020000	0.000110966	0.020000	3.02085e-05	
0.025000	0.000176218	0.025000	0.000146729	0.025000	0.000141154	0.025000	0.000141154	0.025000	0.000141155	0.025000	0.000120651	0.025000	2.60781e-05	
0.030000	0.000190708	0.030000	0.000152235	0.030000	0.000149106	0.030000	0.000149106	0.030000	0.000149107	0.030000	0.000129188	0.030000	2.30471e-05	
0.035000	0.000203541	0.035000	0.00017022	0.035000	0.000163555	0.035000	0.000163555	0.035000	0.000163556	0.035000	0.000149505	0.035000	2.07149e-05	
0.040000	0.000214494	0.040000	0.000188923	0.040000	0.000179373	0.040000	0.000179373	0.040000	0.000179373	0.040000	0.000170065	0.040000	1.88573e-05	
0.045000	0.000223337	0.045000	0.000206226	0.045000	0.000195304	0.045000	0.000195304	0.045000	0.000195304	0.045000	0.000189047	0.045000	1.7179e-05	
0.050000	0.000230311	0.050000	0.000222645	0.050000	0.000211552	0.050000	0.000211552	0.050000	0.000211552	0.050000	0.00020672	0.050000	1.59246e-05	
0.055000	0.000242384	0.055000	0.000238246	0.055000	0.00022784	0.055000	0.00022784	0.055000	0.00022784	0.055000	0.000223388	0.055000	1.48581e-05	
0.060000	0.000253305	0.060000	0.000253241	0.060000	0.000244088	0.060000	0.000244088	0.060000	0.000244088	0.060000	0.000239302	0.060000	1.39389e-05	
0.070000	0.000271809	0.070000	0.000281926	0.070000	0.000276213	0.070000	0.000276213	0.070000	0.000276214	0.070000	0.000269494	0.070000	1.2432e-05	
0.080000	0.000293891	0.080000	0.000309246	0.080000	0.000307516	0.080000	0.000307516	0.080000	0.000307517	0.080000	0.000298001	0.080000	1.12452e-05	
