! 64Co energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00013812	0.001000	0.000158055	0.001000	0.000138964	0.001000	0.000138964	0.001000	0.000138973	0.001000	3.99805e-05	0.001000	0.000118075	
0.002000	0.000139727	0.002000	0.000154349	0.002000	0.000132041	0.002000	0.000132041	0.002000	0.000132048	0.002000	5.18482e-05	0.002000	0.0001025 	
0.005000	0.000141561	0.005000	0.000146575	0.005000	0.000120174	0.005000	0.000120174	0.005000	0.000120178	0.005000	7.31074e-05	0.005000	7.34679e-05	
0.008000	0.000146008	0.008000	0.000145636	0.008000	0.000117517	0.008000	0.000117517	0.008000	0.00011752	0.008000	8.7198e-05	0.008000	5.84382e-05	
0.010000	0.000149561	0.010000	0.000146612	0.010000	0.000117856	0.010000	0.000117856	0.010000	0.000117858	0.010000	9.48086e-05	0.010000	5.18039e-05	
0.015000	0.000158915	0.015000	0.000151288	0.015000	0.000121806	0.015000	0.000121806	0.015000	0.000121808	0.015000	0.000110378	0.015000	4.09101e-05	
0.020000	0.000168091	0.020000	0.000157143	0.020000	0.000127601	0.020000	0.000127601	0.020000	0.000127603	0.020000	0.000122952	0.020000	3.41909e-05	
0.025000	0.000181775	0.025000	0.000163253	0.025000	0.000134006	0.025000	0.000134006	0.025000	0.000134008	0.025000	0.000133683	0.025000	2.95706e-05	
0.030000	0.000195494	0.030000	0.000169312	0.030000	0.000140574	0.030000	0.000140574	0.030000	0.000140575	0.030000	0.000143142	0.030000	2.617e-05 	
0.035000	0.000207586	0.035000	0.000177863	0.035000	0.000148906	0.035000	0.000148906	0.035000	0.000148907	0.035000	0.000154316	0.035000	2.35476e-05	
0.040000	0.000217847	0.040000	0.000195803	0.040000	0.000164517	0.040000	0.000164517	0.040000	0.000164518	0.040000	0.000174348	0.040000	2.1455e-05	
0.045000	0.000226035	0.045000	0.000212262	0.045000	0.000180424	0.045000	0.000180424	0.045000	0.000180425	0.045000	0.000192705	0.045000	1.95563e-05	
0.050000	0.000232443	0.050000	0.000227852	0.050000	0.000196853	0.050000	0.000196853	0.050000	0.000196854	0.050000	0.000209711	0.050000	1.81413e-05	
0.055000	0.000244021	0.055000	0.000242643	0.055000	0.000213468	0.055000	0.000213468	0.055000	0.000213469	0.055000	0.000225707	0.055000	1.69367e-05	
0.060000	0.000254495	0.060000	0.000256862	0.060000	0.000230168	0.060000	0.000230168	0.060000	0.000230169	0.060000	0.000240965	0.060000	1.58973e-05	
0.070000	0.000272259	0.070000	0.000284137	0.070000	0.000263504	0.070000	0.000263504	0.070000	0.000263504	0.070000	0.000269945	0.070000	1.41913e-05	
0.080000	0.000291857	0.080000	0.000310261	0.080000	0.000296332	0.080000	0.000296332	0.080000	0.000296333	0.080000	0.000297416	0.080000	1.28456e-05	
0.090000	0.000311827	0.090000	0.000335341	0.090000	0.000328274	0.090000	0.000328274	0.090000	0.000328275	0.090000	0.000323587	0.090000	1.17541e-05	
0.100000	0.000333924	0.100000	0.000361613	0.100000	0.000359055	0.100000	0.000359055	0.100000	0.000359056	0.100000	0.000350764	0.100000	1.0849e-05	
0.120000	0.00036365	0.120000	0.000425549	0.120000	0.000416433	0.120000	0.000416433	0.120000	0.000416433	0.120000	0.000416118	0.120000	9.43061e-06	
0.140000	0.000387788	0.140000	0.000482353	0.140000	0.000467638	0.140000	0.000467638	0.140000	0.000467639	0.140000	0.000473987	0.140000	8.36587e-06	
0.160000	0.000409115	0.160000	0.00053223	0.160000	0.000512536	0.160000	0.000512536	0.160000	0.000512536	0.160000	0.000524695	0.160000	7.53425e-06	
0.180000	0.000429153	0.180000	0.000575824	0.180000	0.000551409	0.180000	0.000551409	0.180000	0.00055141	0.180000	0.000568959	0.180000	6.865e-06 	
0.200000	0.00044864	0.200000	0.00061391	0.200000	0.000584778	0.200000	0.000584778	0.200000	0.000584778	0.200000	0.000607596	0.200000	6.31365e-06	
0.250000	0.000488957	0.250000	0.000700302	0.250000	0.00064825	0.250000	0.00064825	0.250000	0.000648251	0.250000	0.000695022	0.250000	5.27992e-06	
0.300000	0.000524414	0.300000	0.000767036	0.300000	0.000690733	0.300000	0.000690733	0.300000	0.000690733	0.300000	0.00076248	0.300000	4.55585e-06	
0.350000	0.000555054	0.350000	0.000816489	0.350000	0.000730675	0.350000	0.000730675	0.350000	0.000730675	0.350000	0.000812471	0.350000	4.01802e-06	
0.400000	0.000581872	0.400000	0.000853585	0.400000	0.000764926	0.400000	0.000764926	0.400000	0.000764926	0.400000	0.000849984	0.400000	3.60141e-06	
0.450000	0.000616555	0.450000	0.000898521	0.450000	0.00079027	0.450000	0.00079027	0.450000	0.000790271	0.450000	0.000895253	0.450000	3.26841e-06	
0.500000	0.000646034	0.500000	0.000937706	0.500000	0.000809489	0.500000	0.000809489	0.500000	0.000809489	0.500000	0.000934711	0.500000	2.99563e-06	
0.600000	0.000669076	0.600000	0.000994149	0.600000	0.000836125	0.600000	0.000836125	0.600000	0.000836125	0.600000	0.000991575	0.600000	2.57432e-06	
0.700000	0.000676407	0.700000	0.00103006	0.700000	0.000853003	0.700000	0.000853003	0.700000	0.000853004	0.700000	0.0010278 	0.700000	2.26306e-06	
0.800000	0.000694901	0.800000	0.00104465	0.800000	0.000863843	0.800000	0.000863843	0.800000	0.000863843	0.800000	0.00104262	0.800000	2.023e-06 	
0.900000	0.000706834	0.900000	0.00104901	0.900000	0.000870543	0.900000	0.000870543	0.900000	0.000870544	0.900000	0.00104718	0.900000	1.8318e-06	
1.000000	0.000714519	1.000000	0.00104835	1.000000	0.00087421	1.000000	0.00087421	1.000000	0.000874211	1.000000	0.00104668	1.000000	1.67565e-06	
1.250000	0.000718071	1.250000	0.00103228	1.250000	0.000874318	1.250000	0.000874318	1.250000	0.000874319	1.250000	0.0010309 	1.250000	1.38632e-06	
1.500000	0.000701731	1.500000	0.000990133	1.500000	0.000866245	1.500000	0.000866245	1.500000	0.000866245	1.500000	0.000988947	1.500000	1.18645e-06	
1.750000	0.000684118	1.750000	0.000952012	1.750000	0.00085352	1.750000	0.00085352	1.750000	0.000853521	1.750000	0.000950973	1.750000	1.03956e-06	
2.000000	0.000666199	2.000000	0.000917305	2.000000	0.000838182	2.000000	0.000838182	2.000000	0.000838183	2.000000	0.000916379	2.000000	9.26741e-07	
2.250000	0.000647772	2.250000	0.000882964	2.250000	0.000818122	2.250000	0.000818122	2.250000	0.000818123	2.250000	0.000882127	2.250000	8.372e-07 	
2.500000	0.000763409	2.500000	0.000851266	2.500000	0.000797353	2.500000	0.000797353	2.500000	0.000797354	2.500000	0.000850502	2.500000	7.64292e-07	
3.000000	0.00072173	3.000000	0.000796775	3.000000	0.000758759	3.000000	0.000758759	3.000000	0.000758759	3.000000	0.000796122	3.000000	6.52502e-07	
3.500000	0.00068265	3.500000	0.000750822	3.500000	0.000723661	3.500000	0.000723661	3.500000	0.000723662	3.500000	0.000750251	3.500000	5.70587e-07	
4.000000	0.000646876	4.000000	0.000710381	4.000000	0.000691646	4.000000	0.000691646	4.000000	0.000691646	4.000000	0.000709873	4.000000	5.07829e-07	
4.500000	0.0006144 	4.500000	0.000675009	4.500000	0.000662356	4.500000	0.000662356	4.500000	0.000662356	4.500000	0.000674551	4.500000	4.58118e-07	
5.000000	0.000584971	5.000000	0.000643458	5.000000	0.000635476	5.000000	0.000635476	5.000000	0.000635476	5.000000	0.00064304	5.000000	4.17713e-07	
5.500000	0.000558273	5.500000	0.000615134	5.500000	0.000610731	5.500000	0.000610731	5.500000	0.000610731	5.500000	0.00061475	5.500000	3.84185e-07	
6.000000	0.000533992	6.000000	0.000589554	6.000000	0.000587881	6.000000	0.000587881	6.000000	0.000587882	6.000000	0.000589198	6.000000	3.5589e-07	
6.500000	0.00051184	6.500000	0.000566269	6.500000	0.000566719	6.500000	0.000566719	6.500000	0.000566719	6.500000	0.000565937	6.500000	3.31673e-07	
7.000000	0.000491563	7.000000	0.000544938	7.000000	0.000547064	7.000000	0.000547064	7.000000	0.000547064	7.000000	0.000544627	7.000000	3.10699e-07	
7.500000	0.000472941	7.500000	0.000525245	7.500000	0.00052876	7.500000	0.00052876	7.500000	0.00052876	7.500000	0.000524953	7.500000	2.92345e-07	
8.000000	0.000455782	8.000000	0.000506992	8.000000	0.000511671	8.000000	0.000511671	8.000000	0.000511671	8.000000	0.000506716	8.000000	2.76144e-07	
8.500000	0.000439923	8.500000	0.000490013	8.500000	0.000495678	8.500000	0.000495678	8.500000	0.000495678	8.500000	0.000489751	8.500000	2.6173e-07	
9.000000	0.000425222	9.000000	0.000474172	9.000000	0.000480679	9.000000	0.000480679	9.000000	0.000480679	9.000000	0.000473923	9.000000	2.48819e-07	
9.500000	0.000411556	9.500000	0.000459342	9.500000	0.000466581	9.500000	0.000466581	9.500000	0.000466581	9.500000	0.000459105	9.500000	2.37183e-07	
10.000000	0.00039882	10.000000	0.000426893	10.000000	0.000453305	10.000000	0.000453305	10.000000	0.000453305	10.000000	0.000426667	10.000000	2.2664e-07	
11.000000	0.000375775	11.000000	0.000408019	11.000000	0.000426668	11.000000	0.000429511	11.000000	0.000430331	11.000000	0.000407811	11.000000	2.08259e-07	
12.000000	0.000355479	12.000000	0.000390639	12.000000	0.000403189	12.000000	0.000408267	12.000000	0.000409537	12.000000	0.000390446	12.000000	1.92765e-07	
13.000000	0.000337462	13.000000	0.000374631	13.000000	0.00038235	13.000000	0.000389193	13.000000	0.000390662	13.000000	0.000374451	13.000000	1.79516e-07	
14.000000	0.000321353	14.000000	0.000359867	14.000000	0.000363744	14.000000	0.000371984	14.000000	0.000373478	14.000000	0.000359699	14.000000	1.68052e-07	
15.000000	0.00030686	15.000000	0.000346227	15.000000	0.000347048	15.000000	0.000356386	15.000000	0.000357789	15.000000	0.000346069	15.000000	1.58028e-07	
16.000000	0.000293748	16.000000	0.000333598	16.000000	0.00033199	16.000000	0.000342191	16.000000	0.000343428	16.000000	0.000333449	16.000000	1.49186e-07	
17.000000	0.000281823	17.000000	0.00032188	17.000000	0.000318347	17.000000	0.000329226	17.000000	0.000330249	17.000000	0.000321739	17.000000	1.41326e-07	
