! 69Cu energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000148244	0.001000	0.000170998	0.001000	0.000150831	0.001000	0.000150831	0.001000	0.00015084	0.001000	4.37274e-05	0.001000	0.000127271	
0.002000	0.000150476	0.002000	0.000168392	0.002000	0.000145002	0.002000	0.000145002	0.002000	0.00014501	0.002000	5.67075e-05	0.002000	0.000111685	
0.005000	0.000152326	0.005000	0.000161109	0.005000	0.000133828	0.005000	0.000133828	0.005000	0.000133832	0.005000	7.99591e-05	0.005000	8.11503e-05	
0.008000	0.000156671	0.008000	0.000160305	0.008000	0.000131566	0.008000	0.000131566	0.008000	0.000131569	0.008000	9.53702e-05	0.008000	6.49345e-05	
0.010000	0.000160214	0.010000	0.000161402	0.010000	0.000132204	0.010000	0.000132204	0.010000	0.000132206	0.010000	0.000103694	0.010000	5.77079e-05	
0.015000	0.000169682	0.015000	0.000166481	0.015000	0.000136996	0.015000	0.000136996	0.015000	0.000136998	0.015000	0.000120723	0.015000	4.57588e-05	
0.020000	0.000179078	0.020000	0.000172814	0.020000	0.000143692	0.020000	0.000143692	0.020000	0.000143693	0.020000	0.000134475	0.020000	3.83398e-05	
0.025000	0.000188511	0.025000	0.000179429	0.025000	0.000151004	0.025000	0.000151004	0.025000	0.000151005	0.025000	0.000146212	0.025000	3.32173e-05	
0.030000	0.000203469	0.030000	0.000185994	0.030000	0.000158465	0.030000	0.000158465	0.030000	0.000158466	0.030000	0.000156558	0.030000	2.94363e-05	
0.035000	0.000216839	0.035000	0.000192389	0.035000	0.000165881	0.035000	0.000165881	0.035000	0.000165882	0.035000	0.000165874	0.035000	2.65142e-05	
