! 73Ga energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000157734	0.001000	0.000183407	0.001000	0.000160477	0.001000	0.000160477	0.001000	0.000160487	0.001000	4.71782e-05	0.001000	0.000136229	
0.002000	0.000160602	0.002000	0.000181952	0.002000	0.000155061	0.002000	0.000155061	0.002000	0.000155068	0.002000	6.11825e-05	0.002000	0.000120769	
0.005000	0.000162413	0.005000	0.000175173	0.005000	0.000143122	0.005000	0.000143122	0.005000	0.000143126	0.005000	8.6269e-05	0.005000	8.89044e-05	
0.008000	0.000166559	0.008000	0.000174447	0.008000	0.00014013	0.008000	0.00014013	0.008000	0.000140133	0.008000	0.000102896	0.008000	7.15506e-05	
0.010000	0.000170029	0.010000	0.000175621	0.010000	0.000140417	0.010000	0.000140417	0.010000	0.00014042	0.010000	0.000111877	0.010000	6.37437e-05	
0.015000	0.000179465	0.015000	0.000180995	0.015000	0.000144651	0.015000	0.000144651	0.015000	0.000144653	0.015000	0.000130249	0.015000	5.07459e-05	
0.020000	0.000188953	0.020000	0.00018771	0.020000	0.000151055	0.020000	0.000151055	0.020000	0.000151056	0.020000	0.000145087	0.020000	4.26232e-05	
0.025000	0.000198076	0.025000	0.000194742	0.025000	0.000158222	0.025000	0.000158222	0.025000	0.000158223	0.025000	0.00015775	0.025000	3.6992e-05	
0.030000	0.000208877	0.030000	0.000201736	0.030000	0.000165624	0.030000	0.000165624	0.030000	0.000165625	0.030000	0.000168912	0.030000	3.28237e-05	
0.035000	0.000222744	0.035000	0.00020856	0.035000	0.000173036	0.035000	0.000173036	0.035000	0.000173037	0.035000	0.000178964	0.035000	2.95955e-05	
