! 76Ge energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000162382	0.001000	0.000189466	0.001000	0.000160365	0.001000	0.000160365	0.001000	0.000160374	0.001000	4.87295e-05	0.001000	0.000140737	
0.002000	0.000165504	0.002000	0.000188554	0.002000	0.000153116	0.002000	0.000153116	0.002000	0.000153123	0.002000	6.31944e-05	0.002000	0.000125359	
0.005000	0.000167177	0.005000	0.000181959	0.005000	0.000136737	0.005000	0.000136737	0.005000	0.000136741	0.005000	8.91058e-05	0.005000	9.28529e-05	
0.008000	0.000171143	0.008000	0.000181213	0.008000	0.000130442	0.008000	0.000130442	0.008000	0.000130445	0.008000	0.00010628	0.008000	7.49335e-05	
0.010000	0.000174532	0.010000	0.000182391	0.010000	0.000128895	0.010000	0.000128895	0.010000	0.000128898	0.010000	0.000115556	0.010000	6.68355e-05	
0.015000	0.000183862	0.015000	0.000187841	0.015000	0.000129315	0.015000	0.000129315	0.015000	0.000129317	0.015000	0.000134532	0.015000	5.33082e-05	
0.020000	0.000193324	0.020000	0.000194686	0.020000	0.000132593	0.020000	0.000132593	0.020000	0.000132594	0.020000	0.000149858	0.020000	4.48281e-05	
0.025000	0.000202463	0.025000	0.000201875	0.025000	0.000137061	0.025000	0.000137061	0.025000	0.000137062	0.025000	0.000162937	0.025000	3.89376e-05	
0.030000	0.000211171	0.030000	0.000209038	0.030000	0.00014206	0.030000	0.00014206	0.030000	0.000142061	0.030000	0.000174467	0.030000	3.45715e-05	
0.035000	0.000223661	0.035000	0.000216036	0.035000	0.000147287	0.035000	0.000147287	0.035000	0.000147289	0.035000	0.000184849	0.035000	3.11866e-05	
0.040000	0.000234535	0.040000	0.000222816	0.040000	0.000152591	0.040000	0.000152591	0.040000	0.000152592	0.040000	0.000194341	0.040000	2.84744e-05	
0.045000	0.000243455	0.045000	0.000234495	0.045000	0.000162897	0.045000	0.000162897	0.045000	0.000162898	0.045000	0.00020825	0.045000	2.62456e-05	
0.050000	0.000250375	0.050000	0.000251253	0.050000	0.000179435	0.050000	0.000179435	0.050000	0.000179436	0.050000	0.000226876	0.050000	2.43769e-05	
0.055000	0.000262653	0.055000	0.000266975	0.055000	0.000196256	0.055000	0.000196256	0.055000	0.000196257	0.055000	0.000244404	0.055000	2.25719e-05	
0.060000	0.00027399	0.060000	0.000282339	0.060000	0.000213658	0.060000	0.000213658	0.060000	0.000213659	0.060000	0.000261126	0.060000	2.12136e-05	
0.070000	0.000293367	0.070000	0.000311869	0.070000	0.000249041	0.070000	0.000249041	0.070000	0.000249041	0.070000	0.000292893	0.070000	1.89767e-05	
0.080000	0.000314793	0.080000	0.000340218	0.080000	0.000284598	0.080000	0.000284598	0.080000	0.000284599	0.080000	0.000323012	0.080000	1.72061e-05	
0.090000	0.000333494	0.090000	0.000367488	0.090000	0.000319777	0.090000	0.000319777	0.090000	0.000319777	0.090000	0.000351722	0.090000	1.57659e-05	
0.100000	0.000350066	0.100000	0.000393634	0.100000	0.000354165	0.100000	0.000354165	0.100000	0.000354166	0.100000	0.000379065	0.100000	1.4569e-05	
0.120000	0.000376829	0.120000	0.000442372	0.120000	0.000419452	0.120000	0.000419452	0.120000	0.000419452	0.120000	0.000429684	0.120000	1.26884e-05	
0.140000	0.000406582	0.140000	0.000504313	0.140000	0.000478979	0.140000	0.000478979	0.140000	0.00047898	0.140000	0.000493041	0.140000	1.12726e-05	
0.160000	0.000433156	0.160000	0.000562276	0.160000	0.000532188	0.160000	0.000532188	0.160000	0.000532188	0.160000	0.000552111	0.160000	1.01643e-05	
0.180000	0.000458158	0.180000	0.000613699	0.180000	0.000579101	0.180000	0.000579101	0.180000	0.000579101	0.180000	0.000604428	0.180000	9.27073e-06	
0.200000	0.000482405	0.200000	0.000659243	0.200000	0.000620087	0.200000	0.000620087	0.200000	0.000620088	0.200000	0.00065071	0.200000	8.53351e-06	
0.250000	0.000524447	0.250000	0.000751914	0.250000	0.000700393	0.250000	0.000700393	0.250000	0.000700394	0.250000	0.000744766	0.250000	7.14847e-06	
0.300000	0.0005664 	0.300000	0.000826537	0.300000	0.000756622	0.300000	0.000756622	0.300000	0.000756622	0.300000	0.000820361	0.300000	6.17608e-06	
0.350000	0.00060395	0.350000	0.000886272	0.350000	0.000796735	0.350000	0.000796735	0.350000	0.000796735	0.350000	0.000880819	0.350000	5.4525e-06	
0.400000	0.000636666	0.400000	0.000932654	0.400000	0.000837786	0.400000	0.000837786	0.400000	0.000837786	0.400000	0.000927762	0.400000	4.89124e-06	
0.450000	0.000664992	0.450000	0.000969094	0.450000	0.000873504	0.450000	0.000873504	0.450000	0.000873504	0.450000	0.000964652	0.450000	4.4421e-06	
0.500000	0.00068942	0.500000	0.000997979	0.500000	0.00090176	0.500000	0.00090176	0.500000	0.000901761	0.500000	0.000993905	0.500000	4.07383e-06	
0.600000	0.000725502	0.600000	0.00107019	0.600000	0.000943409	0.600000	0.000943409	0.600000	0.00094341	0.600000	0.00106669	0.600000	3.50437e-06	
0.700000	0.00074329	0.700000	0.00112385	0.700000	0.000972302	0.700000	0.000972302	0.700000	0.000972303	0.700000	0.00112076	0.700000	3.0831e-06	
0.800000	0.000777591	0.800000	0.00116087	0.800000	0.000992993	0.800000	0.000992993	0.800000	0.000992994	0.800000	0.00115811	0.800000	2.75787e-06	
0.900000	0.000803491	0.900000	0.00118607	0.900000	0.0010079 	0.900000	0.0010079 	0.900000	0.00100791	0.900000	0.00118357	0.900000	2.4986e-06	
1.000000	0.000815988	1.000000	0.00119188	1.000000	0.00101849	1.000000	0.00101849	1.000000	0.00101849	1.000000	0.00118959	1.000000	2.28671e-06	
1.250000	0.00083022	1.250000	0.00118706	1.250000	0.00103169	1.250000	0.00103169	1.250000	0.00103169	1.250000	0.00118517	1.250000	1.8937e-06	
1.500000	0.000831083	1.500000	0.00116958	1.500000	0.00103246	1.500000	0.00103246	1.500000	0.00103246	1.500000	0.00116795	1.500000	1.62189e-06	
1.750000	0.000816465	1.750000	0.00113438	1.750000	0.00102573	1.750000	0.00102573	1.750000	0.00102573	1.750000	0.00113295	1.750000	1.42193e-06	
2.000000	0.00079933	2.000000	0.00109895	2.000000	0.0010144 	2.000000	0.0010144 	2.000000	0.0010144 	2.000000	0.00109769	2.000000	1.26825e-06	
2.250000	0.000783312	2.250000	0.00106638	2.250000	0.00100025	2.250000	0.00100025	2.250000	0.00100025	2.250000	0.00106524	2.250000	1.1462e-06	
2.500000	0.000979967	2.500000	0.0010362 	2.500000	0.000984421	2.500000	0.000984421	2.500000	0.000984422	2.500000	0.00103516	2.500000	1.04677e-06	
3.000000	0.000932974	3.000000	0.000981718	3.000000	0.000944734	3.000000	0.000944734	3.000000	0.000944734	3.000000	0.000980824	3.000000	8.9421e-07	
3.500000	0.000887453	3.500000	0.000932785	3.500000	0.000906142	3.500000	0.000906142	3.500000	0.000906143	3.500000	0.000932002	3.500000	7.82338e-07	
4.000000	0.000844913	4.000000	0.000887523	4.000000	0.000870481	4.000000	0.000870481	4.000000	0.000870482	4.000000	0.000886827	4.000000	6.96576e-07	
4.500000	0.000805724	4.500000	0.000848009	4.500000	0.000837492	4.500000	0.000837492	4.500000	0.000837493	4.500000	0.000847381	4.500000	6.28611e-07	
5.000000	0.000769811	5.000000	0.000813346	5.000000	0.000806924	5.000000	0.000806924	5.000000	0.000806924	5.000000	0.000812773	5.000000	5.73344e-07	
5.500000	0.000736938	5.500000	0.000781639	5.500000	0.00077854	5.500000	0.00077854	5.500000	0.000778541	5.500000	0.000781111	5.500000	5.27467e-07	
6.000000	0.000706818	6.000000	0.000752449	6.000000	0.000752128	6.000000	0.000752128	6.000000	0.000752128	6.000000	0.00075196	6.000000	4.88738e-07	
6.500000	0.000679166	6.500000	0.000725408	6.500000	0.000727494	6.500000	0.000727494	6.500000	0.000727494	6.500000	0.000724952	6.500000	4.5558e-07	
7.000000	0.000653717	7.000000	0.000700399	7.000000	0.000704468	7.000000	0.000704468	7.000000	0.000704468	7.000000	0.000699972	7.000000	4.26854e-07	
7.500000	0.000630234	7.500000	0.000677174	7.500000	0.000682897	7.500000	0.000682897	7.500000	0.000682898	7.500000	0.000676773	7.500000	4.01712e-07	
8.000000	0.000608505	8.000000	0.00065553	8.000000	0.000662648	8.000000	0.000662648	8.000000	0.000662649	8.000000	0.00065515	8.000000	3.79513e-07	
8.500000	0.000588345	8.500000	0.000635328	8.500000	0.000643602	8.500000	0.000643602	8.500000	0.000643602	8.500000	0.000634969	8.500000	3.59759e-07	
9.000000	0.000569593	9.000000	0.000616368	9.000000	0.000625653	9.000000	0.000625653	9.000000	0.000625654	9.000000	0.000616026	9.000000	3.42061e-07	
9.500000	0.000552107	9.500000	0.000598536	9.500000	0.000608708	9.500000	0.000608708	9.500000	0.000608709	9.500000	0.00059821	9.500000	3.26109e-07	
10.000000	0.000535762	10.000000	0.000557533	10.000000	0.000592683	10.000000	0.000592683	10.000000	0.000592684	10.000000	0.000557221	10.000000	3.11652e-07	
11.000000	0.000506077	11.000000	0.000535156	11.000000	0.00055954	11.000000	0.000563937	11.000000	0.000565741	11.000000	0.000534869	11.000000	2.86442e-07	
12.000000	0.000479813	12.000000	0.000514336	12.000000	0.00053017	12.000000	0.000538099	12.000000	0.000541036	12.000000	0.000514071	12.000000	2.65185e-07	
13.000000	0.000456403	13.000000	0.00049498	13.000000	0.000503984	13.000000	0.000514762	13.000000	0.000518359	13.000000	0.000494733	13.000000	2.47005e-07	
14.000000	0.000435398	14.000000	0.000476984	14.000000	0.000480513	14.000000	0.000493593	14.000000	0.00049751	14.000000	0.000476753	14.000000	2.3127e-07	
15.000000	0.00041644	15.000000	0.000460239	15.000000	0.000459374	15.000000	0.000474313	15.000000	0.000478309	15.000000	0.000460021	15.000000	2.17509e-07	
16.000000	0.000399238	16.000000	0.000444637	16.000000	0.000440246	16.000000	0.000456688	16.000000	0.000460595	16.000000	0.000444432	16.000000	2.05369e-07	
17.000000	0.000383554	17.000000	0.000430078	17.000000	0.000422865	17.000000	0.000440522	17.000000	0.000444225	17.000000	0.000429883	17.000000	1.94573e-07	
18.000000	0.000369191	18.000000	0.000416468	18.000000	0.000407008	18.000000	0.000425651	18.000000	0.000429048	18.000000	0.000416284	18.000000	1.84908e-07	
19.000000	0.000355985	19.000000	0.000403725	19.000000	0.0003925 	19.000000	0.000411931	19.000000	0.000414977	19.000000	0.000403549	19.000000	1.76202e-07	
20.000000	0.000343798	20.000000	0.000391771	20.000000	0.0003792 	20.000000	0.000399243	20.000000	0.000401914	20.000000	0.000391603	20.000000	1.68316e-07	
21.000000	0.000332516	21.000000	0.000380539	21.000000	0.000366972	21.000000	0.00038748	21.000000	0.000389732	21.000000	0.000380377	21.000000	1.61138e-07	
22.000000	0.000322038	22.000000	0.000369966	22.000000	0.000355691	22.000000	0.000376552	22.000000	0.000378397	22.000000	0.000369812	22.000000	1.54576e-07	
23.000000	0.000312279	23.000000	0.000359999	23.000000	0.000345265	23.000000	0.00036638	23.000000	0.000367807	23.000000	0.00035985	23.000000	1.48551e-07	
24.000000	0.000303166	24.000000	0.000350587	24.000000	0.000335616	24.000000	0.000356895	24.000000	0.000357916	24.000000	0.000350444	24.000000	1.43001e-07	
25.000000	0.000294635	25.000000	0.000341687	25.000000	0.000326669	25.000000	0.000348035	25.000000	0.000348659	25.000000	0.000341549	25.000000	1.37869e-07	
27.000000	0.000279107	27.000000	0.000325263	27.000000	0.0003106 	27.000000	0.000331982	27.000000	0.000331857	27.000000	0.000325135	27.000000	1.28684e-07	
