! 78As energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000154574	0.001000	0.000182298	0.001000	0.000170015	0.001000	0.000170015	0.001000	0.000170025	0.001000	3.71754e-05	0.001000	0.000145123	
0.002000	0.000154357	0.002000	0.000178083	0.002000	0.000165073	0.002000	0.000165073	0.002000	0.000165081	0.002000	4.82105e-05	0.002000	0.000129873	
0.005000	0.00014943	0.005000	0.000164764	0.005000	0.000152441	0.005000	0.000152441	0.005000	0.000152446	0.005000	6.79781e-05	0.005000	9.67864e-05	
0.008000	0.00014891	0.008000	0.000159402	0.008000	0.000148719	0.008000	0.000148719	0.008000	0.000148723	0.008000	8.108e-05 	0.008000	7.83221e-05	
0.010000	0.000149887	0.010000	0.000158096	0.010000	0.000148645	0.010000	0.000148645	0.010000	0.000148648	0.010000	8.81567e-05	0.010000	6.99396e-05	
0.015000	0.000154335	0.015000	0.000158524	0.015000	0.000152284	0.015000	0.000152284	0.015000	0.000152286	0.015000	0.000102634	0.015000	5.58903e-05	
0.020000	0.000159911	0.020000	0.00016138	0.020000	0.000158361	0.020000	0.000158361	0.020000	0.000158362	0.020000	0.000114325	0.020000	4.70549e-05	
0.025000	0.000165769	0.025000	0.000165209	0.025000	0.000165349	0.025000	0.000165349	0.025000	0.00016535	0.025000	0.000124303	0.025000	4.09057e-05	
0.030000	0.00017161	0.030000	0.000169441	0.030000	0.000172662	0.030000	0.000172662	0.030000	0.000172663	0.030000	0.000133099	0.030000	3.63415e-05	
0.035000	0.000184945	0.035000	0.000173819	0.035000	0.000180042	0.035000	0.000180042	0.035000	0.000180043	0.035000	0.00014102	0.035000	3.27993e-05	
0.040000	0.000202828	0.040000	0.00017822	0.040000	0.000187368	0.040000	0.000187368	0.040000	0.000187369	0.040000	0.000148261	0.040000	2.99589e-05	
0.045000	0.000219289	0.045000	0.000184639	0.045000	0.000195694	0.045000	0.000195694	0.045000	0.000195695	0.045000	0.000157016	0.045000	2.7623e-05	
0.050000	0.000233934	0.050000	0.00020877	0.050000	0.00021373	0.050000	0.00021373	0.050000	0.000213731	0.050000	0.000183107	0.050000	2.56636e-05	
0.055000	0.000253526	0.055000	0.000232902	0.055000	0.000231901	0.055000	0.000231901	0.055000	0.000231902	0.055000	0.000209135	0.055000	2.3767e-05	
0.060000	0.000272347	0.060000	0.000257399	0.060000	0.000250542	0.060000	0.000250542	0.060000	0.000250543	0.060000	0.000235057	0.060000	2.23422e-05	
0.070000	0.000302621	0.070000	0.000306439	0.070000	0.000288065	0.070000	0.000288065	0.070000	0.000288066	0.070000	0.000286445	0.070000	1.99944e-05	
0.080000	0.000325653	0.080000	0.000352953	0.080000	0.000325362	0.080000	0.000325362	0.080000	0.000325363	0.080000	0.000334818	0.080000	1.81348e-05	
0.090000	0.000345788	0.090000	0.000382416	0.090000	0.000361935	0.090000	0.000361935	0.090000	0.000361935	0.090000	0.000365794	0.090000	1.66214e-05	
0.100000	0.000363633	0.100000	0.000410588	0.100000	0.000397418	0.100000	0.000397418	0.100000	0.000397418	0.100000	0.000395225	0.100000	1.53631e-05	
0.120000	0.000388156	0.120000	0.000462865	0.120000	0.000464153	0.120000	0.000464153	0.120000	0.000464153	0.120000	0.00044948	0.120000	1.33849e-05	
0.140000	0.000418694	0.140000	0.000521541	0.140000	0.000524364	0.140000	0.000524364	0.140000	0.000524364	0.140000	0.000509647	0.140000	1.18947e-05	
0.160000	0.000445979	0.160000	0.000581068	0.160000	0.000577704	0.160000	0.000577704	0.160000	0.000577705	0.160000	0.00057034	0.160000	1.07277e-05	
0.180000	0.000471662	0.180000	0.000633855	0.180000	0.000624363	0.180000	0.000624363	0.180000	0.000624364	0.180000	0.000624069	0.180000	9.78655e-06	
0.200000	0.00049658	0.200000	0.000680592	0.200000	0.000664835	0.200000	0.000664835	0.200000	0.000664835	0.200000	0.000671583	0.200000	9.0098e-06	
0.250000	0.00053981	0.250000	0.000775666	0.250000	0.000743274	0.250000	0.000743274	0.250000	0.000743275	0.250000	0.000768116	0.250000	7.54992e-06	
0.300000	0.000580915	0.300000	0.000849353	0.300000	0.000797428	0.300000	0.000797428	0.300000	0.000797429	0.300000	0.000842828	0.300000	6.52452e-06	
0.350000	0.000618464	0.350000	0.000908728	0.350000	0.000835629	0.350000	0.000835629	0.350000	0.00083563	0.350000	0.000902967	0.350000	5.76125e-06	
0.400000	0.000651341	0.400000	0.000954953	0.400000	0.000863586	0.400000	0.000863586	0.400000	0.000863587	0.400000	0.000949784	0.400000	5.16903e-06	
0.450000	0.000679932	0.450000	0.000991403	0.450000	0.000887689	0.450000	0.000887689	0.450000	0.00088769	0.450000	0.000986708	0.450000	4.69501e-06	
0.500000	0.000704692	0.500000	0.00102042	0.500000	0.000917792	0.500000	0.000917792	0.500000	0.000917792	0.500000	0.00101612	0.500000	4.30627e-06	
0.600000	0.000735293	0.600000	0.00108401	0.600000	0.000962543	0.600000	0.000962543	0.600000	0.000962544	0.600000	0.0010803 	0.600000	3.70502e-06	
0.700000	0.000752785	0.700000	0.0011371 	0.700000	0.000993953	0.700000	0.000993953	0.700000	0.000993954	0.700000	0.00113384	0.700000	3.26013e-06	
0.800000	0.000787201	0.800000	0.00117369	0.800000	0.00101673	0.800000	0.00101673	0.800000	0.00101673	0.800000	0.00117077	0.800000	2.91658e-06	
0.900000	0.000813403	0.900000	0.00119856	0.900000	0.0010334 	0.900000	0.0010334 	0.900000	0.0010334 	0.900000	0.00119592	0.900000	2.64267e-06	
