! 81Se energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000171344	0.001000	0.000201365	0.001000	0.00017475	0.001000	0.00017475	0.001000	0.000174759	0.001000	5.18123e-05	0.001000	0.000149553	
0.002000	0.000175037	0.002000	0.000201626	0.002000	0.000170066	0.002000	0.000170066	0.002000	0.000170074	0.002000	6.71923e-05	0.002000	0.000134434	
0.005000	0.0001765 	0.005000	0.000195517	0.005000	0.00015711	0.005000	0.00015711	0.005000	0.000157115	0.005000	9.47429e-05	0.005000	0.000100774	
0.008000	0.000180106	0.008000	0.000194768	0.008000	0.000153023	0.008000	0.000153023	0.008000	0.000153027	0.008000	0.000113003	0.008000	8.17646e-05	
0.010000	0.000183323	0.010000	0.000195963	0.010000	0.000152765	0.010000	0.000152765	0.010000	0.000152768	0.010000	0.000122866	0.010000	7.30961e-05	
0.015000	0.000192407	0.015000	0.000201563	0.015000	0.000156094	0.015000	0.000156094	0.015000	0.000156096	0.015000	0.000143043	0.015000	5.85201e-05	
0.020000	0.000201785	0.020000	0.000208663	0.020000	0.000161994	0.020000	0.000161994	0.020000	0.000161995	0.020000	0.000159338	0.020000	4.93253e-05	
0.025000	0.000210924	0.025000	0.000216159	0.025000	0.00016888	0.025000	0.00016888	0.025000	0.000168882	0.025000	0.000173245	0.025000	4.29136e-05	
0.030000	0.000219683	0.030000	0.000223652	0.030000	0.000176138	0.030000	0.000176138	0.030000	0.000176139	0.030000	0.000185504	0.030000	3.81483e-05	
0.035000	0.000229085	0.035000	0.00023099	0.035000	0.000183492	0.035000	0.000183492	0.035000	0.000183493	0.035000	0.000196543	0.035000	3.44464e-05	
0.040000	0.000241072	0.040000	0.000238111	0.040000	0.000190811	0.040000	0.000190811	0.040000	0.000190813	0.040000	0.000206636	0.040000	3.14754e-05	
0.045000	0.000251079	0.045000	0.000244998	0.045000	0.000198032	0.045000	0.000198032	0.045000	0.000198033	0.045000	0.000215967	0.045000	2.90307e-05	
0.050000	0.000259022	0.050000	0.000260261	0.050000	0.000213379	0.050000	0.000213379	0.050000	0.000213379	0.050000	0.000233282	0.050000	2.69789e-05	
0.055000	0.000272638	0.055000	0.00027781	0.055000	0.000231925	0.055000	0.000231925	0.055000	0.000231926	0.055000	0.000252581	0.055000	2.52288e-05	
0.060000	0.000284924	0.060000	0.000294547	0.060000	0.000250515	0.060000	0.000250515	0.060000	0.000250516	0.060000	0.000271051	0.060000	2.3496e-05	
0.070000	0.000306418	0.070000	0.000327242	0.070000	0.000288505	0.070000	0.000288505	0.070000	0.000288506	0.070000	0.000306207	0.070000	2.10354e-05	
0.080000	0.000329976	0.080000	0.000358627	0.080000	0.000326361	0.080000	0.000326361	0.080000	0.000326362	0.080000	0.000339542	0.080000	1.9085e-05	
0.090000	0.00035061	0.090000	0.00038877	0.090000	0.000363558	0.090000	0.000363558	0.090000	0.000363559	0.090000	0.000371273	0.090000	1.74969e-05	
0.100000	0.000368923	0.100000	0.000417601	0.100000	0.000399711	0.100000	0.000399711	0.100000	0.000399712	0.100000	0.000401425	0.100000	1.61758e-05	
0.120000	0.000391581	0.120000	0.000471115	0.120000	0.000467863	0.120000	0.000467863	0.120000	0.000467864	0.120000	0.000457017	0.120000	1.4098e-05	
0.140000	0.000422158	0.140000	0.000525904	0.140000	0.000529518	0.140000	0.000529518	0.140000	0.000529519	0.140000	0.000513372	0.140000	1.2532e-05	
0.160000	0.000450407	0.160000	0.000586909	0.160000	0.000584272	0.160000	0.000584272	0.160000	0.000584272	0.160000	0.000575604	0.160000	1.1305e-05	
0.180000	0.000477008	0.180000	0.000641135	0.180000	0.000632278	0.180000	0.000632278	0.180000	0.000632279	0.180000	0.00063082	0.180000	1.03151e-05	
0.200000	0.000502813	0.200000	0.000689249	0.200000	0.000674014	0.200000	0.000674014	0.200000	0.000674015	0.200000	0.000679751	0.200000	9.49791e-06	
0.250000	0.000547911	0.250000	0.000787444	0.250000	0.000755216	0.250000	0.000755216	0.250000	0.000755216	0.250000	0.000779483	0.250000	7.96146e-06	
0.300000	0.000589969	0.300000	0.000862566	0.300000	0.00081161	0.300000	0.00081161	0.300000	0.00081161	0.300000	0.000855684	0.300000	6.8818e-06	
0.350000	0.000629159	0.350000	0.000924442	0.350000	0.000851635	0.350000	0.000851635	0.350000	0.000851636	0.350000	0.000918364	0.350000	6.07787e-06	
0.400000	0.000663523	0.400000	0.000972828	0.400000	0.000881107	0.400000	0.000881107	0.400000	0.000881108	0.400000	0.000967374	0.400000	5.45395e-06	
0.450000	0.000693463	0.450000	0.00101115	0.450000	0.000903744	0.450000	0.000903744	0.450000	0.000903745	0.450000	0.0010062 	0.450000	4.95444e-06	
0.500000	0.000719445	0.500000	0.00104181	0.500000	0.000933061	0.500000	0.000933061	0.500000	0.000933062	0.500000	0.00103727	0.500000	4.54472e-06	
0.600000	0.00074422	0.600000	0.00109706	0.600000	0.00098094	0.600000	0.00098094	0.600000	0.000980941	0.600000	0.00109315	0.600000	3.91089e-06	
0.700000	0.000759111	0.700000	0.00114572	0.700000	0.0010149 	0.700000	0.0010149 	0.700000	0.0010149 	0.700000	0.00114227	0.700000	3.44179e-06	
0.800000	0.000791743	0.800000	0.00117882	0.800000	0.00103979	0.800000	0.00103979	0.800000	0.00103979	0.800000	0.00117574	0.800000	3.07947e-06	
0.900000	0.00081656	0.900000	0.00120097	0.900000	0.00105825	0.900000	0.00105825	0.900000	0.00105825	0.900000	0.00119818	0.900000	2.79055e-06	
