! 90Sr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000187664	0.001000	0.000223856	0.001000	0.00019297	0.001000	0.00019297	0.001000	0.00019298	0.001000	5.71953e-05	0.001000	0.000166661	
0.002000	0.0001924 	0.002000	0.000226511	0.002000	0.000189542	0.002000	0.000189542	0.002000	0.00018955	0.002000	7.41731e-05	0.002000	0.000152337	
0.005000	0.000193157	0.005000	0.000221365	0.005000	0.000175601	0.005000	0.000175601	0.005000	0.000175607	0.005000	0.000104586	0.005000	0.000116779	
0.008000	0.000195734	0.008000	0.000220466	0.008000	0.000170126	0.008000	0.000170126	0.008000	0.00017013	0.008000	0.000124744	0.008000	9.57224e-05	
0.010000	0.000198413	0.010000	0.000221582	0.010000	0.000169136	0.010000	0.000169136	0.010000	0.000169139	0.010000	0.000135631	0.010000	8.59502e-05	
0.015000	0.000206571	0.015000	0.00022721	0.015000	0.000171186	0.015000	0.000171186	0.015000	0.000171188	0.015000	0.000157905	0.015000	6.93056e-05	
0.020000	0.000215404	0.020000	0.00023457	0.020000	0.000176318	0.020000	0.000176318	0.020000	0.00017632	0.020000	0.000175892	0.020000	5.86773e-05	
0.025000	0.000224221	0.025000	0.000242454	0.025000	0.000182736	0.025000	0.000182736	0.025000	0.000182737	0.025000	0.000191244	0.025000	5.12098e-05	
0.030000	0.00023279	0.030000	0.000250407	0.030000	0.00018971	0.030000	0.00018971	0.030000	0.000189711	0.030000	0.000204777	0.030000	4.56304e-05	
0.035000	0.000241042	0.035000	0.000258242	0.035000	0.000196902	0.035000	0.000196902	0.035000	0.000196903	0.035000	0.000216963	0.035000	4.1279e-05	
0.040000	0.000248963	0.040000	0.00026588	0.040000	0.000204144	0.040000	0.000204144	0.040000	0.000204145	0.040000	0.000228104	0.040000	3.77759e-05	
