! 93Y energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00019155	0.001000	0.000229314	0.001000	0.000197464	0.001000	0.000197464	0.001000	0.000197474	0.001000	5.84114e-05	0.001000	0.000170903	
0.002000	0.0001965 	0.002000	0.000232564	0.002000	0.000194374	0.002000	0.000194374	0.002000	0.000194383	0.002000	7.57503e-05	0.002000	0.000156814	
0.005000	0.00019699	0.005000	0.000227648	0.005000	0.000180224	0.005000	0.000180224	0.005000	0.00018023	0.005000	0.00010681	0.005000	0.000120838	
0.008000	0.000199237	0.008000	0.000226685	0.008000	0.000174406	0.008000	0.000174406	0.008000	0.00017441	0.008000	0.000127396	0.008000	9.92887e-05	
0.010000	0.000201739	0.010000	0.000227761	0.010000	0.000173228	0.010000	0.000173228	0.010000	0.000173231	0.010000	0.000138515	0.010000	8.92452e-05	
0.015000	0.000209573	0.015000	0.000233347	0.015000	0.000174942	0.015000	0.000174942	0.015000	0.000174944	0.015000	0.000161262	0.015000	7.20851e-05	
0.020000	0.000218194	0.020000	0.000240728	0.020000	0.000179864	0.020000	0.000179864	0.020000	0.000179866	0.020000	0.000179632	0.020000	6.10955e-05	
0.025000	0.000226864	0.025000	0.000248671	0.025000	0.000186147	0.025000	0.000186147	0.025000	0.000186148	0.025000	0.00019531	0.025000	5.33601e-05	
0.030000	0.000235329	0.030000	0.000256704	0.030000	0.000193033	0.030000	0.000193033	0.030000	0.000193035	0.030000	0.000209131	0.030000	4.75731e-05	
0.035000	0.000243503	0.035000	0.000264632	0.035000	0.00020017	0.035000	0.00020017	0.035000	0.000200171	0.035000	0.000221576	0.035000	4.30555e-05	
0.040000	0.000251367	0.040000	0.00027237	0.040000	0.000207378	0.040000	0.000207378	0.040000	0.00020738	0.040000	0.000232954	0.040000	3.94159e-05	
0.045000	0.000259754	0.045000	0.000279886	0.045000	0.000214563	0.045000	0.000214563	0.045000	0.000214564	0.045000	0.000243474	0.045000	3.64116e-05	
0.050000	0.000268625	0.050000	0.00028717	0.050000	0.000221671	0.050000	0.000221671	0.050000	0.000221672	0.050000	0.000253286	0.050000	3.38835e-05	
