! 97Zr energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000195438	0.001000	0.000234756	0.001000	0.000201978	0.001000	0.000201978	0.001000	0.000201988	0.001000	5.95817e-05	0.001000	0.000175175	
0.002000	0.000200568	0.002000	0.000238592	0.002000	0.000199227	0.002000	0.000199227	0.002000	0.000199235	0.002000	7.72679e-05	0.002000	0.000161324	
0.005000	0.000200731	0.005000	0.00023389	0.005000	0.000184868	0.005000	0.000184868	0.005000	0.000184873	0.005000	0.00010895	0.005000	0.00012494	
0.008000	0.000202609	0.008000	0.000232847	0.008000	0.000178701	0.008000	0.000178701	0.008000	0.000178704	0.008000	0.000129949	0.008000	0.000102899	
0.010000	0.000204913	0.010000	0.000233874	0.010000	0.000177332	0.010000	0.000177332	0.010000	0.000177335	0.010000	0.00014129	0.010000	9.25836e-05	
0.015000	0.000212382	0.015000	0.000239398	0.015000	0.0001787 	0.015000	0.0001787 	0.015000	0.000178702	0.015000	0.000164493	0.015000	7.49054e-05	
0.020000	0.000220759	0.020000	0.000246783	0.020000	0.000183402	0.020000	0.000183402	0.020000	0.000183404	0.020000	0.000183231	0.020000	6.35516e-05	
0.025000	0.000229254	0.025000	0.000254769	0.025000	0.000189542	0.025000	0.000189542	0.025000	0.000189544	0.025000	0.000199223	0.025000	5.55455e-05	
0.030000	0.00023759	0.030000	0.000262869	0.030000	0.000196334	0.030000	0.000196334	0.030000	0.000196336	0.030000	0.000213321	0.030000	4.95486e-05	
0.035000	0.000245667	0.035000	0.000270878	0.035000	0.000203409	0.035000	0.000203409	0.035000	0.000203411	0.035000	0.000226016	0.035000	4.48627e-05	
0.040000	0.000253453	0.040000	0.000278706	0.040000	0.000210578	0.040000	0.000210578	0.040000	0.000210579	0.040000	0.000237621	0.040000	4.10848e-05	
0.045000	0.00026095	0.045000	0.000286316	0.045000	0.000217739	0.045000	0.000217739	0.045000	0.00021774	0.045000	0.000248352	0.045000	3.79645e-05	
0.050000	0.000269748	0.050000	0.000293698	0.050000	0.000224837	0.050000	0.000224837	0.050000	0.000224838	0.050000	0.000258361	0.050000	3.53374e-05	
0.055000	0.000284621	0.055000	0.000300853	0.055000	0.000231839	0.055000	0.000231839	0.055000	0.00023184	0.055000	0.000267762	0.055000	3.30908e-05	
0.060000	0.000298387	0.060000	0.000313495	0.060000	0.000244912	0.060000	0.000244912	0.060000	0.000244913	0.060000	0.000282351	0.060000	3.11445e-05	
0.070000	0.000322297	0.070000	0.000349471	0.070000	0.000284406	0.070000	0.000284406	0.070000	0.000284407	0.070000	0.0003218 	0.070000	2.76713e-05	
0.080000	0.000348694	0.080000	0.000384545	0.080000	0.00032472	0.080000	0.00032472	0.080000	0.000324721	0.080000	0.000359392	0.080000	2.51523e-05	
0.090000	0.000372103	0.090000	0.00041839	0.090000	0.000364863	0.090000	0.000364863	0.090000	0.000364864	0.090000	0.000395296	0.090000	2.30945e-05	
0.100000	0.000393086	0.100000	0.000450878	0.100000	0.000404325	0.100000	0.000404325	0.100000	0.000404326	0.100000	0.0004295 	0.100000	2.13783e-05	
0.120000	0.000420141	0.120000	0.000511416	0.120000	0.000479789	0.120000	0.000479789	0.120000	0.00047979	0.120000	0.000492745	0.120000	1.86708e-05	
0.140000	0.000442947	0.140000	0.000565951	0.140000	0.000549207	0.140000	0.000549207	0.140000	0.000549208	0.140000	0.000549327	0.140000	1.66236e-05	
0.160000	0.000468347	0.160000	0.000614879	0.160000	0.000611775	0.160000	0.000611775	0.160000	0.000611776	0.160000	0.000599864	0.160000	1.50156e-05	
0.180000	0.000501482	0.180000	0.000673531	0.180000	0.000667395	0.180000	0.000667395	0.180000	0.000667396	0.180000	0.000659815	0.180000	1.37156e-05	
0.200000	0.000533526	0.200000	0.000731332	0.200000	0.000716397	0.200000	0.000716397	0.200000	0.000716398	0.200000	0.000718691	0.200000	1.26407e-05	
0.250000	0.000591933	0.250000	0.000851553	0.250000	0.000813852	0.250000	0.000813852	0.250000	0.000813853	0.250000	0.000840938	0.250000	1.06152e-05	
0.300000	0.000644335	0.300000	0.000944485	0.300000	0.000883764	0.300000	0.000883764	0.300000	0.000883765	0.300000	0.000935297	0.300000	9.18818e-06	
0.350000	0.000691149	0.350000	0.00101748	0.350000	0.000935005	0.350000	0.000935005	0.350000	0.000935006	0.350000	0.00100935	0.350000	8.12359e-06	
0.400000	0.000738223	0.400000	0.00108288	0.400000	0.000973913	0.400000	0.000973913	0.400000	0.000973914	0.400000	0.00107559	0.400000	7.29612e-06	
0.450000	0.000779469	0.450000	0.00113781	0.450000	0.00100464	0.450000	0.00100464	0.450000	0.00100464	0.450000	0.00113118	0.450000	6.63282e-06	
0.500000	0.000815472	0.500000	0.00118263	0.500000	0.00102981	0.500000	0.00102981	0.500000	0.00102981	0.500000	0.00117654	0.500000	6.08819e-06	
0.600000	0.000845147	0.600000	0.00124989	0.600000	0.0010767 	0.600000	0.0010767 	0.600000	0.0010767 	0.600000	0.00124464	0.600000	5.2446e-06	
0.700000	0.00085883	0.700000	0.0012971 	0.700000	0.00112641	0.700000	0.00112641	0.700000	0.00112641	0.700000	0.00129248	0.700000	4.61938e-06	
0.800000	0.000898894	0.800000	0.00133874	0.800000	0.00116456	0.800000	0.00116456	0.800000	0.00116456	0.800000	0.0013346 	0.800000	4.13594e-06	
0.900000	0.000930183	0.900000	0.00136805	0.900000	0.00119432	0.900000	0.00119432	0.900000	0.00119432	0.900000	0.0013643 	0.900000	3.75008e-06	
1.000000	0.000954623	1.000000	0.00138839	1.000000	0.00121766	1.000000	0.00121766	1.000000	0.00121766	1.000000	0.00138495	1.000000	3.4344e-06	
1.250000	0.000990128	1.250000	0.00141134	1.250000	0.00125584	1.250000	0.00125584	1.250000	0.00125584	1.250000	0.00140849	1.250000	2.84804e-06	
1.500000	0.000997661	1.500000	0.00139897	1.500000	0.00127449	1.500000	0.00127449	1.500000	0.00127449	1.500000	0.00139652	1.500000	2.44181e-06	
1.750000	0.000996702	1.750000	0.00138046	1.750000	0.00128072	1.750000	0.00128072	1.750000	0.00128073	1.750000	0.00137832	1.750000	2.14258e-06	
2.000000	0.000990465	2.000000	0.00135875	2.000000	0.00127884	2.000000	0.00127884	2.000000	0.00127884	2.000000	0.00135684	2.000000	1.91236e-06	
2.250000	0.000981068	2.250000	0.00133351	2.250000	0.00127156	2.250000	0.00127156	2.250000	0.00127157	2.250000	0.00133178	2.250000	1.72935e-06	
2.500000	0.00134918	2.500000	0.00130747	2.500000	0.00126067	2.500000	0.00126067	2.500000	0.00126067	2.500000	0.00130589	2.500000	1.58014e-06	
3.000000	0.00129628	3.000000	0.0012574 	3.000000	0.00123246	3.000000	0.00123246	3.000000	0.00123246	3.000000	0.00125605	3.000000	1.35101e-06	
3.500000	0.00124218	3.500000	0.00121037	3.500000	0.0012    	3.500000	0.0012    	3.500000	0.0012    	3.500000	0.00120919	3.500000	1.18281e-06	
4.000000	0.00118996	4.000000	0.00116643	4.000000	0.00116046	4.000000	0.00116046	4.000000	0.00116046	4.000000	0.00116538	4.000000	1.05375e-06	
4.500000	0.00114077	4.500000	0.00112545	4.500000	0.00112314	4.500000	0.00112314	4.500000	0.00112314	4.500000	0.0011245 	4.500000	9.51409e-07	
5.000000	0.00109495	5.000000	0.00108721	5.000000	0.00108807	5.000000	0.00108807	5.000000	0.00108807	5.000000	0.00108635	5.000000	8.68134e-07	
5.500000	0.00105246	5.500000	0.0010515 	5.500000	0.0010551 	5.500000	0.0010551 	5.500000	0.0010551 	5.500000	0.00105071	5.500000	7.98971e-07	
6.000000	0.00101312	6.000000	0.00101808	6.000000	0.00102408	6.000000	0.00102408	6.000000	0.00102408	6.000000	0.00101734	6.000000	7.40556e-07	
6.500000	0.000976672	6.500000	0.000986394	6.500000	0.000994861	6.500000	0.000994861	6.500000	0.000994862	6.500000	0.000985703	6.500000	6.90524e-07	
7.000000	0.000942876	7.000000	0.000956847	7.000000	0.000967308	7.000000	0.000967308	7.000000	0.000967308	7.000000	0.0009562 	7.000000	6.47162e-07	
7.500000	0.000911483	7.500000	0.000929187	7.500000	0.000941285	7.500000	0.000941285	7.500000	0.000941286	7.500000	0.000928578	7.500000	6.09198e-07	
8.000000	0.000882263	8.000000	0.00090322	8.000000	0.000916673	8.000000	0.000916673	8.000000	0.000916673	8.000000	0.000902644	8.000000	5.75666e-07	
8.500000	0.000855011	8.500000	0.000878805	8.500000	0.000893361	8.500000	0.000893361	8.500000	0.000893362	8.500000	0.000878259	8.500000	5.45819e-07	
9.000000	0.000829542	9.000000	0.000855685	9.000000	0.000871249	9.000000	0.000871249	9.000000	0.00087125	9.000000	0.000855166	9.000000	5.19072e-07	
9.500000	0.000805689	9.500000	0.000833764	9.500000	0.000850247	9.500000	0.000850247	9.500000	0.000850248	9.500000	0.000833269	9.500000	4.94957e-07	
10.000000	0.000783306	10.000000	0.000779139	10.000000	0.000830272	10.000000	0.000830272	10.000000	0.000830272	10.000000	0.000778666	10.000000	4.73098e-07	
11.000000	0.000742438	11.000000	0.000752276	11.000000	0.000786937	11.000000	0.000794409	11.000000	0.00079873	11.000000	0.000751841	11.000000	4.34968e-07	
12.000000	0.000706051	12.000000	0.000726837	12.000000	0.000748264	12.000000	0.00076188	12.000000	0.000769198	12.000000	0.000726434	12.000000	4.02803e-07	
13.000000	0.00067344	13.000000	0.000702847	13.000000	0.000713568	13.000000	0.000732263	13.000000	0.000741604	13.000000	0.000702471	13.000000	3.75286e-07	
14.000000	0.000644037	14.000000	0.00068027	14.000000	0.000682285	14.000000	0.000705202	14.000000	0.000715844	14.000000	0.000679918	14.000000	3.5146e-07	
15.000000	0.000617383	15.000000	0.000659039	15.000000	0.000653955	15.000000	0.000680394	15.000000	0.000691796	15.000000	0.000658708	15.000000	3.30619e-07	
16.000000	0.000593102	16.000000	0.000639073	16.000000	0.000628206	16.000000	0.000657581	16.000000	0.000669344	16.000000	0.000638761	16.000000	3.12227e-07	
17.000000	0.000570884	17.000000	0.000620285	17.000000	0.000604721	17.000000	0.000636543	17.000000	0.000648369	17.000000	0.000619989	17.000000	2.95869e-07	
18.000000	0.00055047	18.000000	0.00060259	18.000000	0.000583227	18.000000	0.000617092	18.000000	0.000628729	18.000000	0.000602309	18.000000	2.8122e-07	
19.000000	0.000531644	19.000000	0.000585907	19.000000	0.000563505	19.000000	0.000599064	19.000000	0.000610357	19.000000	0.000585639	19.000000	2.68021e-07	
20.000000	0.000514224	20.000000	0.000570158	20.000000	0.000545377	20.000000	0.000582318	20.000000	0.000593164	20.000000	0.000569902	20.000000	2.56064e-07	
21.000000	0.000498053	21.000000	0.000555274	21.000000	0.00052866	21.000000	0.000566732	21.000000	0.000577002	21.000000	0.000555028	21.000000	2.45179e-07	
22.000000	0.000482998	22.000000	0.000541187	22.000000	0.000513186	22.000000	0.000552199	22.000000	0.000561863	22.000000	0.000540952	22.000000	2.35225e-07	
23.000000	0.000468945	23.000000	0.00052784	23.000000	0.000498842	23.000000	0.000538623	23.000000	0.000547623	23.000000	0.000527614	23.000000	2.26086e-07	
24.000000	0.000455794	24.000000	0.000515178	24.000000	0.000485555	24.000000	0.000525923	24.000000	0.000534244	24.000000	0.00051496	24.000000	2.17664e-07	
25.000000	0.000443459	25.000000	0.000503149	25.000000	0.000473227	25.000000	0.000514023	25.000000	0.000521651	25.000000	0.000502939	25.000000	2.09877e-07	
27.000000	0.000420944	27.000000	0.000480819	27.000000	0.000451031	27.000000	0.00049237	27.000000	0.000498615	27.000000	0.000480623	27.000000	1.95936e-07	
29.000000	0.000400895	29.000000	0.000460531	29.000000	0.000431721	29.000000	0.000473222	29.000000	0.00047813	29.000000	0.000460348	29.000000	1.83811e-07	
