! 105Ru energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000210293	0.001000	0.000255402	0.001000	0.000216701	0.001000	0.000216701	0.001000	0.000216711	0.001000	6.40393e-05	0.001000	0.000191363	
0.002000	0.000216625	0.002000	0.000261786	0.002000	0.000214569	0.002000	0.000214569	0.002000	0.000214577	0.002000	8.30487e-05	0.002000	0.000178738	
0.005000	0.000216263	0.005000	0.000258269	0.005000	0.000197819	0.005000	0.000197819	0.005000	0.000197825	0.005000	0.000117101	0.005000	0.000141168	
0.008000	0.000217047	0.008000	0.000257011	0.008000	0.000188998	0.008000	0.000188998	0.008000	0.000189002	0.008000	0.000139671	0.008000	0.00011734	
0.010000	0.000218729	0.010000	0.000257862	0.010000	0.000186116	0.010000	0.000186116	0.010000	0.000186119	0.010000	0.000151861	0.010000	0.000106001	
0.015000	0.000225029	0.015000	0.000263127	0.015000	0.000184447	0.015000	0.000184447	0.015000	0.00018445	0.015000	0.000176799	0.015000	8.63277e-05	
0.020000	0.000232625	0.020000	0.000270485	0.020000	0.000186843	0.020000	0.000186843	0.020000	0.000186845	0.020000	0.00019694	0.020000	7.35455e-05	
0.025000	0.000240579	0.025000	0.000278596	0.025000	0.000191137	0.025000	0.000191137	0.025000	0.000191139	0.025000	0.000214128	0.025000	6.44671e-05	
0.030000	0.000248528	0.030000	0.000286913	0.030000	0.000196393	0.030000	0.000196393	0.030000	0.000196395	0.030000	0.000229281	0.030000	5.76329e-05	
0.035000	0.000256322	0.035000	0.000295198	0.035000	0.00020215	0.035000	0.00020215	0.035000	0.000202152	0.035000	0.000242925	0.035000	5.22725e-05	
0.040000	0.0002639 	0.040000	0.000303337	0.040000	0.000208164	0.040000	0.000208164	0.040000	0.000208165	0.040000	0.000255399	0.040000	4.79381e-05	
0.045000	0.000271242	0.045000	0.000311282	0.045000	0.000214295	0.045000	0.000214295	0.045000	0.000214296	0.045000	0.000266933	0.045000	4.43496e-05	
0.050000	0.000278345	0.050000	0.000319013	0.050000	0.00022046	0.050000	0.00022046	0.050000	0.000220461	0.050000	0.00027769	0.050000	4.13223e-05	
0.055000	0.000288722	0.055000	0.000326524	0.055000	0.00022661	0.055000	0.00022661	0.055000	0.000226611	0.055000	0.000287795	0.055000	3.8729e-05	
0.060000	0.000305736	0.060000	0.000333819	0.060000	0.000232714	0.060000	0.000232714	0.060000	0.000232715	0.060000	0.00029734	0.060000	3.6479e-05	
0.070000	0.000336379	0.070000	0.000362155	0.070000	0.000257278	0.070000	0.000257278	0.070000	0.000257279	0.070000	0.000329396	0.070000	3.27589e-05	
0.080000	0.000369135	0.080000	0.000406136	0.080000	0.000297004	0.080000	0.000297004	0.080000	0.000297005	0.080000	0.000376612	0.080000	2.95236e-05	
0.090000	0.000398921	0.090000	0.000449244	0.090000	0.000337521	0.090000	0.000337521	0.090000	0.000337522	0.090000	0.000422109	0.090000	2.71348e-05	
0.100000	0.000425934	0.100000	0.000490827	0.100000	0.000377882	0.100000	0.000377882	0.100000	0.000377883	0.100000	0.000465688	0.100000	2.51392e-05	
0.120000	0.00046294	0.120000	0.000568536	0.120000	0.000456343	0.120000	0.000456343	0.120000	0.000456344	0.120000	0.000546551	0.120000	2.19845e-05	
0.140000	0.000494018	0.140000	0.000638441	0.140000	0.000529849	0.140000	0.000529849	0.140000	0.00052985	0.140000	0.000618847	0.140000	1.95941e-05	
0.160000	0.000522353	0.160000	0.000700781	0.160000	0.000597144	0.160000	0.000597144	0.160000	0.000597145	0.160000	0.000683067	0.160000	1.77135e-05	
0.180000	0.000550441	0.180000	0.000756264	0.180000	0.000657807	0.180000	0.000657807	0.180000	0.000657807	0.180000	0.000740073	0.180000	1.61911e-05	
0.200000	0.000581355	0.200000	0.000809681	0.200000	0.000711943	0.200000	0.000711943	0.200000	0.000711943	0.200000	0.00079475	0.200000	1.4931e-05	
0.250000	0.00063693	0.250000	0.000925718	0.250000	0.000821796	0.250000	0.000821796	0.250000	0.000821797	0.250000	0.000913165	0.250000	1.25529e-05	
0.300000	0.000688059	0.300000	0.00101544	0.300000	0.000902787	0.300000	0.000902787	0.300000	0.000902788	0.300000	0.00100456	0.300000	1.08748e-05	
0.350000	0.000734589	0.350000	0.00108635	0.350000	0.000963623	0.350000	0.000963623	0.350000	0.000963623	0.350000	0.00107673	0.350000	9.62138e-06	
0.400000	0.000776509	0.400000	0.00114352	0.400000	0.0010108 	0.400000	0.0010108 	0.400000	0.0010108 	0.400000	0.00113487	0.400000	8.64616e-06	
0.450000	0.000826093	0.450000	0.001206  	0.450000	0.00104871	0.450000	0.00104871	0.450000	0.00104871	0.450000	0.00119814	0.450000	7.86381e-06	
0.500000	0.0008696 	0.500000	0.00126177	0.500000	0.00108017	0.500000	0.00108017	0.500000	0.00108017	0.500000	0.00125455	0.500000	7.221e-06 	
0.600000	0.000909914	0.600000	0.00134702	0.600000	0.00113041	0.600000	0.00113041	0.600000	0.00113041	0.600000	0.00134079	0.600000	6.22454e-06	
0.700000	0.000929794	0.700000	0.00140719	0.700000	0.00118818	0.700000	0.00118818	0.700000	0.00118818	0.700000	0.00140171	0.700000	5.48537e-06	
0.800000	0.000973341	0.800000	0.0014511 	0.800000	0.00123553	0.800000	0.00123553	0.800000	0.00123553	0.800000	0.00144618	0.800000	4.91342e-06	
0.900000	0.00101038	0.900000	0.00148744	0.900000	0.00127322	0.900000	0.00127322	0.900000	0.00127322	0.900000	0.00148298	0.900000	4.45665e-06	
1.000000	0.00103977	1.000000	0.00151362	1.000000	0.00130347	1.000000	0.00130347	1.000000	0.00130347	1.000000	0.00150953	1.000000	4.08277e-06	
1.250000	0.00108658	1.250000	0.00154939	1.250000	0.00135549	1.250000	0.00135549	1.250000	0.00135549	1.250000	0.00154601	1.250000	3.38785e-06	
1.500000	0.00110361	1.500000	0.00154959	1.500000	0.00138436	1.500000	0.00138436	1.500000	0.00138436	1.500000	0.00154669	1.500000	2.90602e-06	
1.750000	0.001103  	1.750000	0.00152901	1.750000	0.00139829	1.750000	0.00139829	1.750000	0.0013983 	1.750000	0.00152646	1.750000	2.55089e-06	
2.000000	0.0010971 	2.000000	0.00150588	2.000000	0.00140226	2.000000	0.00140226	2.000000	0.00140226	2.000000	0.0015036 	2.000000	2.27752e-06	
2.250000	0.00108957	2.250000	0.00148151	2.250000	0.00139946	2.250000	0.00139946	2.250000	0.00139946	2.250000	0.00147945	2.250000	2.06013e-06	
2.500000	0.0015407 	2.500000	0.00145555	2.500000	0.00139198	2.500000	0.00139198	2.500000	0.00139198	2.500000	0.00145367	2.500000	1.88283e-06	
3.000000	0.00148625	3.000000	0.00140346	3.000000	0.00136834	3.000000	0.00136834	3.000000	0.00136834	3.000000	0.00140185	3.000000	1.61044e-06	
3.500000	0.00142884	3.500000	0.00135457	3.500000	0.00133838	3.500000	0.00133838	3.500000	0.00133838	3.500000	0.00135316	3.500000	1.41038e-06	
4.000000	0.00137248	4.000000	0.0013088 	4.000000	0.00130546	4.000000	0.00130546	4.000000	0.00130546	4.000000	0.00130754	4.000000	1.25683e-06	
4.500000	0.0013188 	4.500000	0.00126622	4.500000	0.00126665	4.500000	0.00126665	4.500000	0.00126665	4.500000	0.00126509	4.500000	1.13502e-06	
5.000000	0.00126838	5.000000	0.00122623	5.000000	0.00122992	5.000000	0.00122992	5.000000	0.00122992	5.000000	0.00122519	5.000000	1.03587e-06	
5.500000	0.00122134	5.500000	0.00118865	5.500000	0.00119518	5.500000	0.00119518	5.500000	0.00119519	5.500000	0.0011877 	5.500000	9.53508e-07	
6.000000	0.00117755	6.000000	0.00115332	6.000000	0.00116233	6.000000	0.00116233	6.000000	0.00116233	6.000000	0.00115243	6.000000	8.8393e-07	
6.500000	0.00113683	6.500000	0.00112006	6.500000	0.00113125	6.500000	0.00113125	6.500000	0.00113125	6.500000	0.00111923	6.500000	8.24325e-07	
7.000000	0.00109893	7.000000	0.00108835	7.000000	0.00110182	7.000000	0.00110182	7.000000	0.00110182	7.000000	0.00108757	7.000000	7.72658e-07	
7.500000	0.00106361	7.500000	0.00105824	7.500000	0.00107391	7.500000	0.00107391	7.500000	0.00107391	7.500000	0.00105751	7.500000	7.27415e-07	
8.000000	0.00103065	8.000000	0.0010301 	8.000000	0.00104743	8.000000	0.00104743	8.000000	0.00104743	8.000000	0.00102941	8.000000	6.87449e-07	
8.500000	0.000999835	8.500000	0.00100367	8.500000	0.00102227	8.500000	0.00102227	8.500000	0.00102227	8.500000	0.00100302	8.500000	6.5187e-07	
9.000000	0.000970973	9.000000	0.000978746	9.000000	0.00099834	9.000000	0.00099834	9.000000	0.000998341	9.000000	0.000978127	9.000000	6.19982e-07	
9.500000	0.00094389	9.500000	0.000955108	9.500000	0.000975545	9.500000	0.000975545	9.500000	0.000975546	9.500000	0.000954517	9.500000	5.91229e-07	
10.000000	0.00091843	10.000000	0.000893793	10.000000	0.00095381	10.000000	0.00095381	10.000000	0.000953811	10.000000	0.000893228	10.000000	5.65163e-07	
