! 109Rh energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000214397	0.001000	0.000260517	0.001000	0.00022097	0.001000	0.00022097	0.001000	0.000220979	0.001000	6.50639e-05	0.001000	0.000195453	
0.002000	0.000221086	0.002000	0.000267522	0.002000	0.000219228	0.002000	0.000219228	0.002000	0.000219237	0.002000	8.43774e-05	0.002000	0.000183145	
0.005000	0.000220699	0.005000	0.000264279	0.005000	0.000202354	0.005000	0.000202354	0.005000	0.000202359	0.005000	0.000118974	0.005000	0.000145304	
0.008000	0.00022128	0.008000	0.000262944	0.008000	0.0001932 	0.008000	0.0001932 	0.008000	0.000193204	0.008000	0.000141905	0.008000	0.000121038	
0.010000	0.000222844	0.010000	0.000263735	0.010000	0.000190123	0.010000	0.000190123	0.010000	0.000190126	0.010000	0.000154291	0.010000	0.000109444	
0.015000	0.00022893	0.015000	0.000268898	0.015000	0.000188079	0.015000	0.000188079	0.015000	0.000188082	0.015000	0.000179628	0.015000	8.92702e-05	
0.020000	0.000236393	0.020000	0.000276217	0.020000	0.000190221	0.020000	0.000190221	0.020000	0.000190223	0.020000	0.00020009	0.020000	7.61263e-05	
0.025000	0.000244266	0.025000	0.000284329	0.025000	0.000194336	0.025000	0.000194336	0.025000	0.000194338	0.025000	0.000217554	0.025000	6.6775e-05	
0.030000	0.000252166	0.030000	0.000292676	0.030000	0.000199463	0.030000	0.000199463	0.030000	0.000199464	0.030000	0.000232949	0.030000	5.97269e-05	
0.035000	0.000259933	0.035000	0.000301005	0.035000	0.000205126	0.035000	0.000205126	0.035000	0.000205127	0.035000	0.000246811	0.035000	5.41939e-05	
0.040000	0.0002675 	0.040000	0.000309202	0.040000	0.000211069	0.040000	0.000211069	0.040000	0.000211071	0.040000	0.000259485	0.040000	4.97167e-05	
0.045000	0.000274841	0.045000	0.000317211	0.045000	0.000217148	0.045000	0.000217148	0.045000	0.000217149	0.045000	0.000271203	0.045000	4.60079e-05	
0.050000	0.000281951	0.050000	0.00032501	0.050000	0.000223275	0.050000	0.000223275	0.050000	0.000223276	0.050000	0.000282133	0.050000	4.28776e-05	
0.055000	0.000288835	0.055000	0.000332594	0.055000	0.000229397	0.055000	0.000229397	0.055000	0.000229398	0.055000	0.000292399	0.055000	4.0195e-05	
0.060000	0.00030566	0.060000	0.000339964	0.060000	0.000235482	0.060000	0.000235482	0.060000	0.000235483	0.060000	0.000302097	0.060000	3.78667e-05	
0.070000	0.000337892	0.070000	0.000362743	0.070000	0.000254625	0.070000	0.000254625	0.070000	0.000254626	0.070000	0.000328727	0.070000	3.40155e-05	
0.080000	0.000372273	0.080000	0.000408921	0.080000	0.000294383	0.080000	0.000294383	0.080000	0.000294384	0.080000	0.000378259	0.080000	3.06617e-05	
0.090000	0.000403691	0.090000	0.000454334	0.090000	0.000335061	0.090000	0.000335061	0.090000	0.000335061	0.090000	0.000426147	0.090000	2.81875e-05	
0.100000	0.000432286	0.100000	0.000498249	0.100000	0.000375675	0.100000	0.000375675	0.100000	0.000375676	0.100000	0.000472129	0.100000	2.61196e-05	
0.120000	0.00047204	0.120000	0.000580518	0.120000	0.000454849	0.120000	0.000454849	0.120000	0.00045485	0.120000	0.000557669	0.120000	2.28492e-05	
0.140000	0.000505478	0.140000	0.000654666	0.140000	0.000529254	0.140000	0.000529254	0.140000	0.000529255	0.140000	0.000634297	0.140000	2.03697e-05	
0.160000	0.000535873	0.160000	0.000720832	0.160000	0.00059755	0.160000	0.00059755	0.160000	0.000597551	0.160000	0.000702413	0.160000	1.84183e-05	
