! 119Sn energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000229901	0.001000	0.000280895	0.001000	0.0002435 	0.001000	0.0002435 	0.001000	0.00024351	0.001000	6.60991e-05	0.001000	0.000214796	
0.002000	0.00023768	0.002000	0.000290088	0.002000	0.00024496	0.002000	0.00024496	0.002000	0.000244969	0.002000	8.572e-05 	0.002000	0.000204369	
0.005000	0.000235889	0.005000	0.00028659	0.005000	0.0002299 	0.005000	0.0002299 	0.005000	0.000229906	0.005000	0.000120867	0.005000	0.000165723	
0.008000	0.000234463	0.008000	0.000283672	0.008000	0.000220685	0.008000	0.000220685	0.008000	0.00022069	0.008000	0.000144163	0.008000	0.000139508	
0.010000	0.000234856	0.010000	0.000283475	0.010000	0.000217488	0.010000	0.000217488	0.010000	0.000217492	0.010000	0.000156746	0.010000	0.000126729	
0.015000	0.000238604	0.015000	0.000286649	0.015000	0.000215317	0.015000	0.000215317	0.015000	0.00021532	0.015000	0.000182486	0.015000	0.000104163	
0.020000	0.000244338	0.020000	0.00029253	0.020000	0.000217605	0.020000	0.000217605	0.020000	0.000217608	0.020000	0.000203274	0.020000	8.92557e-05	
0.025000	0.000250874	0.025000	0.000299574	0.025000	0.000222057	0.025000	0.000222057	0.025000	0.000222059	0.025000	0.000221016	0.025000	7.85582e-05	
0.030000	0.000257701	0.030000	0.000307102	0.030000	0.000227641	0.030000	0.000227641	0.030000	0.000227643	0.030000	0.000236655	0.030000	7.04467e-05	
0.035000	0.00026458	0.035000	0.000314789	0.035000	0.000233839	0.035000	0.000233839	0.035000	0.000233841	0.035000	0.000250739	0.035000	6.40503e-05	
0.040000	0.000271395	0.040000	0.00032247	0.040000	0.000240368	0.040000	0.000240368	0.040000	0.00024037	0.040000	0.000263614	0.040000	5.88561e-05	
0.045000	0.000278087	0.045000	0.000330059	0.045000	0.000247063	0.045000	0.000247063	0.045000	0.000247065	0.045000	0.000275518	0.045000	5.4541e-05	
0.050000	0.00028463	0.050000	0.000337512	0.050000	0.000253826	0.050000	0.000253826	0.050000	0.000253828	0.050000	0.000286622	0.050000	5.08904e-05	
0.055000	0.000291012	0.055000	0.000344807	0.055000	0.000260597	0.055000	0.000260597	0.055000	0.000260598	0.055000	0.000297051	0.055000	4.77555e-05	
0.060000	0.00029723	0.060000	0.000351934	0.060000	0.000267335	0.060000	0.000267335	0.060000	0.000267336	0.060000	0.000306904	0.060000	4.50299e-05	
0.070000	0.000318233	0.070000	0.00036568	0.070000	0.000280629	0.070000	0.000280629	0.070000	0.00028063	0.070000	0.000325168	0.070000	4.05118e-05	
0.080000	0.000354798	0.080000	0.000387282	0.080000	0.000300537	0.080000	0.000300537	0.080000	0.000300538	0.080000	0.000350375	0.080000	3.69074e-05	
0.090000	0.000388419	0.090000	0.000434817	0.090000	0.000342288	0.090000	0.000342288	0.090000	0.000342289	0.090000	0.000401178	0.090000	3.36388e-05	
0.100000	0.000419806	0.100000	0.000481778	0.100000	0.000384594	0.100000	0.000384594	0.100000	0.000384595	0.100000	0.000450576	0.100000	3.12019e-05	
0.120000	0.000465775	0.120000	0.000571245	0.120000	0.000467694	0.120000	0.000467694	0.120000	0.000467695	0.120000	0.000543907	0.120000	2.73384e-05	
0.140000	0.000505188	0.140000	0.000653357	0.140000	0.000546451	0.140000	0.000546451	0.140000	0.000546452	0.140000	0.000628955	0.140000	2.44017e-05	
0.160000	0.000541178	0.160000	0.000727684	0.160000	0.000619267	0.160000	0.000619267	0.160000	0.000619268	0.160000	0.000705598	0.160000	2.20858e-05	
