! 121Sb energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00023329	0.001000	0.000285418	0.001000	0.000247418	0.001000	0.000247418	0.001000	0.000247428	0.001000	6.68449e-05	0.001000	0.000218573	
0.002000	0.000241419	0.002000	0.00029524	0.002000	0.000249344	0.002000	0.000249344	0.002000	0.000249353	0.002000	8.66871e-05	0.002000	0.000208553	
0.005000	0.000239589	0.005000	0.000292044	0.005000	0.000234305	0.005000	0.000234305	0.005000	0.000234311	0.005000	0.000122231	0.005000	0.000169813	
0.008000	0.000237909	0.008000	0.000289028	0.008000	0.000224814	0.008000	0.000224814	0.008000	0.000224819	0.008000	0.00014579	0.008000	0.000143238	
0.010000	0.000238143	0.010000	0.000288747	0.010000	0.000221437	0.010000	0.000221437	0.010000	0.000221441	0.010000	0.000158514	0.010000	0.000130233	
0.015000	0.00024157	0.015000	0.000291746	0.015000	0.000218901	0.015000	0.000218901	0.015000	0.000218904	0.015000	0.000184545	0.015000	0.000107201	
0.020000	0.000247072	0.020000	0.000297512	0.020000	0.000220924	0.020000	0.000220924	0.020000	0.000220927	0.020000	0.000205567	0.020000	9.19441e-05	
0.025000	0.000253435	0.025000	0.000304487	0.025000	0.000225181	0.025000	0.000225181	0.025000	0.000225183	0.025000	0.000223509	0.025000	8.09776e-05	
0.030000	0.000260129	0.030000	0.000311978	0.030000	0.000230619	0.030000	0.000230619	0.030000	0.000230621	0.030000	0.000239325	0.030000	7.26524e-05	
0.035000	0.000266904	0.035000	0.000319649	0.035000	0.000236705	0.035000	0.000236705	0.035000	0.000236707	0.035000	0.000253568	0.035000	6.60817e-05	
0.040000	0.000273636	0.040000	0.00032733	0.040000	0.000243146	0.040000	0.000243146	0.040000	0.000243147	0.040000	0.000266588	0.040000	6.07422e-05	
0.045000	0.000280262	0.045000	0.000334931	0.045000	0.000249772	0.045000	0.000249772	0.045000	0.000249774	0.045000	0.000278627	0.045000	5.6304e-05	
0.050000	0.000286749	0.050000	0.000342403	0.050000	0.000256481	0.050000	0.000256481	0.050000	0.000256482	0.050000	0.000289856	0.050000	5.25474e-05	
0.055000	0.000293084	0.055000	0.000349723	0.055000	0.000263207	0.055000	0.000263207	0.055000	0.000263208	0.055000	0.000300403	0.055000	4.93203e-05	
0.060000	0.000299263	0.060000	0.00035688	0.060000	0.000269911	0.060000	0.000269911	0.060000	0.000269912	0.060000	0.000310366	0.060000	4.65135e-05	
0.070000	0.000315748	0.070000	0.000370695	0.070000	0.000283155	0.070000	0.000283155	0.070000	0.000283156	0.070000	0.000328836	0.070000	4.18589e-05	
0.080000	0.000352463	0.080000	0.000385026	0.080000	0.000297045	0.080000	0.000297045	0.080000	0.000297046	0.080000	0.000346882	0.080000	3.81438e-05	
0.090000	0.000386314	0.090000	0.000432738	0.090000	0.000338785	0.090000	0.000338785	0.090000	0.000338786	0.090000	0.000397967	0.090000	3.47705e-05	
0.100000	0.000418003	0.100000	0.000479981	0.100000	0.000381198	0.100000	0.000381198	0.100000	0.000381199	0.100000	0.000447723	0.100000	3.22579e-05	
0.120000	0.000464719	0.120000	0.000570207	0.120000	0.000464753	0.120000	0.000464753	0.120000	0.000464754	0.120000	0.000541935	0.120000	2.82724e-05	
0.140000	0.000504896	0.140000	0.000653241	0.140000	0.000544192	0.140000	0.000544192	0.140000	0.000544193	0.140000	0.000628  	0.140000	2.52414e-05	
0.160000	0.000541632	0.160000	0.000728572	0.160000	0.000617831	0.160000	0.000617831	0.160000	0.000617832	0.160000	0.000705722	0.160000	2.28502e-05	
