! 126Te energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000236867	0.001000	0.000289999	0.001000	0.000251465	0.001000	0.000251465	0.001000	0.000251475	0.001000	6.75119e-05	0.001000	0.000222487	
0.002000	0.000245282	0.002000	0.000300408	0.002000	0.000253835	0.002000	0.000253835	0.002000	0.000253843	0.002000	8.75521e-05	0.002000	0.000212856	
0.005000	0.000243299	0.005000	0.000297444	0.005000	0.000238782	0.005000	0.000238782	0.005000	0.000238788	0.005000	0.000123451	0.005000	0.000173993	
0.008000	0.000241302	0.008000	0.000294289	0.008000	0.000228996	0.008000	0.000228996	0.008000	0.000229001	0.008000	0.000147244	0.008000	0.000147045	
0.010000	0.000241347	0.010000	0.000293903	0.010000	0.000225431	0.010000	0.000225431	0.010000	0.000225435	0.010000	0.000160096	0.010000	0.000133807	
0.015000	0.000244398	0.015000	0.000296684	0.015000	0.000222512	0.015000	0.000222512	0.015000	0.000222515	0.015000	0.000186386	0.015000	0.000110297	
0.020000	0.000249627	0.020000	0.000302303	0.020000	0.000224257	0.020000	0.000224257	0.020000	0.00022426	0.020000	0.000207619	0.020000	9.46842e-05	
0.025000	0.000255786	0.025000	0.000309183	0.025000	0.00022831	0.025000	0.00022831	0.025000	0.000228312	0.025000	0.00022574	0.025000	8.34432e-05	
0.030000	0.000262321	0.030000	0.000316613	0.030000	0.000233593	0.030000	0.000233593	0.030000	0.000233595	0.030000	0.000241713	0.030000	7.49001e-05	
0.035000	0.00026897	0.035000	0.000324249	0.035000	0.00023956	0.035000	0.00023956	0.035000	0.000239561	0.035000	0.000256098	0.035000	6.81516e-05	
0.040000	0.000275598	0.040000	0.000331912	0.040000	0.000245907	0.040000	0.000245907	0.040000	0.000245908	0.040000	0.000269248	0.040000	6.26641e-05	
0.045000	0.000282138	0.045000	0.000339507	0.045000	0.000252458	0.045000	0.000252458	0.045000	0.00025246	0.045000	0.000281407	0.045000	5.81003e-05	
0.050000	0.000288553	0.050000	0.000346984	0.050000	0.000259107	0.050000	0.000259107	0.050000	0.000259108	0.050000	0.000292748	0.050000	5.42358e-05	
0.055000	0.000294827	0.055000	0.000354315	0.055000	0.000265785	0.055000	0.000265785	0.055000	0.000265786	0.055000	0.0003034 	0.055000	5.09147e-05	
0.060000	0.000300953	0.060000	0.000361489	0.060000	0.00027245	0.060000	0.00027245	0.060000	0.000272451	0.060000	0.000313463	0.060000	4.80252e-05	
0.070000	0.000312915	0.070000	0.000375349	0.070000	0.000285638	0.070000	0.000285638	0.070000	0.000285639	0.070000	0.000332118	0.070000	4.32315e-05	
0.080000	0.000348554	0.080000	0.000388575	0.080000	0.000298547	0.080000	0.000298547	0.080000	0.000298548	0.080000	0.000349172	0.080000	3.94036e-05	
0.090000	0.000381413	0.090000	0.000429109	0.090000	0.000335459	0.090000	0.000335459	0.090000	0.00033546	0.090000	0.000392842	0.090000	3.62668e-05	
0.100000	0.000412218	0.100000	0.000474535	0.100000	0.000377604	0.100000	0.000377604	0.100000	0.000377605	0.100000	0.000441201	0.100000	3.33338e-05	
0.120000	0.000457618	0.120000	0.000562038	0.120000	0.000461557	0.120000	0.000461557	0.120000	0.000461558	0.120000	0.000532814	0.120000	2.92241e-05	
0.140000	0.000496791	0.140000	0.000642717	0.140000	0.000541631	0.140000	0.000541631	0.140000	0.000541632	0.140000	0.00061662	0.140000	2.6097e-05	
0.160000	0.000532742	0.160000	0.000716081	0.160000	0.000616055	0.160000	0.000616055	0.160000	0.000616056	0.160000	0.000692452	0.160000	2.36291e-05	
0.180000	0.000567233	0.180000	0.000782413	0.180000	0.000684054	0.180000	0.000684054	0.180000	0.000684055	0.180000	0.000760787	0.180000	2.16263e-05	
