! 131Cs energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000247103	0.001000	0.000302994	0.001000	0.000262826	0.001000	0.000262826	0.001000	0.000262836	0.001000	6.9495e-05	0.001000	0.000233499	
0.002000	0.000256768	0.002000	0.000315303	0.002000	0.000266651	0.002000	0.000266651	0.002000	0.00026666	0.002000	9.01238e-05	0.002000	0.000225179	
0.005000	0.000255042	0.005000	0.000313308	0.005000	0.000251801	0.005000	0.000251801	0.005000	0.000251808	0.005000	0.000127077	0.005000	0.000186231	
0.008000	0.000252493	0.008000	0.00030987	0.008000	0.000241239	0.008000	0.000241239	0.008000	0.000241244	0.008000	0.00015157	0.008000	0.0001583 	
0.010000	0.00025216	0.010000	0.000309218	0.010000	0.000237147	0.010000	0.000237147	0.010000	0.000237151	0.010000	0.000164799	0.010000	0.000144419	
0.015000	0.000254427	0.015000	0.000311417	0.015000	0.000233122	0.015000	0.000233122	0.015000	0.000233125	0.015000	0.000191861	0.015000	0.000119555	
0.020000	0.000259086	0.020000	0.000316628	0.020000	0.000234045	0.020000	0.000234045	0.020000	0.000234048	0.020000	0.000213717	0.020000	0.000102911	
0.025000	0.000264827	0.025000	0.000323238	0.025000	0.00023748	0.025000	0.00023748	0.025000	0.000237482	0.025000	0.00023237	0.025000	9.08673e-05	
0.030000	0.000271052	0.030000	0.000330496	0.030000	0.000242288	0.030000	0.000242288	0.030000	0.00024229	0.030000	0.000248813	0.030000	8.16825e-05	
0.035000	0.000277465	0.035000	0.000338029	0.035000	0.000247882	0.035000	0.000247882	0.035000	0.000247884	0.035000	0.00026362	0.035000	7.44082e-05	
0.040000	0.000283913	0.040000	0.000345638	0.040000	0.000253932	0.040000	0.000253932	0.040000	0.000253934	0.040000	0.000277157	0.040000	6.84812e-05	
0.045000	0.000290312	0.045000	0.000353217	0.045000	0.000260244	0.045000	0.000260244	0.045000	0.000260245	0.045000	0.000289673	0.045000	6.35437e-05	
0.050000	0.000296618	0.050000	0.000360704	0.050000	0.000266697	0.050000	0.000266697	0.050000	0.000266698	0.050000	0.000301347	0.050000	5.93569e-05	
0.055000	0.000302808	0.055000	0.000368067	0.055000	0.000273214	0.055000	0.000273214	0.055000	0.000273216	0.055000	0.000312313	0.055000	5.57547e-05	
0.060000	0.000308868	0.060000	0.000375289	0.060000	0.000279747	0.060000	0.000279747	0.060000	0.000279748	0.060000	0.000322671	0.060000	5.26175e-05	
0.070000	0.000320589	0.070000	0.00038928	0.070000	0.000292733	0.070000	0.000292733	0.070000	0.000292735	0.070000	0.000341873	0.070000	4.74063e-05	
0.080000	0.000340659	0.080000	0.000402667	0.080000	0.000305505	0.080000	0.000305505	0.080000	0.000305506	0.080000	0.000359428	0.080000	4.32393e-05	
0.090000	0.000374341	0.090000	0.000421842	0.090000	0.00032354	0.090000	0.00032354	0.090000	0.000323542	0.090000	0.000382021	0.090000	3.98205e-05	
0.100000	0.000405593	0.100000	0.000467863	0.100000	0.00036569	0.100000	0.00036569	0.100000	0.000365691	0.100000	0.00043125	0.100000	3.6613e-05	
0.120000	0.000452993	0.120000	0.00055724	0.120000	0.000450514	0.120000	0.000450514	0.120000	0.000450515	0.120000	0.000525112	0.120000	3.21283e-05	
0.140000	0.000494255	0.140000	0.000640313	0.140000	0.000532221	0.140000	0.000532221	0.140000	0.000532222	0.140000	0.000611602	0.140000	2.87107e-05	
0.160000	0.000532267	0.160000	0.00071635	0.160000	0.000608777	0.160000	0.000608777	0.160000	0.000608778	0.160000	0.00069034	0.160000	2.60104e-05	
0.180000	0.000568764	0.180000	0.00078548	0.180000	0.000679211	0.180000	0.000679211	0.180000	0.000679212	0.180000	0.000761663	0.180000	2.3817e-05	
0.200000	0.000604648	0.200000	0.000848208	0.200000	0.000743251	0.200000	0.000743251	0.200000	0.000743252	0.200000	0.000826212	0.200000	2.19961e-05	
0.250000	0.000674904	0.250000	0.000981206	0.250000	0.000877011	0.250000	0.000877011	0.250000	0.000877012	0.250000	0.000962659	0.250000	1.85471e-05	
0.300000	0.000752398	0.300000	0.00111208	0.300000	0.000979537	0.300000	0.000979537	0.300000	0.000979538	0.300000	0.00109598	0.300000	1.61029e-05	
0.350000	0.000822175	0.350000	0.00121979	0.350000	0.00105929	0.350000	0.00105929	0.350000	0.00105929	0.350000	0.00120551	0.350000	1.42714e-05	
0.400000	0.000884688	0.400000	0.00130836	0.400000	0.00112307	0.400000	0.00112307	0.400000	0.00112307	0.400000	0.00129551	0.400000	1.28429e-05	
0.450000	0.000940491	0.450000	0.00138205	0.450000	0.00117567	0.450000	0.00117567	0.450000	0.00117567	0.450000	0.00137035	0.450000	1.16945e-05	
0.500000	0.000990216	0.500000	0.00144399	0.500000	0.00122029	0.500000	0.00122029	0.500000	0.00122029	0.500000	0.00143324	0.500000	1.07494e-05	
0.600000	0.00105243	0.600000	0.00156027	0.600000	0.00129333	0.600000	0.00129333	0.600000	0.00129333	0.600000	0.00155098	0.600000	9.28134e-06	
0.700000	0.00109797	0.700000	0.00166596	0.700000	0.00135187	0.700000	0.00135187	0.700000	0.00135187	0.700000	0.00165777	0.700000	8.18987e-06	
0.800000	0.00116686	0.800000	0.00174609	0.800000	0.00140044	0.800000	0.00140044	0.800000	0.00140044	0.800000	0.00173874	0.800000	7.34384e-06	
0.900000	0.00122301	0.900000	0.00180738	0.900000	0.00144653	0.900000	0.00144653	0.900000	0.00144653	0.900000	0.00180071	0.900000	6.66718e-06	
1.000000	0.00126897	1.000000	0.00185447	1.000000	0.00149679	1.000000	0.00149679	1.000000	0.00149679	1.000000	0.00184836	1.000000	6.11263e-06	
1.250000	0.00132512	1.250000	0.00189518	1.250000	0.00158972	1.250000	0.00158972	1.250000	0.00158972	1.250000	0.0018901 	1.250000	5.08015e-06	
1.500000	0.00135282	1.500000	0.00190194	1.500000	0.00164975	1.500000	0.00164975	1.500000	0.00164975	1.500000	0.00189758	1.500000	4.36286e-06	
1.750000	0.00136656	1.750000	0.00189666	1.750000	0.00168785	1.750000	0.00168785	1.750000	0.00168785	1.750000	0.00189283	1.750000	3.83337e-06	
2.000000	0.00136917	2.000000	0.00188142	2.000000	0.00171079	2.000000	0.00171079	2.000000	0.00171079	2.000000	0.001878  	2.000000	3.42528e-06	
2.250000	0.00136712	2.250000	0.00186046	2.250000	0.001723  	2.250000	0.001723  	2.250000	0.001723  	2.250000	0.00185736	2.250000	3.10042e-06	
2.500000	0.00207452	2.500000	0.001838  	2.500000	0.0017275 	2.500000	0.0017275 	2.500000	0.0017275 	2.500000	0.00183517	2.500000	2.83524e-06	
3.000000	0.00202176	3.000000	0.00179104	3.000000	0.00172105	3.000000	0.00172105	3.000000	0.00172105	3.000000	0.00178862	3.000000	2.4274e-06	
