! 135Ba energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.00025332	0.001000	0.000310943	0.001000	0.000264186	0.001000	0.000264186	0.001000	0.000264195	0.001000	7.37076e-05	0.001000	0.000237236	
0.002000	0.000264163	0.002000	0.000324936	0.002000	0.00026746	0.002000	0.00026746	0.002000	0.000267468	0.002000	9.55869e-05	0.002000	0.000229349	
0.005000	0.00026389	0.005000	0.000325156	0.005000	0.00025063	0.005000	0.00025063	0.005000	0.000250636	0.005000	0.00013478	0.005000	0.000190376	
0.008000	0.000262069	0.008000	0.000322877	0.008000	0.000238333	0.008000	0.000238333	0.008000	0.000238338	0.008000	0.000160757	0.008000	0.000162119	
0.010000	0.000262103	0.010000	0.000322812	0.010000	0.000233233	0.010000	0.000233233	0.010000	0.000233237	0.010000	0.000174788	0.010000	0.000148023	
0.015000	0.000265119	0.015000	0.000326197	0.015000	0.000227064	0.015000	0.000227064	0.015000	0.000227067	0.015000	0.000203492	0.015000	0.000122706	
0.020000	0.000270406	0.020000	0.000332386	0.020000	0.000226215	0.020000	0.000226215	0.020000	0.000226218	0.020000	0.000226672	0.020000	0.000105714	
0.025000	0.000276708	0.025000	0.000339855	0.025000	0.000228124	0.025000	0.000228124	0.025000	0.000228126	0.025000	0.000246456	0.025000	9.33991e-05	
0.030000	0.000283447	0.030000	0.000347893	0.030000	0.00023158	0.030000	0.00023158	0.030000	0.000231582	0.030000	0.000263896	0.030000	8.39972e-05	
0.035000	0.000290337	0.035000	0.000356145	0.035000	0.000235952	0.035000	0.000235952	0.035000	0.000235954	0.035000	0.0002796 	0.035000	7.65448e-05	
0.040000	0.000297233	0.040000	0.000364426	0.040000	0.000240882	0.040000	0.000240882	0.040000	0.000240884	0.040000	0.000293958	0.040000	7.04686e-05	
0.045000	0.000304057	0.045000	0.000372637	0.045000	0.000246155	0.045000	0.000246155	0.045000	0.000246156	0.045000	0.000307232	0.045000	6.54042e-05	
0.050000	0.000310766	0.050000	0.000380722	0.050000	0.000251636	0.050000	0.000251636	0.050000	0.000251637	0.050000	0.000319614	0.050000	6.1108e-05	
0.055000	0.00031734	0.055000	0.000388654	0.055000	0.000257237	0.055000	0.000257237	0.055000	0.000257238	0.055000	0.000331244	0.055000	5.74102e-05	
0.060000	0.000323769	0.060000	0.000396419	0.060000	0.000262901	0.060000	0.000262901	0.060000	0.000262902	0.060000	0.000342231	0.060000	5.41886e-05	
0.070000	0.000336185	0.070000	0.000411432	0.070000	0.00027427	0.070000	0.00027427	0.070000	0.000274271	0.070000	0.000362597	0.070000	4.88353e-05	
0.080000	0.000351654	0.080000	0.000425769	0.080000	0.000285552	0.080000	0.000285552	0.080000	0.000285553	0.080000	0.000381216	0.080000	4.45526e-05	
0.090000	0.000385979	0.090000	0.000439469	0.090000	0.000296656	0.090000	0.000296656	0.090000	0.000296657	0.090000	0.000398431	0.090000	4.10378e-05	
0.100000	0.000417777	0.100000	0.000485591	0.100000	0.000336672	0.100000	0.000336672	0.100000	0.000336673	0.100000	0.000447855	0.100000	3.77361e-05	
0.120000	0.000465816	0.120000	0.00057688	0.120000	0.000419943	0.120000	0.000419943	0.120000	0.000419944	0.120000	0.000543757	0.120000	3.31236e-05	
0.140000	0.000507565	0.140000	0.000661498	0.140000	0.000501119	0.140000	0.000501119	0.140000	0.00050112	0.140000	0.000631891	0.140000	2.96069e-05	
0.160000	0.000546006	0.160000	0.000738776	0.160000	0.000577898	0.160000	0.000577898	0.160000	0.000577899	0.160000	0.000711949	0.160000	2.68271e-05	
0.180000	0.000582917	0.180000	0.0008089 	0.180000	0.000649098	0.180000	0.000649098	0.180000	0.000649098	0.180000	0.000784331	0.180000	2.45685e-05	
0.200000	0.00061922	0.200000	0.00087243	0.200000	0.000714276	0.200000	0.000714276	0.200000	0.000714276	0.200000	0.000849737	0.200000	2.26931e-05	
0.250000	0.000687891	0.250000	0.00100684	0.250000	0.000851759	0.250000	0.000851759	0.250000	0.00085176	0.250000	0.000987696	0.250000	1.91395e-05	
0.300000	0.000763944	0.300000	0.00113223	0.300000	0.000958394	0.300000	0.000958394	0.300000	0.000958395	0.300000	0.00111561	0.300000	1.66204e-05	
0.350000	0.000832633	0.350000	0.00123764	0.350000	0.00104211	0.350000	0.00104211	0.350000	0.00104211	0.350000	0.00122291	0.350000	1.47321e-05	
0.400000	0.000894321	0.400000	0.00132434	0.400000	0.00110953	0.400000	0.00110953	0.400000	0.00110953	0.400000	0.00131109	0.400000	1.3259e-05	
0.450000	0.000949504	0.450000	0.00139655	0.450000	0.00116539	0.450000	0.00116539	0.450000	0.00116539	0.450000	0.00138448	0.450000	1.20747e-05	
0.500000	0.000998774	0.500000	0.00145735	0.500000	0.00121293	0.500000	0.00121293	0.500000	0.00121293	0.500000	0.00144625	0.500000	1.10998e-05	
0.600000	0.00105798	0.600000	0.00156792	0.600000	0.00129093	0.600000	0.00129093	0.600000	0.00129093	0.600000	0.00155834	0.600000	9.58518e-06	
0.700000	0.0011055 	0.700000	0.00167687	0.700000	0.00135351	0.700000	0.00135351	0.700000	0.00135351	0.700000	0.00166841	0.700000	8.45892e-06	
0.800000	0.00117636	0.800000	0.00175981	0.800000	0.00140545	0.800000	0.00140545	0.800000	0.00140545	0.800000	0.00175223	0.800000	7.58577e-06	
0.900000	0.00123426	0.900000	0.00182355	0.900000	0.00145937	0.900000	0.00145937	0.900000	0.00145938	0.900000	0.00181666	0.900000	6.88734e-06	
1.000000	0.00128178	1.000000	0.00187277	1.000000	0.0015115 	1.000000	0.0015115 	1.000000	0.0015115 	1.000000	0.00186646	1.000000	6.31489e-06	
1.250000	0.00134384	1.250000	0.00192213	1.250000	0.00160829	1.250000	0.00160829	1.250000	0.00160829	1.250000	0.00191688	1.250000	5.24893e-06	
1.500000	0.00137328	1.500000	0.00193085	1.500000	0.00167132	1.500000	0.00167132	1.500000	0.00167132	1.500000	0.00192634	1.500000	4.50826e-06	
1.750000	0.00138834	1.750000	0.00192701	1.750000	0.00171179	1.750000	0.00171179	1.750000	0.00171179	1.750000	0.00192305	1.750000	3.96144e-06	
2.000000	0.0013926 	2.000000	0.00191379	2.000000	0.00173662	2.000000	0.00173662	2.000000	0.00173662	2.000000	0.00191025	2.000000	3.53995e-06	
2.250000	0.00139122	2.250000	0.0018934 	2.250000	0.00175037	2.250000	0.00175037	2.250000	0.00175037	2.250000	0.00189019	2.250000	3.20439e-06	
2.500000	0.00212278	2.500000	0.00187137	2.500000	0.0017561 	2.500000	0.0017561 	2.500000	0.0017561 	2.500000	0.00186844	2.500000	2.93047e-06	
3.000000	0.00207065	3.000000	0.00182496	3.000000	0.00175151	3.000000	0.00175151	3.000000	0.00175151	3.000000	0.00182246	3.000000	2.50913e-06	
3.500000	0.00200849	3.500000	0.00177397	3.500000	0.0017337 	3.500000	0.0017337 	3.500000	0.0017337 	3.500000	0.00177177	3.500000	2.19929e-06	
4.000000	0.00194359	4.000000	0.00172242	4.000000	0.00170853	4.000000	0.00170853	4.000000	0.00170853	4.000000	0.00172046	4.000000	1.96122e-06	
4.500000	0.00187938	4.500000	0.00167499	4.500000	0.00167931	4.500000	0.00167931	4.500000	0.00167931	4.500000	0.00167322	4.500000	1.7722e-06	
5.000000	0.00181746	5.000000	0.00163084	5.000000	0.00164801	5.000000	0.00164801	5.000000	0.00164801	5.000000	0.00162923	5.000000	1.61823e-06	
5.500000	0.00175852	5.500000	0.00158946	5.500000	0.00161577	5.500000	0.00161577	5.500000	0.00161578	5.500000	0.00158797	5.500000	1.49025e-06	
6.000000	0.0017028 	6.000000	0.00155159	6.000000	0.00157914	6.000000	0.00157914	6.000000	0.00157914	6.000000	0.0015502 	6.000000	1.38207e-06	
