! 138La energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000256702	0.001000	0.000315208	0.001000	0.000267926	0.001000	0.000267926	0.001000	0.000267935	0.001000	7.43173e-05	0.001000	0.00024089	
0.002000	0.000267939	0.002000	0.000329831	0.002000	0.000271685	0.002000	0.000271685	0.002000	0.000271693	0.002000	9.63776e-05	0.002000	0.000233453	
0.005000	0.000267718	0.005000	0.000330384	0.005000	0.000254934	0.005000	0.000254934	0.005000	0.00025494	0.005000	0.000135895	0.005000	0.000194489	
0.008000	0.000265687	0.008000	0.00032801	0.008000	0.00024238	0.008000	0.00024238	0.008000	0.000242384	0.008000	0.000162087	0.008000	0.000165923	
0.010000	0.00026558	0.010000	0.000327854	0.010000	0.000237099	0.010000	0.000237099	0.010000	0.000237104	0.010000	0.000176234	0.010000	0.00015162	
0.015000	0.000268299	0.015000	0.000331032	0.015000	0.000230547	0.015000	0.000230547	0.015000	0.000230551	0.015000	0.000205175	0.015000	0.000125858	
0.020000	0.000273366	0.020000	0.00033707	0.020000	0.000229407	0.020000	0.000229407	0.020000	0.00022941	0.020000	0.000228547	0.020000	0.000108523	
0.025000	0.000279502	0.025000	0.000344435	0.025000	0.000231092	0.025000	0.000231092	0.025000	0.000231095	0.025000	0.000248495	0.025000	9.59399e-05	
0.030000	0.000286113	0.030000	0.000352401	0.030000	0.000234374	0.030000	0.000234374	0.030000	0.000234376	0.030000	0.000266079	0.030000	8.63222e-05	
0.035000	0.000292904	0.035000	0.000360605	0.035000	0.000238606	0.035000	0.000238606	0.035000	0.000238608	0.035000	0.000281913	0.035000	7.86923e-05	
0.040000	0.00029972	0.040000	0.000368856	0.040000	0.000243422	0.040000	0.000243422	0.040000	0.000243424	0.040000	0.000296389	0.040000	7.24674e-05	
0.045000	0.000306478	0.045000	0.00037705	0.045000	0.000248601	0.045000	0.000248601	0.045000	0.000248602	0.045000	0.000309774	0.045000	6.72763e-05	
0.050000	0.000313135	0.050000	0.000385128	0.050000	0.000254003	0.050000	0.000254003	0.050000	0.000254005	0.050000	0.000322258	0.050000	6.28705e-05	
0.055000	0.000319665	0.055000	0.000393061	0.055000	0.000259538	0.055000	0.000259538	0.055000	0.00025954	0.055000	0.000333984	0.055000	5.90771e-05	
0.060000	0.000326058	0.060000	0.000400833	0.060000	0.000265146	0.060000	0.000265146	0.060000	0.000265147	0.060000	0.000345061	0.060000	5.57712e-05	
0.070000	0.000338417	0.070000	0.000415871	0.070000	0.000276426	0.070000	0.000276426	0.070000	0.000276427	0.070000	0.000365596	0.070000	5.02753e-05	
0.080000	0.00035022	0.080000	0.000430246	0.080000	0.000287642	0.080000	0.000287642	0.080000	0.000287643	0.080000	0.000384369	0.080000	4.58767e-05	
0.090000	0.000383083	0.090000	0.000443992	0.090000	0.000298696	0.090000	0.000298696	0.090000	0.000298697	0.090000	0.000401727	0.090000	4.22654e-05	
0.100000	0.000415083	0.100000	0.000483157	0.100000	0.000332491	0.100000	0.000332491	0.100000	0.000332492	0.100000	0.000443917	0.100000	3.924e-05 	
0.120000	0.000463743	0.120000	0.000574607	0.120000	0.000415432	0.120000	0.000415432	0.120000	0.000415433	0.120000	0.000540479	0.120000	3.4128e-05	
0.140000	0.000506156	0.140000	0.00065995	0.140000	0.000496941	0.140000	0.000496941	0.140000	0.000496942	0.140000	0.000629438	0.140000	3.05116e-05	
0.160000	0.000545259	0.160000	0.000738063	0.160000	0.000574259	0.160000	0.000574259	0.160000	0.00057426	0.160000	0.000710411	0.160000	2.76519e-05	
0.180000	0.000582818	0.180000	0.000809076	0.180000	0.000646131	0.180000	0.000646131	0.180000	0.000646132	0.180000	0.000783748	0.180000	2.53277e-05	
