! 199Bi energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.000362059	0.001000	0.000463599	0.001000	0.00041237	0.001000	0.00041237	0.001000	0.000412376	0.001000	0.000137082	0.001000	0.000326517	
0.002000	0.000393051	0.002000	0.000510372	0.002000	0.00045401	0.002000	0.00045401	0.002000	0.000454016	0.002000	0.000177773	0.002000	0.000332598	
0.005000	0.000412545	0.005000	0.000549848	0.005000	0.000491147	0.005000	0.000491147	0.005000	0.000491152	0.005000	0.000250665	0.005000	0.000299183	
0.008000	0.000416667	0.008000	0.000564645	0.008000	0.000508481	0.008000	0.000508481	0.008000	0.000508486	0.008000	0.000298978	0.008000	0.000265667	
0.010000	0.000418781	0.010000	0.000572301	0.010000	0.000518701	0.010000	0.000518701	0.010000	0.000518706	0.010000	0.000325072	0.010000	0.000247228	
0.015000	0.000425149	0.015000	0.000590132	0.015000	0.00054416	0.015000	0.00054416	0.015000	0.000544164	0.015000	0.000378455	0.015000	0.000211677	
0.020000	0.000433123	0.020000	0.000607771	0.020000	0.000570122	0.020000	0.000570122	0.020000	0.000570125	0.020000	0.000421567	0.020000	0.000186205	
0.025000	0.000442065	0.025000	0.000625339	0.025000	0.00059621	0.025000	0.00059621	0.025000	0.000596213	0.025000	0.000458361	0.025000	0.000166979	
0.030000	0.000451498	0.030000	0.000642672	0.030000	0.000622076	0.030000	0.000622076	0.030000	0.000622079	0.030000	0.000490795	0.030000	0.000151877	
0.035000	0.000461134	0.035000	0.000659652	0.035000	0.000647522	0.035000	0.000647522	0.035000	0.000647525	0.035000	0.000520002	0.035000	0.00013965	
0.040000	0.000470806	0.040000	0.000676217	0.040000	0.000672451	0.040000	0.000672451	0.040000	0.000672453	0.040000	0.000546704	0.040000	0.000129513	
0.045000	0.000480417	0.045000	0.000692342	0.045000	0.000696822	0.045000	0.000696822	0.045000	0.000696824	0.045000	0.000571393	0.045000	0.000120949	
0.050000	0.000489908	0.050000	0.000708023	0.050000	0.000720625	0.050000	0.000720625	0.050000	0.000720627	0.050000	0.00059442	0.050000	0.000113602	
0.055000	0.000499247	0.055000	0.000723268	0.055000	0.000743869	0.055000	0.000743869	0.055000	0.000743871	0.055000	0.00061605	0.055000	0.000107218	
0.060000	0.000508416	0.060000	0.000738094	0.060000	0.00076657	0.060000	0.00076657	0.060000	0.000766572	0.060000	0.000636483	0.060000	0.000101611	
0.070000	0.000526216	0.070000	0.000766557	0.070000	0.000810435	0.070000	0.000810435	0.070000	0.000810437	0.070000	0.00067436	0.070000	9.21971e-05	
0.080000	0.000543295	0.080000	0.000793567	0.080000	0.000852408	0.080000	0.000852408	0.080000	0.00085241	0.080000	0.000708988	0.080000	8.45798e-05	
0.090000	0.000559682	0.090000	0.000819274	0.090000	0.000892674	0.090000	0.000892674	0.090000	0.000892676	0.090000	0.000741005	0.090000	7.82698e-05	
0.100000	0.000575423	0.100000	0.000843812	0.100000	0.000931402	0.100000	0.000931402	0.100000	0.000931403	0.100000	0.000770868	0.100000	7.29442e-05	
0.120000	0.00060515	0.120000	0.000889835	0.120000	0.00100481	0.120000	0.00100481	0.120000	0.00100481	0.120000	0.000825416	0.120000	6.44192e-05	
0.140000	0.00063283	0.140000	0.000932404	0.140000	0.00107361	0.140000	0.00107361	0.140000	0.00107361	0.140000	0.000874536	0.140000	5.78672e-05	
0.160000	0.00068742	0.160000	0.000996758	0.160000	0.00114935	0.160000	0.00114935	0.160000	0.00114935	0.160000	0.000944596	0.160000	5.21615e-05	
0.180000	0.000742199	0.180000	0.00109876	0.180000	0.00123674	0.180000	0.00123674	0.180000	0.00123674	0.180000	0.00105081	0.180000	4.79523e-05	
0.200000	0.000796034	0.200000	0.00119184	0.200000	0.00131348	0.200000	0.00131348	0.200000	0.00131348	0.200000	0.0011474 	0.200000	4.44343e-05	
0.250000	0.000900519	0.250000	0.00139043	0.250000	0.00146597	0.250000	0.00146597	0.250000	0.00146597	0.250000	0.00135272	0.250000	3.77114e-05	
0.300000	0.000997235	0.300000	0.00155003	0.300000	0.00157625	0.300000	0.00157625	0.300000	0.00157625	0.300000	0.00151713	0.300000	3.28996e-05	
